"inst_2168" "inst_3747" "inst_3828" "inst_3923" "inst_4303" "inst_6023"
"1007_s_at" 320 13922 4055 15162 10899 14304
"1053_at" 14474 17868 15085 15539 16464 4978
"117_at" 21721 6219 2028 8566 501 10175
"121_at" 20744 2616 6111 13251 17839 21186
"1255_g_at" 10029 6941 10101 9046 6307 6516
"1294_at" 18239 21620 5831 15842 18130 18571
"1316_at" 16919 22137 20995 17572 19687 2082
"1320_at" 7087 10435 19577 16920 988 17850
"1405_i_at" 20907 6800 9107 3691 5371 10244
"1431_at" 1951 2868 17236 1531 10851 20077
"1438_at" 12694 21019 3302 4279 2145 21561
"1487_at" 4854 14071 16907 11710 11274 13661
"1494_f_at" 19515 16941 7238 13852 15007 17798
"1598_g_at" 22121 18450 15242 2808 1549 20148
"160020_at" 18696 10917 2223 4928 4312 3353
"1729_at" 21889 3486 6062 2518 2078 21715
"1773_at" 12913 16490 1528 14164 10825 1922
"177_at" 5282 19980 18377 20615 20159 135
"179_at" 14110 1273 17475 18596 16196 21255
"1861_at" 20707 15519 19780 5973 18831 14231
"200000_s_at" 15770 12968 17517 17568 13100 16974
"200001_at" 12847 15685 18314 12071 13501 16567
"200002_at" 3727 3406 8145 11381 13989 3098
"200003_s_at" 8274 4901 10083 7658 6646 7838
"200004_at" 17923 13269 7765 17827 11314 5994
"200005_at" 15700 15381 7536 12469 11506 6300
"200006_at" 13070 8760 15019 4815 12292 5444
"200007_at" 5656 1695 16552 5205 4410 5940
"200008_s_at" 13228 20291 4085 16943 1686 12544
"200009_at" 6113 11841 6195 11685 12547 3895
"200010_at" 8149 14277 6589 14916 11322 5140
"200011_s_at" 16743 13158 14100 13276 4857 15015
"200012_x_at" 4919 2611 6242 4485 2653 12781
"200013_at" 5288 9678 15884 11631 10955 13244
"200014_s_at" 15335 8999 14745 4061 13640 5738
"200015_s_at" 13173 9634 14803 17255 16132 12528
"200016_x_at" 8364 4832 17867 11203 13309 5803
"200017_at" 8195 4983 10199 7766 6730 7928
"200018_at" 8215 4976 10190 7757 11669 7922
"200019_s_at" 4620 9755 19523 12825 5016 14201
"200020_at" 17466 11834 7755 20261 15873 6294
"200021_at" 15314 5068 10318 7876 6835 8024
"200022_at" 8477 9328 7993 7674 12905 7853
"200023_s_at" 5610 2964 15840 13655 15874 13370
"200024_at" 5591 2754 16466 11270 4587 16047
"200025_s_at" 8242 8914 15380 7754 13331 5402
"200026_at" 8305 5070 15531 7880 4295 8027
