"inst_2521" "inst_5741" "inst_6083" "inst_6219"
"1007_s_at" 21881 5495 14528 4517
"1053_at" 14862 3581 7575 3476
"117_at" 21368 1024 11964 11781
"121_at" 22234 16701 2762 1884
"1255_g_at" 8081 13812 10591 10927
"1294_at" 10261 18849 21650 640
"1316_at" 1676 3998 4243 9304
"1320_at" 8720 11398 19593 10570
"1405_i_at" 12733 9538 11747 7518
"1431_at" 14352 20024 20580 2754
"1438_at" 4411 1678 2510 19378
"1487_at" 11834 6352 18008 18526
"1494_f_at" 18831 21185 4458 643
"1598_g_at" 2176 9162 4738 21835
"160020_at" 867 1920 1033 20859
"1729_at" 21734 18373 19100 959
"1773_at" 10835 19777 20313 5292
"177_at" 1642 2352 679 8822
"179_at" 618 20770 21520 19565
"1861_at" 21783 4171 21061 16881
"200000_s_at" 16934 18872 6499 20766
"200001_at" 16398 9169 14388 5674
"200002_at" 9823 8100 15399 16128
"200003_s_at" 4693 7609 9290 5362
"200004_at" 15700 8881 15621 15560
"200005_at" 16587 6542 5917 5981
"200006_at" 14831 15582 14654 5931
"200007_at" 15814 15271 4638 15699
"200008_s_at" 16997 15162 5068 15427
"200009_at" 14649 6086 14589 4914
"200010_at" 10656 15348 13902 4918
"200011_s_at" 16294 8998 14911 2859
"200012_x_at" 2978 15336 5338 6446
"200013_at" 9809 15554 6899 17059
"200014_s_at" 14215 8103 13368 19240
"200015_s_at" 12545 17690 14877 17468
"200016_x_at" 10041 9102 14642 15984
"200017_at" 4768 15199 9374 15986
"200018_at" 4761 16183 9368 6275
"200019_s_at" 2784 6375 14166 16843
"200020_at" 16116 7923 15556 19058
"200021_at" 4846 15252 9458 9767
"200022_at" 4703 5261 9304 5942
"200023_s_at" 12665 9109 7211 17036
"200024_at" 11196 16670 5628 5850
"200025_s_at" 4760 5660 13795 17099
"200026_at" 4849 16567 9460 20324
"200027_at" 16936 6997 15302 16058
"200028_s_at" 11147 2701 15654 1568
"200029_at" 4724 7428 5948 18948
"200030_s_at" 12187 7174 7792 5789
"200031_s_at" 4752 10859 9361 4774
"200032_s_at" 4770 15744 9376 15688
"200033_at" 15310 15525 16446 15788
"200034_s_at" 10712 18228 16208 6420
"200035_at" 15002 17276 18685 2335
"200036_s_at" 2483 8645 6547 16787
"200037_s_at" 12500 16811 17574 2744
"200038_s_at" 4836 15747 9440 5945
"200039_s_at" 15223 16813 4701 5984
"200040_at" 11638 6357 6501 4689
"200041_s_at" 15874 6699 7047 16251
"200042_at" 18226 8517 17586 18871
"200043_at" 14559 8906 16294 17383
"200044_at" 14410 6227 4685 17896
"200045_at" 14258 17137 14174 16909
"200046_at" 18223 8086 18545 16854
"200047_s_at" 17716 8980 16955 2738
"200048_s_at" 15924 15025 7016 16770
"200049_at" 11647 3365 15859 4559
"200050_at" 12600 8126 18660 3444
"200051_at" 17209 8752 14672 5598
"200052_s_at" 15842 17944 5040 17591
"200053_at" 18815 6945 14325 4155
"200054_at" 14922 17722 17386 2936
"200055_at" 14776 15272 13558 16346
"200056_s_at" 10754 7740 20031 20407
"200057_s_at" 10653 6420 15111 17165
"200058_s_at" 12860 7269 7101 17682
"200059_s_at" 10443 8074 16134 6384
"200060_s_at" 13561 18213 7388 16857
"200061_s_at" 4751 10858 9359 15935
"200062_s_at" 4680 10822 9276 16119
