"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"1007_s_at" 2307 17101 2329 1175 16693 3500 21525 2718 204 15518 16844 3628 17539 14620 19118 1145 3915 8088
"1053_at" 21709 16310 15153 20563 20130 5861 3362 14065 2850 16770 18583 11798 16886 5950 16482 18104 8458 19940
"117_at" 21951 2751 8379 6247 21677 290 16847 11851 20700 4108 13983 13485 12630 12145 5089 9617 16795 13160
"121_at" 13867 4583 847 18004 936 3392 15730 12910 19584 5439 11851 21367 14944 19390 1086 17029 2265 3370
"1255_g_at" 13967 11864 10203 10747 12306 8506 11294 7072 15016 10062 8069 14976 7919 4846 10799 9884 12101 8713
"1294_at" 17342 4739 12959 12804 17799 3940 17348 6852 18657 14021 18118 20980 5734 6277 4899 14946 17377 1218
"1316_at" 1512 19660 9926 7769 19733 20162 20310 8161 6859 1654 1790 2191 20303 22170 3919 428 21133 21403
"1320_at" 22001 1159 317 7447 12867 5777 7378 5062 11865 9977 17958 4271 3886 7816 10057 11414 12067 8742
"1405_i_at" 11734 12789 13063 6716 17120 15190 3358 8312 16902 14468 10106 16366 10712 3004 6255 13260 14072 3175
"1431_at" 5043 9936 9936 11142 20960 18678 13280 6213 6906 20663 11622 1550 2202 4253 4263 14331 19041 3172
"1438_at" 22155 14107 20021 14160 9478 1019 6051 13630 13232 21414 20214 21227 21131 10166 11986 11618 19451 22023
"1487_at" 4966 20222 1672 16881 6094 5247 21013 19715 17480 3790 20021 1703 13771 19313 17974 4382 4197 5132
"1494_f_at" 19938 5118 8088 7816 2784 19519 19983 7908 10496 19431 844 3509 20786 2936 15142 12727 12738 1417
"1598_g_at" 2311 13922 21731 17936 3995 20079 902 16247 17795 18325 18642 6799 18795 4515 422 18152 2234 2985
"160020_at" 16644 5403 11759 13732 1703 5167 19929 12670 2824 21989 19053 11824 6549 1549 6984 14942 3311 19573
"1729_at" 5871 3706 18764 15916 6072 6858 22137 19373 4844 15896 18848 6477 20078 3234 2300 20023 5702 2110
"1773_at" 3021 6320 19254 20219 266 16044 7982 1069 17534 2148 19073 20423 21300 18532 2653 15099 21673 4470
"177_at" 12598 3267 6491 6890 21690 13704 4259 6232 19296 9951 363 5844 14224 1316 5266 1976 17119 13012
"179_at" 2642 1504 210 8899 1941 21745 21943 22255 21981 22172 21602 19698 4936 3584 2548 3497 20623 2532
"1861_at" 16899 19623 19849 22172 20638 18135 780 17689 3017 6876 18605 21158 5791 4573 17278 6726 2447 19469
"200000_s_at" 19973 17838 17566 15972 17365 19951 15780 21577 9139 19452 19381 8727 16474 17229 16691 5267 9448 17508
"200001_at" 4770 4173 5655 4074 5615 5234 3209 13747 6811 8196 16067 6699 6541 15425 5186 5717 8051 4104
"200002_at" 13816 17211 16628 15724 17376 16865 16534 13586 10896 16042 12861 10863 13759 15253 16660 5591 20085 18183
"200003_s_at" 16482 16130 9272 15175 6556 7966 16463 2042 12825 15379 7490 10563 6430 15948 9281 6493 10472 18423
