"inst_2928" "inst_4011" "inst_4129" "inst_7348"
"1007_s_at" 18653 16699 4579 5445
"1053_at" 17006 7486 5667 8877
"117_at" 2669 5958 2624 11205
"121_at" 10878 6674 19371 9843
"1255_g_at" 3042 12408 13534 11573
"1294_at" 16045 20529 21970 19483
"1316_at" 12802 21661 22121 4268
"1320_at" 8430 10862 1099 12672
"1405_i_at" 11859 20839 17258 18542
"1431_at" 11601 7669 20636 1338
"1438_at" 10199 22004 8566 21910
"1487_at" 17294 17460 1814 1150
"1494_f_at" 8616 4629 19980 15683
"1598_g_at" 20598 5597 11688 21938
"160020_at" 21062 21634 6791 21280
"1729_at" 13406 4293 18932 1567
"1773_at" 10760 5933 2121 333
"177_at" 12762 15130 2174 16460
"179_at" 20438 20578 3851 19564
"1861_at" 15852 7760 2372 8679
"200000_s_at" 15415 3535 19532 21028
"200001_at" 13922 2847 7879 6246
"200002_at" 10609 7129 11375 5813
"200003_s_at" 5206 10994 20106 9814
"200004_at" 13905 9311 8355 8372
"200005_at" 16008 8884 11908 7466
"200006_at" 12307 9065 11621 6111
"200007_at" 15134 15257 12859 19353
"200008_s_at" 16076 5439 13256 7939
"200009_at" 16892 15357 13192 9395
"200010_at" 2204 6537 11924 10143
"200011_s_at" 14315 6739 8416 7378
"200012_x_at" 2487 16372 20747 19934
"200013_at" 2265 8271 12275 9817
"200014_s_at" 13950 8110 8901 6135
"200015_s_at" 14921 7941 11231 3502
"200016_x_at" 2200 15818 13261 9845
"200017_at" 2937 11072 15343 10334
"200018_at" 5339 11066 15335 10484
"200019_s_at" 2339 8400 12412 10336
"200020_at" 18615 17294 8284 6789
"200021_at" 1850 11160 19223 21090
"200022_at" 1925 5779 19105 20126
"200023_s_at" 11944 16269 8097 7727
"200024_at" 2920 16436 12484 9774
"200025_s_at" 2151 15466 11990 6230
"200026_at" 5517 15650 20190 19877
"200027_at" 15151 9048 7081 6661
"200028_s_at" 18228 9237 6617 9824
"200029_at" 11064 15792 20032 20244
"200030_s_at" 14307 15238 12803 19667
"200031_s_at" 5327 11060 15327 20103
"200032_s_at" 5359 17392 15346 9763
"200033_at" 12291 9075 7569 6755
"200034_s_at" 2647 15884 11147 10454
"200035_at" 12780 2961 6370 8074
"200036_s_at" 2528 8555 12854 9761
"200037_s_at" 11068 18532 7446 5392
"200038_s_at" 5484 15610 13145 8932
"200039_s_at" 18579 16348 9293 3961
"200040_at" 12978 8294 12407 8209
"200041_s_at" 17887 8904 9556 19213
"200042_at" 13271 8149 11034 6439
"200043_at" 14669 19519 7438 8703
"200044_at" 14301 17034 8413 6450
"200045_at" 15564 16834 9069 8374
"200046_at" 18677 5230 10650 4659
"200047_s_at" 15587 7634 7739 4746
"200048_s_at" 10678 17651 9491 8819
"200049_at" 11875 6675 3051 19417
"200050_at" 10755 17987 7404 5054
"200051_at" 14740 19049 8560 10555
"200052_s_at" 16680 6053 10486 3900
"200053_at" 13458 7481 19115 9419
"200054_at" 19031 3153 4963 8426
"200055_at" 19005 8238 19336 9250
"200056_s_at" 16726 16154 4408 5331
"200057_s_at" 12522 15775 19427 10120
"200058_s_at" 15661 16203 5625 6240
"200059_s_at" 11913 5314 9060 7096
"200060_s_at" 18456 3195 7970 9983
"200061_s_at" 5326 11058 19204 20378
"200062_s_at" 2740 10983 15224 19808
"200063_s_at" 2351 11097 19413 19390
"200064_at" 14534 6266 9756 8659
"200065_s_at" 14862 6146 10953 8584
"200066_at" 11113 8481 5567 20815
"200067_x_at" 14217 15324 10848 8568
"200068_s_at" 12615 5993 10003 10067
"200069_at" 20583 19765 19876 3156
"200070_at" 20697 8120 3816 5167
"200071_at" 16983 3610 6027 1790
"200072_s_at" 17292 7508 12300 7743
"200073_s_at" 11050 8540 12020 3755
"200074_s_at" 10670 8424 9931 7822
"200075_s_at" 15881 15356 5676 7304
"200076_s_at" 17552 3470 6423 3176
"200077_s_at" 2334 6715 11932 19383
"200078_s_at" 13779 16982 8622 4397
"200079_s_at" 17898 7269 19733 10390
"200080_s_at" 1963 16965 11003 7118
"200081_s_at" 2618 5878 19117 10583
"200082_s_at" 2766 7525 12526 10052
"200083_at" 15570 16709 3881 8934
"200084_at" 12651 6992 8705 6902
"200085_s_at" 15779 6798 10563 10823
"200086_s_at" 14732 17374 10184 7013
"200087_s_at" 11372 17350 5513 3996
"200088_x_at" 5198 15866 15237 20134
"200089_s_at" 2555 15479 11251 9085
"200090_at" 16228 6884 8993 4798
"200091_s_at" 1468 6403 9152 5533
"200092_s_at" 2478 5561 20267 19761
"200093_s_at" 16279 7864 4687 3047
"200094_s_at" 14080 18591 21035 7150
"200095_x_at" 5494 11150 15458 19759
"200096_s_at" 18805 5876 11726 5831
"200097_s_at" 10893 15157 9057 3954
"200098_s_at" 16153 17360 10305 6832
"200099_s_at" 5419 8518 15392 19918
"200593_s_at" 11870 16477 7251 5537
"200594_x_at" 15617 7773 9177 19869
"200595_s_at" 10840 4369 4210 4596
"200596_s_at" 2600 15770 9365 7549
"200597_at" 19304 19232 4234 5246
"200598_s_at" 13565 15346 19694 7865
"200599_s_at" 13977 5729 8698 4177
"200600_at" 17305 4840 15938 18027
"200601_at" 13232 4957 3387 1445
"200602_at" 19482 17602 2959 19482
"200603_at" 11497 17064 4817 2387
"200604_s_at" 21879 5098 19778 7881
"200605_s_at" 18546 5320 10221 10378
"200606_at" 8287 6128 5935 4771
"200607_s_at" 15495 15643 20975 4678
"200608_s_at" 2626 15832 5309 2128
"200609_s_at" 16893 8302 5249 6966
"200610_s_at" 14447 6026 9391 6492
"200611_s_at" 19888 15881 8861 6008
"200612_s_at" 15429 18409 10502 4065
"200613_at" 17375 6915 9312 7984
"200614_at" 12369 4654 19003 10179
