"inst_3032" "inst_3370" "inst_5290" "inst_6691"
"1007_s_at" 10621 1469 2455 7133
"1053_at" 14462 14694 20641 15020
"117_at" 2027 8656 10279 434
"121_at" 13523 15280 20051 20918
"1255_g_at" 4088 5923 13264 13056
"1294_at" 11335 20204 2497 15114
"1316_at" 21665 5127 5785 2345
"1320_at" 3099 5051 8798 4908
"1405_i_at" 12785 5785 17265 20746
"1431_at" 214 21846 10607 17522
"1438_at" 8462 3901 4389 8412
"1487_at" 19361 17581 7712 4732
"1494_f_at" 18233 19564 10771 20337
"1598_g_at" 584 2276 2017 18318
"160020_at" 8802 3865 7150 1732
"1729_at" 14723 1809 5165 3546
"1773_at" 13624 20010 2284 5463
"177_at" 15561 11074 14690 6302
"179_at" 8995 4961 3947 351
"1861_at" 21894 18558 3810 6823
"200000_s_at" 10296 4843 2304 8567
"200001_at" 12954 12179 3334 6568
"200002_at" 8717 4475 6731 7128
"200003_s_at" 4158 7332 7977 10165
"200004_at" 12252 4457 3190 5938
"200005_at" 12414 16200 4338 5359
"200006_at" 9949 5121 3957 14885
"200007_at" 10428 13949 3599 16662
"200008_s_at" 21145 19825 6702 1535
"200009_at" 15025 11889 6078 4398
"200010_at" 2721 12080 4351 3406
"200011_s_at" 11700 4958 4027 6748
"200012_x_at" 2046 11419 17760 14748
"200013_at" 8767 11613 18145 6511
"200014_s_at" 12479 18310 18583 17628
"200015_s_at" 10821 13651 3073 16858
"200016_x_at" 4103 12731 5794 15113
"200017_at" 4247 7469 7015 15153
"200018_at" 4236 7451 5011 14328
"200019_s_at" 8957 13797 6718 5589
"200020_at" 13880 15109 2196 4741
"200021_at" 2183 14173 19814 10276
"200022_at" 4174 13701 18273 6910
"200023_s_at" 10731 13414 3226 16276
"200024_at" 2242 12286 7620 7712
"200025_s_at" 4234 12362 7029 16883
"200026_at" 4348 7627 19627 15006
"200027_at" 11340 14783 6772 18628
"200028_s_at" 10972 12077 6287 17585
"200029_at" 2753 12167 8144 7971
"200030_s_at" 11334 11987 4650 6076
"200031_s_at" 4229 7439 18436 10211
"200032_s_at" 4251 7472 18121 15656
"200033_at" 11734 14119 5721 15099
"200034_s_at" 2390 11730 18073 3921
"200035_at" 12323 18698 5470 1286
"200036_s_at" 8951 13337 6794 17383
"200037_s_at" 8918 4378 5827 17590
"200038_s_at" 4327 5403 7711 8615
"200039_s_at" 16177 13703 4271 6172
"200040_at" 13665 15656 2965 8590
"200041_s_at" 12091 4486 5354 4628
"200042_at" 17964 20218 7449 7272
"200043_at" 12811 16644 1928 17207
"200044_at" 14745 15833 4616 4925
"200045_at" 13632 14738 6834 7624
"200046_at" 15897 13269 4316 6828
"200047_s_at" 12142 15010 18677 16646
"200048_s_at" 12727 12230 7966 17658
"200049_at" 10079 11530 4001 6001
"200050_at" 10439 18212 5453 18141
"200051_at" 14510 18091 5627 17243
"200052_s_at" 12494 17435 3788 7831
"200053_at" 13814 17710 2119 14555
"200054_at" 15262 3497 17644 15161
"200055_at" 13190 3534 4370 15053
"200056_s_at" 16597 16270 6547 19050
"200057_s_at" 10408 12865 5239 14562
"200058_s_at" 11400 12606 5149 6417
"200059_s_at" 2523 12306 4007 5982
"200060_s_at" 11219 13532 7937 6696
"200061_s_at" 4227 7437 18047 10210
"200062_s_at" 4146 7319 19630 10159
"200063_s_at" 4275 7518 20331 10238
"200064_at" 11237 13731 5147 3049
"200065_s_at" 13197 5434 2477 5891
"200066_at" 13034 16800 2705 4184
"200067_x_at" 10712 4790 5949 16628
"200068_s_at" 9509 4039 4486 7807
"200069_at" 16004 15132 5538 20413
"200070_at" 15175 2589 7426 14948
"200071_at" 13325 4183 8005 16326
"200072_s_at" 16995 13713 7932 4887
"200073_s_at" 9092 14458 8172 17204
"200074_s_at" 2743 4902 4882 6960
"200075_s_at" 19228 14414 4062 6401
"200076_s_at" 18570 14017 6678 5408
"200077_s_at" 2397 13924 7964 8190
"200078_s_at" 17706 19095 2493 16232
"200079_s_at" 14670 12082 2733 8432
"200080_s_at" 2320 13881 6913 16487
"200081_s_at" 8623 14511 6358 2181
"200082_s_at" 4268 7506 17866 4238
"200083_at" 11269 15382 4982 15483
"200084_at" 12012 16382 3239 7956
"200085_s_at" 13993 4581 4776 15552
"200086_s_at" 9311 5104 7793 18833
"200087_s_at" 15549 12222 7664 7557
"200088_x_at" 4155 7327 17810 15104
"200089_s_at" 2350 3259 17848 16505
"200090_at" 11697 15400 20300 17026
"200091_s_at" 2301 14053 7008 14622
"200092_s_at" 4279 12602 6863 8256
"200093_s_at" 12829 12719 7559 17454
"200094_s_at" 8744 3133 19074 5799
"200095_x_at" 4335 7605 19016 10268
"200096_s_at" 13075 17360 5590 1128
"200097_s_at" 13630 11413 4504 8720
"200098_s_at" 11416 15253 6494 18884
"200099_s_at" 4282 7534 19214 7982
"200593_s_at" 20808 18637 18502 5509
"200594_x_at" 9498 12633 6679 4590
"200595_s_at" 11268 13175 7181 16125
"200596_s_at" 16097 16522 2624 5383
"200597_at" 14032 3341 1773 5898
"200598_s_at" 17197 14822 3070 16702
"200599_s_at" 14737 17226 18926 4825
"200600_at" 10600 4064 15837 2395
"200601_at" 13406 2147 20870 16690
"200602_at" 14696 5387 17635 21252
"200603_at" 10562 11797 7536 15072
"200604_s_at" 22167 18998 737 1129
"200605_s_at" 17402 15331 7382 2238
"200606_at" 11158 13005 7438 6479
"200607_s_at" 13693 14722 4655 7514
"200608_s_at" 10558 4532 7329 19014
"200609_s_at" 19850 4703 19829 7351
"200610_s_at" 10020 13825 19412 8559
"200611_s_at" 18686 14104 5822 7063
"200612_s_at" 21531 21394 22153 16822
"200613_at" 16795 12764 5347 6133
"200614_at" 12774 12391 5429 6594
"200615_s_at" 19175 16174 7411 5330
"200616_s_at" 16819 14489 4583 16865
"200617_at" 11178 17444 2825 2320
"200618_at" 12612 4347 5702 5119
"200619_at" 2654 14051 714 3505
"200620_at" 15569 3123 5088 4454
"200621_at" 16719 14498 2260 14970
"200622_x_at" 15838 14549 7462 7948
"200623_s_at" 13489 15991 2557 1173
"200624_s_at" 21273 19332 20038 4812
"200625_s_at" 13183 4526 4493 7583
"200626_s_at" 14662 19673 1412 14234
"200627_at" 11539 5167 6655 4997
"200628_s_at" 16237 20042 2520 5778
"200629_at" 10503 12366 5338 17242
"200630_x_at" 9549 3459 7835 7658
"200631_s_at" 10990 5178 6768 8604
"200632_s_at" 13289 1064 19613 2930
"200633_at" 8920 7436 17981 10209
"200634_at" 12249 13613 5707 2463
