"inst_2201" "inst_3636" "inst_3739" "inst_4295" "inst_4761" "inst_6057"
"1007_s_at" 227 8636 10665 16217 7320 19529
"1053_at" 4775 3690 18643 3398 15684 4905
"117_at" 7929 15498 212 10749 11727 1290
"121_at" 18047 4653 12654 12254 1721 2349
"1255_g_at" 13335 14648 16026 10221 12531 12718
"1294_at" 18727 5061 1555 20926 4239 2152
"1316_at" 9581 21207 10158 11725 21558 1960
"1320_at" 12320 5551 23 18280 2886 19025
"1405_i_at" 4791 16189 13526 8469 11495 16044
"1431_at" 19488 4334 731 17860 1173 21517
"1438_at" 16090 8886 20546 1799 8205 19302
"1487_at" 4871 10912 7517 16841 7409 9464
"1494_f_at" 21234 18912 6110 6322 17 9933
"1598_g_at" 738 21283 20980 11995 3181 20875
"160020_at" 22240 21289 21569 21012 4332 2509
"1729_at" 2231 1777 2314 18669 1996 18986
"1773_at" 20611 21107 18388 2579 19680 5855
"177_at" 16930 195 14446 21786 20679 664
"179_at" 513 4235 6357 3858 753 4673
"1861_at" 17495 19921 18915 15651 21904 10312
"200000_s_at" 16744 17486 11609 19955 7786 17404
"200001_at" 17923 9230 9920 15420 6587 9394
"200002_at" 7427 16877 18354 3385 18832 17145
"200003_s_at" 11517 12678 14541 8012 10801 12706
"200004_at" 8223 9387 11277 16357 17809 10030
"200005_at" 8198 17633 7855 13914 8461 8859
"200006_at" 8561 16765 18510 4468 18513 7921
"200007_at" 16387 9934 19114 4210 16947 18175
"200008_s_at" 19297 4452 12439 13671 8059 4844
"200009_at" 8829 10780 8848 12066 17204 7508
"200010_at" 11675 17377 10907 4890 16018 10695
"200011_s_at" 5424 10091 9249 21090 7881 17977
"200012_x_at" 8972 17747 19172 12454 18155 16927
"200013_at" 8447 10973 18872 3936 15195 10830
"200014_s_at" 8481 18660 9143 4763 16636 4701
"200015_s_at" 3245 10578 18636 16682 19468 10583
"200016_x_at" 11874 9839 11209 6257 7648 17601
"200017_at" 11576 12783 14638 8119 10949 12783
"200018_at" 11800 12774 14633 8112 17943 12777
"200019_s_at" 8621 18886 12587 4322 16624 17980
"200020_at" 4566 7048 10835 15966 6525 10355
"200021_at" 8701 12891 14727 8225 11096 12872
"200022_at" 11801 12695 11470 4723 8450 12719
"200023_s_at" 7141 18651 19043 13542 15850 17012
"200024_at" 9363 18161 12827 4665 14859 18034
"200025_s_at" 11683 12772 11520 4227 18946 18389
"200026_at" 11886 12895 18675 4831 15695 12875
"200027_at" 8949 10886 18788 6262 18219 9588
"200028_s_at" 17480 18394 6184 17502 4982 10197
"200029_at" 11693 10561 19244 5840 7539 8603
"200030_s_at" 18279 16912 12570 11941 16470 17037
"200031_s_at" 11643 12767 14618 8100 10919 12771
"200032_s_at" 11850 12787 12351 5054 16290 12785
"200033_at" 5710 7294 11709 16902 20409 10390
"200034_s_at" 8158 12683 18472 11988 7361 10499
"200035_at" 5498 16569 7474 17863 7388 4654
"200036_s_at" 18025 19037 19292 5537 17795 8976
"200037_s_at" 5285 8361 9410 3483 17108 8564
"200038_s_at" 11815 12870 19799 5913 17071 12854
"200039_s_at" 8794 9926 11978 14095 18099 16872
"200040_at" 8504 16653 6961 13151 16373 9752
"200041_s_at" 9133 9975 10594 17838 2901 16800
"200042_at" 8209 8737 10126 15217 16040 18808
"200043_at" 2776 7860 4382 13424 4207 8883
"200044_at" 5978 7128 11311 13613 6824 9410
"200045_at" 17203 7756 11186 16485 4705 8678
"200046_at" 2795 8102 12696 12864 16201 17339
"200047_s_at" 6972 18314 12087 13072 17626 7944
"200048_s_at" 6197 17472 12558 16474 16096 10951
"200049_at" 4487 7456 7997 12595 8339 19802
"200050_at" 2892 9441 4886 13392 6216 17386
"200051_at" 16737 17511 5300 11830 5482 6003
"200052_s_at" 17827 9121 9852 12336 8735 6322
"200053_at" 20704 21595 8337 21697 21433 6453
"200054_at" 7791 10453 11387 3137 21000 7860
"200055_at" 17481 17541 10111 13400 19624 9649
"200056_s_at" 2987 16743 12224 13579 15196 6910
"200057_s_at" 8950 9445 9142 16363 16085 11027
"200058_s_at" 7660 18391 8024 16606 6679 16467
"200059_s_at" 8894 8425 18795 5472 4277 7687
"200060_s_at" 16410 7386 9434 14756 18050 6355
"200061_s_at" 11920 12765 14617 8099 10918 12769
"200062_s_at" 11574 12663 14528 7996 10787 12693
"200063_s_at" 11880 12819 14661 8152 10995 12809
"200064_at" 17058 7737 11972 17558 15483 18020
"200065_s_at" 17371 7666 12702 17002 15862 18024
"200066_at" 20053 5831 3770 16335 3126 6249
"200067_x_at" 9293 10989 10967 15401 6864 7675
"200068_s_at" 8372 18173 8087 12237 3949 17437
"200069_at" 18407 3135 8560 13793 1562 16905
"200070_at" 2898 17721 3887 13912 6214 11063
"200071_at" 3190 6888 11080 2555 15808 17588
"200072_s_at" 9555 16778 7913 18746 8451 5926
"200073_s_at" 5364 8783 10943 12637 7486 9179
"200074_s_at" 7749 10772 10140 5462 16155 10080
"200075_s_at" 17634 10386 11185 12999 8535 5770
"200076_s_at" 17082 4390 5792 18535 15033 7555
"200077_s_at" 16690 17133 18284 5276 15134 10577
"200078_s_at" 9409 16567 18355 5988 17904 10512
"200079_s_at" 19263 10678 9796 15669 18123 9738
"200080_s_at" 5343 9363 19240 3776 8412 17804
"200081_s_at" 16764 9716 11876 5585 16865 10692
"200082_s_at" 11837 12808 19246 5283 16263 12801
"200083_at" 6119 11058 5901 12563 19250 17370
"200084_at" 8179 17695 5490 17080 5409 8846
"200085_s_at" 9297 18127 18961 5650 4834 8604
"200086_s_at" 18539 19026 18848 3813 15319 10268
"200087_s_at" 4399 4719 6264 13788 5839 6976
"200088_x_at" 11754 12672 14537 4433 10797 12703
"200089_s_at" 9186 17470 19360 4766 16726 10078
"200090_at" 7222 3590 19345 5994 18673 6452
"200091_s_at" 6423 12712 12362 5456 18720 18759
"200092_s_at" 11520 12828 18775 3549 4988 17287
"200093_s_at" 6104 17794 20371 5147 18942 17225
"200094_s_at" 5882 8651 20479 13928 5025 18571
"200095_x_at" 11558 12880 14718 8217 11083 12863
"200096_s_at" 18537 17502 18422 4481 20428 18387
"200097_s_at" 4963 6751 10291 14896 2764 19889
"200098_s_at" 8641 10565 10532 13662 20194 17000
"200099_s_at" 11670 12833 19242 11945 11015 12817
"200593_s_at" 8051 9879 7062 3745 6465 4672
"200594_x_at" 6634 10351 10150 12712 8656 9693
"200595_s_at" 4994 17146 6503 17737 16264 17085
"200596_s_at" 5785 10778 4788 16649 6243 18722
"200597_at" 4560 9064 10928 15922 1746 2167
"200598_s_at" 6026 9115 10443 1685 16101 9073
"200599_s_at" 7212 6601 7183 12361 7618 10829
"200600_at" 8282 13745 9399 18892 16869 16311
"200601_at" 17655 3757 6161 21446 20625 8035
"200602_at" 17357 19324 19827 12722 21451 4575
"200603_at" 4284 16755 7173 12770 15719 6816
"200604_s_at" 7360 5849 7417 18583 15919 5322
"200605_s_at" 5139 5820 3982 14387 17256 6625
"200606_at" 21804 18699 20225 15427 18995 5299
"200607_s_at" 16524 7269 19731 3285 7419 4220
"200608_s_at" 5167 16828 10380 5329 15644 9802
"200609_s_at" 17127 6198 19138 20363 16857 17450
"200610_s_at" 6389 9048 9078 16200 1497 9478
"200611_s_at" 9440 9019 9575 4241 16890 9209
"200612_s_at" 17455 3506 21593 12750 21511 2459
"200613_at" 17635 19559 9525 17234 6680 9477
"200614_at" 8617 17729 10208 13152 16306 16986
"200615_s_at" 17642 9060 12266 5124 16553 5220
"200616_s_at" 17479 16886 8985 1995 6645 6784
"200617_at" 6798 10444 5705 20147 7151 18407
"200618_at" 3508 17042 10547 20381 8107 16839
"200619_at" 18041 19950 20188 17700 3872 6513
"200620_at" 8148 18796 3630 17278 6090 8687
