"inst_1308" "inst_3245" "inst_3986" "inst_4105"
"1007_s_at" 1849 11411 16039 13234
"1053_at" 20868 13678 6707 14540
"117_at" 14518 7861 11803 340
"121_at" 15405 14886 15383 4364
"1255_g_at" 9647 2953 10806 8159
"1294_at" 18635 15969 17873 13874
"1316_at" 14027 11797 21716 17757
"1320_at" 8505 5903 3985 15093
"1405_i_at" 1537 4874 21734 98
"1431_at" 9558 6059 14107 19302
"1438_at" 6078 21797 16693 16068
"1487_at" 16984 14883 19167 4619
"1494_f_at" 4320 13354 5126 20028
"1598_g_at" 1335 20776 19604 2962
"160020_at" 1808 1570 2847 18145
"1729_at" 3572 18845 15435 19300
"1773_at" 21100 21986 931 14370
"177_at" 21446 8464 12702 20065
"179_at" 1235 18905 50 14613
"1861_at" 2205 19251 5372 18394
"200000_s_at" 14409 11818 1097 19051
"200001_at" 4265 20200 12473 19702
"200002_at" 4372 2259 2570 3392
"200003_s_at" 2880 2140 8279 4744
"200004_at" 2822 10275 6671 3598
"200005_at" 15526 13155 13632 12178
"200006_at" 15814 16113 6290 4786
"200007_at" 14700 15121 3469 2851
"200008_s_at" 17484 21993 4279 17758
"200009_at" 16138 11930 12454 12198
"200010_at" 3904 11288 2025 13529
"200011_s_at" 14322 14634 15699 4201
"200012_x_at" 3519 1336 14442 14471
"200013_at" 16123 12057 4593 14774
"200014_s_at" 16769 12396 16822 11510
"200015_s_at" 17741 11990 14860 4608
"200016_x_at" 14115 10174 6165 2451
"200017_at" 14339 5028 8358 6884
"200018_at" 14566 5003 8353 6873
"200019_s_at" 2513 10198 4831 2384
"200020_at" 21454 10895 19643 4773
"200021_at" 17238 5273 8431 7021
"200022_at" 3764 11162 3012 11237
"200023_s_at" 15360 17226 5928 13791
"200024_at" 3135 11253 4472 12809
"200025_s_at" 3664 2257 4434 2057
"200026_at" 3200 2302 12989 12350
"200027_at" 18104 15504 6349 4616
"200028_s_at" 18297 11479 18017 19875
"200029_at" 17118 11434 13078 3429
"200030_s_at" 15407 11880 13967 4231
"200031_s_at" 14065 4983 8347 6862
"200032_s_at" 4396 5035 14988 6888
"200033_at" 17553 12124 13402 2309
"200034_s_at" 15135 1314 3780 17416
"200035_at" 2975 293 4396 16656
"200036_s_at" 3042 11242 3255 2586
"200037_s_at" 4089 11915 15224 2114
"200038_s_at" 14044 2292 12398 3962
"200039_s_at" 19299 15851 5472 2666
"200040_at" 15073 11402 14037 11617
"200041_s_at" 15081 19085 14669 16999
"200042_at" 17887 15391 13162 4490
"200043_at" 17838 14505 4926 13087
"200044_at" 3932 17148 13628 11737
"200045_at" 2384 13006 16308 15114
"200046_at" 16957 15087 5378 5012
"200047_s_at" 14897 10601 14819 2235
"200048_s_at" 15070 16048 6289 2215
"200049_at" 17084 15495 4894 13783
"200050_at" 18465 16502 14483 13770
"200051_at" 2541 12218 14659 17114
"200052_s_at" 3673 18078 3881 12796
"200053_at" 21909 20375 1740 14044
"200054_at" 18352 11202 15987 17868
"200055_at" 16154 14891 3649 4850
"200056_s_at" 18582 20981 2931 3063
"200057_s_at" 3793 11591 13497 3591
"200058_s_at" 15226 14923 3425 12212
"200059_s_at" 16628 18722 3407 14166
"200060_s_at" 16197 13419 15163 19970
"200061_s_at" 14713 4981 8346 6860
"200062_s_at" 3663 4783 8269 6730
"200063_s_at" 14706 5113 8379 6922
"200064_at" 15887 12660 12481 15682
"200065_s_at" 15434 18660 3691 18184
"200066_at" 2164 18298 15959 2337
"200067_x_at" 15971 18534 16507 3048
"200068_s_at" 17369 2293 12743 3015
"200069_at" 19408 12419 6450 11431
"200070_at" 22182 2212 19208 4562
"200071_at" 21847 17360 4016 3436
"200072_s_at" 17308 15423 12841 14606
"200073_s_at" 14915 15455 13250 2593
"200074_s_at" 2204 13500 14518 3677
"200075_s_at" 2263 20945 5097 15047
"200076_s_at" 2213 19859 5297 14563
"200077_s_at" 14745 11435 3527 3166
"200078_s_at" 18106 20252 5935 12242
"200079_s_at" 2809 18104 14411 12824
"200080_s_at" 14203 2261 13203 3331
"200081_s_at" 14521 11481 3775 19303
"200082_s_at" 14694 11454 4097 16060
"200083_at" 17494 13403 5757 3763
"200084_at" 19187 16762 12352 11712
"200085_s_at" 18496 13728 3713 14535
"200086_s_at" 17579 13516 12760 3707
"200087_s_at" 19431 14757 17567 4577
"200088_x_at" 4033 4801 4715 6744
"200089_s_at" 3592 10586 5734 2544
"200090_at" 16865 14489 18849 2905
"200091_s_at" 2933 10535 3046 1589
"200092_s_at" 2719 1238 5817 4214
"200093_s_at" 17922 12196 4044 1753
"200094_s_at" 1912 14176 16118 13102
"200095_x_at" 4326 5252 8421 7008
"200096_s_at" 20301 19436 3423 20260
"200097_s_at" 3297 10998 15058 4564
"200098_s_at" 16056 15833 15793 13653
"200099_s_at" 3476 5133 6690 6939
"200593_s_at" 14408 14717 6408 20017
"200594_x_at" 14231 10207 4853 12201
"200595_s_at" 18035 13517 13731 3450
"200596_s_at" 1644 10461 13651 3546
"200597_at" 19018 13596 4110 11742
"200598_s_at" 17555 20896 16557 17289
"200599_s_at" 2333 1945 5200 13832
"200600_at" 17573 6457 4568 10596
"200601_at" 1138 16005 1126 975
"200602_at" 4224 18491 14003 1065
"200603_at" 3697 13963 16231 4526
"200604_s_at" 20609 16674 12746 13116
"200605_s_at" 15231 18925 6684 13120
"200606_at" 9596 15304 18559 2439
"200607_s_at" 14963 18636 12799 21187
"200608_s_at" 14066 12779 5822 12603
"200609_s_at" 18812 14449 19828 1455
"200610_s_at" 14727 10171 4904 2386
"200611_s_at" 17742 19337 3690 14915
"200612_s_at" 21779 1542 13476 20705
"200613_at" 2650 20496 6312 3182
"200614_at" 15913 10439 12944 4855
"200615_s_at" 14931 19397 4027 16256
"200616_s_at" 18479 17341 15129 19751
"200617_at" 18557 10470 5393 18722
"200618_at" 3947 14225 4605 14042
"200619_at" 2981 10228 17208 2144
"200620_at" 15500 16030 12671 17316
"200621_at" 17746 15527 13434 3387
"200622_x_at" 477 20605 19423 15777
"200623_s_at" 18968 566 21016 16464
"200624_s_at" 14923 16123 3068 12821
"200625_s_at" 3047 11861 15778 4124
"200626_s_at" 3745 13456 16268 3323
"200627_at" 17442 11883 6468 12944
"200628_s_at" 20070 21640 2768 18734
"200629_at" 18699 18730 16150 16426
"200630_x_at" 3372 801 13844 3708
"200631_s_at" 19356 10631 12818 2435
"200632_s_at" 2493 1180 15310 15743
"200633_at" 2905 4980 8345 4892
"200634_at" 4193 12379 1673 19384
"200635_s_at" 11823 14158 2846 17198
"200636_s_at" 13135 1161 14284 11211
"200637_s_at" 7872 20517 2232 21598
"200638_s_at" 20158 14118 5815 3424
"200639_s_at" 3649 10740 2276 3550
"200640_at" 18130 10574 3259 14936
"200641_s_at" 21292 21775 13097 16218
"200642_at" 18593 12995 4736 4651
"200643_at" 1087 11474 6088 12764
"200644_at" 21603 12166 15462 2553
"200645_at" 16773 18637 5722 13616
"200646_s_at" 14776 16207 4328 20766
"200647_x_at" 15302 14948 2639 2453
"200648_s_at" 20114 20039 3366 20161
"200649_at" 668 359 1249 16568
"200650_s_at" 3109 11720 8238 11140
"200651_at" 3407 13228 1899 15133
"200652_at" 14046 18628 2888 11205
"200653_s_at" 2725 777 3467 1793
"200654_at" 3763 15081 5246 3422
"200655_s_at" 16265 1295 12367 13598
"200656_s_at" 3196 21824 3679 13586
"200657_at" 15152 2012 12430 2754
"200658_s_at" 18724 20785 2610 21075
"200659_s_at" 21772 20241 15039 21509
"200660_at" 2310 12258 4003 11985
"200661_at" 15984 13736 3572 19927
"200662_s_at" 17282 15102 18647 4186
"200663_at" 15568 10791 14595 3373
"200664_s_at" 770 22085 16470 4537
"200665_s_at" 5171 5591 7022 10805
"200666_s_at" 16200 18761 12577 16288
"200667_at" 18572 14370 19175 3792
"200668_s_at" 17147 14338 14828 13704
"200669_s_at" 16089 18473 15205 19141
"200670_at" 4402 13519 13585 1272
"200671_s_at" 8771 12927 5939 21831
"200672_x_at" 15441 19987 2708 3158
"200673_at" 20314 15733 5492 4278
"200674_s_at" 3540 1894 13804 13240
"200675_at" 19113 14268 3445 14565
"200676_s_at" 15726 16950 21150 19627
"200677_at" 19979 18438 14806 14655
"200678_x_at" 16889 20947 13487 15684
"200679_x_at" 14151 12222 3570 12811
"200680_x_at" 14227 1475 5300 4287
"200681_at" 2185 15491 15902 2699
"200682_s_at" 2731 17994 3822 17334
"200683_s_at" 2681 15269 18874 17155
"200684_s_at" 2422 18981 13461 1419
"200685_at" 15736 10959 19053 3010
"200686_s_at" 15315 21219 16210 12581
"200687_s_at" 15023 13572 15841 16108
"200688_at" 3347 45 18956 14272
"200689_x_at" 3672 11579 6445 12815
"200690_at" 14186 11410 15895 16111
"200691_s_at" 20629 12346 6644 14470
"200692_s_at" 16830 18099 1904 19016
"200693_at" 14331 17441 5594 3363
"200694_s_at" 17292 12174 14504 15357
"200695_at" 19136 20910 16227 20446
"200696_s_at" 16325 648 18218 14226
"200697_at" 19216 18861 6473 14544
"200698_at" 16488 12792 5836 13013
