"inst_2731" "inst_3472" "inst_5875" "inst_7229"
"1007_s_at" 7144 20021 4667 18606
"1053_at" 8072 4838 3554 17141
"117_at" 8503 15179 13952 12607
"121_at" 19325 17295 20700 4166
"1255_g_at" 14102 10517 12874 8854
"1294_at" 5757 3163 14866 8140
"1316_at" 800 468 2034 21157
"1320_at" 10664 11901 7967 7335
"1405_i_at" 8836 15158 7912 13950
"1431_at" 3252 3808 736 200
"1438_at" 11369 21666 9936 5251
"1487_at" 10274 19172 19604 16297
"1494_f_at" 21502 14992 794 8409
"1598_g_at" 2272 17130 16292 16418
"160020_at" 21681 2975 3670 4843
"1729_at" 9717 21875 15928 18221
"1773_at" 364 17439 6558 1062
"177_at" 3299 8127 14134 4806
"179_at" 21744 21257 2786 22104
"1861_at" 17582 19678 20347 3023
"200000_s_at" 7634 20671 16684 20863
"200001_at" 7272 18038 17109 6037
"200002_at" 18326 5006 6698 15106
"200003_s_at" 12125 7541 17934 6082
"200004_at" 9984 16168 18268 16642
"200005_at" 8491 17118 16575 17975
"200006_at" 8875 5640 7078 14611
"200007_at" 10179 19916 14527 3493
"200008_s_at" 18322 17916 19633 3434
"200009_at" 7776 5415 3563 5200
"200010_at" 12127 5781 16023 4065
"200011_s_at" 17727 19105 5505 19069
"200012_x_at" 12084 6493 5228 6098
"200013_at" 12046 3648 7045 5668
"200014_s_at" 5418 6070 7726 18164
"200015_s_at" 18835 4419 18020 16810
"200016_x_at" 12045 18879 16586 16872
"200017_at" 12233 4702 15893 6469
"200018_at" 12227 17048 6345 4259
"200019_s_at" 12194 5884 15020 6184
"200020_at" 19480 21190 5429 15513
"200021_at" 12346 6116 16770 16007
"200022_at" 12142 7414 17353 5183
"200023_s_at" 16982 7403 17411 14440
"200024_at" 12197 6551 6813 4927
"200025_s_at" 12226 6596 15339 16317
"200026_at" 12349 6953 5997 6485
"200027_at" 9684 16202 6650 17523
"200028_s_at" 9635 16155 16829 18020
"200029_at" 12179 5310 7182 15400
"200030_s_at" 8162 6776 15798 6417
"200031_s_at" 12216 5715 6495 14260
"200032_s_at" 12236 5614 3487 3154
"200033_at" 17294 7405 6707 6048
"200034_s_at" 12132 3047 2951 4540
"200035_at" 10404 2457 3673 20112
"200036_s_at" 12117 6819 6409 14193
"200037_s_at" 18753 16764 16165 15737
"200038_s_at" 12321 5657 5286 6381
"200039_s_at" 9240 3988 5837 1451
"200040_at" 7933 7320 7155 5373
"200041_s_at" 3522 4993 14938 6065
"200042_at" 7876 16585 20204 17214
"200043_at" 9358 17374 17872 18425
"200044_at" 18455 6684 4392 5228
"200045_at" 6820 6382 7568 6260
"200046_at" 17075 17891 17148 14686
"200047_s_at" 19103 6305 19207 3849
"200048_s_at" 16355 15942 14693 15021
"200049_at" 7681 17911 20416 20491
"200050_at" 18042 18152 16846 2117
"200051_at" 7970 4647 16455 14174
"200052_s_at" 8207 5804 18774 16482
"200053_at" 10287 3000 17485 3256
"200054_at" 7846 2804 4548 18465
"200055_at" 8189 18220 16651 3980
"200056_s_at" 9128 6246 20986 19418
"200057_s_at" 16367 7238 14461 14573
"200058_s_at" 3574 16088 15491 18810
"200059_s_at" 6599 5146 19635 15622
"200060_s_at" 7684 17817 15063 4885
"200061_s_at" 12214 5168 4654 14443
"200062_s_at" 12113 5203 6631 5421
"200063_s_at" 12267 6569 5265 14163
"200064_at" 17848 7328 5191 5137
"200065_s_at" 7832 18339 6240 5865
"200066_at" 18243 19799 4926 14805
"200067_x_at" 8034 7118 6953 16460
"200068_s_at" 17939 19082 6802 17780
"200069_at" 2220 17609 19476 20364
"200070_at" 19708 5554 3953 16235
"200071_at" 7721 17141 19343 18168
"200072_s_at" 9980 16996 15948 16245
"200073_s_at" 7636 3943 6856 18142
"200074_s_at" 10072 15816 15771 5636
"200075_s_at" 3436 4318 6007 4781
"200076_s_at" 4874 3803 15102 18725
"200077_s_at" 17483 6450 16475 6428
"200078_s_at" 17971 20763 19282 6322
"200079_s_at" 3439 17488 17252 4979
"200080_s_at" 18415 6251 15940 17884
"200081_s_at" 18464 6065 6854 15046
"200082_s_at" 12253 4281 5622 14413
"200083_at" 10029 19821 18762 19070
"200084_at" 9558 17769 17430 17018
"200085_s_at" 18301 15600 7578 14402
"200086_s_at" 16677 7236 7469 15712
"200087_s_at" 3556 4388 6168 20104
"200088_x_at" 12121 5309 5483 6431
"200089_s_at" 12299 7337 14701 14919
