"inst_2937" "inst_4220" "inst_4804" "inst_7357"
"1007_s_at" 21351 8252 11881 4766
"1053_at" 4571 5725 10703 8776
"117_at" 18797 15983 9833 13549
"121_at" 7929 8292 10104 3714
"1255_g_at" 10952 12559 11709 13807
"1294_at" 3585 2330 19774 1499
"1316_at" 102 22123 9749 380
"1320_at" 15229 14989 16043 13441
"1405_i_at" 8925 19642 17593 16668
"1431_at" 19078 21707 21937 2889
"1438_at" 11427 18787 21206 21214
"1487_at" 19780 8382 9101 1133
"1494_f_at" 4676 683 21754 15529
"1598_g_at" 601 5164 21601 2466
"160020_at" 19779 7558 12533 34
"1729_at" 21313 3914 6600 849
"1773_at" 21731 6850 500 21025
"177_at" 8258 1829 8447 17102
"179_at" 21886 21912 21427 458
"1861_at" 7478 16796 7714 3744
"200000_s_at" 17704 9023 21220 3196
"200001_at" 6113 6141 11535 10667
"200002_at" 8237 18173 19754 10228
"200003_s_at" 12205 18597 19711 10146
"200004_at" 8207 7797 5009 9826
"200005_at" 17059 8634 12482 8067
"200006_at" 5537 10454 11281 8249
"200007_at" 9716 10678 9551 10819
"200008_s_at" 8299 17101 754 21231
"200009_at" 17717 11067 10139 19543
"200010_at" 17097 11017 19808 18883
"200011_s_at" 7156 4519 9759 4634
"200012_x_at" 17417 17872 21453 19169
"200013_at" 8462 18182 12593 9885
"200014_s_at" 4741 17384 6671 10974
"200015_s_at" 4784 8518 6009 7119
"200016_x_at" 7771 16249 11645 6545
"200017_at" 9721 13574 11960 9304
"200018_at" 12327 18050 12003 19192
"200019_s_at" 8552 17232 12897 10743
"200020_at" 9149 10033 10639 9108
"200021_at" 7903 13608 15473 21115
"200022_at" 18788 21209 20896 20503
"200023_s_at" 6728 7616 11633 10841
"200024_at" 17075 10716 12376 19594
"200025_s_at" 7607 17238 12209 9257
"200026_at" 12483 19109 20166 19724
"200027_at" 18031 17990 7011 7303
"200028_s_at" 17869 11035 11646 6382
"200029_at" 18148 9799 11640 10677
"200030_s_at" 16996 6670 9402 10238
"200031_s_at" 12309 13570 20468 19843
"200032_s_at" 12344 16720 20610 19805
"200033_at" 17469 9958 8842 8930
"200034_s_at" 17419 5771 11463 20168
"200035_at" 6011 6962 8773 3605
"200036_s_at" 7551 16864 12473 10034
"200037_s_at" 3348 18372 7135 6333
"200038_s_at" 12461 17721 12564 10569
"200039_s_at" 6572 9243 11490 10477
"200040_at" 9151 11052 7575 10450
"200041_s_at" 17100 4687 11621 9483
