"inst_3030" "inst_3368" "inst_5389" "inst_6289"
"1007_s_at" 1044 3102 6166 4371
"1053_at" 18743 21588 7373 14226
"117_at" 18424 6768 12936 5781
"121_at" 16614 3376 6341 14310
"1255_g_at" 6138 9379 15223 9657
"1294_at" 13567 17427 19852 682
"1316_at" 19350 19474 18852 12919
"1320_at" 1289 18961 19384 6062
"1405_i_at" 15899 7424 15859 11667
"1431_at" 665 16923 2868 2069
"1438_at" 6452 17162 21705 14560
"1487_at" 19020 15406 4556 12414
"1494_f_at" 21899 19327 4731 21925
"1598_g_at" 22113 2906 18674 14723
"160020_at" 21979 1586 20060 21077
"1729_at" 19294 15658 5305 2718
"1773_at" 2361 19658 9446 300
"177_at" 3389 10930 13020 7893
"179_at" 1198 17280 5292 6
"1861_at" 2786 17355 5171 1275
"200000_s_at" 12405 13251 10056 19536
"200001_at" 12151 14953 17573 12601
"200002_at" 3673 13433 9020 3214
"200003_s_at" 5186 7783 10033 3995
"200004_at" 17018 17040 2597 2543
"200005_at" 10979 12670 16921 4284
"200006_at" 10551 3686 16997 4191
"200007_at" 11342 15123 8985 16366
"200008_s_at" 16142 19765 8704 18926
"200009_at" 10818 14112 9345 14048
"200010_at" 9535 14678 6190 4071
"200011_s_at" 16956 4232 4342 2899
"200012_x_at" 2487 4943 20075 12770
"200013_at" 2948 5358 17815 12077
"200014_s_at" 13266 12721 17386 14669
"200015_s_at" 11773 14757 8632 13702
"200016_x_at" 5134 13832 8078 3818
"200017_at" 5270 7910 17041 4099
"200018_at" 5261 7898 12191 2444
"200019_s_at" 3563 13281 10080 13858
"200020_at" 12283 15221 17020 16227
"200021_at" 9877 13998 17425 6965
"200022_at" 5200 13728 18171 2410
"200023_s_at" 12969 14040 17588 3618
"200024_at" 3079 14259 18241 3123
"200025_s_at" 5259 14382 9876 2901
"200026_at" 5363 8068 7124 3265
"200027_at" 12239 15193 18712 16008
"200028_s_at" 14164 13835 5574 14108
"200029_at" 3720 4723 20292 4229
