"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"1007_s_at" 5987 16572 19219 5933 17810 20986 15226 18821 19658 5467 19034 16519 18963 11410 19863
"1053_at" 20187 17025 6899 18101 18381 17353 15537 20822 20597 4485 20913 20369 17702 19101 16607
"117_at" 5 4 2 2 2 2 1736 5 2 690 4 2 2 866 3
"121_at" 7550 14624 20536 4121 20707 19264 1783 6875 19345 6591 17494 15513 16408 4421 1071
"1255_g_at" 14539 10767 12874 9299 8096 9523 4986 7864 7804 13426 9958 8498 10970 14741 5773
"1294_at" 18024 3683 15982 14726 9349 14321 17071 2128 9689 5842 9145 16128 2724 9180 11792
"1316_at" 21456 16362 11822 11784 9762 13257 18990 1700 7073 22103 17861 20912 22042 21068 4978
"1320_at" 20096 14075 10078 8634 9314 14637 9444 9999 9267 10255 1516 5277 18263 12495 11090
"1405_i_at" 15621 9751 17318 12585 4768 15071 3137 12502 8579 16020 11053 7255 11984 18032 9199
"1431_at" 14746 12389 13474 7750 7834 7622 16831 17479 10101 8013 20946 18545 4412 19035 10831
"1438_at" 2038 1151 3435 425 1866 1630 10129 2123 1931 13276 17027 1897 928 845 1179
"1487_at" 20815 20310 20241 21068 21372 3828 22040 21272 21914 7801 16297 21224 20287 18021 22185
"1494_f_at" 4302 5468 14875 10899 8955 15169 14597 3025 6890 19034 21459 15974 14513 11982 9126
"1598_g_at" 17494 5201 21823 20938 19637 17964 577 21752 2529 21281 6365 6966 21413 20312 15202
"160020_at" 9268 20791 13209 12230 9227 14083 10872 16677 6462 3738 19406 3148 994 7683 1413
"1729_at" 3112 20008 18957 20186 21393 2203 1692 15765 3525 8811 9704 5399 17459 9333 20076
"1773_at" 2862 17964 19286 21785 18406 20062 13593 5398 1416 4408 18179 15292 18916 7341 8726
"177_at" 11949 12486 14351 12443 10652 12661 3528 10840 8924 3140 17967 2462 13917 2816 11466
"179_at" 17124 14531 21453 16583 648 4900 4019 20463 935 2973 20811 16258 2535 3537 111
"1861_at" 18086 16366 19521 15600 13407 21292 20648 16925 15290 6678 9049 18059 3440 3744 13084
"200000_s_at" 7149 15567 6956 4063 14218 16123 2944 17091 1381 15920 5196 2850 6122 5369 17274
"200001_at" 17194 13981 6458 3138 17961 16880 14150 6323 13709 8732 8301 16180 12874 10432 13378
"200002_at" 17928 13612 18635 16359 13618 15821 13885 6879 16527 8333 17284 14954 14540 10528 15279
"200003_s_at" 9083 13489 12525 17110 7177 3164 4379 15982 13371 11321 11322 6354 6161 14155 13363
"200004_at" 7069 16750 18860 15964 14885 18140 17296 15775 16615 9104 8222 6397 12892 9921 16482
"200005_at" 18864 16448 8131 17236 17731 19422 15323 15453 15923 17358 17450 17758 17732 11048 17286
"200006_at" 8081 3933 7573 5874 14152 3869 17110 5177 14430 9007 8354 6833 4616 10411 14317
"200007_at" 6984 2359 5137 4589 13612 17765 4088 4770 3927 7073 9494 7327 6253 6287 13740
"200008_s_at" 8067 14464 6249 17644 3959 18039 3133 15599 18321 8632 20183 17781 13745 5078 14255
"200009_at" 9183 13847 9241 16091 14007 16948 3617 17247 15768 16602 16382 17274 15152 7507 15177
"200010_at" 17532 4102 18767 16182 2764 3936 3588 6193 14658 11323 6328 6675 6534 14157 13449
"200011_s_at" 8827 15114 7234 2841 17669 18916 19745 17548 17373 17620 15622 16091 14958 18369 16991
"200012_x_at" 8499 16622 18605 15629 13698 4323 4166 18553 14603 11284 17589 16911 14299 14120 2049
"200013_at" 17923 5240 8398 17679 14310 2729 14110 6338 16321 8506 9680 7056 14445 12413 13090
"200014_s_at" 2642 4581 18645 5776 14427 4135 15449 7233 15273 8757 9057 7140 5244 8071 16155
"200015_s_at" 8655 14604 6839 3948 16429 19189 18973 5619 15372 7739 7867 6802 16352 8817 18393
"200016_x_at" 7153 5742 19200 15803 4069 16945 14706 15462 3874 11265 15628 6957 6404 14095 13450
"200017_at" 19121 5287 12551 16396 7314 15800 14295 5928 13532 11401 11411 10094 8542 14256 14097
"200018_at" 17336 14399 19567 16181 2761 18229 15552 15833 14489 11391 11404 5857 8528 14245 12398
"200019_s_at" 20601 16310 8999 5586 13032 15657 16918 15898 15193 11363 9348 4787 12924 14219 13085
"200020_at" 7053 16222 7130 3443 16373 3965 17503 6713 3396 9456 16658 16838 5597 10310 13934
"200021_at" 17736 16504 12333 5810 6991 2061 17470 6186 3217 15350 11497 16093 8676 14345 12274
"200022_at" 17938 5602 12301 5512 13456 15955 3959 4500 13427 11333 9509 7371 6131 14172 12022
"200023_s_at" 7114 4898 5046 4238 14669 2089 15631 16407 13909 6542 8504 5827 4710 6405 14918
"200024_at" 18119 4274 19194 17248 13959 4327 13601 16275 3945 11365 16095 15898 5909 14221 12018
"200025_s_at" 18800 13992 19429 17704 3562 4344 15157 6706 14986 11389 9475 6268 14161 14244 12915
"200026_at" 20550 17514 19702 5723 13437 18034 15144 6329 15135 11490 11502 6410 8683 18193 12213
"200027_at" 4868 13691 5689 5902 4050 15946 18526 17608 3549 18394 9256 6117 5313 19271 17713
"200028_s_at" 6782 19604 9233 17488 16170 19201 20261 15921 13777 19151 19899 16466 18006 11437 16750
"200029_at" 19338 5732 18882 16325 3351 2421 2282 17659 3519 11352 16830 17800 6139 14206 14236
"200030_s_at" 6094 15028 9398 16619 3976 4353 14034 7426 14829 8896 16063 7433 13176 11875 13264
"200031_s_at" 19015 16322 12519 16165 7299 15894 3955 15443 13269 11382 11398 15181 8519 14240 12118
"200032_s_at" 9314 3931 12914 16584 7182 17384 13826 7133 14302 11404 11414 15309 8545 14259 12019
"200033_at" 16745 21388 21628 20425 20410 21199 20164 19331 20978 17888 18187 21071 19850 20012 21510
"200034_s_at" 7490 4307 19705 15981 13671 18168 14457 5296 13929 8014 8833 5810 13450 11759 12353
"200035_at" 21461 4582 6432 2182 15625 15829 292 18460 19382 20929 7788 3274 13506 21647 14900
"200036_s_at" 19447 4278 7270 5882 2946 16489 14973 16039 3741 8917 16582 6484 13136 14148 12654
"200037_s_at" 5745 4429 9456 16647 14412 15750 16888 3669 13762 7784 9267 5621 5659 8413 17581
"200038_s_at" 8410 4756 20096 17914 13168 3297 13915 6911 13554 11472 15502 15012 13977 14324 12680
"200039_s_at" 7817 13767 5625 15826 1831 3536 17339 4554 14338 7084 15091 6641 4553 7462 12978
"200040_at" 5904 14699 6546 4469 15644 15972 15109 15287 14206 3908 17305 3346 5332 2740 14787
"200041_s_at" 19258 18216 8688 17826 17811 19802 18361 19204 19213 19637 15318 19691 18583 18482 18349
"200042_at" 8514 20867 5314 16502 16536 19293 16617 16857 19819 9097 15886 16586 14272 7248 17224
