"inst_1430" "inst_2113" "inst_2277" "inst_5069" "inst_5488"
"1007_s_at" 2714 3926 13751 19023 6924
"1053_at" 3522 19634 20941 18231 4033
"117_at" 17375 11437 7772 10385 10388
"121_at" 20821 17069 20438 19164 6145
"1255_g_at" 9982 10672 10278 11640 9815
"1294_at" 19755 9898 21971 12280 3287
"1316_at" 101 429 6870 21679 21564
"1320_at" 6145 14782 9895 1605 14087
"1405_i_at" 20013 6593 10389 10804 16084
"1431_at" 6032 3886 22042 20279 19964
"1438_at" 4626 1404 17548 21480 7695
"1487_at" 18366 1965 18938 14337 7047
"1494_f_at" 1247 19156 19888 7070 21160
"1598_g_at" 19963 5363 1819 5740 2803
"160020_at" 19126 1255 1052 21469 22256
"1729_at" 2129 20047 20228 7301 8875
"1773_at" 21016 20057 15420 21959 2573
"177_at" 1683 14215 238 2251 14656
"179_at" 16730 21974 19905 21261 1041
"1861_at" 17560 14566 1780 13735 7335
"200000_s_at" 16661 5667 16206 17501 18745
"200001_at" 3265 4445 13622 6196 18248
"200002_at" 17740 5712 5904 7375 17135
"200003_s_at" 15111 4611 9363 9955 18415
"200004_at" 16485 5280 16567 6709 6219
"200005_at" 16872 3202 14954 6037 6676
"200006_at" 3623 17501 7614 14085 9679
"200007_at" 17185 15653 7218 6963 3607
"200008_s_at" 18560 20439 17487 7932 16768
"200009_at" 15112 4508 16912 7433 17356
"200010_at" 16408 6424 16696 14153 5195
"200011_s_at" 2029 15399 7513 6728 8999
"200012_x_at" 2034 18015 5832 18049 17984
"200013_at" 4088 16846 14918 16291 8251
"200014_s_at" 17099 15943 6017 15277 17115
"200015_s_at" 15036 18245 15851 19169 6212
"200016_x_at" 20224 16982 14919 7139 8149
"200017_at" 15729 6363 9520 19824 9164
"200018_at" 14848 6222 9341 17457 18756
"200019_s_at" 3228 5467 5786 17109 17841
"200020_at" 2182 5384 17029 5294 7407
"200021_at" 18893 18826 9557 10104 11715
"200022_at" 2738 16286 9670 16990 17931
"200023_s_at" 14879 16650 14183 5641 7230
"200024_at" 3365 6301 5132 17228 18054
"200025_s_at" 14660 15126 7215 7092 16799
"200026_at" 16744 6070 9405 14218 8811
"200027_at" 15782 16807 5539 16000 16870
"200028_s_at" 16747 5691 15702 13910 18395
"200029_at" 15290 4710 5802 15595 8869
"200030_s_at" 2466 4672 7159 13906 9100
"200031_s_at" 2378 5878 9501 10019 9458
"200032_s_at" 19810 5587 9489 16952 18951
"200033_at" 20651 15193 15252 14179 5809
"200034_s_at" 16391 14578 14116 16060 7759
"200035_at" 2973 16799 3558 16155 21586
"200036_s_at" 17129 15857 13950 15757 16962
"200037_s_at" 19974 5920 13757 13840 5677
"200038_s_at" 16830 5418 9608 15211 17310
"200039_s_at" 1963 5304 15757 19585 19360
"200040_at" 14695 15002 16545 17148 8344
"200041_s_at" 3438 14631 17736 14833 19885
"200042_at" 3452 6012 14363 15969 4752
"200043_at" 17744 19964 14023 19673 18595
"200044_at" 20964 18193 18364 15616 6757
"200045_at" 1380 14673 16935 6884 17991
"200046_at" 14671 4834 5343 7136 8836
"200047_s_at" 17268 6264 15495 17468 3463
"200048_s_at" 3184 4498 7532 17799 7964
"200049_at" 784 19790 19678 7783 7223
"200050_at" 15762 5570 5212 19687 3338
"200051_at" 1364 17198 15120 20453 5910
"200052_s_at" 19143 18549 14975 18800 8632
"200053_at" 18003 5047 18340 14492 977
"200054_at" 20014 19347 19908 15834 19289
"200055_at" 14496 4517 17722 14060 9595
"200056_s_at" 20706 20554 13585 15375 6093
"200057_s_at" 2900 4174 5196 6200 6136
"200058_s_at" 14806 15051 14981 6442 5177
"200059_s_at" 19606 15419 15341 14516 6735
"200060_s_at" 2606 16795 16132 6820 7646
"200061_s_at" 15146 16937 9505 10018 6983
"200062_s_at" 15272 5839 9465 9947 11598
"200063_s_at" 18984 3686 9549 10059 11685
"200064_at" 2435 15840 16700 14710 17666
"200065_s_at" 2430 5495 7557 6560 20793
"200066_at" 14467 16071 19726 20126 18354
"200067_x_at" 17515 3507 7421 14649 6624
"200068_s_at" 2270 15749 16281 5646 9055
"200069_at" 3665 2332 17117 6150 4205
"200070_at" 3791 14888 13598 3666 8851
"200071_at" 18497 20286 13862 18438 3332
"200072_s_at" 17432 15448 18626 7361 8361
"200073_s_at" 21621 20200 14114 16412 5365
"200074_s_at" 15567 14903 16848 15432 8313
"200075_s_at" 17343 18432 7105 19234 8023
"200076_s_at" 14871 3820 3863 7633 17846
"200077_s_at" 16211 15600 14575 14364 8532
"200078_s_at" 2337 6117 5970 13819 9266
"200079_s_at" 15628 14570 13606 16842 17189
"200080_s_at" 19775 18955 15012 16078 6796
"200081_s_at" 16629 18080 15607 15415 17190
"200082_s_at" 15141 15594 14680 19861 18334
"200083_at" 15440 5896 13861 7045 5087
"200084_at" 16686 18364 14049 16979 5843
"200085_s_at" 3883 5607 14483 6787 9221
"200086_s_at" 16419 17289 6073 17249 17628
"200087_s_at" 18178 17460 19420 7481 7371
"200088_x_at" 2646 14698 9484 7711 19069
"200089_s_at" 19224 15341 17021 14263 8430
"200090_at" 14511 2442 18445 6147 18342
"200091_s_at" 19703 18065 7410 21763 16704
"200092_s_at" 17289 6317 14076 4973 6268
"200093_s_at" 20064 18942 14118 15960 6140
"200094_s_at" 17070 3006 5803 17720 19804
"200095_x_at" 2304 14873 9644 10095 9707
"200096_s_at" 14735 16556 6120 20828 18394
"200097_s_at" 18222 14806 17766 6690 4488
"200098_s_at" 16823 4371 7477 14189 16936
"200099_s_at" 17893 18262 9368 19357 17158
"200593_s_at" 16218 18878 17866 16817 7252
"200594_x_at" 18142 4370 13781 14393 6769
"200595_s_at" 21268 20498 17092 13836 5081
"200596_s_at" 17173 5805 20249 18432 16615
"200597_at" 15611 2893 20871 3071 17676
"200598_s_at" 18851 4210 7173 20545 6303
"200599_s_at" 18802 18543 19926 13628 9390
"200600_at" 21530 15941 8705 15435 12101
"200601_at" 21870 1831 21208 19144 5897
"200602_at" 18939 16634 1869 17921 18956
"200603_at" 21816 17459 14892 5312 4961
"200604_s_at" 22183 20783 14451 19629 7855
"200605_s_at" 15703 17656 19478 20223 4598
"200606_at" 6357 5677 5833 19390 7812
"200607_s_at" 488 19335 7206 6066 8211
"200608_s_at" 22244 19549 14472 18891 3775
"200609_s_at" 343 2163 7381 18310 6499
"200610_s_at" 17481 17245 19444 16926 4731
"200611_s_at" 15304 14953 18300 14619 8371
"200612_s_at" 2739 4822 20511 21663 6565
"200613_at" 19721 3904 14542 17162 9626
"200614_at" 15269 18252 14796 19112 9369
"200615_s_at" 3003 17298 6564 20554 20037
"200616_s_at" 2346 3196 13738 14178 18629
"200617_at" 1968 14653 18562 7545 8887
"200618_at" 14709 4091 14849 17915 5714
"200619_at" 14494 5300 18988 6687 19436
"200620_at" 3868 4659 15952 19377 17568
"200621_at" 18751 6374 14302 15862 8555
"200622_x_at" 15277 18608 6000 16552 8525
"200623_s_at" 3157 18050 18823 21066 4545
"200624_s_at" 16454 21227 14944 16692 6716
"200625_s_at" 15857 17422 6904 17199 8653
"200626_s_at" 15365 20714 4955 17949 4837
"200627_at" 4122 16734 16273 16391 6753
"200628_s_at" 15786 21006 13631 20308 6683
"200629_at" 1601 15001 2489 3420 8680
"200630_x_at" 319 3451 14061 7488 8088
"200631_s_at" 3494 6268 4320 6396 5541
"200632_s_at" 1201 3198 15804 6717 21696
"200633_at" 1287 5225 9434 10017 17281
"200634_at" 3566 18751 13592 14752 9614
"200635_s_at" 9148 18394 1943 17646 8885
"200636_s_at" 6293 4816 16738 21558 17974
"200637_s_at" 5021 17186 5520 18274 1023
"200638_s_at" 20925 16299 14003 17183 8623
"200639_s_at" 19042 16729 19932 19316 18428
"200640_at" 18914 15699 14417 4325 9028
"200641_s_at" 16796 21313 16205 16780 3073
"200642_at" 18129 15521 14624 17067 9517
"200643_at" 21738 2701 19086 5009 1798
"200644_at" 3387 3462 17347 19600 4257
"200645_at" 2310 3210 16328 7715 17232
"200646_s_at" 17253 4493 14603 20841 543
"200647_x_at" 16340 5958 6929 6973 19619
"200648_s_at" 18221 2111 19153 21557 3382
"200649_at" 1893 6204 21118 3605 9629
"200650_s_at" 18121 4910 5180 9917 7314
"200651_at" 4030 17857 14253 16489 17852
"200652_at" 3633 20255 18230 6360 20259
"200653_s_at" 15948 16017 15993 19165 9632
"200654_at" 17103 4953 15765 6347 7924
"200655_s_at" 16988 4277 18053 18610 7057
"200656_s_at" 19334 16432 15418 20456 7286
"200657_at" 15485 15305 14383 3785 16872
"200658_s_at" 3804 19158 17716 19363 19430
"200659_s_at" 223 16115 16687 16954 2989
"200660_at" 1361 5825 18048 20207 20033
"200661_at" 1532 1060 6462 7573 5522
"200662_s_at" 15657 15013 5979 18716 9104
"200663_at" 14974 5469 15125 15152 9057
"200664_s_at" 16524 20028 4445 21023 8201
"200665_s_at" 10801 13926 9745 13532 14367
"200666_s_at" 19229 2764 7255 16246 5685
"200667_at" 15292 15643 16200 16132 18204
"200668_s_at" 17630 17373 6484 19974 17036
"200669_s_at" 3860 16231 15153 17320 6231
"200670_at" 3709 17468 14350 17896 3231
"200671_s_at" 7739 641 6434 2021 19300
"200672_x_at" 12152 16589 13811 5059 7819
"200673_at" 18628 4752 6867 7721 2900
"200674_s_at" 2206 15323 9582 7178 18809
"200675_at" 17441 5850 14579 16251 16734
"200676_s_at" 393 16991 4406 7430 8620
"200677_at" 16115 3875 14475 15507 7463
"200678_x_at" 2761 5248 5443 7809 18769
"200679_x_at" 18643 21229 15351 7105 2667
"200680_x_at" 16035 5858 9440 4655 6445
"200681_at" 15231 3964 17108 14068 2607
"200682_s_at" 3325 3337 16226 20878 18566
"200683_s_at" 459 18615 14241 20452 18258
"200684_s_at" 3739 3970 5320 15279 3524
"200685_at" 21938 19970 17827 19853 3079
"200686_s_at" 22143 17986 4318 18682 918
"200687_s_at" 15282 18309 15589 17718 3604
"200688_at" 19212 4353 2869 14523 5879
"200689_x_at" 16471 3919 14478 7063 18329
"200690_at" 18748 16960 19100 21129 16547
"200691_s_at" 3982 3648 16495 19270 16548
"200692_s_at" 18832 20593 17478 20099 8517
"200693_at" 15980 14739 7607 7318 16559
"200694_s_at" 17158 14774 14794 7797 16955
"200695_at" 3121 17190 16818 20407 5487
"200696_s_at" 15792 3231 20802 3634 17382
"200697_at" 1253 15983 19041 13736 7972
"200698_at" 20244 17066 20547 13688 6967
"200699_at" 2231 4851 13827 6209 19487
"200700_s_at" 21028 6161 18974 16088 17694
"200701_at" 2312 5873 13527 16470 20124
"200702_s_at" 14524 3910 4435 15544 18301
"200703_at" 18595 18634 16398 18931 16569
"200704_at" 3565 20805 14766 19839 5467
"200705_s_at" 3482 3349 16905 18973 19113
"200706_s_at" 16186 368 5440 19225 17473
"200707_at" 21497 5803 18668 16624 9644
"200708_at" 57 14823 15289 14303 17226
"200709_at" 1768 15811 19782 15489 16822
"200710_at" 3774 5643 14607 6288 19639
"200711_s_at" 17756 17318 14012 18009 5320
"200712_s_at" 18447 17611 4316 20006 3274
"200713_s_at" 16746 4357 5974 2041 2244
"200714_x_at" 1056 17862 14896 3632 8863
"200715_x_at" 2809 4530 17065 4938 17099
"200716_x_at" 15464 15526 9639 14123 18616
"200717_x_at" 2770 4254 9482 10016 11657
"200718_s_at" 1275 16755 14557 5856 18740
"200719_at" 1129 6225 15415 16701 21016
"200720_s_at" 4009 14575 14259 7619 7025
"200721_s_at" 16974 18467 16591 6022 16616
"200722_s_at" 17511 21859 14018 19852 17595
"200723_s_at" 2952 17540 13649 16438 5115
"200724_at" 9085 14783 21943 21560 22141
"200725_x_at" 1584 16579 5565 5846 6435
"200726_at" 17122 16132 7012 18193 4345
"200727_s_at" 2785 19003 1792 5095 9325
"200728_at" 3217 21486 18011 20852 19983
"200729_s_at" 15023 15347 13790 5891 5363
"200730_s_at" 3381 20808 16762 21901 2287
"200731_s_at" 21865 19122 21248 17271 5488
"200732_s_at" 3509 19520 20102 19098 9304
"200733_s_at" 22113 19515 17525 15762 2143
"200734_s_at" 1166 4699 15380 15247 20294
"200735_x_at" 14895 15605 9421 13657 17883
"200736_s_at" 3989 2415 11972 14411 15655
"200737_at" 18173 17784 15850 7907 16771
"200738_s_at" 21171 18079 16225 17934 17046
"200739_s_at" 20494 17654 6727 16249 6496
"200740_s_at" 2026 14789 14396 16784 6741
"200741_s_at" 16299 15487 9533 15384 11599
"200742_s_at" 16566 18175 19181 2953 8047
"200743_s_at" 14717 4583 7534 4562 21523
"200744_s_at" 15491 19187 15221 7862 18292
"200745_s_at" 1268 3541 16749 5821 2552
"200746_s_at" 14500 17673 20304 18308 9275
"200747_s_at" 376 2905 17987 15420 4518
"200748_s_at" 16417 5620 14407 15128 18200
"200749_at" 20089 16368 16323 18463 8687
"200750_s_at" 19025 16731 14749 17076 9199
"200751_s_at" 18981 21547 19669 18466 2129
"200752_s_at" 17801 2559 17371 18114 19915
"200753_x_at" 19998 18638 17607 20097 17369
"200754_x_at" 2184 4478 14516 4230 9130
"200755_s_at" 16055 4708 18105 19817 17143
"200756_x_at" 21844 21428 1579 19142 19273
"200757_s_at" 16691 5653 18689 6921 3026
"200758_s_at" 18156 15891 15169 17384 18628
"200759_x_at" 17316 2854 6472 6110 3313
"200760_s_at" 1128 17675 6203 4957 17120
"200761_s_at" 1392 6088 5516 18679 7768
"200762_at" 974 6468 3383 14626 3331
"200763_s_at" 16275 15555 9634 6315 9678
"200764_s_at" 10343 8697 19553 3236 18033
