"inst_1324" "inst_3260" "inst_4002" "inst_4121"
"1007_s_at" 11640 21136 17053 3757
"1053_at" 17143 17766 18521 17155
"117_at" 11418 3018 6202 6675
"121_at" 16276 10147 4729 18563
"1255_g_at" 6386 1907 9390 7663
"1294_at" 15015 16163 22179 14715
"1316_at" 1325 13752 17360 3576
"1320_at" 1673 5586 779 16879
"1405_i_at" 14264 1994 21773 7182
"1431_at" 5621 6194 5110 10622
"1438_at" 8375 19271 15455 18044
"1487_at" 13308 20884 20631 10949
"1494_f_at" 5868 12738 18948 16332
"1598_g_at" 12231 18791 20762 651
"160020_at" 12868 6855 12259 1011
"1729_at" 21770 9715 19517 2946
"1773_at" 15231 15708 3615 22028
"177_at" 14132 8380 846 758
"179_at" 14133 16992 1109 11465
"1861_at" 14906 14227 11891 11021
"200000_s_at" 16495 17995 12217 3792
"200001_at" 14442 15711 13702 13639
"200002_at" 11887 1801 4922 3591
"200003_s_at" 11356 1193 7198 4496
"200004_at" 15351 13329 12886 14501
"200005_at" 13961 12458 12478 12004
"200006_at" 16335 10553 11576 12528
"200007_at" 16645 11294 4369 11340
"200008_s_at" 21488 12172 12425 22224
"200009_at" 14447 11332 12241 14722
"200010_at" 11520 10247 12370 12564
"200011_s_at" 15227 13964 12266 1884
"200012_x_at" 536 1196 4555 4186
"200013_at" 11924 10847 11551 11024
"200014_s_at" 17807 11825 16357 15564
"200015_s_at" 20333 12833 11954 12675
"200016_x_at" 1011 10159 11361 3987
"200017_at" 11550 4452 7267 6430
"200018_at" 1323 4428 11357 6419
"200019_s_at" 11176 1729 11863 2540
"200020_at" 12533 13579 13039 4574
"200021_at" 372 4694 7347 6571
"200022_at" 11307 9751 3358 14096
"200023_s_at" 13639 11794 13567 3564
"200024_at" 11516 1696 3980 10676
"200025_s_at" 945 9758 3696 2515
"200026_at" 906 9801 5119 10707
"200027_at" 14847 13275 5446 15291
"200028_s_at" 16279 14879 12719 11811
"200029_at" 751 10969 11088 3675
"200030_s_at" 13554 10410 3903 11858
"200031_s_at" 1012 4411 7256 6410
"200032_s_at" 1290 4457 14449 6432
"200033_at" 17983 11896 11114 13406
"200034_s_at" 1150 9851 3401 10796
"200035_at" 17037 19535 13055 1197
"200036_s_at" 13389 10283 13242 13076
"200037_s_at" 13691 13403 15643 11253
"200038_s_at" 577 10561 12460 11716
"200039_s_at" 19902 10868 13819 4530
"200040_at" 16490 13529 16163 12651
"200041_s_at" 15309 12810 4348 13981
"200042_at" 12981 13240 5123 3598
"200043_at" 17145 10359 5434 3824
"200044_at" 15133 16029 13199 13419
"200045_at" 12491 20144 14777 11818
"200046_at" 14886 11069 5069 11666
"200047_s_at" 19691 1111 16728 11703
"200048_s_at" 18005 11223 14058 2969
"200049_at" 14074 1201 13398 14086
"200050_at" 16886 17830 18745 19216
"200051_at" 14880 15185 17229 2305
"200052_s_at" 15111 13074 14841 19595
"200053_at" 18918 21439 13252 17273
"200054_at" 18401 16975 2667 11638
"200055_at" 13973 12121 11921 4663
"200056_s_at" 17340 19493 13796 19270
"200057_s_at" 11755 12724 5519 11698
"200058_s_at" 19946 17469 15701 13460
"200059_s_at" 11185 12501 5299 18347
"200060_s_at" 17710 16734 11927 11780
"200061_s_at" 491 4408 7254 6407
"200062_s_at" 1016 4203 7187 6286
"200063_s_at" 231 4534 7295 6469
"200064_at" 13902 10422 4919 14344
"200065_s_at" 15762 12622 4904 12234
"200066_at" 15798 13858 13790 15315
"200067_x_at" 16487 16027 12534 14498
"200068_s_at" 14242 12533 11802 3772
"200069_at" 19765 19443 18955 12550
"200070_at" 20337 10739 15423 1857
"200071_at" 20693 19389 13149 16652
"200072_s_at" 16790 12220 12798 14168
"200073_s_at" 11453 9881 14854 3933
"200074_s_at" 11798 11592 13092 4645
"200075_s_at" 16636 15693 13171 14849
"200076_s_at" 16208 11553 5150 15504
"200077_s_at" 1196 9977 11161 4559
"200078_s_at" 16348 15079 14203 13489
"200079_s_at" 20554 13647 5222 13467
"200080_s_at" 11253 10064 14372 4283
"200081_s_at" 11483 1754 11151 13055
"200082_s_at" 11782 10666 3917 12780
"200083_at" 12499 18754 16396 3455
"200084_at" 17464 15285 12742 17618
"200085_s_at" 16038 12029 13483 2881
"200086_s_at" 15120 12082 15093 3753
"200087_s_at" 16986 15256 11789 13375
"200088_x_at" 1107 4224 4870 6300
"200089_s_at" 1058 10390 16255 12470
"200090_at" 16782 11078 5612 15065
"200091_s_at" 1315 10950 12826 1640
"200092_s_at" 710 960 3759 3116
"200093_s_at" 16662 13023 13862 13600
"200094_s_at" 11622 11786 15934 13524
"200095_x_at" 766 4677 7340 6557
"200096_s_at" 21109 14328 4386 19053
"200097_s_at" 12781 11530 14054 12971
"200098_s_at" 16271 15736 15856 10887
"200099_s_at" 687 4557 5518 6487
"200593_s_at" 14609 14637 16550 16912
"200594_x_at" 12834 13860 15890 11442
"200595_s_at" 18914 16221 4019 11274
"200596_s_at" 15158 10905 13050 10920
"200597_at" 17055 13633 5274 10923
"200598_s_at" 19438 12555 13419 16298
"200599_s_at" 14763 12056 11483 10879
"200600_at" 13749 9301 11537 8487
"200601_at" 21193 21303 14311 2379
"200602_at" 12418 11232 16558 13949
"200603_at" 14677 17711 16084 14745
"200604_s_at" 22010 10296 13606 18507
"200605_s_at" 20723 18458 13836 21786
"200606_at" 4446 14192 15039 14034
"200607_s_at" 19338 10730 12433 16296
"200608_s_at" 15073 15469 13454 17064
"200609_s_at" 21070 10003 19187 13283
"200610_s_at" 12167 12829 4754 2559
"200611_s_at" 17625 16072 15700 14289
"200612_s_at" 21798 9908 4513 17005
"200613_at" 16140 11728 13608 4475
"200614_at" 16151 9809 4990 4454
"200615_s_at" 18952 16418 5010 17999
"200616_s_at" 15207 13793 16194 4582
"200617_at" 13900 14806 4934 4278
"200618_at" 18895 17049 3655 3459
"200619_at" 12158 13605 19462 11374
"200620_at" 16732 10473 5566 18569
"200621_at" 19480 11500 18496 2851
"200622_x_at" 20989 14633 5427 13893
"200623_s_at" 11783 15263 18319 2526
"200624_s_at" 21071 14261 3186 20028
"200625_s_at" 13550 16197 12992 3967
"200626_s_at" 15195 10692 11532 15774
"200627_at" 13873 9995 5595 17324
"200628_s_at" 13934 9932 11282 21985
"200629_at" 17263 17283 4305 14842
"200630_x_at" 11701 522 13643 2945
"200631_s_at" 14449 16561 11256 11217
"200632_s_at" 12048 294 13316 2225
"200633_at" 13386 4407 7253 4595
"200634_at" 12432 11366 3711 3412
"200635_s_at" 8626 17660 2521 3618
"200636_s_at" 10747 11813 13611 436
"200637_s_at" 5098 20288 17268 19958
"200638_s_at" 19563 11015 13375 19631
"200639_s_at" 15353 19899 3715 14130
"200640_at" 16683 11672 3481 13143
"200641_s_at" 19120 10549 5355 22173
"200642_at" 17441 12902 4104 14369
"200643_at" 972 15673 14407 11142
"200644_at" 15626 19345 12698 10764
"200645_at" 15891 14282 12213 11652
"200646_s_at" 13624 20895 17666 15764
"200647_x_at" 14496 13824 12171 13397
