"inst_2154" "inst_2809" "inst_4973" "inst_6628"
"1007_s_at" 8274 12598 10848 14856
"1053_at" 18049 15673 2958 15290
"117_at" 5533 4234 12821 18509
"121_at" 8969 20952 18005 5266
"1255_g_at" 15502 5799 11055 10376
"1294_at" 5427 1590 295 2847
"1316_at" 18968 1971 5350 6224
"1320_at" 10099 7252 12478 15269
"1405_i_at" 7111 10626 12379 12825
"1431_at" 572 1762 4803 13229
"1438_at" 11753 21150 5922 21786
"1487_at" 2005 18975 3186 1867
"1494_f_at" 4795 2677 18054 1280
"1598_g_at" 4396 21616 18868 5738
"160020_at" 19394 17153 21825 3249
"1729_at" 2284 21570 18962 18097
"1773_at" 6056 2716 21305 2188
"177_at" 21257 4405 14467 6431
"179_at" 20799 1036 9836 203
"1861_at" 500 18853 3517 18653
"200000_s_at" 6226 11321 9393 4776
"200001_at" 5621 15149 8447 15986
"200002_at" 7065 3556 18386 13497
"200003_s_at" 12401 12415 5016 13683
"200004_at" 7887 13323 10501 16095
"200005_at" 8042 13991 9869 4716
"200006_at" 9486 13128 9222 13840
"200007_at" 9660 14938 6286 15147
"200008_s_at" 20096 11672 4447 17064
"200009_at" 16974 14228 19559 13296
"200010_at" 16775 11221 9364 16970
"200011_s_at" 5699 15721 10590 17749
"200012_x_at" 17693 3053 17950 13427
"200013_at" 17237 11154 9325 6975
"200014_s_at" 18476 16092 3579 6128
"200015_s_at" 7669 18098 18475 13653
"200016_x_at" 17448 3308 18652 14542
"200017_at" 12472 6569 13428 14226
"200018_at" 12281 11123 19185 4841
"200019_s_at" 17304 13032 9135 4619
"200020_at" 5897 18360 19653 6903
"200021_at" 21283 12334 19459 9341
"200022_at" 12213 3914 8532 13918
"200023_s_at" 9128 16001 6285 5522
"200024_at" 7924 12319 18335 5335
"200025_s_at" 9446 11983 18914 14173
"200026_at" 12419 2725 18733 6634
"200027_at" 17632 12332 7986 13156
"200028_s_at" 18685 12803 19081 14036
"200029_at" 12303 13289 10902 14208
"200030_s_at" 8646 12138 18778 15463
"200031_s_at" 12480 6539 10685 9257
"200032_s_at" 12288 6572 18646 4899
"200033_at" 4132 12716 8898 7412
"200034_s_at" 9488 3117 18869 13571
"200035_at" 2004 20105 10449 5574
"200036_s_at" 6906 12869 9428 7462
"200037_s_at" 18916 15888 6659 14722
"200038_s_at" 12280 12136 19468 7190
"200039_s_at" 9535 17641 10364 3942
"200040_at" 9284 16316 9723 17538
"200041_s_at" 8029 16340 10735 14984
"200042_at" 8438 12911 8235 17181
"200043_at" 19243 11881 7374 17178
"200044_at" 8659 14983 8158 13625
"200045_at" 3160 17390 18179 16136
"200046_at" 19270 14441 5908 13337
"200047_s_at" 8719 15280 6462 16534
"200048_s_at" 9847 14410 6598 6177
"200049_at" 17331 13647 18537 20144
"200050_at" 20377 11357 8750 14662
"200051_at" 3106 11786 7695 5612
"200052_s_at" 17084 12313 7611 15246
"200053_at" 8638 12378 21149 15368
"200054_at" 18804 12531 9557 16009
"200055_at" 8097 14589 6852 5134
"200056_s_at" 6793 20470 4314 14230
"200057_s_at" 8812 11876 10518 15597
"200058_s_at" 5511 14975 6944 17245
"200059_s_at" 18426 17137 6749 16497
"200060_s_at" 19242 17370 18182 14236
"200061_s_at" 12245 6538 18968 9256
"200062_s_at" 12176 6395 13280 9189
"200063_s_at" 12352 6631 13473 9293
"200064_at" 18434 13291 9654 7273
"200065_s_at" 9352 3694 6639 15924
"200066_at" 8886 13808 8830 20283
"200067_x_at" 17395 15034 4794 7390
"200068_s_at" 19238 16405 19003 16453
"200069_at" 6280 19056 17852 17239
"200070_at" 5467 2660 19328 13256
"200071_at" 20602 12731 8863 18193
"200072_s_at" 8520 12829 8981 14243
"200073_s_at" 4984 12281 7709 13539
"200074_s_at" 8545 13200 10280 13233
"200075_s_at" 8660 14224 5926 4657
"200076_s_at" 8083 15549 6217 17174
"200077_s_at" 8437 13626 10077 15281
"200078_s_at" 18545 19840 6783 3296
"200079_s_at" 5369 14860 17839 5487
"200080_s_at" 8594 13841 19461 15999
"200081_s_at" 17575 3946 18071 14981
"200082_s_at" 17097 3664 8482 5873
"200083_at" 6009 19129 19730 14030
"200084_at" 18209 15261 8698 17581
"200085_s_at" 6343 12034 8273 13894
"200086_s_at" 17756 12896 10197 6599
"200087_s_at" 9513 11726 6618 13681
"200088_x_at" 12248 6407 18423 7057
"200089_s_at" 9691 11128 8566 4983
"200090_at" 8924 13585 8644 4817
"200091_s_at" 9258 3458 9544 5882
"200092_s_at" 12290 2707 18950 4042
"200093_s_at" 17371 19451 7525 14682
"200094_s_at" 18068 11532 6761 14434
"200095_x_at" 12349 6736 10566 9330
"200096_s_at" 18730 15512 8461 18945
"200097_s_at" 7249 13917 10511 16020
"200098_s_at" 8671 15941 6214 7211
"200099_s_at" 12360 6648 13492 14687
"200593_s_at" 7381 18229 8026 6701
"200594_x_at" 18293 17929 19337 18600
"200595_s_at" 6249 17050 8054 16034
