"inst_2454" "inst_3315" "inst_5316" "inst_6716"
"1007_s_at" 20099 2193 4999 6178
"1053_at" 1708 5163 2305 19012
"117_at" 7216 14828 14105 12874
"121_at" 17738 7833 5414 15237
"1255_g_at" 14255 10842 6338 11792
"1294_at" 2304 7452 2708 16584
"1316_at" 20194 20438 460 15980
"1320_at" 10215 14578 9449 15548
"1405_i_at" 17889 12500 8607 18641
"1431_at" 7290 752 1982 19665
"1438_at" 11060 18406 3106 19540
"1487_at" 3783 4759 2412 16136
"1494_f_at" 18314 21954 8572 19127
"1598_g_at" 19722 3703 15947 6190
"160020_at" 5804 21159 2174 3692
"1729_at" 2275 16605 2509 2877
"1773_at" 9976 20832 21623 22003
"177_at" 7741 8763 15221 2936
"179_at" 19378 7292 23 20960
"1861_at" 18758 2623 1620 17213
"200000_s_at" 8316 3875 3038 16502
"200001_at" 7926 6850 16455 18288
"200002_at" 9105 6818 15377 16973
"200003_s_at" 12373 10809 4607 13764
"200004_at" 8488 7938 15663 8071
"200005_at" 6096 17773 18082 15788
"200006_at" 9746 8316 5643 6496
"200007_at" 9740 6143 15776 14060
"200008_s_at" 1927 21772 4720 22167
"200009_at" 8734 18255 16504 17475
"200010_at" 9334 18692 15596 21421
"200011_s_at" 6327 3105 18788 15892
"200012_x_at" 18409 7759 16054 7008
"200013_at" 8317 17100 5952 15943
"200014_s_at" 17139 16278 4258 8081
"200015_s_at" 17192 6262 5530 5643
"200016_x_at" 12265 5898 16923 4958
"200017_at" 12530 11011 4267 7149
"200018_at" 12514 10985 5769 7633
"200019_s_at" 12471 17466 5472 14821
"200020_at" 5995 7282 19408 14628
"200021_at" 18605 11223 6026 9800
"200022_at" 12393 10848 17303 19683
"200023_s_at" 9699 17267 16545 4507
"200024_at" 8838 5260 3871 15836
"200025_s_at" 12511 10981 5760 6061
"200026_at" 12710 11229 16543 7418
"200027_at" 18463 7532 16718 4340
"200028_s_at" 18499 5893 19521 5509
"200029_at" 12444 16711 4919 13345
"200030_s_at" 9655 16460 17039 14655
"200031_s_at" 12502 10967 4019 9744
"200032_s_at" 12532 11015 4092 4623
"200033_at" 9929 6748 5044 6155
"200034_s_at" 9442 15608 3923 17807
"200035_at" 3256 5948 19789 8102
"200036_s_at" 8728 15936 16187 6229
"200037_s_at" 19390 16466 4437 6524
"200038_s_at" 12667 19037 15750 15772
"200039_s_at" 4552 6400 5289 15022
"200040_at" 7894 6136 17990 13852
"200041_s_at" 17559 19943 5292 16393
"200042_at" 5103 15623 15452 17687
"200043_at" 4935 19737 5397 6637
"200044_at" 17872 15555 15921 15606
"200045_at" 9476 6780 18097 14731
"200046_at" 6438 16803 16108 18416
"200047_s_at" 19078 8379 18255 7465
"200048_s_at" 8552 15520 17397 3231
"200049_at" 20406 17942 15431 19620
"200050_at" 2895 16199 17230 17123
"200051_at" 3959 15964 16097 15484
"200052_s_at" 5170 20581 15346 19657
"200053_at" 1817 16055 15773 22191
"200054_at" 5929 3122 18421 14708
"200055_at" 9956 17553 15623 6044
"200056_s_at" 18845 17611 17946 5089
"200057_s_at" 18306 18770 17476 4831
"200058_s_at" 18340 3709 4942 7634
"200059_s_at" 7730 19662 15597 17361
"200060_s_at" 18744 5679 5381 15184
"200061_s_at" 12500 10965 15728 9742
"200062_s_at" 12347 10784 15303 9699
"200063_s_at" 12578 11067 4827 9763
"200064_at" 3943 16790 17430 19188
"200065_s_at" 6930 18113 18260 17097
"200066_at" 2643 21760 19351 19945
"200067_x_at" 17324 16701 4095 4547
"200068_s_at" 18518 4547 19922 6961
"200069_at" 18795 5212 20609 16173
"200070_at" 5276 2927 22157 2482
"200071_at" 9064 20101 5540 6978
"200072_s_at" 3597 20075 17912 16679
"200073_s_at" 16988 8221 5349 6702
"200074_s_at" 7214 16923 5557 16895
"200075_s_at" 5761 5967 2958 14500
"200076_s_at" 7068 16884 5724 16532
"200077_s_at" 9082 6658 5827 13720
"200078_s_at" 9065 7529 15562 14027
"200079_s_at" 6117 19576 18635 16791
"200080_s_at" 18658 8161 2232 14819
"200081_s_at" 7010 19253 5411 21138
"200082_s_at" 12563 6455 16129 19064
"200083_at" 17365 8210 3613 6765
"200084_at" 8521 17186 17057 16573
"200085_s_at" 7847 7526 16305 15991
"200086_s_at" 18986 4795 5829 6277
"200087_s_at" 8386 5326 20410 14543
"200088_x_at" 12365 10803 4394 7330
"200089_s_at" 9570 19106 4555 14143
"200090_at" 17875 5594 20745 2166
"200091_s_at" 8238 8050 3918 14619
"200092_s_at" 12591 17720 4864 4942
"200093_s_at" 6014 4271 17196 6898
"200094_s_at" 7902 7671 3847 7929
"200095_x_at" 12680 11196 5640 9793
"200096_s_at" 19847 5273 18806 19760
"200097_s_at" 20144 6270 5867 16900
"200098_s_at" 17169 5605 18970 3362
"200099_s_at" 12597 11092 15480 7099
"200593_s_at" 4434 17106 5385 17803
"200594_x_at" 18418 5493 5870 17933
"200595_s_at" 7765 17011 19496 5220
"200596_s_at" 6335 20459 3333 17125
"200597_at" 5118 3833 19554 19479
"200598_s_at" 4972 21326 4139 7182
"200599_s_at" 4353 20579 2921 18013
"200600_at" 9110 9564 7942 20461
"200601_at" 21181 5952 3647 18736
"200602_at" 19425 21753 666 3767
"200603_at" 19552 17278 5884 4076
"200604_s_at" 365 19941 18900 21347
"200605_s_at" 7568 7831 18032 17895
"200606_at" 10081 8149 5426 6196
"200607_s_at" 3488 17759 3311 19305
"200608_s_at" 19388 8037 3557 7793
"200609_s_at" 9605 8342 18438 3431
"200610_s_at" 17341 15859 20153 18003
"200611_s_at" 4704 8360 4854 17155
"200612_s_at" 21903 20104 21967 21627
"200613_at" 8036 17154 17221 14996
"200614_at" 7841 18446 15990 13757
"200615_s_at" 4413 18248 20683 17344
"200616_s_at" 9410 6059 16490 14670
"200617_at" 10097 4979 17493 4148
"200618_at" 9568 4225 17530 15854
"200619_at" 17767 19586 5616 4758
"200620_at" 8630 6202 18958 16636
"200621_at" 17085 5467 17815 4641
"200622_x_at" 3842 16484 16029 16300
"200623_s_at" 20664 1016 16919 5925
"200624_s_at" 3151 21594 15692 18693
"200625_s_at" 17993 7953 4046 3316
"200626_s_at" 7383 5190 20527 16245
"200627_at" 7410 16493 5280 17425
"200628_s_at" 1611 20393 1660 17859
"200629_at" 8375 20667 4420 15840
"200630_x_at" 20648 6679 15337 6376
"200631_s_at" 8677 17713 19856 7868
"200632_s_at" 19548 22028 15909 13811
"200633_at" 17978 10963 15350 9741
"200634_at" 9145 8410 16958 20261
"200635_s_at" 12160 2396 20391 6301
"200636_s_at" 21965 4790 5373 13925
"200637_s_at" 11742 1201 21927 21150
"200638_s_at" 3821 18244 18955 18720
