"inst_1544" "inst_1961" "inst_2045" "inst_4642" "inst_5703"
"1007_s_at" 4048 4994 7994 6816 10242
"1053_at" 17629 22235 3866 1903 8416
"117_at" 12988 7394 5222 9756 4480
"121_at" 21441 20088 2796 20445 19407
"1255_g_at" 11915 13204 15991 17948 16333
"1294_at" 125 18636 5490 12670 740
"1316_at" 20914 13219 20357 20295 2763
"1320_at" 9345 7463 15764 2474 3688
"1405_i_at" 8742 8686 2371 2305 20958
"1431_at" 605 14143 15083 4802 876
"1438_at" 2603 7843 17061 3316 20396
"1487_at" 4649 20789 6427 1300 19711
"1494_f_at" 2613 22181 6920 7655 155
"1598_g_at" 8610 2558 6330 9305 9144
"160020_at" 19666 21607 2780 4492 1114
"1729_at" 16854 19867 3240 5991 13123
"1773_at" 20261 17152 9563 725 2217
"177_at" 9868 8070 1567 2517 12212
"179_at" 20693 21720 3448 4772 20948
"1861_at" 20052 19373 1079 8733 2816
"200000_s_at" 16735 2710 21089 3878 12183
"200001_at" 17313 417 7790 8889 10897
"200002_at" 8300 3425 8420 9126 12930
"200003_s_at" 7312 4355 7875 14876 12125
"200004_at" 7188 3967 2343 9401 12486
"200005_at" 16311 2232 8755 5559 11076
"200006_at" 17110 2720 6187 12705 10815
"200007_at" 4205 17456 5560 19483 9080
"200008_s_at" 17324 1380 20674 3342 8200
"200009_at" 17267 2069 5961 10413 12384
"200010_at" 16234 75 7628 4460 11414
"200011_s_at" 5392 3666 6577 10581 12223
"200012_x_at" 17318 5005 20893 20646 19059
"200013_at" 6565 2441 7672 11167 12153
"200014_s_at" 16107 4131 5784 12615 12003
"200015_s_at" 5353 1899 3316 9385 8634
"200016_x_at" 6918 16625 3328 13038 13105
"200017_at" 16499 5192 6988 19442 12913
"200018_at" 6393 20628 9890 19777 19096
"200019_s_at" 16453 5129 9887 12212 10072
"200020_at" 5890 2359 19994 5468 11642
"200021_at" 11058 17255 20395 19443 14769
"200022_at" 8302 2139 8937 11735 18812
"200023_s_at" 8502 2633 3531 12316 7423
"200024_at" 5797 4117 20340 13249 19088
"200025_s_at" 6753 1739 8816 13196 19166
"200026_at" 16037 18523 1503 19594 18687
"200027_at" 8507 16781 5597 19214 9277
"200028_s_at" 5768 19955 7697 12966 12978
"200029_at" 5719 1663 7599 19880 11048
"200030_s_at" 16131 2266 9541 19296 12460
"200031_s_at" 10986 5419 20991 14936 11991
"200032_s_at" 17154 4990 6485 13231 14724
"200033_at" 7314 20421 1813 10941 11655
"200034_s_at" 17216 1860 7002 11828 19767
"200035_at" 2856 19221 4435 3803 5938
"200036_s_at" 18019 17837 9200 12843 10169
"200037_s_at" 7143 19757 2815 11901 11966
"200038_s_at" 17506 17877 8832 11215 12634
"200039_s_at" 16698 3513 9278 10069 8888
"200040_at" 8066 18580 690 11000 10067
"200041_s_at" 16956 1697 6888 6019 10166
"200042_at" 17211 4321 19979 6032 12114
"200043_at" 7475 3910 8331 8738 12762
"200044_at" 4977 3082 3023 7212 8972
"200045_at" 17694 17515 8212 9136 11462
"200046_at" 7396 3374 3329 8038 6727
"200047_s_at" 7764 20857 1896 10834 10051
"200048_s_at" 8501 18549 8152 13002 13050
"200049_at" 6415 100 10013 9595 18676
"200050_at" 2729 1200 3037 8669 4402
"200051_at" 4742 5611 6051 5746 5311
"200052_s_at" 7086 1217 5335 5155 11863
"200053_at" 665 5437 9156 11717 624
"200054_at" 3466 3642 4785 1307 11608
"200055_at" 19707 5642 6452 10695 11726
"200056_s_at" 7222 18032 412 8048 8205
"200057_s_at" 8140 19051 5732 19646 18851
"200058_s_at" 4311 2391 7293 2785 6885
"200059_s_at" 8651 3144 4900 10590 11008
"200060_s_at" 7498 17783 5310 9474 11532
"200061_s_at" 16603 5508 9447 14934 14717
"200062_s_at" 10975 16496 8146 14867 14673
"200063_s_at" 8611 20926 6696 19891 14737
"200064_at" 7199 1328 20234 9751 13070
"200065_s_at" 8634 5407 20520 11138 11287
"200066_at" 4077 18023 9654 1532 4171
"200067_x_at" 17980 5255 5740 12350 10773
"200068_s_at" 16638 3534 7115 12307 13205
"200069_at" 3957 1631 20507 10575 8937
"200070_at" 17095 4814 1126 11034 19081
"200071_at" 16844 3989 1245 5586 8227
"200072_s_at" 3741 2155 8315 4689 8195
"200073_s_at" 6696 19681 2562 9335 10630
"200074_s_at" 7340 1688 4904 10946 11064
"200075_s_at" 7148 2518 6035 7285 3572
"200076_s_at" 18245 4477 9676 11568 9222
"200077_s_at" 7990 4255 5551 12424 12361
"200078_s_at" 5248 16957 7964 9910 7414
"200079_s_at" 19715 3395 9976 12506 11620
