"inst_1279" "inst_2634" "inst_4660" "inst_5256" "inst_5621"
"1007_s_at" 20844 16973 12553 19002 14866
"1053_at" 2423 21288 17235 18591 16817
"117_at" 20343 6832 10686 6611 7538
"121_at" 17382 3549 10657 20219 12202
"1255_g_at" 11038 9790 8701 6146 8311
"1294_at" 4844 16164 20780 19957 16598
"1316_at" 18801 14153 4451 18337 1333
"1320_at" 8536 8219 13954 2248 19588
"1405_i_at" 6057 5666 19691 10950 6427
"1431_at" 9090 4207 21223 12229 17812
"1438_at" 8290 1624 21465 13586 21922
"1487_at" 19847 4564 14188 21599 12025
"1494_f_at" 13168 1083 17268 944 1112
"1598_g_at" 21904 21403 14886 18627 21165
"160020_at" 7627 18261 1136 21504 19405
"1729_at" 21117 13879 2828 2635 2036
"1773_at" 355 3404 21258 19104 13869
"177_at" 18766 4133 21836 4905 7154
"179_at" 18385 4303 77 21325 19061
"1861_at" 19046 20416 2249 1162 17602
"200000_s_at" 21383 14567 15306 16616 19237
"200001_at" 4797 15462 15790 3771 13162
"200002_at" 6739 12331 12659 3541 4544
"200003_s_at" 6881 4193 6177 6920 6679
"200004_at" 4822 17397 12698 12470 3597
"200005_at" 3890 14249 14618 11383 15187
"200006_at" 6137 15194 10975 13439 11991
"200007_at" 3138 12184 11301 20365 12835
"200008_s_at" 21044 17993 21493 11794 4611
"200009_at" 19870 16588 19745 12464 4427
"200010_at" 6474 18344 14671 3778 11024
"200011_s_at" 4729 19058 10756 16707 13841
"200012_x_at" 7488 4329 3408 3727 3748
"200013_at" 18612 13265 11653 12846 12868
"200014_s_at" 17609 4286 13903 17410 16889
"200015_s_at" 7423 18882 17887 4815 18405
"200016_x_at" 17706 4381 11870 4947 10969
"200017_at" 6088 12339 4391 7092 6794
"200018_at" 17586 4410 10621 7074 6787
"200019_s_at" 17364 4690 10653 3479 15316
"200020_at" 1425 13359 18008 11418 3810
"200021_at" 4179 4486 6402 7278 6928
"200022_at" 5284 13128 3475 4107 6700
"200023_s_at" 18715 12811 13036 12826 14187
"200024_at" 6394 4335 11418 18264 13370
"200025_s_at" 6600 3932 11843 13671 14141
"200026_at" 7339 11923 3048 3047 6933
"200027_at" 7605 16277 14265 15167 16667
"200028_s_at" 2956 12501 12369 4330 13719
"200029_at" 7061 13018 3440 3916 1922
"200030_s_at" 6913 14847 11529 3903 12350
"200031_s_at" 17667 4364 6257 7056 6778
"200032_s_at" 18087 4758 3846 7096 6799
"200033_at" 2820 15061 11102 15674 11274
"200034_s_at" 18841 15510 11069 2472 4156
"200035_at" 17391 14716 15316 20834 16345
"200036_s_at" 6016 4121 10690 16441 12597
"200037_s_at" 2204 16063 10707 4879 11192
"200038_s_at" 17531 12006 4538 4576 6905
"200039_s_at" 17838 14884 14123 14628 12864
"200040_at" 18731 13884 15951 3333 15858
"200041_s_at" 6255 17052 15196 12703 12450
"200042_at" 5652 12014 10723 14689 17437
"200043_at" 3701 2845 15273 12795 14170
"200044_at" 17726 15684 13984 12431 12097
"200045_at" 17926 4249 14488 13954 17699
"200046_at" 4137 16672 13232 3464 15223
"200047_s_at" 18668 13021 18861 14995 15175
"200048_s_at" 18301 4900 15984 14401 14555
"200049_at" 1496 16557 14213 14437 17708
"200050_at" 7280 19613 550 2289 14704
"200051_at" 3055 14250 14383 15881 18655
"200052_s_at" 7243 15479 15118 13027 16013
"200053_at" 630 19028 1609 1378 4011
"200054_at" 18831 15743 13083 21899 13784
"200055_at" 6435 3353 4435 12906 16131
"200056_s_at" 4545 3085 13644 17936 17439
"200057_s_at" 3860 12074 3955 11689 12452
"200058_s_at" 17905 17496 14044 16409 15148
"200059_s_at" 2112 13917 10962 4049 12344
"200060_s_at" 19767 15668 15185 14800 15261
"200061_s_at" 6555 13585 6256 7054 6776
"200062_s_at" 18216 6917 6161 6904 6664
"200063_s_at" 6791 12646 4474 7154 6837
"200064_at" 18916 13063 11708 3206 2944
"200065_s_at" 6894 16690 12838 4819 11990
"200066_at" 3822 19031 20289 14696 15045
"200067_x_at" 21213 12098 13661 12408 16089
"200068_s_at" 7129 16599 14769 3160 3616
"200069_at" 1821 17897 12621 14786 3059
"200070_at" 20643 2956 13572 2840 21234
"200071_at" 4114 14327 13974 12139 17367
"200072_s_at" 19206 13807 18179 3996 3902
"200073_s_at" 19345 12135 13014 2486 17434
"200074_s_at" 5204 15547 11642 12800 13591
"200075_s_at" 19175 17902 12716 12936 16222
"200076_s_at" 2275 17083 19895 15884 4855
"200077_s_at" 5659 4638 3323 3186 4969
"200078_s_at" 6120 15538 13791 14422 18256
"200079_s_at" 17321 16662 17630 14154 12927
"200080_s_at" 5872 11997 3500 7147 6829
"200081_s_at" 5940 13689 15058 3714 2993
"200082_s_at" 18032 4865 10873 3719 6820
"200083_at" 1895 18645 10852 4909 13124
"200084_at" 3360 16313 17674 14148 14722
"200085_s_at" 6423 12056 17499 12576 13510
"200086_s_at" 6012 3908 11589 3112 13319
"200087_s_at" 5978 17567 17604 15990 14758
"200088_x_at" 17314 6928 6171 6915 6675
"200089_s_at" 6862 12643 16814 17352 11453
"200090_at" 4939 1469 15858 19348 4341
"200091_s_at" 17398 13979 15593 11892 13948
"200092_s_at" 7602 12933 2973 12578 6848
"200093_s_at" 3358 4107 15987 3975 14145
"200094_s_at" 7586 12475 13401 18835 14870
"200095_x_at" 18308 7116 6389 7259 6916
"200096_s_at" 20685 17415 12562 2871 11062
"200097_s_at" 1419 19451 13029 19764 4613
"200098_s_at" 3677 16289 10877 12404 12989
"200099_s_at" 6520 3848 2449 7173 6854
"200593_s_at" 6655 17365 20009 3699 3586
"200594_x_at" 4840 19107 13142 11945 15338
"200595_s_at" 19563 19478 19945 13780 18298
"200596_s_at" 1453 16776 14931 12942 14613
"200597_at" 17533 18922 14617 18664 12194
"200598_s_at" 19866 2608 11023 1232 14301
"200599_s_at" 7128 20725 17470 14655 18737
"200600_at" 20613 1750 14214 11334 9988
"200601_at" 1274 15277 14575 21040 21265
"200602_at" 17286 20783 19563 11743 11354
"200603_at" 4608 19527 15589 13817 17371
"200604_s_at" 21276 20470 21407 14337 13923
"200605_s_at" 6070 19191 20869 15732 2295
"200606_at" 10095 18418 4355 4484 11927
"200607_s_at" 18830 15782 14665 17207 12724
"200608_s_at" 5083 16736 10626 14051 15438
"200609_s_at" 17428 13223 17883 3739 11095
"200610_s_at" 5345 15071 15832 12780 4518
"200611_s_at" 18993 17097 12548 12480 17028
"200612_s_at" 291 645 19512 1668 2521
"200613_at" 19629 12991 13230 13444 14852
"200614_at" 7407 13817 15214 13261 15019
"200615_s_at" 1573 15650 18518 20009 3852
"200616_s_at" 4348 13868 15015 11912 2292
"200617_at" 4351 16172 13483 19120 11495
"200618_at" 3302 19406 13887 17084 16865
"200619_at" 805 3023 19614 11657 4090
"200620_at" 4151 17296 15991 13338 3581
"200621_at" 6099 4660 16695 17031 17661
"200622_x_at" 4690 12161 14599 12538 13276
"200623_s_at" 764 16231 15205 13914 2413
"200624_s_at" 19149 14002 21680 19894 16410
"200625_s_at" 5010 14820 17209 12552 15388
"200626_s_at" 1871 19862 15533 12023 11351
"200627_at" 19097 18100 13764 12263 14191
"200628_s_at" 18464 3103 2752 3278 19763
