"inst_3130" "inst_6509" "inst_7469"
"1007_s_at" 20912 14955 5778
"1053_at" 6762 5489 19401
"117_at" 7959 10560 16048
"121_at" 12304 3906 20584
"1255_g_at" 13863 12361 17195
"1294_at" 11164 7050 6359
"1316_at" 20315 6469 19568
"1320_at" 17221 10226 12901
"1405_i_at" 10807 6514 14069
"1431_at" 10803 6349 11284
"1438_at" 4580 149 20523
"1487_at" 2701 15875 3007
"1494_f_at" 4425 513 19070
"1598_g_at" 1280 17830 21567
"160020_at" 12385 19768 13121
"1729_at" 10924 16036 1173
"1773_at" 13539 2431 10712
"177_at" 4844 370 12827
"179_at" 8639 2747 404
"1861_at" 1224 4215 9560
"200000_s_at" 11309 17737 20565
"200001_at" 6535 4926 6211
"200002_at" 12178 5694 8658
"200003_s_at" 15889 15209 20305
"200004_at" 9677 15439 9815
"200005_at" 8952 7606 19687
"200006_at" 8995 7191 7832
"200007_at" 8191 5458 5277
"200008_s_at" 7166 3887 5598
"200009_at" 10108 6645 19812
"200010_at" 20135 3670 8688
"200011_s_at" 6970 7329 7588
"200012_x_at" 20711 6669 10532
"200013_at" 13009 17462 10941
"200014_s_at" 8498 16066 2692
"200015_s_at" 8565 15757 10226
"200016_x_at" 13618 16229 10155
"200017_at" 16010 14830 10999
"200018_at" 15995 6252 20647
"200019_s_at" 12501 14847 19932
"200020_at" 4583 7544 3887
"200021_at" 20977 9786 19648
"200022_at" 13410 7130 20100
"200023_s_at" 6518 7183 8778
"200024_at" 13061 14592 10671
"200025_s_at" 19906 6776 10633
"200026_at" 20762 16866 10277
"200027_at" 7903 15244 6043
"200028_s_at" 9689 4762 4316
"200029_at" 20365 6845 9704
"200030_s_at" 6316 14556 19790
"200031_s_at" 15985 6713 20623
"200032_s_at" 16014 6886 19604
"200033_at" 9752 15983 19776
"200034_s_at" 13485 16518 19585
"200035_at" 4440 2759 19777
"200036_s_at" 12427 14521 7646
"200037_s_at" 12054 15911 19884
"200038_s_at" 16113 15722 10911
"200039_s_at" 2915 5678 7126
"200040_at" 6664 15533 3611
"200041_s_at" 9198 15688 9137
"200042_at" 10996 18177 19351
"200043_at" 7490 16704 2168
"200044_at" 8379 15961 7750
"200045_at" 6110 14844 7574
"200046_at" 6667 6436 8905
"200047_s_at" 6341 15862 5355
"200048_s_at" 6503 6764 9595
"200049_at" 4009 15689 8343
"200050_at" 10122 14386 9437
"200051_at" 6873 4811 7147
"200052_s_at" 4555 15707 9099
"200053_at" 8672 2819 5638
"200054_at" 7719 17748 7341
"200055_at" 4552 5625 9508
"200056_s_at" 9590 17352 7138
"200057_s_at" 11464 7197 8208
"200058_s_at" 7646 16726 6166
"200059_s_at" 11262 6381 6297
"200060_s_at" 7109 15566 4855
"200061_s_at" 20448 7102 20206
"200062_s_at" 15873 9605 20240
"200063_s_at" 16052 14770 20108
"200064_at" 10259 5002 7917
"200065_s_at" 7163 5043 19291
"200066_at" 11718 17881 21064
"200067_x_at" 6924 7713 5148
"200068_s_at" 12607 7391 7767
"200069_at" 4276 14749 9392
"200070_at" 12544 14959 2098
"200071_at" 6546 14932 10068
"200072_s_at" 9387 18694 9064
"200073_s_at" 9657 19154 6227
"200074_s_at" 13008 7545 9411
"200075_s_at" 6576 14984 6327
"200076_s_at" 10450 6608 7915
"200077_s_at" 20219 15787 10587
"200078_s_at" 3414 6640 4048
