"inst_2892" "inst_5076" "inst_5495"
"1007_s_at" 19745 4724 4869
"1053_at" 5097 18738 5335
"117_at" 10404 1897 12434
"121_at" 4675 2384 1295
"1255_g_at" 11519 13790 10369
"1294_at" 19775 907 221
"1316_at" 15537 21677 10115
"1320_at" 20226 19754 11068
"1405_i_at" 9326 12257 16441
"1431_at" 981 7245 9966
"1438_at" 3305 20681 20030
"1487_at" 19634 7147 5618
"1494_f_at" 9785 351 21265
"1598_g_at" 6352 18879 21442
"160020_at" 20289 21084 21585
"1729_at" 788 3092 5539
"1773_at" 20052 21026 975
"177_at" 123 1024 3341
"179_at" 3418 21602 13182
"1861_at" 16308 17797 6189
"200000_s_at" 7561 18153 6258
"200001_at" 7619 5969 10263
"200002_at" 5303 17037 17801
"200003_s_at" 9944 11650 18353
"200004_at" 15283 5611 8380
"200005_at" 5161 6243 6776
"200006_at" 6831 7150 9451
"200007_at" 16650 16257 8591
"200008_s_at" 17892 16482 19877
"200009_at" 16093 9211 7585
"200010_at" 7287 16543 5418
"200011_s_at" 6877 8552 8754
"200012_x_at" 6021 18356 19987
"200013_at" 4230 18451 8997
"200014_s_at" 15052 7443 7853
"200015_s_at" 6952 16737 4771
"200016_x_at" 15387 9091 8064
"200017_at" 7755 16151 7415
"200018_at" 7657 9482 8803
"200019_s_at" 5433 17306 18687
"200020_at" 17760 4190 5945
"200021_at" 15868 11864 17257
"200022_at" 18043 17395 9621
"200023_s_at" 7321 5656 8880
"200024_at" 17841 18314 9981
"200025_s_at" 5258 17064 18001
"200026_at" 16911 16333 8809
"200027_at" 5938 18883 9799
"200028_s_at" 17194 16394 18172
"200029_at" 7632 7545 9101
"200030_s_at" 17284 9289 9833
"200031_s_at" 10040 11736 9706
"200032_s_at" 15766 7902 7736
"200033_at" 15289 8434 8555
"200034_s_at" 16333 6166 8325
"200035_at" 15091 17549 7417
"200036_s_at" 6065 17803 10269
"200037_s_at" 6628 5778 6217
"200038_s_at" 5464 9663 9684
"200039_s_at" 17736 9749 9769
"200040_at" 18156 17815 6354
"200041_s_at" 15770 8486 8107
"200042_at" 15908 5461 18058
"200043_at" 5508 19194 10015
"200044_at" 6111 6379 5825
"200045_at" 18007 5733 8716
"200046_at" 3599 3536 6328
"200047_s_at" 17560 16245 7532
"200048_s_at" 7205 18324 9396
"200049_at" 6840 8765 7481
"200050_at" 5949 16346 2218
"200051_at" 14784 4855 2357
"200052_s_at" 16147 3233 7132
"200053_at" 18459 7981 1035
"200054_at" 19568 20445 18545
"200055_at" 15981 6110 9547
"200056_s_at" 6306 6717 10199
"200057_s_at" 6850 8982 9846
"200058_s_at" 3285 8131 5016
"200059_s_at" 3580 17178 18935
"200060_s_at" 16717 15925 8360
"200061_s_at" 10039 11735 8718
"200062_s_at" 9933 11635 18321
"200063_s_at" 10104 11794 19058
"200064_at" 7753 18044 10300
"200065_s_at" 15434 7753 18207
"200066_at" 3705 18762 6101
"200067_x_at" 15858 16227 17508
"200068_s_at" 17262 8724 8579
"200069_at" 5726 16126 7299
"200070_at" 15357 17406 19312
"200071_at" 16794 6669 2013
"200072_s_at" 15699 8360 19995
"200073_s_at" 15827 18247 8322
"200074_s_at" 14644 8059 9467
"200075_s_at" 15039 8030 10304
"200076_s_at" 19897 3735 8489
"200077_s_at" 6794 15892 9735
"200078_s_at" 14982 7928 6152
"200079_s_at" 17922 9201 18654
"200080_s_at" 15162 6298 9968
"200081_s_at" 18076 17916 10271
"200082_s_at" 16224 8651 9140
"200083_at" 17843 17525 10019
"200084_at" 16335 18890 9373
"200085_s_at" 5524 17449 9505
"200086_s_at" 7870 9591 18683
"200087_s_at" 7837 3495 4686
"200088_x_at" 9938 16487 18966
"200089_s_at" 6144 16791 7729
"200090_at" 4426 9274 8574
"200091_s_at" 16488 19422 8813
"200092_s_at" 7876 4063 17178
"200093_s_at" 5852 18808 9261
"200094_s_at" 6256 15763 2662
"200095_x_at" 10175 11853 18475
