"inst_2192" "inst_3770" "inst_3851" "inst_3945" "inst_4327" "inst_6047"
"1007_s_at" 1486 7981 13229 13960 15627 5128
"1053_at" 19214 7940 18553 17364 16151 16674
"117_at" 17499 12508 11282 6549 15246 8475
"121_at" 13595 16788 18036 17388 16520 17560
"1255_g_at" 11607 12575 6766 6602 12117 8221
"1294_at" 17765 19857 13346 17953 9153 4953
"1316_at" 6247 18663 16656 17748 17707 13880
"1320_at" 10850 1721 754 2537 883 614
"1405_i_at" 16092 12520 6755 9769 4589 12984
"1431_at" 15232 18330 14577 2019 5992 20409
"1438_at" 13193 944 332 1487 2442 1695
"1487_at" 15230 8292 17906 18168 19218 13539
"1494_f_at" 14896 18210 18156 13475 21130 2925
"1598_g_at" 21030 7053 16650 18245 18291 18884
"160020_at" 5046 19790 15179 1096 17749 21105
"1729_at" 21996 20231 21579 20529 21738 21573
"1773_at" 15768 19981 17270 19432 4866 15409
"177_at" 5432 21168 15268 17249 20950 12363
"179_at" 6506 1351 14993 11488 4617 19771
"1861_at" 2333 16657 16738 15947 18557 14924
"200000_s_at" 14366 7313 14146 13884 9920 5862
"200001_at" 4085 7766 6237 10848 16443 4618
"200002_at" 14388 15597 6138 10979 15377 6046
"200003_s_at" 8980 10415 8602 7044 11524 9471
"200004_at" 6264 15780 15077 13003 17004 7004
"200005_at" 17657 14322 18146 18580 16551 16170
"200006_at" 5510 8992 14466 4882 7537 6054
"200007_at" 5660 14779 4666 4457 7839 5450
"200008_s_at" 17940 7108 16874 15765 3322 15891
"200009_at" 15714 15505 16926 13980 9100 16599
"200010_at" 8897 6168 6465 12838 9157 13805
"200011_s_at" 4417 6856 4886 4921 16452 3036
"200012_x_at" 6629 15436 6391 4981 9350 14242
"200013_at" 13797 8232 6244 11112 17070 13529
"200014_s_at" 4247 4463 5429 11056 4094 6036
"200015_s_at" 16266 16075 13765 15193 9497 14690
"200016_x_at" 8916 10350 14832 13968 8653 13616
"200017_at" 9112 10506 8725 7154 11612 9553
"200018_at" 9023 10498 8711 7149 11605 9546
"200019_s_at" 6742 15118 12984 10688 9343 6259
