"inst_1601" "inst_3216" "inst_5339" "inst_6739"
"1007_s_at" 283 3945 3741 16210
"1053_at" 2799 17109 19755 6517
"117_at" 13879 15518 5138 517
"121_at" 17859 8325 15384 4279
"1255_g_at" 9464 13820 11666 14644
"1294_at" 4391 8653 7664 21884
"1316_at" 1734 19730 16255 7861
"1320_at" 15007 12606 2936 21019
"1405_i_at" 5646 3414 13437 11331
"1431_at" 15920 21735 10098 21428
"1438_at" 8548 202 15718 18720
"1487_at" 19329 4848 3861 16671
"1494_f_at" 353 18781 9270 520
"1598_g_at" 4064 8388 68 9049
"160020_at" 2943 20727 20671 7090
"1729_at" 22097 3047 16358 8429
"1773_at" 13857 21530 2203 1696
"177_at" 1475 9886 10270 21398
"179_at" 408 22080 1612 204
"1861_at" 9365 8805 4585 4824
"200000_s_at" 17402 4053 18743 18754
"200001_at" 17755 8960 17712 9883
"200002_at" 4252 16994 16265 15784
"200003_s_at" 17913 11470 2168 11445
"200004_at" 17329 17105 14112 8207
"200005_at" 19387 9644 17547 16286
"200006_at" 19369 8437 13790 8443
"200007_at" 17980 8844 19614 7389
"200008_s_at" 2909 21500 21263 1645
"200009_at" 20414 9035 2798 4848
"200010_at" 2144 16874 16134 6499
"200011_s_at" 16778 4076 14774 17272
"200012_x_at" 2970 16607 4051 18118
"200013_at" 4736 16520 2383 6137
"200014_s_at" 4571 16434 16043 15455
"200015_s_at" 18584 9531 15695 16116
"200016_x_at" 3296 6433 15314 9432
"200017_at" 2207 11558 4629 16136
"200018_at" 3186 11551 17822 7727
"200019_s_at" 19247 8187 19221 9951
"200020_at" 19422 4255 14359 9927
"200021_at" 18872 11644 3195 11565
"200022_at" 18183 17877 2980 9106
"200023_s_at" 18763 9509 18569 16895
"200024_at" 4216 17808 14624 8449
"200025_s_at" 18245 9394 14631 9843
"200026_at" 3554 11646 2191 8455
"200027_at" 5755 8894 19149 7104
"200028_s_at" 4678 4455 17844 6335
"200029_at" 5169 8544 4106 9131
"200030_s_at" 3448 8564 15338 15863
"200031_s_at" 3829 11544 14623 11499
"200032_s_at" 17182 11561 3104 16556
"200033_at" 1791 16907 15453 7537
"200034_s_at" 4832 9216 2284 6678
"200035_at" 5324 2270 721 20056
"200036_s_at" 17186 9296 18799 16249
"200037_s_at" 18460 7655 15605 7325
"200038_s_at" 5239 16093 4144 16431
"200039_s_at" 4490 16893 17203 6994
"200040_at" 21039 6927 16234 8116
"200041_s_at" 17131 16959 14591 16042
"200042_at" 17633 8675 16233 8040
"200043_at" 1928 5011 22116 8066
"200044_at" 18787 6539 14717 4078
"200045_at" 3399 5212 14131 17716
"200046_at" 4756 19018 17515 7653
"200047_s_at" 17027 9028 14003 7045
"200048_s_at" 17044 5780 17161 17163
"200049_at" 676 9245 18315 6686
"200050_at" 4618 2548 18010 2540
"200051_at" 3307 6817 18965 9541
"200052_s_at" 5722 7743 14198 5090
"200053_at" 18713 19943 16397 3669
"200054_at" 19907 7287 16778 18095
"200055_at" 20154 8435 14901 18896
"200056_s_at" 18714 16318 17998 6681
"200057_s_at" 17814 16104 14410 9705
"200058_s_at" 2862 3384 2568 18633
"200059_s_at" 3248 19446 19234 7987
"200060_s_at" 17283 8153 4660 4318
"200061_s_at" 3173 11542 3051 11498
"200062_s_at" 18676 11457 3804 11438
"200063_s_at" 2700 11594 1959 15943
"200064_at" 2471 6578 15409 6168
"200065_s_at" 19979 7778 14436 7187
"200066_at" 1410 8042 17434 16358
"200067_x_at" 21225 17729 18068 9320
"200068_s_at" 2583 4420 4611 6745
"200069_at" 21380 3963 16876 8905
"200070_at" 17259 4562 17566 21499
"200071_at" 5781 8287 4426 4019
