"inst_2386" "inst_5998" "inst_7295" "inst_7417"
"1007_s_at" 7136 1854 5223 15589
"1053_at" 5627 18904 18548 13834
"117_at" 12877 6674 15135 11647
"121_at" 3062 17446 18112 18938
"1255_g_at" 13565 10128 9938 7861
"1294_at" 382 21370 12732 10897
"1316_at" 19830 14965 5437 2654
"1320_at" 12410 16483 14767 2630
"1405_i_at" 2279 777 14970 10202
"1431_at" 8640 8087 11960 12063
"1438_at" 17376 14160 21983 7193
"1487_at" 9573 2527 18358 21239
"1494_f_at" 21717 13445 5359 7195
"1598_g_at" 614 21457 1371 1697
"160020_at" 11427 8192 3801 877
"1729_at" 20981 15823 2068 21560
"1773_at" 1329 5516 2278 15633
"177_at" 20327 8433 11758 7068
"179_at" 21769 5156 6238 21990
"1861_at" 2574 21436 5690 3419
"200000_s_at" 11146 15934 5667 17085
"200001_at" 5958 13465 17572 14484
"200002_at" 6891 15283 3025 14278
"200003_s_at" 13869 6496 5903 14630
"200004_at" 5548 15206 6337 15567
"200005_at" 8766 13515 16567 16716
"200006_at" 9428 15643 4753 15166
"200007_at" 8075 5027 3945 18303
"200008_s_at" 9872 15007 18501 16776
"200009_at" 8310 13671 18564 15910
"200010_at" 10860 6219 3996 15917
"200011_s_at" 6454 19337 18628 3672
"200012_x_at" 20081 5100 5908 15467
"200013_at" 7471 13944 5460 16687
"200014_s_at" 10132 16699 4711 18453
"200015_s_at" 5669 16698 6427 18355
"200016_x_at" 11154 12946 6676 4037
"200017_at" 13970 12923 6119 14088
"200018_at" 13951 5619 5825 3789
"200019_s_at" 9219 6388 4748 4720
"200020_at" 10360 16355 15790 21699
"200021_at" 20533 8426 18528 3891
"200022_at" 9159 6207 4138 14231
"200023_s_at" 5445 13268 2635 16780
"200024_at" 20001 13258 5710 4480
"200025_s_at" 10403 13665 4274 14991
"200026_at" 13809 13979 7186 4860
"200027_at" 8375 5903 2445 16674
"200028_s_at" 9502 15480 15425 17684
"200029_at" 13790 13910 15470 14117
"200030_s_at" 11247 13578 18282 3522
"200031_s_at" 13723 8341 16010 3985
"200032_s_at" 13783 13475 5877 4425
"200033_at" 6166 13425 5964 15652
"200034_s_at" 8751 13795 6737 15527
"200035_at" 20425 19503 20660 17582
"200036_s_at" 9180 13842 5593 14623
"200037_s_at" 5446 14184 6410 15202
"200038_s_at" 13904 13982 7057 15736
"200039_s_at" 9955 14543 4978 4196
"200040_at" 7068 14381 18113 20500
"200041_s_at" 10430 14631 19731 17258
"200042_at" 5140 14678 5726 17307
"200043_at" 19744 13495 3762 16202
"200044_at" 5596 15363 15551 17186
"200045_at" 11470 16662 16472 4074
"200046_at" 6698 6050 4285 3612
"200047_s_at" 6407 13444 3004 4234
"200048_s_at" 6842 13906 3543 16519
"200049_at" 7206 4479 6037 19992
"200050_at" 11114 12948 2475 18568
"200051_at" 20148 5453 5985 21016
"200052_s_at" 9936 14567 4954 17474
"200053_at" 5151 19654 3354 21367
"200054_at" 5690 16247 4290 20032
"200055_at" 8641 15765 20167 16918
"200056_s_at" 4061 20071 3057 18028
"200057_s_at" 8875 13895 17621 4471
"200058_s_at" 8131 17124 16801 19376
"200059_s_at" 7402 13532 4344 16400
"200060_s_at" 6995 16655 5648 16676
"200061_s_at" 13811 8340 16860 13939
"200062_s_at" 13750 8264 16836 4271
"200063_s_at" 20768 14268 6286 14840
"200064_at" 9533 15644 18588 4771
"200065_s_at" 20359 6178 15825 4516
"200066_at" 10902 3655 5235 2470
"200067_x_at" 6378 5448 5423 4466
"200068_s_at" 8467 5685 5588 17476
"200069_at" 6288 16128 6034 15773
"200070_at" 11151 19860 20502 21976
"200071_at" 7438 16244 565 21077
"200072_s_at" 9637 15978 18250 17029
"200073_s_at" 6678 18675 15373 18098
"200074_s_at" 8692 13752 5306 4693
"200075_s_at" 8663 15051 4690 20383
"200076_s_at" 18886 16768 19242 20594
"200077_s_at" 10633 12908 5206 4562
"200078_s_at" 19018 14259 2490 3492
"200079_s_at" 10675 6023 19166 16167
"200080_s_at" 6615 14978 3910 16660
"200081_s_at" 9208 12964 6987 4559
"200082_s_at" 10874 13516 6315 14793
"200083_at" 7059 13257 19368 3677
"200084_at" 5505 16877 6328 15703
"200085_s_at" 9181 13269 6704 14470
"200086_s_at" 5373 17632 3186 15092
"200087_s_at" 4366 13531 4069 4629
"200088_x_at" 13898 8274 15781 14326
"200089_s_at" 8889 13323 3454 14897
"200090_at" 4935 13896 4566 16169
"200091_s_at" 6862 16050 4275 14436
"200092_s_at" 20414 13561 15834 14226
"200093_s_at" 3001 15680 3218 4709
"200094_s_at" 6670 5827 17395 15438
"200095_x_at" 13969 8417 16118 4110
"200096_s_at" 5488 18118 1114 20484
"200097_s_at" 6025 15513 6635 15673
"200098_s_at" 4975 13728 16038 18264
"200099_s_at" 13901 8384 15350 15051
"200593_s_at" 6811 19995 15760 21225
"200594_x_at" 10051 17232 20146 17749
"200595_s_at" 4927 16711 16909 16138
"200596_s_at" 9547 13938 6897 17721
"200597_at" 7536 13092 4510 3169
"200598_s_at" 6568 3618 256 14201
"200599_s_at" 11622 3450 260 14425
"200600_at" 6996 12864 6782 9740
"200601_at" 1802 20640 16761 15052
"200602_at" 3375 17653 1873 4684
"200603_at" 2888 13935 3420 16802
"200604_s_at" 6707 13413 17807 14460
"200605_s_at" 1587 4538 16409 17901
"200606_at" 11191 3926 1821 17874
"200607_s_at" 9021 17464 16185 14412
"200608_s_at" 5300 16005 6354 18463
"200609_s_at" 7238 19600 17695 15563
"200610_s_at" 8007 15153 5994 17715
"200611_s_at" 3456 14014 2705 16835
"200612_s_at" 6453 3678 6450 4222
"200613_at" 18916 14824 15426 16201
"200614_at" 4651 4734 5716 3392
"200615_s_at" 6827 4805 6728 4113
"200616_s_at" 10643 5294 16864 19097
"200617_at" 6642 13817 18605 16430
"200618_at" 3295 14896 15389 3037
"200619_at" 6301 18979 3396 19808
"200620_at" 9454 5366 4987 16532
"200621_at" 4898 5327 3772 3398
"200622_x_at" 9549 14499 18980 4847
"200623_s_at" 20031 18593 21794 4701
"200624_s_at" 11457 14152 17493 13952
"200625_s_at" 9886 15262 16717 3918
"200626_s_at" 8671 14625 19796 15348
"200627_at" 19877 14217 15949 15139
"200628_s_at" 4526 5023 5802 15112
"200629_at" 4498 6156 2585 2313
"200630_x_at" 11643 6392 16884 15150
"200631_s_at" 7365 19453 17410 16412
"200632_s_at" 9383 3449 1135 22113
"200633_at" 7843 6111 6718 13929
"200634_at" 7284 13770 18096 14606
"200635_s_at" 1109 19989 20398 17507
"200636_s_at" 14846 18811 16624 14303
"200637_s_at" 15095 21727 20923 19745
"200638_s_at" 8107 13502 3566 4785
"200639_s_at" 4946 18314 17302 19764
"200640_at" 8061 6242 4810 16397
"200641_s_at" 4994 13046 3695 16352
"200642_at" 10666 5880 5373 14678
"200643_at" 4960 2076 2792 14304
"200644_at" 20140 15304 19560 18673
"200645_at" 6507 5247 17704 3344
"200646_s_at" 3533 3127 21319 20215
"200647_x_at" 8991 5874 3572 17185
"200648_s_at" 19799 4520 21291 14251
"200649_at" 6256 2101 21472 14912
"200650_s_at" 11273 5669 16743 15768
"200651_at" 10924 13056 2980 15090
"200652_at" 5305 2968 2112 14482
"200653_s_at" 1914 19144 16239 16700
"200654_at" 9970 4003 4250 14103
"200655_s_at" 6722 17287 15729 18375
"200656_s_at" 4840 13996 2308 17265
"200657_at" 9692 5958 6708 4838
"200658_s_at" 18943 16335 4191 16440
"200659_s_at" 9265 18303 16566 21332
"200660_at" 6100 3930 6695 4464
"200661_at" 11645 4095 16957 3575
"200662_s_at" 11334 16452 15854 14049
"200663_at" 1672 5081 6693 1907
"200664_s_at" 6755 4323 18172 1775
"200665_s_at" 11669 12129 22071 7344
"200666_s_at" 10970 18186 16141 17298
"200667_at" 11368 15515 5127 15620
"200668_s_at" 11178 13543 6045 15226
