"inst_3797" "inst_3879" "inst_4355" "inst_4533"
"1007_s_at" 3518 18921 3681 13662
"1053_at" 18201 3358 18406 18652
"117_at" 10771 11364 11010 7915
"121_at" 3166 8782 3568 2450
"1255_g_at" 6577 13640 10624 10425
"1294_at" 21693 1938 21926 3298
"1316_at" 12081 1968 3033 21735
"1320_at" 21942 2407 421 8384
"1405_i_at" 7639 10632 12909 7574
"1431_at" 18286 4152 18764 21456
"1438_at" 17053 21188 16383 21849
"1487_at" 13638 5881 6901 21025
"1494_f_at" 11151 2263 13280 4501
"1598_g_at" 12242 20453 13699 5206
"160020_at" 14586 1116 21729 17383
"1729_at" 2147 7066 19194 15801
"1773_at" 4270 7364 2492 15342
"177_at" 303 21411 1183 19800
"179_at" 17815 8446 16129 464
"1861_at" 3627 21493 21200 5546
"200000_s_at" 3835 5622 17552 21152
"200001_at" 3836 6711 15826 19251
"200002_at" 11437 10415 6583 15385
"200003_s_at" 5978 12358 9480 8156
"200004_at" 11529 9849 13876 14165
"200005_at" 10878 7530 15309 14502
"200006_at" 13450 8279 7718 6341
"200007_at" 4408 17210 5104 4974
"200008_s_at" 20452 5928 16324 17828
"200009_at" 12573 8867 15283 15835
"200010_at" 11967 9273 15330 18695
"200011_s_at" 10120 9393 14258 16065
"200012_x_at" 3078 16758 15543 14258
"200013_at" 11765 18046 9391 15682
"200014_s_at" 13002 19877 7110 5945
"200015_s_at" 13074 9228 5449 5073
"200016_x_at" 5904 17375 9387 4989
"200017_at" 6085 12468 9606 8262
"200018_at" 6074 12455 9592 13253
"200019_s_at" 4352 8963 9554 15244
"200020_at" 14222 4233 13898 12982
"200021_at" 6198 12583 9732 8367
"200022_at" 10556 12371 9501 15404
"200023_s_at" 4202 3784 7348 14749
"200024_at" 3983 10398 7730 6420
"200025_s_at" 12067 18240 9590 4638
"200026_at" 6207 17131 9735 5192
"200027_at" 12564 10478 6947 4277
"200028_s_at" 17195 8327 5587 5883
"200029_at" 3887 12407 7715 13490
"200030_s_at" 3347 17098 7332 13774
"200031_s_at" 6063 12445 9582 8238
"200032_s_at" 6091 16711 9609 5472
"200033_at" 10710 7874 5163 3320
"200034_s_at" 11366 9523 7802 15599
"200035_at" 10819 3665 18718 16803
"200036_s_at" 9920 16910 7070 15421
"200037_s_at" 11605 19093 3501 2518
"200038_s_at" 3854 12559 9706 14602
"200039_s_at" 10505 4898 16760 16754
"200040_at" 14135 7165 14105 13306
"200041_s_at" 12595 7451 14581 17589
"200042_at" 12787 6922 16900 19203
"200043_at" 15785 17231 2714 1554
"200044_at" 15134 9508 7173 14382
"200045_at" 12175 4938 16690 18296
"200046_at" 11075 19179 14937 13016
"200047_s_at" 10583 19104 4324 2729
"200048_s_at" 4236 6957 6495 13524
"200049_at" 16972 7014 4195 14262
"200050_at" 13700 8613 6080 2578
"200051_at" 19000 18004 13764 17354
"200052_s_at" 12213 17440 15767 17030
"200053_at" 16637 21208 21386 21170
