"inst_1740" "inst_2889" "inst_6011" "inst_7309"
"1007_s_at" 1354 15555 4781 20237
"1053_at" 4736 13168 7820 4697
"117_at" 4244 8448 10369 14558
"121_at" 17340 12503 20667 17631
"1255_g_at" 8384 7172 11286 9722
"1294_at" 21006 21048 19044 3750
"1316_at" 1570 14655 20896 20005
"1320_at" 7473 960 18093 7780
"1405_i_at" 19941 6588 11385 13748
"1431_at" 13157 930 12619 8637
"1438_at" 7840 19756 6962 6266
"1487_at" 18760 12402 20028 21628
"1494_f_at" 20924 505 830 2678
"1598_g_at" 4886 21946 18933 19342
"160020_at" 20949 113 2910 19605
"1729_at" 2595 15859 19707 1076
"1773_at" 6244 16504 1870 21564
"177_at" 21989 8702 459 11391
"179_at" 17461 21423 14328 16501
"1861_at" 13939 17224 5535 16887
"200000_s_at" 2523 14163 14971 3278
"200001_at" 19554 14030 14393 15848
"200002_at" 5679 10399 18172 15942
"200003_s_at" 17270 10605 16440 15134
"200004_at" 17923 13023 14747 6835
"200005_at" 16679 15304 14406 6228
"200006_at" 17092 11934 16358 17519
"200007_at" 19696 10529 5554 6297
"200008_s_at" 4708 12863 6497 6327
"200009_at" 18613 11335 16812 5581
"200010_at" 17956 2874 14521 14916
"200011_s_at" 20382 16974 3829 6355
"200012_x_at" 4680 3314 7440 6176
"200013_at" 3632 2412 17366 6623
"200014_s_at" 17511 12024 16008 5676
"200015_s_at" 16648 17937 19003 15182
"200016_x_at" 18627 10916 6790 15403
"200017_at" 3969 3523 15982 6407
"200018_at" 6217 3038 15063 15573
"200019_s_at" 4503 11243 16500 16147
"200020_at" 1374 12698 4861 4442
"200021_at" 19916 3553 9847 15802
"200022_at" 19100 11121 16803 5259
"200023_s_at" 17988 13089 16535 6721
"200024_at" 16518 3520 14614 6406
"200025_s_at" 5370 2616 15735 15780
"200026_at" 18654 10375 6281 15613
"200027_at" 5637 12424 15641 16231
"200028_s_at" 20934 11418 5206 5491
"200029_at" 5247 2562 5430 5720
"200030_s_at" 4362 11072 5307 6659
"200031_s_at" 3202 5766 14675 15877
"200032_s_at" 17752 10955 14657 5940
"200033_at" 18743 11747 16048 16026
"200034_s_at" 2674 10675 15365 4593
"200035_at" 21243 2722 5786 17041
"200036_s_at" 17143 11364 15614 15097
"200037_s_at" 17325 10543 14729 6682
"200038_s_at" 16505 2601 16080 15608
"200039_s_at" 17348 14303 7800 17844
"200040_at" 21818 16805 7078 6799
"200041_s_at" 17463 15366 7643 20094
"200042_at" 6017 13557 5001 14785
"200043_at" 17872 11525 17592 16942
"200044_at" 19661 11730 16817 5449
"200045_at" 2427 20099 5967 16115
"200046_at" 18618 3185 16037 15133
"200047_s_at" 18063 2364 14917 6926
"200048_s_at" 6218 11590 17351 15493
"200049_at" 16320 19374 5678 4776
"200050_at" 6231 13226 17447 18254
"200051_at" 3841 18439 15936 21724
"200052_s_at" 16430 11466 16566 15185
"200053_at" 3343 20226 21398 1817
"200054_at" 17639 15571 15234 16003
"200055_at" 18365 17577 15042 18597
"200056_s_at" 19047 19064 14694 19154
"200057_s_at" 16926 2846 6944 5987
"200058_s_at" 5772 14055 15546 17327
"200059_s_at" 17509 2667 16760 4640
"200060_s_at" 5005 14229 6961 6772
"200061_s_at" 4214 5765 15275 4970
"200062_s_at" 18841 5648 9688 6367
"200063_s_at" 6503 5830 15490 4086
"200064_at" 5377 2891 14915 4799
"200065_s_at" 17306 14482 5523 16064
"200066_at" 16452 14931 2050 15759
"200067_x_at" 18014 17749 5274 4192
"200068_s_at" 2479 10558 7086 5472
"200069_at" 21277 19059 17595 21011
"200070_at" 17710 20603 16538 17906
"200071_at" 16076 14835 15257 2253
"200072_s_at" 3653 13420 16010 17077
"200073_s_at" 19398 14301 15113 19733
"200074_s_at" 18197 10495 15994 14917
"200075_s_at" 20555 18227 6452 18326
"200076_s_at" 5653 13329 6336 14873
"200077_s_at" 19983 2594 14300 16767
"200078_s_at" 6425 13980 7647 17306
"200079_s_at" 16905 18086 5321 15737
"200080_s_at" 20681 2025 17575 3219
"200081_s_at" 16223 10951 7829 6036
"200082_s_at" 16920 3320 14759 14909
"200083_at" 2541 17302 18928 15420
"200084_at" 20130 11025 16165 3821
"200085_s_at" 6428 11372 15674 17768
"200086_s_at" 18273 12723 14951 16116
"200087_s_at" 20192 2658 15392 17474
"200088_x_at" 4198 5658 9695 15516
"200089_s_at" 17467 11329 16980 17634
"200090_at" 4287 14242 4354 18865
"200091_s_at" 18253 11501 18680 17766
"200092_s_at" 6161 11080 17480 5884
"200093_s_at" 20495 2153 19460 16826
"200094_s_at" 16102 11569 16813 16195
"200095_x_at" 6469 5900 9842 6485
"200096_s_at" 20839 3061 21119 3860
"200097_s_at" 19399 10425 16384 6437
"200098_s_at" 19815 17682 15822 16812
"200099_s_at" 19683 5844 9805 6530
"200593_s_at" 18002 20451 18473 19189
"200594_x_at" 19677 11123 15898 19478
"200595_s_at" 4879 14808 18859 2148
"200596_s_at" 1760 16086 19189 18078
"200597_at" 5134 12764 18228 18993
"200598_s_at" 19518 14986 16388 16494
"200599_s_at" 3768 11738 2253 16557
"200600_at" 18113 931 14279 6404
"200601_at" 3238 3532 20905 2752
"200602_at" 4987 12854 15732 20099
"200603_at" 21346 11394 18004 15486
"200604_s_at" 17056 13355 4542 3189
"200605_s_at" 18321 12438 19742 3118
"200606_at" 9710 11944 15956 15440
"200607_s_at" 3831 12027 16030 3135
"200608_s_at" 22032 11251 18792 4420
"200609_s_at" 16269 15237 5668 20977
"200610_s_at" 17662 2432 4641 5849
"200611_s_at" 6022 18569 15434 16721
"200612_s_at" 2545 19394 1810 1237
"200613_at" 18681 15477 14427 17440
"200614_at" 5922 11932 6277 6216
"200615_s_at" 5196 10525 17029 4397
"200616_s_at" 6183 15245 15395 17291
"200617_at" 670 17299 7908 18541
"200618_at" 3319 16696 4620 15284
"200619_at" 5021 14998 17581 5238
"200620_at" 4511 10648 14500 6104
"200621_at" 2937 16395 7897 3449
"200622_x_at" 18714 17411 7793 17580
"200623_s_at" 19426 16043 4597 3341
