"inst_3284" "inst_5284" "inst_6684"
"1007_s_at" 5132 19365 14843
"1053_at" 19764 1459 16097
"117_at" 10630 4362 12810
"121_at" 18011 1171 6076
"1255_g_at" 8675 6788 11624
"1294_at" 1968 9388 21062
"1316_at" 18675 8404 14717
"1320_at" 9102 2231 419
"1405_i_at" 6956 4347 19821
"1431_at" 14168 9102 21198
"1438_at" 15463 13673 21275
"1487_at" 20154 21718 3664
"1494_f_at" 18511 4138 20399
"1598_g_at" 16851 21574 18248
"160020_at" 21231 6437 19076
"1729_at" 18126 12748 4815
"1773_at" 2215 19805 7705
"177_at" 7279 11093 3429
"179_at" 22116 12624 21599
"1861_at" 21159 807 15834
"200000_s_at" 14282 18399 8686
"200001_at" 14443 17727 3442
"200002_at" 15971 12519 5732
"200003_s_at" 8646 1589 10295
"200004_at" 4963 12879 6807
"200005_at" 6311 18200 4371
"200006_at" 4191 14751 16316
"200007_at" 3189 14241 5767
"200008_s_at" 1721 20789 2651
"200009_at" 3473 13792 5583
"200010_at" 6306 15271 2885
"200011_s_at" 16121 17450 4054
"200012_x_at" 5698 1551 16278
"200013_at" 13689 13729 15181
"200014_s_at" 16366 22272 16446
"200015_s_at" 17712 16636 16393
"200016_x_at" 5104 13331 7912
"200017_at" 8844 12930 15724
"200018_at" 8816 11295 14828
"200019_s_at" 5977 11603 8891
"200020_at" 5153 17156 5069
"200021_at" 9054 1047 10414
"200022_at" 8680 12475 8594
"200023_s_at" 16657 16016 17489
"200024_at" 4473 12224 14790
"200025_s_at" 8813 1617 7467
"200026_at" 9060 1045 7904
"200027_at" 16414 17740 17519
"200028_s_at" 5372 18670 4360
"200029_at" 14715 11413 7807
"200030_s_at" 4845 13493 4868
"200031_s_at" 8799 1254 10344
"200032_s_at" 8848 1516 17080
"200033_at" 4287 12894 14376
"200034_s_at" 2774 15738 3167
"200035_at" 4837 14296 5844
"200036_s_at" 13759 14354 16987
"200037_s_at" 17858 13740 15690
"200038_s_at" 9017 11867 8145
"200039_s_at" 5956 16278 8565
"200040_at" 5798 17190 8443
"200041_s_at" 6339 16398 5379
"200042_at" 4527 14765 5047
"200043_at" 4200 17569 7867
"200044_at" 5432 16554 7979
"200045_at" 13666 20024 5116
"200046_at" 3675 18510 5064
"200047_s_at" 14200 14742 16014
"200048_s_at" 16066 14347 18679
"200049_at" 1951 13942 4074
"200050_at" 19635 15482 17153
"200051_at" 19238 21946 15711
"200052_s_at" 4377 17934 8133
"200053_at" 19124 16617 4454
"200054_at" 18454 16175 5424
"200055_at" 14828 17049 17342
"200056_s_at" 15990 19394 17573
"200057_s_at" 5416 14996 8807
"200058_s_at" 4257 17186 14916
"200059_s_at" 5169 18411 6068
"200060_s_at" 13791 18863 14352
"200061_s_at" 8797 1624 10342
"200062_s_at" 8620 904 10291
"200063_s_at" 8901 1099 15126
"200064_at" 2391 12574 3265
"200065_s_at" 3275 17748 7489
"200066_at" 4361 16100 4506
"200067_x_at" 16260 13802 17040
"200068_s_at" 14727 15789 8485
"200069_at" 14315 19285 16555
"200070_at" 1601 21750 8372
"200071_at" 15530 15281 8768
"200072_s_at" 6263 16435 4847
"200073_s_at" 17325 18404 14811
"200074_s_at" 5610 11640 8006
"200075_s_at" 16794 17231 8048
"200076_s_at" 5780 13217 8007
"200077_s_at" 4952 13060 7062
"200078_s_at" 17123 16910 7512
"200079_s_at" 15398 17620 7635
"200080_s_at" 5639 1352 5072
"200081_s_at" 2397 12205 2466
"200082_s_at" 4586 12559 6103
"200083_at" 19806 21025 16384
"200084_at" 5577 18634 4936
"200085_s_at" 15379 17974 7604
"200086_s_at" 5342 12705 19381
"200087_s_at" 5747 17882 4792
"200088_x_at" 8638 11265 15002
"200089_s_at" 13641 12889 17379
"200090_at" 17314 21271 15687
"200091_s_at" 14406 12164 8516
"200092_s_at" 15789 876 17438
"200093_s_at" 1935 16768 16057
"200094_s_at" 5745 17023 7314
"200095_x_at" 9031 916 10406
"200096_s_at" 3666 20256 15151
"200097_s_at" 13936 16239 5284
"200098_s_at" 15615 17363 19318
"200099_s_at" 8921 11262 16429
"200593_s_at" 3506 16524 4250
"200594_x_at" 14870 16488 2534
"200595_s_at" 16669 18858 8241
"200596_s_at" 3024 17987 5634
"200597_at" 3957 12987 2216
"200598_s_at" 5353 17513 16973
"200599_s_at" 4891 15596 6251
"200600_at" 11708 10222 1476
"200601_at" 14732 13857 14755
"200602_at" 5152 17441 17667
"200603_at" 14588 15592 15539
"200604_s_at" 5105 21847 2108
"200605_s_at" 3988 19762 8052
"200606_at" 14853 19309 14362
"200607_s_at" 4475 20481 17655
"200608_s_at" 15462 13863 14581
"200609_s_at" 3367 15046 17298
"200610_s_at" 3297 18237 3570
"200611_s_at" 3809 19686 4945
"200612_s_at" 1917 15720 5511
"200613_at" 17001 13071 7570
"200614_at" 4294 12524 14758
"200615_s_at" 16250 13439 5519
"200616_s_at" 5876 16504 19070
