"inst_1687" "inst_1809" "inst_1851" "inst_7019" "inst_7259"
"1007_s_at" 1816 4721 2338 14984 19529
"1053_at" 18394 21242 18729 1797 1533
"117_at" 12854 10807 955 7168 14638
"121_at" 18953 20823 20679 1452 4238
"1255_g_at" 11183 14191 7541 11419 11101
"1294_at" 1045 14558 3260 9192 10243
"1316_at" 808 12969 8286 9634 19485
"1320_at" 8545 14852 4034 12087 9778
"1405_i_at" 13292 10749 20868 7525 524
"1431_at" 9870 9822 8881 6394 16527
"1438_at" 14894 15857 12170 3004 19697
"1487_at" 17251 20475 16928 20907 20627
"1494_f_at" 18017 12468 7908 4321 15066
"1598_g_at" 1661 7030 337 20864 7108
"160020_at" 3094 26 9683 6576 4867
"1729_at" 17686 97 20104 2500 1926
"1773_at" 15705 7489 14370 2117 21147
"177_at" 8272 12406 20986 9496 9879
"179_at" 5045 21609 2963 299 3968
"1861_at" 21820 10292 18888 17855 18060
"200000_s_at" 17395 7428 21470 19750 2038
"200001_at" 2704 6960 19564 14139 4999
"200002_at" 3659 9718 18492 2051 3267
"200003_s_at" 15750 19638 16260 3534 7142
"200004_at" 17804 8008 15579 17555 5902
"200005_at" 14669 5631 14407 15241 17355
"200006_at" 4422 20216 18631 13974 5381
"200007_at" 17420 4342 17303 4157 4296
"200008_s_at" 3664 4757 13747 15810 19294
"200009_at" 15363 8576 14771 14308 16953
"200010_at" 15293 5907 14674 4442 18623
"200011_s_at" 19039 6489 13760 14259 2985
"200012_x_at" 4087 21421 2818 3918 7141
"200013_at" 14956 20178 13480 3980 7264
"200014_s_at" 5235 20238 20834 15958 4858
"200015_s_at" 16151 9005 16316 13358 3439
"200016_x_at" 14433 6630 2488 16183 6725
"200017_at" 15298 20486 3155 3154 7288
"200018_at" 5451 19668 14627 3651 6910
"200019_s_at" 5646 7881 17866 3236 6422
"200020_at" 20854 651 18060 17224 1624
"200021_at" 15742 9918 16558 2627 18743
"200022_at" 4461 10364 13828 14201 4392
"200023_s_at" 16683 20136 16940 13794 5166
"200024_at" 3138 20306 3486 13527 17843
"200025_s_at" 14662 20809 3200 4238 3425
"200026_at" 3607 10120 3309 3921 16962
"200027_at" 15540 20407 19884 14866 17699
"200028_s_at" 19452 7739 15038 18954 4627
"200029_at" 5382 10260 3076 13524 17453
"200030_s_at" 5493 9327 14283 3960 7744
"200031_s_at" 4908 20758 2447 3511 16866
"200032_s_at" 3767 21002 1438 3637 17502
"200033_at" 15799 19906 13800 15458 6156
"200034_s_at" 2951 21494 16392 16352 7505
"200035_at" 22253 4250 1268 19057 20913
"200036_s_at" 3462 10145 2122 4009 17809
"200037_s_at" 17366 2408 19250 3693 6103
"200038_s_at" 16552 9860 2376 14761 17275
"200039_s_at" 4268 10081 2680 1703 4668
"200040_at" 14199 4090 14928 17667 3901
"200041_s_at" 4800 6498 18639 14507 17193
"200042_at" 18278 5681 18821 14409 6918
"200043_at" 17025 5920 16999 4404 4581
"200044_at" 4023 7155 18225 13495 4617
"200045_at" 19356 19492 13968 17891 19996
"200046_at" 16609 7361 16467 15741 6779
"200047_s_at" 18552 3828 19041 14230 4404
"200048_s_at" 18127 5982 21875 14733 7711
"200049_at" 5411 8269 1996 18449 3746
"200050_at" 21220 9 2405 19068 7441
"200051_at" 17652 7102 20398 18494 5573
"200052_s_at" 5133 6648 16670 16870 5593
"200053_at" 5029 9130 17227 21237 20585
"200054_at" 21648 8819 17295 16764 6125
"200055_at" 5241 9008 14607 15038 8088
"200056_s_at" 18771 1597 16949 20696 2444
"200057_s_at" 14621 6361 13003 14790 7891
"200058_s_at" 17505 6008 16256 14090 6870
"200059_s_at" 16407 9293 2998 13399 7537
"200060_s_at" 21499 5762 18006 17765 16796
"200061_s_at" 4897 21089 14563 14980 18274
"200062_s_at" 4786 20591 1936 3753 17148
"200063_s_at" 5083 20627 3175 13333 7761
"200064_at" 19209 20739 15948 15679 8057
"200065_s_at" 16548 9286 14721 14290 7563
"200066_at" 14216 10345 18003 14089 18826
"200067_x_at" 17241 4952 17015 3485 5155
"200068_s_at" 18241 5189 15608 16314 7148
"200069_at" 18111 1448 14707 15887 6690
"200070_at" 18677 8496 891 14352 7172
"200071_at" 21277 3988 15481 14642 7186
"200072_s_at" 17239 4035 20033 16613 17351
"200073_s_at" 16489 9335 18326 17266 3317
"200074_s_at" 14879 9367 13307 3845 6392
"200075_s_at" 14781 20403 20649 19521 6467
"200076_s_at" 17231 4487 18572 4451 5439
"200077_s_at" 5242 7831 13065 14295 5323
"200078_s_at" 19536 6411 17196 17648 19373
"200079_s_at" 5642 8426 15111 14064 17368
"200080_s_at" 4914 8524 13982 16535 2670
"200081_s_at" 4082 9350 13560 2962 8102
"200082_s_at" 3486 19709 17063 3265 7948
"200083_at" 20188 5701 14619 18118 17380
"200084_at" 16497 3360 15807 15670 6093
"200085_s_at" 4419 10325 17051 4491 6958
"200086_s_at" 3441 20438 19701 14723 4547
"200087_s_at" 16231 6026 21202 16974 6571
"200088_x_at" 4598 19989 1887 3948 8108
"200089_s_at" 5564 19682 3070 15074 20921
"200090_at" 3240 20163 17111 19916 7371
"200091_s_at" 4635 20558 2936 4259 5495
"200092_s_at" 4368 9067 16088 2663 4484
"200093_s_at" 15916 8555 18290 3949 3394
"200094_s_at" 5300 9758 12882 13863 18958
"200095_x_at" 5347 19735 13343 3658 17284
"200096_s_at" 5134 5766 15638 2873 7183
"200097_s_at" 18813 692 17988 16873 5094
"200098_s_at" 18259 5253 18422 14302 4250
"200099_s_at" 4170 9326 2747 15008 18585
"200593_s_at" 15091 19732 13342 17561 2835
"200594_x_at" 14795 3743 14044 14613 5728
"200595_s_at" 20546 2563 19365 17624 1800
"200596_s_at" 15157 6697 19905 13837 7707
"200597_at" 17973 21643 14951 19554 604
"200598_s_at" 1592 10134 14419 16991 4123
"200599_s_at" 15165 1027 21265 15021 6846
"200600_at" 8627 5356 17939 10185 3832
"200601_at" 21767 1535 21413 4365 445
"200602_at" 18433 349 17368 15301 2525
"200603_at" 18919 4787 17466 17723 3487
"200604_s_at" 14736 2192 18925 14559 6548
"200605_s_at" 14148 891 19941 16979 7946
"200606_at" 15259 1011 5972 2754 1569
"200607_s_at" 2899 19900 2697 15255 17369
"200608_s_at" 16821 5282 20123 16399 3946
"200609_s_at" 15455 6618 14486 19100 7223
"200610_s_at" 18197 6972 16308 4081 4150
"200611_s_at" 18410 5573 15364 14979 7807
"200612_s_at" 596 246 21024 2614 2800
"200613_at" 17026 6464 19015 13385 6719
"200614_at" 5470 8599 16804 4399 7092
