"inst_1775" "inst_2767" "inst_5789" "inst_6263"
"1007_s_at" 5636 20952 9023 4047
"1053_at" 6170 14971 18828 11353
"117_at" 668 11772 13684 16264
"121_at" 20597 3628 5450 2769
"1255_g_at" 4604 8574 11253 15166
"1294_at" 20090 18706 20286 21462
"1316_at" 18986 21273 22146 8566
"1320_at" 7876 9598 5684 12791
"1405_i_at" 3107 5173 15290 18950
"1431_at" 14735 6954 4211 1255
"1438_at" 8074 21803 18268 1642
"1487_at" 18289 15065 6458 778
"1494_f_at" 6528 16976 587 8480
"1598_g_at" 3074 20514 7139 1959
"160020_at" 17150 14926 8023 1245
"1729_at" 4079 20416 16751 10873
"1773_at" 5665 1133 7827 1334
"177_at" 20667 6026 1445 14073
"179_at" 21412 16273 4975 1369
"1861_at" 12652 20015 6411 5520
"200000_s_at" 6621 17569 18109 928
"200001_at" 6095 17704 10020 5438
"200002_at" 18380 14459 8628 10144
"200003_s_at" 5036 4933 12368 19965
"200004_at" 20215 13213 16950 8424
"200005_at" 6195 16231 6698 5646
"200006_at" 6714 13491 16955 10238
"200007_at" 4049 15113 7870 6495
"200008_s_at" 5811 3855 9111 4218
"200009_at" 5233 4848 10129 8998
"200010_at" 18657 2934 9146 9366
"200011_s_at" 18744 15080 10018 2892
"200012_x_at" 19053 5002 18781 19738
"200013_at" 6306 4311 16849 20159
"200014_s_at" 4675 14060 10555 9802
"200015_s_at" 5986 15421 17166 6917
"200016_x_at" 19537 12806 10254 10480
"200017_at" 5468 7570 16634 10962
"200018_at" 5868 3921 9590 19837
"200019_s_at" 6520 13366 9930 19681
"200020_at" 4552 14635 5800 6405
"200021_at" 22266 3445 16913 20821
"200022_at" 5487 3540 16782 10126
"200023_s_at" 17794 15379 10316 9286
"200024_at" 5650 12603 7750 10103
"200025_s_at" 16953 4144 16535 10613
"200026_at" 21061 3431 17609 19520
"200027_at" 17711 17418 8139 7156
"200028_s_at" 4982 15977 8752 8298
"200029_at" 16917 16807 10354 20202
"200030_s_at" 6495 13963 17506 9553
"200031_s_at" 4654 7534 16391 19880
"200032_s_at" 5605 7573 10692 20034
