"inst_2372" "inst_5044" "inst_5463" "inst_7404"
"1007_s_at" 407 5280 13356 15306
"1053_at" 18585 20580 13900 17195
"117_at" 5356 1062 5510 6938
"121_at" 17568 2784 928 15725
"1255_g_at" 7679 5999 5513 8912
"1294_at" 434 876 2567 2693
"1316_at" 20993 695 1027 1018
"1320_at" 7220 13869 7929 6677
"1405_i_at" 17753 7722 1997 11214
"1431_at" 8966 20912 15466 13028
"1438_at" 10283 16518 811 11660
"1487_at" 16501 18343 14140 18067
"1494_f_at" 21840 12271 4521 12344
"1598_g_at" 137 2987 19222 18339
"160020_at" 3128 1638 4004 3991
"1729_at" 17964 18899 13053 20120
"1773_at" 563 19836 2384 5349
"177_at" 21598 19928 40 12146
"179_at" 16632 21249 8396 2825
"1861_at" 3908 11887 3971 5781
"200000_s_at" 2156 21093 18547 19658
"200001_at" 5258 5301 17028 15316
"200002_at" 4026 14468 15408 16461
"200003_s_at" 7472 7792 17247 15658
"200004_at" 13996 12862 17902 16892
"200005_at" 15191 15218 17963 14670
"200006_at" 13414 14068 16203 17383
"200007_at" 13614 11339 12988 5209
"200008_s_at" 21486 12925 17661 17487
"200009_at" 14448 13760 15018 15881
"200010_at" 14696 16294 16506 16255
"200011_s_at" 2605 12729 4587 16730
"200012_x_at" 3093 4241 3225 3714
"200013_at" 13006 14911 16570 18927
"200014_s_at" 13648 13585 14582 2018
"200015_s_at" 14878 18803 12555 17254
"200016_x_at" 15186 11187 4831 3248
"200017_at" 7573 21254 17041 5454
"200018_at" 7541 14391 15198 14778
"200019_s_at" 4753 13329 16298 15736
"200020_at" 2796 15403 12849 18319
"200021_at" 2434 7901 7143 1650
"200022_at" 4213 15490 13952 5065
"200023_s_at" 14154 11742 11960 15702
"200024_at" 3382 16269 16848 5573
"200025_s_at" 4068 4472 5175 14960
"200026_at" 7717 13105 14237 4417
"200027_at" 12966 14173 17512 5252
"200028_s_at" 15296 3414 4324 3505
"200029_at" 7461 12780 4570 4767
"200030_s_at" 4269 11940 4816 14898
"200031_s_at" 7564 7842 13852 2596
"200032_s_at" 7482 15765 15618 14731
"200033_at" 14707 15013 18112 15609
"200034_s_at" 3041 16554 13878 17212
"200035_at" 5206 5302 17454 20715
"200036_s_at" 14034 14148 4606 16741
"200037_s_at" 5330 13506 12619 4074
"200038_s_at" 7628 13107 13078 15511
"200039_s_at" 14030 16930 18113 5555
"200040_at" 13311 15348 16431 15677
"200041_s_at" 5146 17767 17974 19064
"200042_at" 14886 17697 17845 2659
"200043_at" 4150 15690 15644 1054
"200044_at" 13198 15828 13341 5404
"200045_at" 15608 14246 12719 17694
"200046_at" 13071 14605 15386 18582
"200047_s_at" 16898 15366 15295 5371
"200048_s_at" 15832 16602 15683 17502
"200049_at" 14259 3884 1235 1076
"200050_at" 18341 19153 17161 14807
"200051_at" 2919 19888 18425 21193
"200052_s_at" 18316 17246 17793 18136
"200053_at" 20233 16385 18224 19669
"200054_at" 4259 15739 16223 3743
"200055_at" 14627 11772 12665 19029
"200056_s_at" 16688 19872 19054 3315
"200057_s_at" 4321 12382 11855 16174
"200058_s_at" 3563 13936 15204 16128
"200059_s_at" 15921 13477 16014 4023
"200060_s_at" 14712 15822 19210 18044
"200061_s_at" 7634 7841 5057 16512
"200062_s_at" 7544 7786 7045 15373
"200063_s_at" 7635 7870 7120 5605
"200064_at" 5498 13503 13276 17408
"200065_s_at" 13117 12772 14471 17519
"200066_at" 15359 19791 12274 5344
"200067_x_at" 15166 17016 13594 15403
"200068_s_at" 2789 12024 12471 5139
"200069_at" 5060 18730 18695 1839
"200070_at" 14823 3971 11776 20319
"200071_at" 13647 16312 17660 18850
"200072_s_at" 16027 14585 16682 15825
"200073_s_at" 15093 14307 18061 5019
"200074_s_at" 15657 13999 16055 17902
"200075_s_at" 17179 17661 18768 18856
"200076_s_at" 16164 18670 14232 15900
"200077_s_at" 5130 5162 12938 4132
"200078_s_at" 16697 13763 13812 16181
"200079_s_at" 17820 16892 18197 15918
"200080_s_at" 13358 13210 13987 15957
"200081_s_at" 4398 14229 16568 5391
"200082_s_at" 13327 14718 13557 15554
"200083_at" 13451 11518 12791 2740
"200084_at" 13916 17971 15265 4057
"200085_s_at" 4962 11182 15826 18181
"200086_s_at" 14654 16927 16406 4880
"200087_s_at" 13570 16724 16004 4618
"200088_x_at" 7474 5552 4948 5236
"200089_s_at" 13921 15062 13019 17893
"200090_at" 13796 12776 18493 5734
"200091_s_at" 4911 21321 19090 16242
