"inst_866" "inst_918" "inst_974"
"1007_s_at" 17991 7237 3291
"1053_at" 20402 17316 6930
"117_at" 13377 11209 8958
"121_at" 21783 22157 7840
"1255_g_at" 10863 11763 12301
"1294_at" 6145 9938 17004
"1316_at" 14638 7522 12919
"1320_at" 8663 14770 11652
"1405_i_at" 11154 2016 15477
"1431_at" 400 16410 10105
"1438_at" 21302 17825 617
"1487_at" 4660 19120 20386
"1494_f_at" 16510 15819 17365
"1598_g_at" 20574 1643 1113
"160020_at" 10024 264 13095
"1729_at" 4206 2799 957
"1773_at" 22051 8153 21788
"177_at" 9430 11781 15339
"179_at" 20471 20921 1060
"1861_at" 19179 18297 18517
"200000_s_at" 7183 8280 6534
"200001_at" 18379 18769 8060
"200002_at" 3026 17362 7759
"200003_s_at" 10429 12367 4843
"200004_at" 17173 17305 5468
"200005_at" 5791 7806 7471
"200006_at" 6737 7904 8066
"200007_at" 4215 5571 3618
"200008_s_at" 7525 2721 19980
"200009_at" 17562 7473 7067
"200010_at" 5694 6348 6205
"200011_s_at" 18370 18203 6703
"200012_x_at" 7638 17071 6577
"200013_at" 3813 18035 7906
"200014_s_at" 18097 7379 7805
"200015_s_at" 19737 7244 4459
"200016_x_at" 7404 12104 8552
"200017_at" 10700 12427 8574
"200018_at" 16934 8279 7614
"200019_s_at" 17053 18078 7141
"200020_at" 17096 5418 7182
"200021_at" 10535 12029 4642
"200022_at" 10685 12141 5859
"200023_s_at" 17388 4202 5796
"200024_at" 17841 18421 18184
"200025_s_at" 17552 7793 18320
"200026_at" 7540 20354 3939
"200027_at" 6227 18145 7367
"200028_s_at" 17489 7104 4532
"200029_at" 17238 18151 19138
"200030_s_at" 7345 19036 8454
"200031_s_at" 10762 12422 7313
"200032_s_at" 10853 12115 19672
"200033_at" 4130 6903 5099
"200034_s_at" 5937 18847 7981
"200035_at" 6197 7437 1482
"200036_s_at" 5197 19403 18364
"200037_s_at" 16923 18162 5560
"200038_s_at" 10884 12716 19359
"200039_s_at" 18082 6755 18231
"200040_at" 4282 6376 5618
"200041_s_at" 5229 7370 3346
"200042_at" 17567 17908 19953
"200043_at" 5479 5878 19216
"200044_at" 18459 4180 6370
"200045_at" 19953 17477 7076
"200046_at" 17496 17187 7293
"200047_s_at" 18510 7647 2995
"200048_s_at" 6234 18490 5725
"200049_at" 20984 19256 19539
"200050_at" 4976 21134 458
"200051_at" 3760 21662 2725
"200052_s_at" 6395 7347 7232
"200053_at" 20520 3359 8047
"200054_at" 6626 17565 4253
"200055_at" 17235 18579 3093
"200056_s_at" 1529 20019 7297
"200057_s_at" 18218 18543 5518
"200058_s_at" 7491 19488 5650
"200059_s_at" 2084 5373 7560
"200060_s_at" 4209 8071 2072
"200061_s_at" 10902 12609 18369
"200062_s_at" 10905 12407 11776
"200063_s_at" 10408 12101 19379
"200064_at" 7573 8317 6612
"200065_s_at" 17623 8418 5284
"200066_at" 579 19856 7312
"200067_x_at" 20584 7873 19307
"200068_s_at" 6457 3846 6270
"200069_at" 6772 2119 3761
"200070_at" 19070 20723 2816
"200071_at" 17756 7722 6383
"200072_s_at" 5394 7697 4825
"200073_s_at" 2699 17828 18618
"200074_s_at" 5782 17635 6367
"200075_s_at" 7319 17521 4538
"200076_s_at" 7234 5280 18456
"200077_s_at" 4980 6273 6625
"200078_s_at" 7613 4860 3322
"200079_s_at" 17229 17544 4837
"200080_s_at" 17377 17631 2150
"200081_s_at" 6752 5955 7856
"200082_s_at" 6974 17630 20072
"200083_at" 6257 8530 4708
"200084_at" 6353 8262 7375
"200085_s_at" 5992 6879 6579
"200086_s_at" 18305 8165 19786
"200087_s_at" 16959 19086 3349
"200088_x_at" 10553 12164 19472
"200089_s_at" 6891 18938 7261
"200090_at" 5542 754 2360
"200091_s_at" 4452 19903 6488
"200092_s_at" 7160 20238 20447
"200093_s_at" 4566 6638 5450
"200094_s_at" 4386 6539 19183
"200095_x_at" 10946 12337 18374
"200096_s_at" 19814 18799 232
"200097_s_at" 20771 6186 5681
"200098_s_at" 6444 7396 18454
"200099_s_at" 10420 12257 8179
"200593_s_at" 18005 17380 6430
"200594_x_at" 19707 18102 7127
