"inst_2966" "inst_3528" "inst_7470"
"1007_s_at" 15675 6293 18880
"1053_at" 3377 7261 2781
"117_at" 18512 12685 10208
"121_at" 20035 4425 22173
"1255_g_at" 8804 12730 14497
"1294_at" 2141 380 9544
"1316_at" 12080 4123 17360
"1320_at" 6472 1869 8965
"1405_i_at" 19163 9284 11285
"1431_at" 762 16601 10057
"1438_at" 4843 17927 2666
"1487_at" 2940 18949 21406
"1494_f_at" 6508 504 16765
"1598_g_at" 17507 1629 20078
"160020_at" 18485 436 4523
"1729_at" 17711 17073 1487
"1773_at" 559 8523 20464
"177_at" 20170 14009 8875
"179_at" 22014 21104 311
"1861_at" 2899 6920 19610
"200000_s_at" 12986 18420 17221
"200001_at" 15105 4487 4412
"200002_at" 13786 7020 8003
"200003_s_at" 12345 5831 6607
"200004_at" 16088 6909 7671
"200005_at" 12729 8198 17024
"200006_at" 13724 16142 7863
"200007_at" 14215 19964 16825
"200008_s_at" 17306 3584 5536
"200009_at" 14565 6658 6409
"200010_at" 2739 6680 7319
"200011_s_at" 12086 16235 8058
"200012_x_at" 2301 6662 17192
"200013_at" 11871 8670 18619
"200014_s_at" 14155 8442 20546
"200015_s_at" 18063 19074 17129
"200016_x_at" 3071 16344 17900
"200017_at" 11889 17378 19276
"200018_at" 6209 17989 7114
"200019_s_at" 13027 18243 5016
"200020_at" 13864 8797 4104
"200021_at" 418 10991 18133
"200022_at" 3179 6173 6452
"200023_s_at" 15411 16832 17251
"200024_at" 2967 8135 6649
"200025_s_at" 12394 16467 7178
"200026_at" 6462 19063 17945
"200027_at" 13556 17594 6942
"200028_s_at" 3319 16625 6714
"200029_at" 3320 8583 6351
"200030_s_at" 14612 16080 6887
"200031_s_at" 6184 16910 7334
"200032_s_at" 6242 16399 7269
"200033_at" 13266 18942 17584
"200034_s_at" 3349 18073 7625
"200035_at" 15534 3276 4779
"200036_s_at" 12483 18136 17754
"200037_s_at" 14560 17218 19094
"200038_s_at" 6417 15150 18105
"200039_s_at" 2856 8401 17696
"200040_at" 12270 16310 6606
"200041_s_at" 14310 15381 6012
"200042_at" 16103 7625 6365
"200043_at" 16962 18901 19139
"200044_at" 15664 6415 7466
"200045_at" 14803 17376 3209
"200046_at" 14475 5362 5154
"200047_s_at" 15121 19244 17885
"200048_s_at" 13808 17242 17122
"200049_at" 18233 3197 18643
"200050_at" 14463 21291 8190
"200051_at" 13660 19602 17488
"200052_s_at" 14327 5989 7877
"200053_at" 14119 1277 7461
"200054_at" 16519 6712 20443
"200055_at" 14206 6732 5610
"200056_s_at" 12210 5421 20103
"200057_s_at" 1942 18777 6865
"200058_s_at" 17070 8648 5603
"200059_s_at" 13467 17409 8064
"200060_s_at" 11991 16077 17126
"200061_s_at" 6181 7018 7992
"200062_s_at" 11747 10881 7568
"200063_s_at" 2881 6740 17999
"200064_at" 12500 4938 17127
"200065_s_at" 14314 3946 2559
"200066_at" 15789 16736 5756
"200067_x_at" 13377 8879 5692
"200068_s_at" 12657 8144 8241
"200069_at" 14153 4747 19764
"200070_at" 14771 17062 2451
"200071_at" 19653 16032 17602
"200072_s_at" 13117 8618 8076
"200073_s_at" 13488 18244 4318
"200074_s_at" 13290 15641 19086
"200075_s_at" 19773 15867 5773
"200076_s_at" 16724 7706 5515
"200077_s_at" 2971 7142 17244
"200078_s_at" 15996 16420 3293
"200079_s_at" 12141 17758 3870
"200080_s_at" 12877 19322 19846
"200081_s_at" 11847 6459 7113
"200082_s_at" 3393 7974 17346
"200083_at" 20116 16796 8104
"200084_at" 14732 16328 17725
"200085_s_at" 12013 8507 7764
"200086_s_at" 14479 17810 8047
"200087_s_at" 18767 17824 21244
"200088_x_at" 5988 10886 16962
"200089_s_at" 12284 6922 16913
"200090_at" 14839 15453 18314
"200091_s_at" 15803 18660 19243
"200092_s_at" 12774 15985 17143
"200093_s_at" 17264 17493 17869
"200094_s_at" 12910 7832 5256
"200095_x_at" 3153 10985 7563
"200096_s_at" 18562 3580 6142
"200097_s_at" 14619 6985 17840
"200098_s_at" 13404 7159 18655
"200099_s_at" 6324 17373 19240
"200593_s_at" 12849 18178 7203
"200594_x_at" 11952 8704 18603
