"inst_7498" "inst_7530" "inst_7535"
"1007_s_at" 12425 13306 4018
"1053_at" 16723 15417 16027
"117_at" 7101 8396 13817
"121_at" 17074 2779 6320
"1255_g_at" 6070 11330 10326
"1294_at" 1550 261 2066
"1316_at" 15180 17276 5735
"1320_at" 10649 11898 13650
"1405_i_at" 14085 18702 7557
"1431_at" 13102 19390 14194
"1438_at" 3585 1906 1657
"1487_at" 3461 2042 2437
"1494_f_at" 843 5189 14314
"1598_g_at" 155 1378 4382
"160020_at" 3504 17722 6012
"1729_at" 12297 13980 15225
"1773_at" 18212 18837 18048
"177_at" 10524 17935 13969
"179_at" 4307 5860 19407
"1861_at" 2494 2617 4074
"200000_s_at" 17540 13344 15885
"200001_at" 11941 4268 3409
"200002_at" 4685 5438 4283
"200003_s_at" 4699 6946 15042
"200004_at" 15059 6130 6551
"200005_at" 4606 5557 3438
"200006_at" 3360 5611 5486
"200007_at" 3484 5281 4373
"200008_s_at" 21578 6836 6087
"200009_at" 15547 13501 15744
"200010_at" 13270 7021 4864
"200011_s_at" 13203 12103 4250
"200012_x_at" 4244 7087 15330
"200013_at" 12501 5725 6748
"200014_s_at" 4584 6911 6391
"200015_s_at" 12210 6683 5647
"200016_x_at" 12327 12790 14902
"200017_at" 3519 6458 14335
"200018_at" 12336 7290 6316
"200019_s_at" 3350 6868 14386
"200020_at" 20207 19924 19400
"200021_at" 3195 12710 15835
"200022_at" 4224 7208 4648
"200023_s_at" 3872 3088 5038
"200024_at" 4581 6200 7078
"200025_s_at" 3884 6658 6044
"200026_at" 3774 6467 14340
"200027_at" 12010 5116 5087
"200028_s_at" 13874 14361 14398
"200029_at" 3480 12170 6606
"200030_s_at" 11910 5082 6444
"200031_s_at" 3781 6582 14874
"200032_s_at" 3992 6244 6656
"200033_at" 14037 6815 6245
"200034_s_at" 3798 6646 7010
"200035_at" 4847 6630 4888
"200036_s_at" 12915 6343 6449
"200037_s_at" 14371 12953 15311
"200038_s_at" 4961 7237 6086
"200039_s_at" 15089 12956 6747
"200040_at" 16758 15322 16869
"200041_s_at" 4583 6298 4062
"200042_at" 15386 14675 17330
"200043_at" 13386 6267 15614
