"inst_2711" "inst_3451" "inst_5812" "inst_7170"
"1007_s_at" 1939 2035 2596 3711
"1053_at" 5441 15932 5851 4839
"117_at" 13566 12253 12407 12583
"121_at" 6463 1332 19853 19517
"1255_g_at" 10820 6881 12700 9375
"1294_at" 16204 7365 15767 10755
"1316_at" 1577 14913 19748 12667
"1320_at" 9645 7151 7951 14279
"1405_i_at" 19711 12602 18864 13648
"1431_at" 21328 6379 1074 13691
"1438_at" 6436 1047 10494 15631
"1487_at" 18976 3610 3665 20726
"1494_f_at" 21254 1487 3620 8317
"1598_g_at" 15452 21816 2537 22190
"160020_at" 2077 17281 18419 14007
"1729_at" 4295 1987 2978 21071
"1773_at" 1329 2172 21743 19620
"177_at" 2609 6473 9277 12856
"179_at" 19055 461 11819 21830
"1861_at" 5246 19514 17873 20014
"200000_s_at" 16499 4773 18932 1759
"200001_at" 14231 4202 15368 6574
"200002_at" 13752 13872 14273 4874
"200003_s_at" 8435 4058 3935 4456
"200004_at" 6106 15794 17668 5894
"200005_at" 15980 15553 14515 6109
"200006_at" 16325 14337 5741 5060
"200007_at" 15385 4593 18167 15384
"200008_s_at" 3740 17748 18769 3268
"200009_at" 6781 13831 5185 3904
"200010_at" 8437 16683 15600 5598
"200011_s_at" 15139 13937 6749 18147
"200012_x_at" 8389 17909 15152 15468
"200013_at" 8355 19383 14329 15947
"200014_s_at" 14227 14939 14957 6578
"200015_s_at" 19244 16045 16650 16244
"200016_x_at" 8354 15442 5413 15612
"200017_at" 8543 4388 4009 4878
"200018_at" 8533 4377 5757 15784
"200019_s_at" 8504 14711 4539 15778
"200020_at" 17629 19113 3852 5824
"200021_at" 8654 13225 14865 15929
"200022_at" 8453 15039 14282 15491
"200023_s_at" 14097 2123 5609 16451
"200024_at" 8507 13278 5561 4406
"200025_s_at" 8532 4703 5048 15597
"200026_at" 8659 3075 4925 6602
"200027_at" 18366 2610 18214 4522
"200028_s_at" 18038 2921 4596 5907
"200029_at" 8490 13456 15282 17715
"200030_s_at" 13613 3104 14611 6501
"200031_s_at" 8522 14539 14674 6179
"200032_s_at" 8545 13335 5387 16525
"200033_at" 6569 13541 14290 5533
"200034_s_at" 8443 17775 6625 16080
"200035_at" 17342 18498 21188 17160
"200036_s_at" 8423 13667 16232 15640
"200037_s_at" 14623 4109 16984 17176
"200038_s_at" 8630 13894 15935 15981
"200039_s_at" 17571 2436 6032 16390
"200040_at" 15977 13271 18176 16424
"200041_s_at" 14734 14140 18713 4055
"200042_at" 5248 17772 17113 17094
"200043_at" 19722 17454 15606 17573
"200044_at" 17891 16592 5930 17300
"200045_at" 16498 13623 17718 16342
"200046_at" 13422 3847 16749 16715
"200047_s_at" 18193 1840 16609 2992
"200048_s_at" 17729 13202 15384 6432
"200049_at" 13989 13575 4608 20101
"200050_at" 17864 4579 15682 18501
"200051_at" 5569 16458 15236 19572
"200052_s_at" 15155 19207 19197 4523
"200053_at" 5847 18911 21207 4201
"200054_at" 18351 13242 16357 6015
"200055_at" 13225 13550 18253 19815
"200056_s_at" 17633 18492 18917 914
"200057_s_at" 12797 14506 5046 17684
"200058_s_at" 14090 14577 15241 17047
"200059_s_at" 12802 13343 17331 5886
"200060_s_at" 18620 3916 19026 17121
"200061_s_at" 8520 13662 2375 17476
"200062_s_at" 8418 3829 15153 6042
"200063_s_at" 8580 13729 6010 2901
"200064_at" 15925 4701 16060 6431
"200065_s_at" 15742 4676 14681 17279
"200066_at" 5869 19926 6425 5935
"200067_x_at" 14553 13885 17004 17556
"200068_s_at" 16074 14367 4633 6683
"200069_at" 15246 1056 16988 16363
"200070_at" 17690 14158 19237 20211
"200071_at" 14820 17343 20292 3877
"200072_s_at" 16348 20155 15222 4013
"200073_s_at" 15509 18858 16557 5588
"200074_s_at" 14071 16538 15148 5700
"200075_s_at" 17386 19817 17901 17778
"200076_s_at" 4230 17946 6585 3364
"200077_s_at" 8564 4813 5112 15960
"200078_s_at" 15707 13820 19609 17872
"200079_s_at" 19097 3791 17052 5909
"200080_s_at" 8572 3349 5306 16090
"200081_s_at" 5400 17065 14784 6158
"200082_s_at" 8567 3416 15584 4721
"200083_at" 14129 14105 2240 16400
"200084_at" 15612 13081 16461 17622
"200085_s_at" 13672 16352 6050 4186
"200086_s_at" 15992 13474 6427 6435
"200087_s_at" 16562 19854 5603 4842
"200088_x_at" 8428 14503 6725 5871
"200089_s_at" 8608 4307 15436 15860
"200090_at" 17092 13380 15123 19480
"200091_s_at" 8474 17937 6329 18049
"200092_s_at" 8585 13154 4220 6583
"200093_s_at" 14969 18831 17956 15920
"200094_s_at" 12883 3444 5125 18034
"200095_x_at" 8640 3586 15143 6237
"200096_s_at" 17671 14920 14582 6523
"200097_s_at" 14451 19786 16713 15397
"200098_s_at" 18437 4176 4192 6302
"200099_s_at" 8588 3254 4025 18005
"200593_s_at" 19290 19582 5324 19352
"200594_x_at" 16303 14409 4771 16207
"200595_s_at" 18563 19870 3211 19465
"200596_s_at" 16737 20350 17810 19049
"200597_at" 14327 17662 2880 18048
"200598_s_at" 18428 17616 3672 4843
"200599_s_at" 16233 13079 2909 6576
"200600_at" 15221 9484 4096 14055
"200601_at" 14411 21106 5021 1006
"200602_at" 18213 3006 18190 20132
"200603_at" 2416 18606 3019 18582
"200604_s_at" 625 20920 788 16139
"200605_s_at" 2758 21500 6476 4712
"200606_at" 1166 13835 14809 6050
"200607_s_at" 6585 16129 20519 6659
"200608_s_at" 5365 16043 15573 16344
"200609_s_at" 2835 15704 18166 18747
"200610_s_at" 17960 13304 15446 19090
"200611_s_at" 3264 14527 17279 15417
"200612_s_at" 5458 3929 18149 21452
"200613_at" 13585 14187 17079 4718
"200614_at" 4874 14004 15328 15496
"200615_s_at" 17226 18666 4865 18696
"200616_s_at" 18998 15864 5384 3673
"200617_at" 19109 16548 4320 19523
"200618_at" 1014 16173 5328 19752
"200619_at" 18780 2394 5782 5365
"200620_at" 5068 17896 15340 15803
"200621_at" 15183 18832 372 16488
"200622_x_at" 5016 18364 3688 15835
"200623_s_at" 20224 13554 18903 20894
"200624_s_at" 15618 16301 5123 16606
"200625_s_at" 6757 17754 6057 17820
"200626_s_at" 13115 16426 5301 20485
"200627_at" 13818 13228 19487 5904
"200628_s_at" 14605 20788 21227 3239
"200629_at" 14552 13517 18320 3937
"200630_x_at" 15165 14295 4102 17883
"200631_s_at" 18883 4089 16763 4067
"200632_s_at" 4460 594 2257 22120
"200633_at" 8519 13678 15356 5273
"200634_at" 16502 18233 5658 18325
"200635_s_at" 3125 14396 21673 16059
"200636_s_at" 129 17853 15469 4809
"200637_s_at" 7821 19957 3358 19943
"200638_s_at" 1831 19137 16133 6108
"200639_s_at" 5661 19365 4384 17563
"200640_at" 4011 18266 4480 6595
"200641_s_at" 1927 17145 19873 5865
"200642_at" 17289 15943 15200 6106
"200643_at" 18755 17101 6045 19411
"200644_at" 6465 15930 17827 20665
"200645_at" 3324 13452 15613 17125
"200646_s_at" 14149 19970 2742 1618
"200647_x_at" 16593 4490 14668 17583
"200648_s_at" 1031 21734 1126 17297
"200649_at" 16032 18474 15980 20796
"200650_s_at" 8378 3879 15213 15855
"200651_at" 8624 15067 5829 15724
"200652_at" 6060 16584 15807 5155
"200653_s_at" 4746 14449 1666 17195
"200654_at" 13595 17367 15884 17442
"200655_s_at" 6057 3804 5378 16391
"200656_s_at" 13153 16354 14919 16118
"200657_at" 14404 4132 4841 3459
"200658_s_at" 17818 15529 6273 5714
"200659_s_at" 21495 17337 2420 20644
"200660_at" 6249 15141 4014 16996
"200661_at" 13513 17940 15203 6730
"200662_s_at" 17626 17657 14951 2868
"200663_at" 4812 14891 14830 2477
"200664_s_at" 6803 1783 22061 18830
"200665_s_at" 11862 7081 12328 7686
"200666_s_at" 20343 18414 20230 17677
"200667_at" 15592 14880 5293 17238
"200668_s_at" 13834 14911 5507 6319
"200669_s_at" 14601 17948 5784 16349
"200670_at" 21916 4667 20549 17113
"200671_s_at" 15445 13826 22091 20828
"200672_x_at" 20603 18574 21353 19836
"200673_at" 3170 16294 5045 18059
"200674_s_at" 8592 4768 14626 16024
"200675_at" 19233 18728 3595 3725
