"inst_2183" "inst_3720" "inst_4742" "inst_6038"
"1007_s_at" 506 11523 16859 11536
"1053_at" 18333 5561 8246 11441
"117_at" 20287 4636 12853 4134
"121_at" 20076 20794 18302 14972
"1255_g_at" 14807 16924 13030 3152
"1294_at" 18523 12279 7518 1182
"1316_at" 7105 11199 21646 1432
"1320_at" 14980 316 20981 12990
"1405_i_at" 17440 14605 2448 1252
"1431_at" 1189 1334 326 20777
"1438_at" 12220 20840 17421 13803
"1487_at" 2030 10958 19341 17034
"1494_f_at" 17581 21923 20978 2107
"1598_g_at" 22175 11811 1782 17063
"160020_at" 21577 21878 20296 21688
"1729_at" 21302 11023 21016 21247
"1773_at" 7564 2044 6946 18683
"177_at" 20067 17684 20877 8094
"179_at" 3812 11727 5193 12920
"1861_at" 6237 13211 15804 17189
"200000_s_at" 10121 19409 19993 17365
"200001_at" 7001 7199 9167 15235
"200002_at" 17117 9850 16115 8958
"200003_s_at" 12358 15352 11505 4233
"200004_at" 9884 9374 6742 10957
"200005_at" 6658 9495 17036 14454
"200006_at" 9020 12105 5874 10689
"200007_at" 5598 12367 8891 13555
"200008_s_at" 18442 4361 5778 11477
"200009_at" 9565 6426 8532 10575
"200010_at" 12381 9704 17668 8659
"200011_s_at" 7695 12081 7604 17027
"200012_x_at" 18508 20946 19071 2208
"200013_at" 7495 10918 6591 8785
"200014_s_at" 8881 10538 4647 13170
"200015_s_at" 7355 9041 4493 16871
"200016_x_at" 12584 19323 7086 8660
"200017_at" 12650 15441 11664 4316
"200018_at" 12467 15433 9023 4310
"200019_s_at" 8591 13095 16798 8894
"200020_at" 17705 9994 8704 13042
"200021_at" 16860 15534 11815 4408
"200022_at" 12499 12431 16390 4244
"200023_s_at" 6877 11167 8468 14610
"200024_at" 18371 19781 7928 2542
"200025_s_at" 12289 12732 8023 8816
"200026_at" 12275 19601 8103 4410
"200027_at" 18434 12725 7603 14752
"200028_s_at" 17290 7072 8990 13895
"200029_at" 12384 19811 16702 2805
"200030_s_at" 9288 13587 15808 9415
"200031_s_at" 12627 15422 11635 4303
"200032_s_at" 12591 19306 8488 4319
"200033_at" 8302 11100 5868 10115
"200034_s_at" 9525 12319 4905 2204
"200035_at" 7369 9541 19905 10794
