"inst_1367" "inst_2051" "inst_2213" "inst_5853" "inst_7206"
"1007_s_at" 5773 4215 12684 1899 2561
"1053_at" 3760 2482 5917 6897 3245
"117_at" 13280 6770 627 14531 10394
"121_at" 6718 728 3705 17161 4672
"1255_g_at" 13231 4903 10514 8787 8562
"1294_at" 3458 15658 4146 16005 547
"1316_at" 21522 6979 21650 19340 20521
"1320_at" 9256 7241 210 11787 6575
"1405_i_at" 2784 10439 2158 12819 548
"1431_at" 14835 17983 3454 17911 11845
"1438_at" 7720 16863 22248 15334 20152
"1487_at" 5178 21351 17499 2989 2399
"1494_f_at" 22042 7402 4200 1635 13580
"1598_g_at" 2765 15077 21307 21761 21242
"160020_at" 18570 21412 16107 15647 361
"1729_at" 1258 16281 18312 18129 14891
"1773_at" 15191 3160 3592 2048 4767
"177_at" 5107 10156 618 3045 4907
"179_at" 22103 8982 5425 17226 1540
"1861_at" 5096 17775 17984 7955 5291
"200000_s_at" 6359 14471 17562 19448 19214
"200001_at" 5548 4001 12438 4514 3710
"200002_at" 5333 16945 5036 5148 5354
"200003_s_at" 17576 15660 8058 5886 14782
"200004_at" 4097 14509 12897 4322 16762
"200005_at" 18197 13336 5623 18094 5869
"200006_at" 4213 14920 14252 7220 4727
"200007_at" 4390 3334 5202 5922 14411
"200008_s_at" 20751 3510 2796 20472 4150
"200009_at" 17834 14827 3501 6026 6241
"200010_at" 5382 4104 4617 19145 6049
"200011_s_at" 6484 15961 16593 17353 19003
"200012_x_at" 3550 14012 4381 5382 14781
"200013_at" 4263 14962 13708 6084 6134
"200014_s_at" 4651 16775 13585 6473 4528
"200015_s_at" 1729 18609 17270 6939 16282
"200016_x_at" 2535 14287 5887 17478 13920
"200017_at" 3913 13909 7878 3226 13925
"200018_at" 6804 14651 7978 6350 5702
"200019_s_at" 20413 3489 13158 15791 14334
"200020_at" 22172 14679 15634 17941 19257
"200021_at" 5908 2187 8040 18521 4510
"200022_at" 19423 4557 7890 8532 15106
"200023_s_at" 6579 14413 14217 6664 4658
"200024_at" 6657 3519 12406 4813 4574
"200025_s_at" 2637 13704 12326 7972 5655
"200026_at" 620 3725 7901 6636 6030
"200027_at" 3566 13818 3951 3979 3688
"200028_s_at" 18860 13657 17349 18461 18422
"200029_at" 17234 3654 5651 7601 3476
"200030_s_at" 20058 4134 4783 7999 5047
"200031_s_at" 5932 14923 7954 7226 14240
"200032_s_at" 1898 15976 7796 6575 5237
"200033_at" 2541 15967 17351 7882 17798
"200034_s_at" 5130 15807 14154 2944 4840
"200035_at" 18614 2720 18684 19949 21525
"200036_s_at" 5971 14310 5351 16079 5326
"200037_s_at" 2574 15917 12885 5815 14698
"200038_s_at" 4491 13935 7737 5509 4995
"200039_s_at" 5832 15341 14791 6451 5554
"200040_at" 1879 15157 13048 7344 16534
"200041_s_at" 6287 13535 15542 6296 5008
"200042_at" 19627 19108 4771 17315 15012
"200043_at" 2857 19860 3821 19236 4838
"200044_at" 18304 18855 15334 4756 5731
"200045_at" 19733 18487 17076 16849 16738
"200046_at" 5987 14355 16729 4235 16164
"200047_s_at" 18742 18831 3751 7453 15591
"200048_s_at" 18658 3517 4448 8060 4548
"200049_at" 5015 14582 5971 17231 5181
"200050_at" 4851 21018 5560 16327 17667
"200051_at" 20937 18352 18204 20864 19360
"200052_s_at" 6070 13431 5353 8516 5749
"200053_at" 19244 3851 841 8292 16191
"200054_at" 6797 14307 4137 17082 5794
"200055_at" 18629 13903 12739 4553 4399
"200056_s_at" 718 18448 17761 15862 17467
"200057_s_at" 5732 15604 5387 17095 15020
"200058_s_at" 6877 14085 5962 16348 16076
"200059_s_at" 4422 14039 4876 7340 6016
"200060_s_at" 6732 17728 4936 18544 4477
"200061_s_at" 6030 3856 7846 1766 4757
"200062_s_at" 5992 4056 8019 8131 4626
"200063_s_at" 1530 16412 7898 8504 5883
"200064_at" 19292 15592 15905 15725 16701
"200065_s_at" 21085 4016 12814 3937 5466
"200066_at" 20734 13673 1909 18019 5257
"200067_x_at" 2597 13807 13159 5749 15724
"200068_s_at" 19590 4337 4124 6870 16322
"200069_at" 19833 20128 18837 18632 19542
"200070_at" 5753 14087 16345 6776 19090
"200071_at" 1849 18239 16598 17543 18128
"200072_s_at" 19986 13529 12958 19482 16804
"200073_s_at" 3729 19758 17267 7547 14473
"200074_s_at" 5411 13685 13181 7749 4864
"200075_s_at" 758 14525 14352 4020 5596
"200076_s_at" 17764 14475 16588 6107 5779
"200077_s_at" 3352 15864 5541 8296 5315
"200078_s_at" 20769 14660 13960 6444 4144
"200079_s_at" 5911 18943 14236 16293 4373
"200080_s_at" 1787 15609 3729 6648 4735
"200081_s_at" 18219 2780 4680 16958 5370
"200082_s_at" 3193 3775 4766 3691 13961
"200083_at" 17997 18959 16167 18533 18776
"200084_at" 4663 3898 3716 7528 5179
"200085_s_at" 20619 13568 5003 6709 15597
"200086_s_at" 4241 15711 5655 6966 4304
"200087_s_at" 17852 16685 2133 6917 4740
"200088_x_at" 18789 4564 8011 5800 15046
"200089_s_at" 4219 14992 5939 7676 4117
"200090_at" 6829 15098 12686 5091 1208
"200091_s_at" 2359 17784 16109 6528 14448
"200092_s_at" 4598 16594 12968 5865 14007
"200093_s_at" 2977 17546 15834 16216 15895
"200094_s_at" 3230 17043 5835 4097 5116
"200095_x_at" 17144 3979 7741 15921 14346
"200096_s_at" 2685 15534 20750 5393 14732
"200097_s_at" 5549 13724 5951 7687 17390
"200098_s_at" 5983 17563 15316 18852 14157
"200099_s_at" 1472 4471 7915 5616 4977
"200593_s_at" 20574 20716 5987 17697 17774
"200594_x_at" 6207 17850 4720 18427 15931
"200595_s_at" 5323 20261 5645 18250 15383
"200596_s_at" 21988 18968 5740 7821 18593
"200597_at" 4823 22053 3145 8391 14425
"200598_s_at" 17154 2804 3948 2105 3587
"200599_s_at" 5990 3995 2399 3566 2670
"200600_at" 3541 17557 12033 7844 12539
"200601_at" 4682 16363 21893 4951 14210
"200602_at" 3038 3155 12446 3451 16236
"200603_at" 1002 15891 12491 7215 4203
"200604_s_at" 19158 13521 4831 4037 17324
"200605_s_at" 3302 14075 4390 4057 17093
"200606_at" 9994 13910 5299 3824 3181
"200607_s_at" 17284 2682 5544 4217 15223
"200608_s_at" 108 18130 13209 5785 14772
"200609_s_at" 2360 677 18996 18499 14247
"200610_s_at" 3933 14712 15335 17746 5442
"200611_s_at" 6415 4161 15804 7612 5904
"200612_s_at" 21452 21158 16037 1046 17168
"200613_at" 6656 15985 17203 16122 4732
"200614_at" 5018 16014 14516 7313 15145
