"inst_1534" "inst_1950" "inst_2034" "inst_4631" "inst_5692"
"1007_s_at" 8958 18412 1385 5539 5095
"1053_at" 5767 5620 21455 5814 19474
"117_at" 14672 1323 12621 15943 12086
"121_at" 21743 2713 3120 19255 4156
"1255_g_at" 12162 10699 13588 13100 12327
"1294_at" 13043 4181 17102 22146 2427
"1316_at" 2771 14282 21824 2439 4080
"1320_at" 11729 10108 9324 12925 11268
"1405_i_at" 11154 12960 19404 1685 20300
"1431_at" 1551 18036 8750 128 578
"1438_at" 7628 12037 13465 4044 793
"1487_at" 8165 2106 20918 3094 17676
"1494_f_at" 21518 5082 1488 2281 11526
"1598_g_at" 7008 2635 4756 19882 19762
"160020_at" 21644 1146 3223 1207 20637
"1729_at" 7749 5619 21226 15786 18519
"1773_at" 9111 19087 1063 20812 9464
"177_at" 13400 10557 5149 2696 6223
"179_at" 7286 1594 5130 22031 22107
"1861_at" 10270 21161 3596 4894 6196
"200000_s_at" 10149 5391 3807 1773 7506
"200001_at" 5548 18249 17250 9347 18046
"200002_at" 20103 8053 4260 6932 9160
"200003_s_at" 19092 18638 17104 11145 9499
"200004_at" 18497 1379 18941 8835 17442
"200005_at" 7432 21164 5924 5476 17513
"200006_at" 9510 6438 18066 8968 8037
"200007_at" 19336 20117 19389 17128 17151
"200008_s_at" 8580 3438 1366 7698 6890
"200009_at" 8182 6702 5950 17783 17077
"200010_at" 18009 3389 3655 4170 8555
"200011_s_at" 5288 7222 19330 6838 16038
"200012_x_at" 18651 21493 5476 16842 9143
"200013_at" 18760 7390 6953 15541 16471
"200014_s_at" 6261 18607 5985 8520 16079
"200015_s_at" 18609 6485 17431 8977 15992
"200016_x_at" 10792 7161 19929 17750 16301
"200017_at" 18758 7757 17074 7602 16986
"200018_at" 18830 19163 16897 16499 9450
"200019_s_at" 18414 18859 6932 7359 7548
"200020_at" 8152 19353 17602 5761 9371
"200021_at" 13127 19172 18778 11279 11782
"200022_at" 19454 7160 4324 8441 17175
"200023_s_at" 9200 20126 17224 15930 7380
"200024_at" 19473 19723 4237 8925 9600
"200025_s_at" 19897 2501 17800 15990 17240
"200026_at" 18413 21800 19767 8354 19031
"200027_at" 8435 7615 17695 17966 15663
"200028_s_at" 5107 20169 20014 17479 18160
"200029_at" 10332 19862 3484 17074 7453
"200030_s_at" 18974 6042 4394 16734 8561
"200031_s_at" 13204 19416 16975 11203 9007
