"inst_1309" "inst_3246" "inst_4950" "inst_6605"
"1007_s_at" 5423 8250 18706 5844
"1053_at" 717 6183 15035 16518
"117_at" 1185 7988 3899 5031
"121_at" 3833 8963 2262 5794
"1255_g_at" 15279 12614 5157 11188
"1294_at" 2131 7825 2082 4197
"1316_at" 1101 9081 2679 2988
"1320_at" 10149 543 6576 922
"1405_i_at" 3993 12651 8027 8716
"1431_at" 14395 14600 1522 2385
"1438_at" 12345 21930 14939 15135
"1487_at" 1375 20917 18982 14972
"1494_f_at" 17176 1178 10839 21952
"1598_g_at" 188 9463 11025 6712
"160020_at" 2102 14106 3246 18562
"1729_at" 20445 17444 20672 17134
"1773_at" 9088 5706 20943 19910
"177_at" 399 13427 759 415
"179_at" 21511 9555 21334 22200
"1861_at" 21462 19794 21615 18112
"200000_s_at" 2186 8583 19951 15361
"200001_at" 4997 6494 15754 6965
"200002_at" 6064 9585 12072 7393
"200003_s_at" 9173 17774 11545 17471
"200004_at" 8276 4504 13634 6234
"200005_at" 5853 6508 16758 4272
"200006_at" 3075 5400 11086 8115
"200007_at" 7438 5246 3276 6225
"200008_s_at" 8452 629 12760 18481
"200009_at" 6670 3641 11887 6631
"200010_at" 19271 7196 13833 17396
"200011_s_at" 3131 19339 14600 7078
"200012_x_at" 9968 18789 10726 6093
"200013_at" 5710 17848 12369 17721
"200014_s_at" 5427 4138 11700 3349
"200015_s_at" 6123 4115 14942 15596
"200016_x_at" 20019 7361 3480 7571
"200017_at" 9767 12802 5871 15836
"200018_at" 10003 12775 12315 14058
"200019_s_at" 6914 9871 16152 4876
"200020_at" 8236 8910 11910 5905
"200021_at" 21955 18199 2527 9908
"200022_at" 19289 17881 11377 15028
"200023_s_at" 8495 7401 13889 3565
"200024_at" 6450 7611 11028 15223
"200025_s_at" 19750 17668 3073 6642
"200026_at" 20052 18147 10639 7961
"200027_at" 7601 9362 12779 7514
"200028_s_at" 5781 18773 14098 5068
"200029_at" 19657 18008 2361 5833
"200030_s_at" 9366 7303 12093 6107
"200031_s_at" 9736 12755 10979 9828
"200032_s_at" 9620 12808 11470 15792
"200033_at" 7678 6949 11857 14246
"200034_s_at" 8699 4510 10652 14878
"200035_at" 1359 19308 17132 6971
"200036_s_at" 8352 17631 13077 7599
"200037_s_at" 20631 9868 10977 14990
"200038_s_at" 19937 9126 11029 7771
"200039_s_at" 2279 5692 14636 14766
"200040_at" 4704 4135 12845 14360
"200041_s_at" 4779 3457 12797 15051
"200042_at" 19368 8794 12471 15647
"200043_at" 3742 1943 11089 16967
"200044_at" 2619 4214 11334 15238
"200045_at" 4715 18264 16158 6622
"200046_at" 20291 5264 14493 15009
"200047_s_at" 7379 8871 10857 5725
"200048_s_at" 6211 9019 10844 3725
"200049_at" 5766 1548 20059 5401
"200050_at" 20047 7494 19317 16593
"200051_at" 1641 20580 18772 19523
"200052_s_at" 3560 3097 14508 14444
"200053_at" 1109 21768 20736 17497
"200054_at" 5089 7501 17614 7166
"200055_at" 1789 5345 18699 3783
"200056_s_at" 20502 7586 12695 8144
"200057_s_at" 8465 5851 12593 14259
"200058_s_at" 3834 6644 15390 15569
"200059_s_at" 19566 5454 2821 17596
"200060_s_at" 5881 17876 18919 16538
"200061_s_at" 20137 17525 2322 9827
"200062_s_at" 19588 12560 5688 9758
"200063_s_at" 21253 18028 5921 9863
"200064_at" 5327 7829 3411 14178
"200065_s_at" 5106 4521 16900 14909
"200066_at" 8514 2005 18070 3415
"200067_x_at" 9204 18211 10874 8188
"200068_s_at" 19348 9509 14752 5569
"200069_at" 21538 19542 19377 7661
"200070_at" 281 17424 19755 2488
"200071_at" 3817 5039 13169 4793
"200072_s_at" 5494 8609 15330 7138
"200073_s_at" 4465 5645 10649 14039
"200074_s_at" 6780 8748 12658 16716
"200075_s_at" 185 8472 17453 5100
"200076_s_at" 1497 7319 18940 14343
"200077_s_at" 19808 18060 3280 13877
"200078_s_at" 3251 19402 15341 17708
"200079_s_at" 2443 4590 12853 6585
"200080_s_at" 19932 8383 2577 15701
"200081_s_at" 9999 2477 11569 14384
"200082_s_at" 9952 9812 12555 16018
"200083_at" 7807 20366 16583 13982
"200084_at" 7824 5220 15417 15184
"200085_s_at" 3116 18644 11498 6545
"200086_s_at" 6798 6792 12066 5441
"200087_s_at" 6359 7480 11497 17598
"200088_x_at" 20566 12574 2466 7340
"200089_s_at" 9469 8086 11810 14378
"200090_at" 3772 4669 17417 4753
"200091_s_at" 6101 8558 12734 15939
"200092_s_at" 19656 19947 2503 7155
"200093_s_at" 2671 8475 17046 4935
"200094_s_at" 3071 6705 10973 14792
"200095_x_at" 19491 12992 3266 9901
"200096_s_at" 19381 3688 16172 3963
"200097_s_at" 3934 5988 11181 16970
"200098_s_at" 6853 6750 15241 3816
"200099_s_at" 20033 12888 5940 7587
"200593_s_at" 3644 3673 16611 16466
"200594_x_at" 19233 6200 12408 8013
"200595_s_at" 5356 17824 16646 7060
"200596_s_at" 5302 9402 12461 6143
"200597_at" 4675 19453 14588 2513
"200598_s_at" 19806 2647 18523 5472
"200599_s_at" 7808 936 12514 15497
"200600_at" 5384 16710 8700 16759
"200601_at" 20571 3818 15746 16808
"200602_at" 4231 2016 18165 20000
"200603_at" 8290 17817 13053 17533
"200604_s_at" 22225 2076 19962 19073
"200605_s_at" 21124 5298 15025 17619
"200606_at" 1149 1146 11074 15819
"200607_s_at" 20536 2054 16896 3031
"200608_s_at" 9933 5889 13603 18030
"200609_s_at" 7301 5049 17914 2332
"200610_s_at" 9702 8277 17567 15935
"200611_s_at" 4488 8671 17814 14729
"200612_s_at" 5453 4317 21323 4399
"200613_at" 3659 8882 14289 6027
"200614_at" 9640 9165 3075 14364
"200615_s_at" 5267 7856 12915 16524
"200616_s_at" 9873 6755 18508 3582
"200617_at" 1120 8016 17606 16147
"200618_at" 1966 7132 16661 7953
"200619_at" 8366 18540 19916 3581
"200620_at" 21181 3004 14031 5498
"200621_at" 2330 18725 14749 6721
"200622_x_at" 983 5730 15749 18315
"200623_s_at" 21646 7357 16708 14656
"200624_s_at" 9877 1922 2796 20558
"200625_s_at" 5038 7678 16909 3566
"200626_s_at" 20913 821 14444 5657
"200627_at" 19210 3021 3474 17359
"200628_s_at" 6510 3661 16624 7112
"200629_at" 2558 4236 15988 3457
"200630_x_at" 9817 3792 2546 14108
"200631_s_at" 9482 19095 14280 6110
"200632_s_at" 4043 4942 14567 15553
"200633_at" 6826 12753 2987 9826
"200634_at" 2927 6366 18996 17661
"200635_s_at" 1754 20407 21264 21637
"200636_s_at" 18977 19880 19195 16816
"200637_s_at" 13955 21206 18290 20958
"200638_s_at" 20709 5260 10731 16714
"200639_s_at" 6253 2465 12134 18889
"200640_at" 6126 5480 11682 8032
"200641_s_at" 21701 2467 2435 18185
"200642_at" 6724 7624 16288 14950
"200643_at" 172 9087 17553 3653
"200644_at" 19516 7362 15290 14794
"200645_at" 6188 5054 17653 15055
"200646_s_at" 9003 2964 19494 20830
"200647_x_at" 4163 18970 11621 2940
"200648_s_at" 21263 20679 20438 3443
"200649_at" 551 19858 21146 20737
