"inst_3028" "inst_4648" "inst_5609"
"1007_s_at" 1265 17989 7425
"1053_at" 13872 11992 20396
"117_at" 2471 9924 10980
"121_at" 13420 14072 14595
"1255_g_at" 8505 6179 10343
"1294_at" 3805 2552 3219
"1316_at" 16379 9903 18930
"1320_at" 2270 11814 19951
"1405_i_at" 7144 12778 11146
"1431_at" 18831 21662 2507
"1438_at" 11948 22222 3939
"1487_at" 20178 20803 19208
"1494_f_at" 1821 14007 2961
"1598_g_at" 21358 11995 4374
"160020_at" 1670 10825 1483
"1729_at" 13545 15577 4836
"1773_at" 21759 20985 1913
"177_at" 1566 1534 260
"179_at" 21181 3310 16827
"1861_at" 7813 13049 16648
"200000_s_at" 19682 10815 6037
"200001_at" 15547 10855 5106
"200002_at" 8061 3739 15134
"200003_s_at" 10800 6338 9717
"200004_at" 14983 12723 14715
"200005_at" 16473 13354 6152
"200006_at" 15826 3708 6563
"200007_at" 13241 3480 6781
"200008_s_at" 18899 19689 17012
"200009_at" 15813 14274 14981
"200010_at" 8225 12065 14967
"200011_s_at" 17599 17140 6542
"200012_x_at" 7293 3294 14664
"200013_at" 13142 10440 7595
"200014_s_at" 13902 12126 4194
"200015_s_at" 15760 11184 3562
"200016_x_at" 10763 10077 7668
"200017_at" 10847 4157 9826
"200018_at" 10842 6394 9815
"200019_s_at" 13901 3808 16317
"200020_at" 19692 15813 18898
"200021_at" 7822 6468 9948
"200022_at" 10806 11757 9735
"200023_s_at" 13235 3765 5854
"200024_at" 13781 3253 14407
"200025_s_at" 10841 3599 7999
"200026_at" 10895 3629 9953
"200027_at" 15886 10988 7867
"200028_s_at" 15132 16103 18431
"200029_at" 8328 3364 5897
"200030_s_at" 15789 9851 7375
"200031_s_at" 10838 6385 9808
"200032_s_at" 10849 2648 9829
"200033_at" 14962 12721 16884
"200034_s_at" 13729 11241 15475
"200035_at" 13337 21481 18920
"200036_s_at" 13703 2932 5619
"200037_s_at" 16649 11689 14403
"200038_s_at" 10886 3899 9924
"200039_s_at" 18577 10111 14674
"200040_at" 16329 14477 6946
"200041_s_at" 16683 15211 6101
"200042_at" 16662 14378 18405
"200043_at" 17019 12732 14295
"200044_at" 15903 12671 15050
"200045_at" 17719 14703 15488
"200046_at" 16860 11048 16946
"200047_s_at" 15390 12666 6750
"200048_s_at" 15351 2898 17141
"200049_at" 17430 18470 6482
"200050_at" 18934 13013 18316
"200051_at" 14883 20221 15401
"200052_s_at" 18694 13847 16605
"200053_at" 21114 17294 20519
"200054_at" 16180 14834 21242
"200055_at" 17010 3687 5035
"200056_s_at" 17870 12535 6944
"200057_s_at" 8287 11477 6915
"200058_s_at" 14513 15384 3660
"200059_s_at" 15293 12809 7935
"200060_s_at" 16002 21074 21007
"200061_s_at" 10836 6384 9806
"200062_s_at" 10792 6326 9700
"200063_s_at" 10863 4208 9860
"200064_at" 18936 18043 16683
"200065_s_at" 15334 10712 14667
"200066_at" 20010 20275 7777
"200067_x_at" 13915 12246 7027
"200068_s_at" 15563 13226 17731
"200069_at" 20249 18613 7571
"200070_at" 14432 12806 7587
"200071_at" 20092 13133 19012
"200072_s_at" 20630 19834 14176
"200073_s_at" 13655 15845 15149
"200074_s_at" 14639 12507 17136
"200075_s_at" 17125 12357 7133
"200076_s_at" 16026 17637 18284
"200077_s_at" 13358 11064 16629
"200078_s_at" 16694 3250 20512
"200079_s_at" 17801 14806 8062
"200080_s_at" 6965 10564 9855
"200081_s_at" 14980 10186 14773
"200082_s_at" 10857 10403 9847
"200083_at" 15261 19414 14745
"200084_at" 17056 15579 7506
"200085_s_at" 16267 3891 14571
"200086_s_at" 8326 10606 15898
"200087_s_at" 18528 19682 14988
"200088_x_at" 10797 6333 9713
"200089_s_at" 13199 10492 5998
"200090_at" 13375 10007 6128
"200091_s_at" 13771 12128 7675
"200092_s_at" 13042 10652 9872
"200093_s_at" 15328 13491 7551
"200094_s_at" 7848 16669 6819
"200095_x_at" 10889 6463 9934
"200096_s_at" 18851 2136 1725
"200097_s_at" 14329 14044 14564
"200098_s_at" 16290 15939 18443
"200099_s_at" 10867 3228 9876
"200593_s_at" 20900 14829 21199
"200594_x_at" 17503 18192 16352
"200595_s_at" 19734 14249 16975
"200596_s_at" 19978 19177 19140
"200597_at" 18151 19435 7704
"200598_s_at" 19195 2645 14557
"200599_s_at" 20079 16566 15250
"200600_at" 15190 16456 8536
"200601_at" 5533 20176 18216
"200602_at" 14965 4238 2789
"200603_at" 7531 11404 7597
"200604_s_at" 22159 18909 15707
"200605_s_at" 14953 19625 13862
"200606_at" 4892 16031 5090
"200607_s_at" 18997 2434 15034
"200608_s_at" 13260 12053 6182
"200609_s_at" 16756 18815 16221
"200610_s_at" 13541 14496 14392
"200611_s_at" 18202 19083 6113
"200612_s_at" 19284 17057 18240
"200613_at" 18867 13429 14781
"200614_at" 16139 13224 14503
"200615_s_at" 7978 18717 3726
"200616_s_at" 14408 2884 19445
"200617_at" 5504 12492 17486
"200618_at" 6675 17196 7486
"200619_at" 16698 19139 16956
"200620_at" 15348 11249 4282
"200621_at" 18065 12370 14507
"200622_x_at" 16840 17174 4114
"200623_s_at" 5938 19193 14242
"200624_s_at" 20591 18629 5980
"200625_s_at" 18084 11050 6994
"200626_s_at" 19476 17223 17750
"200627_at" 16265 12096 15137
"200628_s_at" 18987 21505 7532
"200629_at" 5369 3024 7530
"200630_x_at" 13445 3292 16923
"200631_s_at" 15465 10841 16502
"200632_s_at" 4828 14712 2884
"200633_at" 8199 6383 9805
"200634_at" 18030 14489 14078
"200635_s_at" 12115 11214 4694
"200636_s_at" 12450 12407 7163
"200637_s_at" 8571 21651 6311
"200638_s_at" 16904 18036 15148
"200639_s_at" 7373 12112 4041
"200640_at" 15929 12923 14972
"200641_s_at" 20708 17286 15411
"200642_at" 17518 3516 5548
"200643_at" 15859 10126 14272
"200644_at" 4443 12603 7891
"200645_at" 14537 13990 4358
"200646_s_at" 2022 22008 17484
"200647_x_at" 17685 15680 3203
"200648_s_at" 20720 21742 20111
"200649_at" 3777 17444 2058
"200650_s_at" 10775 6297 15798
"200651_at" 13503 12841 9918
"200652_at" 14173 12575 17728
"200653_s_at" 18010 11963 19349
"200654_at" 17930 13149 6524
"200655_s_at" 16319 3966 17563
"200656_s_at" 14038 20200 4365
"200657_at" 15557 10104 14525
"200658_s_at" 21002 14115 17094
"200659_s_at" 20517 20743 20069
"200660_at" 14823 10016 6213
"200661_at" 20520 15547 4135
"200662_s_at" 15637 12759 16857
"200663_at" 17349 12663 14458
"200664_s_at" 19787 17529 21069
"200665_s_at" 11100 1629 8672
"200666_s_at" 17927 18374 16505
"200667_at" 13986 12305 17193
"200668_s_at" 14206 12511 13808
"200669_s_at" 15680 15852 7929
"200670_at" 18239 18113 1990
"200671_s_at" 20449 21991 21521
"200672_x_at" 22136 20367 20005
"200673_at" 15586 11484 5817
"200674_s_at" 7941 3615 16081
"200675_at" 18527 14874 15023
"200676_s_at" 20919 19850 4593
"200677_at" 7610 15510 5923
"200678_x_at" 14643 15498 6340
"200679_x_at" 19211 3670 16822
"200680_x_at" 13588 3138 9940
"200681_at" 8034 12253 6917
"200682_s_at" 18915 11577 17479
"200683_s_at" 18859 16819 17487
"200684_s_at" 21144 21718 18088
"200685_at" 18689 13802 5410
"200686_s_at" 7662 12713 3038
"200687_s_at" 16767 20607 14685
"200688_at" 22202 19282 16126
"200689_x_at" 7295 11169 7603
"200690_at" 20358 13666 14957
"200691_s_at" 17563 10879 15123
"200692_s_at" 16641 11154 19000
"200693_at" 17399 14409 7705
"200694_s_at" 18270 12648 19288
"200695_at" 20571 21467 15398
"200696_s_at" 13215 10107 6539
"200697_at" 13423 20538 2665
"200698_at" 19027 18949 17803
"200699_at" 13441 14316 20772
"200700_s_at" 17363 11714 14127
"200701_at" 7904 12501 15156
"200702_s_at" 16409 11700 16798
"200703_at" 17570 10735 17524
"200704_at" 13499 10730 2495
"200705_s_at" 8276 3407 5341
"200706_s_at" 16351 3277 4395
"200707_at" 8104 17394 6850
"200708_at" 19657 11263 8032
"200709_at" 16814 16489 7245
"200710_at" 18189 21015 7338
"200711_s_at" 19533 12854 5674
"200712_s_at" 16521 19632 7944
"200713_s_at" 18761 16834 17040
"200714_x_at" 8130 14848 14824
"200715_x_at" 13959 11038 3499
"200716_x_at" 10887 3696 9925
"200717_x_at" 10834 6381 9801
"200718_s_at" 15150 10144 4591
"200719_at" 7599 19372 14849
"200720_s_at" 15984 19324 14379
"200721_s_at" 6769 19133 13859
"200722_s_at" 18973 18148 3071
"200723_s_at" 16941 16686 6692
"200724_at" 5694 1725 4569
"200725_x_at" 7401 2935 6495
"200726_at" 19116 13588 15889
"200727_s_at" 17973 1339 19301
"200728_at" 14139 4053 14646
"200729_s_at" 17154 12075 13796
"200730_s_at" 20991 22094 20709
"200731_s_at" 21682 19808 20002
"200732_s_at" 18567 16742 17097
"200733_s_at" 20830 18656 18366
"200734_s_at" 8094 2504 3490
"200735_x_at" 10865 10272 9869
"200736_s_at" 7325 11698 11800
"200737_at" 15801 18201 18734
"200738_s_at" 7819 9908 5855
"200739_s_at" 16250 18706 16692
"200740_s_at" 16419 12747 7599
"200741_s_at" 10793 6327 9701
"200742_s_at" 14523 17559 6768
"200743_s_at" 7878 15651 2294
"200744_s_at" 18871 16345 15778
"200745_s_at" 16929 13828 17394
"200746_s_at" 17012 15615 18968
"200747_s_at" 16540 13397 991
"200748_s_at" 7132 10740 6729
"200749_at" 19344 13566 19512
"200750_s_at" 17038 3912 14358
"200751_s_at" 18727 19831 6400
"200752_s_at" 4937 14358 2097
"200753_x_at" 20377 17551 18642
"200754_x_at" 19210 15344 18720
"200755_s_at" 16242 17072 21561
"200756_x_at" 20690 21556 20375
