"inst_2916" "inst_4240" "inst_4824" "inst_7336"
"1007_s_at" 18083 6948 8417 4389
"1053_at" 17523 6102 4220 17328
"117_at" 21166 2978 16909 7202
"121_at" 21592 6617 10780 21914
"1255_g_at" 5736 13622 16721 7485
"1294_at" 1787 18130 20747 13821
"1316_at" 455 7756 21644 670
"1320_at" 3275 12016 13872 10655
"1405_i_at" 18352 15298 18068 12397
"1431_at" 10151 20715 4626 9235
"1438_at" 9641 16026 1716 19383
"1487_at" 13414 5338 4321 16266
"1494_f_at" 9622 2669 20397 12569
"1598_g_at" 19344 19013 11949 21275
"160020_at" 14929 15970 21604 967
"1729_at" 10243 16565 8160 16596
"1773_at" 18131 10332 289 805
"177_at" 16968 20801 20669 11242
"179_at" 11839 852 3101 1013
"1861_at" 16548 6643 3024 20515
"200000_s_at" 15980 18332 6617 2832
"200001_at" 13260 7886 2573 3832
"200002_at" 10206 7357 9370 14557
"200003_s_at" 4717 12071 9239 13332
"200004_at" 13820 10768 2312 13713
"200005_at" 11617 9811 5196 16199
"200006_at" 12150 6052 9354 15240
"200007_at" 13323 9904 7175 4427
"200008_s_at" 12781 9450 57 15544
"200009_at" 11928 16073 9159 4112
"200010_at" 1849 8384 1981 3078
"200011_s_at" 18904 10933 9230 14396
"200012_x_at" 1182 18825 21420 2848
"200013_at" 2277 7273 8090 13113
"200014_s_at" 13782 3414 9004 15847
"200015_s_at" 16987 5563 9987 18102
"200016_x_at" 2412 10262 12015 13215
"200017_at" 10003 12116 11085 4038
"200018_at" 4847 12113 9906 15120
"200019_s_at" 10555 10851 11667 14816
"200020_at" 13056 17616 11572 4251
"200021_at" 1860 12162 20345 16799
"200022_at" 10041 6564 8951 14319
"200023_s_at" 12895 7784 11023 15589
"200024_at" 1990 16928 19231 13250
"200025_s_at" 10426 6884 19647 4046
"200026_at" 5020 15987 19581 4618
"200027_at" 12031 5174 7269 13253
"200028_s_at" 13825 9749 19918 14966
"200029_at" 2421 10554 20229 13394
"200030_s_at" 11595 17271 9529 4307
"200031_s_at" 4834 12109 19217 13881
"200032_s_at" 4868 9670 20396 14675
"200033_at" 11665 10342 4460 13565
"200034_s_at" 2101 16519 6730 15333
"200035_at" 21660 20079 11953 20297
"200036_s_at" 11089 6822 11760 13325
"200037_s_at" 10965 5185 9656 15904
"200038_s_at" 4994 6760 10379 4100
"200039_s_at" 13344 9206 9669 14275
"200040_at" 14651 10003 9225 15205
"200041_s_at" 15740 18784 5391 13648
"200042_at" 15650 17042 6618 14698
"200043_at" 17841 10465 3919 15278
"200044_at" 13760 7582 8000 15479
"200045_at" 15577 10064 8368 14162
"200046_at" 13170 5860 5225 16665
"200047_s_at" 1589 4520 8659 14668
"200048_s_at" 12315 3335 12042 15668
"200049_at" 13300 5312 3604 20025
"200050_at" 11196 6217 2007 3221
"200051_at" 14653 10053 6817 20854
"200052_s_at" 14616 3572 1532 14887
"200053_at" 14205 2827 874 15482
"200054_at" 21505 8268 4415 19229
"200055_at" 18869 16144 20011 18627
"200056_s_at" 18073 3939 7826 15585
"200057_s_at" 11480 16082 11517 4224
"200058_s_at" 19488 7374 3413 4578
"200059_s_at" 11291 10289 2453 14082
"200060_s_at" 13119 8073 7150 17882
"200061_s_at" 4833 20108 11683 3398
"200062_s_at" 2346 12064 19582 15040
"200063_s_at" 10643 12130 20630 3921
"200064_at" 11369 15863 2100 2469
"200065_s_at" 11293 9681 3779 3876
"200066_at" 12017 17995 3563 4029
"200067_x_at" 14016 7783 9658 15321
"200068_s_at" 12539 7640 20023 4391
"200069_at" 19553 3492 8163 17996
"200070_at" 18617 6591 12007 21092
"200071_at" 13817 1883 3646 17362
"200072_s_at" 14748 16453 1577 14774
"200073_s_at" 14627 4796 6931 16582
"200074_s_at" 10269 5137 5532 3700
"200075_s_at" 19059 6651 6870 17863
"200076_s_at" 12470 7506 4245 14148
"200077_s_at" 2470 8445 10433 14535
"200078_s_at" 12982 6787 9513 17055
"200079_s_at" 14062 16332 7808 15025
"200080_s_at" 10650 10582 8646 15017
"200081_s_at" 10117 9635 6866 13605
"200082_s_at" 2160 8757 8138 4104
"200083_at" 19891 5368 6479 13171
"200084_at" 13920 7534 2624 15212
"200085_s_at" 14870 4824 8015 14211
"200086_s_at" 14980 5366 11564 13934
"200087_s_at" 13120 6649 7657 13974
"200088_x_at" 4709 16132 19574 14357
"200089_s_at" 10090 6092 9942 14931
"200090_at" 16746 16479 19513 2818
"200091_s_at" 11102 6861 7099 14811
"200092_s_at" 1460 17720 19567 4691
"200093_s_at" 16470 5246 4695 15738
"200094_s_at" 12339 10264 8435 13280
"200095_x_at" 5003 12156 19333 13762
"200096_s_at" 11563 6982 214 13866
"200097_s_at" 11916 10311 7632 3132
"200098_s_at" 17878 6695 10168 13947
"200099_s_at" 4920 6965 19490 1551
"200593_s_at" 13246 7690 3517 16875
"200594_x_at" 14882 4767 9315 14854
