"inst_3789" "inst_3870" "inst_4346" "inst_4524"
"1007_s_at" 4260 13719 12536 15986
"1053_at" 18879 15386 20860 12127
"117_at" 1899 9040 1630 2284
"121_at" 2328 16071 842 3470
"1255_g_at" 5661 10395 9410 7992
"1294_at" 21537 17516 919 1573
"1316_at" 17247 20038 6444 2867
"1320_at" 13609 17085 19694 6319
"1405_i_at" 4651 11285 7648 6
"1431_at" 4280 8577 15136 1402
"1438_at" 14091 21561 6597 22191
"1487_at" 14424 19827 17387 15225
"1494_f_at" 1938 20186 14817 12973
"1598_g_at" 10976 21497 2441 15131
"160020_at" 3296 21726 19160 12922
"1729_at" 20851 14444 20790 19527
"1773_at" 14598 7045 14251 19358
"177_at" 7254 4052 21486 20804
"179_at" 1213 21572 3799 21362
"1861_at" 15755 18489 17462 11839
"200000_s_at" 16544 17769 17171 14328
"200001_at" 14046 14459 15376 17746
"200002_at" 9474 14535 12155 14626
"200003_s_at" 5839 9252 8296 6067
"200004_at" 2902 7398 16485 14517
"200005_at" 11810 14121 12643 16062
"200006_at" 10679 15556 13764 10712
"200007_at" 2662 5435 1933 1814
"200008_s_at" 20457 6186 17969 17657
"200009_at" 14554 6687 15202 15126
"200010_at" 13305 5442 16053 16340
"200011_s_at" 11363 6408 13260 15998
"200012_x_at" 2757 7002 14210 3352
"200013_at" 11883 15113 8215 14843
"200014_s_at" 14050 15482 12747 10879
"200015_s_at" 13741 3891 14620 12470
"200016_x_at" 5764 13871 8212 3735
"200017_at" 5939 9365 8434 6180
"200018_at" 5931 9348 8424 11545
"200019_s_at" 3919 14367 8389 12524
"200020_at" 13892 4626 16500 14558
"200021_at" 6061 9478 8556 6300
"200022_at" 11892 9262 8322 11961
"200023_s_at" 4400 6939 6215 12445
"200024_at" 3915 5876 12833 10662
"200025_s_at" 3727 14128 8422 3719
"200026_at" 6066 6073 8560 3373
"200027_at" 13619 15755 5522 4248
"200028_s_at" 11107 14335 14288 14636
"200029_at" 3496 14931 6581 4368
"200030_s_at" 3236 13801 6666 11199
"200031_s_at" 5923 9339 8416 6155
"200032_s_at" 5945 9368 8439 4177
"200033_at" 2959 3239 15555 10589
"200034_s_at" 10148 4282 16191 13249
"200035_at" 15436 5232 4508 18842
"200036_s_at" 4419 15383 6000 13873
"200037_s_at" 16419 5556 14380 3316
"200038_s_at" 10537 9458 8533 11299
"200039_s_at" 3473 17114 15837 15154
"200040_at" 14369 4477 16388 12096
"200041_s_at" 11338 16074 16135 18398
"200042_at" 10384 5570 16601 17063
"200043_at" 9449 5456 4652 1973
"200044_at" 14677 6994 4764 15819
"200045_at" 16262 6017 18925 18138
"200046_at" 13937 5734 4174 13158
"200047_s_at" 11523 4692 2817 3012
"200048_s_at" 3285 15886 12220 4150
"200049_at" 17963 17783 14806 17564
"200050_at" 15615 7113 19735 10773
"200051_at" 17162 17207 18394 14739
"200052_s_at" 19660 15108 18713 17102
"200053_at" 20538 19637 19594 18643
"200054_at" 10105 20092 17620 20523
"200055_at" 10151 16817 5036 12740
"200056_s_at" 14549 4968 5719 4041
"200057_s_at" 10409 4394 12159 3065
"200058_s_at" 13012 18464 14577 17936
"200059_s_at" 9506 3050 4985 2365
"200060_s_at" 11802 18222 17864 13985
"200061_s_at" 5922 9337 8413 6154
"200062_s_at" 5823 9239 8278 6050
"200063_s_at" 5980 9404 8474 6209
"200064_at" 4338 4437 17405 14429
"200065_s_at" 4045 16199 16865 16485
"200066_at" 20519 6943 17954 17005
"200067_x_at" 10996 14964 2345 10817
"200068_s_at" 4454 4523 12699 13882
"200069_at" 17028 16696 12344 18293
"200070_at" 14574 6250 4312 20328
"200071_at" 14183 14801 4750 14167
"200072_s_at" 12175 13881 18623 18592
"200073_s_at" 10257 4155 6485 11278
"200074_s_at" 13070 14251 15766 13819
"200075_s_at" 14633 19971 12902 14880
"200076_s_at" 12886 18474 15644 20209
"200077_s_at" 9457 5116 5421 11621
"200078_s_at" 15096 18620 17982 13227
"200079_s_at" 15604 6406 15868 15407
"200080_s_at" 10352 2741 5272 2266
"200081_s_at" 15177 5427 12288 11422
"200082_s_at" 10013 9390 8463 11252
"200083_at" 17780 15960 14030 16792
"200084_at" 11269 6298 5752 10997
"200085_s_at" 10546 18884 12713 16283
"200086_s_at" 12442 17799 13301 12828
"200087_s_at" 10490 2068 15542 15219
"200088_x_at" 5833 9247 8292 6063
"200089_s_at" 11558 6498 12015 11784
"200090_at" 13190 15555 18656 12559
"200091_s_at" 11909 2926 13154 3800
"200092_s_at" 4047 9411 8481 2074
"200093_s_at" 9645 4470 3433 14003
"200094_s_at" 3652 15778 14429 15030
"200095_x_at" 6049 9469 8542 6285
"200096_s_at" 12726 5176 19049 19586
"200097_s_at" 10766 17018 17792 3760
"200098_s_at" 15269 17408 13740 13005
"200099_s_at" 5993 9414 8484 4303
"200593_s_at" 19652 6015 18500 14985
"200594_x_at" 14503 4230 6480 13481
"200595_s_at" 10296 16810 6423 15452
"200596_s_at" 17863 7097 13822 17414
"200597_at" 16893 6876 12976 2320
"200598_s_at" 17248 14265 17209 3787
"200599_s_at" 18421 4461 14685 17656
"200600_at" 11757 13117 10933 18511
"200601_at" 2029 15899 4395 11762
"200602_at" 11094 20773 19697 14068
"200603_at" 16703 4918 6306 14028
"200604_s_at" 21465 5016 13691 13668
"200605_s_at" 16651 1946 12069 3441
"200606_at" 13903 6611 5021 14092
"200607_s_at" 17683 6177 17346 11189
"200608_s_at" 12138 3774 12973 12691
"200609_s_at" 17497 6638 16637 15884
"200610_s_at" 10032 4184 3172 3406
"200611_s_at" 16365 18527 16190 17128
"200612_s_at" 18616 2016 3858 22127
"200613_at" 4010 19685 15439 14612
"200614_at" 10426 5288 13658 13856
"200615_s_at" 10391 18361 14176 20013
"200616_s_at" 18225 16818 17019 14347
"200617_at" 12990 15542 16754 20745
"200618_at" 9723 16678 13048 19807
"200619_at" 11190 19221 16271 11835
"200620_at" 14529 6552 14331 10679
"200621_at" 13294 17352 15496 18099
"200622_x_at" 15387 18279 17508 12384
"200623_s_at" 1710 3683 17271 20050
"200624_s_at" 15862 5112 12043 20387
"200625_s_at" 2261 14428 13455 15495
"200626_s_at" 15068 6764 18441 11382
"200627_at" 12669 4135 15768 3121
"200628_s_at" 16430 15583 21048 12102
"200629_at" 12991 16437 17090 19710
"200630_x_at" 2569 13832 12208 3888
"200631_s_at" 2583 5742 5756 13869
"200632_s_at" 20978 18563 2235 22022
"200633_at" 5921 9336 8412 6153
"200634_at" 1779 15443 12044 16756
"200635_s_at" 17630 6999 17407 16454
"200636_s_at" 10570 18953 12804 19971
"200637_s_at" 13652 18347 18201 14442
"200638_s_at" 11473 4947 6677 10750
"200639_s_at" 2949 4761 4956 11014
"200640_at" 3678 7467 15142 16999
"200641_s_at" 15148 6104 6188 3940
"200642_at" 10880 7448 5744 13537
"200643_at" 18624 7144 19369 20529
"200644_at" 4184 6793 4168 2576
"200645_at" 11550 14602 12923 13200
"200646_s_at" 1670 18299 5986 13851
"200647_x_at" 10076 16545 5520 18700
"200648_s_at" 20444 3212 17120 14680
"200649_at" 980 20356 20671 17832
"200650_s_at" 5787 15296 8236 6011
"200651_at" 10173 9453 8526 14018
"200652_at" 15371 15359 2879 19572
"200653_s_at" 2811 5624 20157 2766
"200654_at" 3430 14954 6697 14170
"200655_s_at" 12634 14783 14511 12790
"200656_s_at" 18655 15197 17218 14854
"200657_at" 10057 13610 8302 10665
"200658_s_at" 18679 15255 18361 19766
"200659_s_at" 16320 18040 20461 19339
"200660_at" 12785 16382 15470 16068
"200661_at" 11520 14212 17903 18722
"200662_s_at" 14228 14531 12554 11167
"200663_at" 9436 2875 13108 10996
"200664_s_at" 11001 15625 2089 15709
"200665_s_at" 4584 12945 8727 2422
"200666_s_at" 9512 15610 5029 11175
"200667_at" 14013 6292 13256 12049
"200668_s_at" 13515 7092 16636 13315
"200669_s_at" 17164 3791 14308 14827
"200670_at" 4286 3409 2093 4372
"200671_s_at" 17718 14705 13670 1501
"200672_x_at" 21107 2432 17173 19076
"200673_at" 12610 4356 5787 3605
"200674_s_at" 5999 9420 8489 10735
"200675_at" 10275 5703 16582 18011
"200676_s_at" 18045 5869 20029 21538
"200677_at" 3832 16992 5115 3505
"200678_x_at" 10830 21701 21256 18045
"200679_x_at" 14353 6157 16253 16110
"200680_x_at" 6052 9471 8547 2440
"200681_at" 3605 14937 3902 3260
"200682_s_at" 17704 14198 16274 14075
"200683_s_at" 14268 18815 18559 18200
"200684_s_at" 17216 5432 19164 14468
"200685_at" 20929 1061 14051 18619
"200686_s_at" 16900 3892 2733 11356
"200687_s_at" 18161 5451 17219 21610
"200688_at" 14594 20438 16888 22057
"200689_x_at" 4190 14222 13127 12062
"200690_at" 11969 19791 6610 14986
"200691_s_at" 13607 15546 14995 11455
"200692_s_at" 20046 4047 19095 17452
"200693_at" 11518 5613 15909 11891
"200694_s_at" 14033 15335 17479 17499
"200695_at" 3894 20527 19133 18207
"200696_s_at" 20347 6132 13249 20023
"200697_at" 12395 15649 17350 20188
"200698_at" 12979 3408 15765 14511
"200699_at" 15335 4717 15244 17946
"200700_s_at" 10978 14051 4252 11612
"200701_at" 14846 5838 15161 16383
"200702_s_at" 20717 17090 14449 13321
"200703_at" 14499 13800 6649 14179
"200704_at" 988 16715 5583 3434
"200705_s_at" 11334 15570 12826 12883
"200706_s_at" 15533 7441 4648 21658
"200707_at" 10574 15587 20271 21233
"200708_at" 9481 14077 5814 12908
"200709_at" 1499 5776 15045 15749
"200710_at" 11812 18194 16537 21095
"200711_s_at" 10051 6728 14150 10584
"200712_s_at" 16857 3196 14768 12199
"200713_s_at" 13525 5505 4160 2554
"200714_x_at" 3494 13733 16852 15105
"200715_x_at" 4337 16242 5181 12338
"200716_x_at" 6041 9459 8534 15524
"200717_x_at" 5919 9334 8409 6151
"200718_s_at" 3381 6808 8354 3131
"200719_at" 4295 4472 5738 11667
"200720_s_at" 12598 18023 14571 15166
"200721_s_at" 13219 15324 14307 18661
"200722_s_at" 21558 5117 5426 11540
"200723_s_at" 11684 6265 13471 13711
"200724_at" 276 4939 2715 16823
"200725_x_at" 2675 14389 8364 12284
"200726_at" 11244 2621 3760 11948
"200727_s_at" 21805 393 18764 703
"200728_at" 14958 3087 18371 3865
"200729_s_at" 17821 3797 16618 11647
"200730_s_at" 21584 1180 18520 16459
"200731_s_at" 17543 4255 4724 14848
"200732_s_at" 19014 4901 19474 15654
"200733_s_at" 17244 2080 16185 18496
"200734_s_at" 13284 17852 5073 3226
"200735_x_at" 5987 9409 8478 4071
"200736_s_at" 15360 11719 7121 11017
"200737_at" 18174 6162 14472 18493
"200738_s_at" 6068 13596 4022 11951
"200739_s_at" 4461 17459 5504 14305
"200740_s_at" 3964 6189 12744 2777
"200741_s_at" 5824 9240 8280 6051
"200742_s_at" 2063 6592 17215 15858
"200743_s_at" 9792 17800 5690 18680
"200744_s_at" 3802 15984 14598 17860
"200745_s_at" 14571 2053 16080 15183
"200746_s_at" 14954 5317 13577 14107
"200747_s_at" 2371 19150 18205 12586
"200748_s_at" 12429 7154 14267 12776
"200749_at" 14341 16166 17366 15935
"200750_s_at" 5897 13964 8376 4003
"200751_s_at" 20395 3143 18775 18456
"200752_s_at" 3741 15977 15981 20819
"200753_x_at" 10398 6336 16411 11178
"200754_x_at" 2694 5404 5913 11317
"200755_s_at" 15155 15157 18663 19510
"200756_x_at" 16155 3899 12762 2990
"200757_s_at" 13533 3582 19738 17447
"200758_s_at" 19129 14453 14357 20918
"200759_x_at" 10360 5069 17259 19928
"200760_s_at" 19984 15825 6155 15172
"200761_s_at" 17655 15788 15822 10572
"200762_at" 14997 4322 5840 18792
"200763_s_at" 6005 9424 8492 6225
"200764_s_at" 14312 19208 20589 5837
"200765_x_at" 6826 14230 18185 6007
"200766_at" 15660 2203 20791 18812
"200767_s_at" 17690 15809 14886 19425
"200768_s_at" 11318 14919 3749 17584
"200769_s_at" 21304 15647 16041 11094
