"inst_3440" "inst_3701" "inst_4723" "inst_7399"
"1007_s_at" 9249 4856 7405 3422
"1053_at" 8665 10808 6981 7779
"117_at" 10922 7291 12742 15836
"121_at" 1571 2798 11296 4263
"1255_g_at" 15815 14134 17531 12400
"1294_at" 16759 21265 21707 16469
"1316_at" 14942 19390 710 3137
"1320_at" 11585 428 19458 7606
"1405_i_at" 12292 17153 7095 8460
"1431_at" 4346 22055 20784 746
"1438_at" 233 6960 20536 18138
"1487_at" 932 9107 5443 10338
"1494_f_at" 19484 790 922 14227
"1598_g_at" 1577 5066 5425 3821
"160020_at" 15403 3845 19784 2376
"1729_at" 6968 6030 19187 5482
"1773_at" 558 1287 5292 21739
"177_at" 15378 6902 1247 1567
"179_at" 22237 5050 2626 1477
"1861_at" 7178 13085 4294 5925
"200000_s_at" 19796 12118 20969 20033
"200001_at" 5061 6757 7879 5939
"200002_at" 19556 12321 9589 17974
"200003_s_at" 19607 15746 18677 8031
"200004_at" 8399 11489 11605 18665
"200005_at" 19611 9915 12322 8099
"200006_at" 7666 19859 9614 9847
"200007_at" 7222 10113 8492 18845
"200008_s_at" 3614 2331 2541 18314
"200009_at" 7889 8627 18807 19145
"200010_at" 7728 11727 12058 9640
"200011_s_at" 5650 6826 10292 8395
"200012_x_at" 20320 20387 19219 18224
"200013_at" 8140 13320 8821 10181
"200014_s_at" 8130 9364 9050 17893
"200015_s_at" 8098 8766 6711 7804
"200016_x_at" 18991 20039 11555 8983
"200017_at" 10304 15833 11554 18807
"200018_at" 19505 15822 20504 9211
"200019_s_at" 20191 20166 19855 8947
"200020_at" 9519 4202 19559 10239
"200021_at" 19779 15915 19953 6740
"200022_at" 9468 7490 11721 17604
"200023_s_at" 8401 12356 10385 7159
"200024_at" 10294 19327 19126 18902
"200025_s_at" 10060 11784 19605 9557
"200026_at" 20868 19454 21066 8749
"200027_at" 7845 11545 7419 17820
"200028_s_at" 19688 12625 9305 19215
"200029_at" 19901 13672 11520 18489
"200030_s_at" 9880 12497 19038 18431
"200031_s_at" 9956 15815 12143 18334
"200032_s_at" 19190 20081 18821 9190
"200033_at" 10047 8359 19290 19765
"200034_s_at" 19360 12681 12259 17826
"200035_at" 8579 11657 5799 19307
"200036_s_at" 9644 13094 10674 8572
