"inst_2547" "inst_3406" "inst_3606" "inst_3708" "inst_4269" "inst_4730"
"1007_s_at" 10620 13545 9092 19417 12960 3802
"1053_at" 13223 18146 16644 17288 16088 17972
"117_at" 9614 7824 664 6264 6288 7813
"121_at" 11707 1445 12052 15954 9510 18401
"1255_g_at" 6651 9455 6750 8144 6404 7568
"1294_at" 11252 8478 2512 195 9826 1316
"1316_at" 2076 3171 19118 717 13509 15119
"1320_at" 6544 11167 12544 9804 11383 15405
"1405_i_at" 11402 9338 7451 9653 995 255
"1431_at" 1431 6566 1146 15632 10481 825
"1438_at" 5763 21082 20726 2836 8722 21454
"1487_at" 14358 16391 17332 19292 15475 4673
"1494_f_at" 19750 13682 15620 21875 8675 18010
"1598_g_at" 16593 16032 2111 18516 9627 1893
"160020_at" 1776 11716 2378 463 9013 20101
"1729_at" 3294 18596 1903 18764 10345 18355
"1773_at" 12599 13502 16224 1201 13991 17613
"177_at" 1772 12092 770 10743 10374 1378
"179_at" 20994 19299 3270 2227 22218 20952
"1861_at" 21001 2219 19884 11372 21046 21041
"200000_s_at" 18333 19977 10389 15905 16207 15891
"200001_at" 16054 14299 13076 14249 14757 6476
"200002_at" 10809 14246 2341 4760 15931 16656
"200003_s_at" 5257 4206 4727 6608 9476 9326
"200004_at" 16404 15336 10018 11053 9550 4216
"200005_at" 17447 13102 11631 12164 12255 6692
"200006_at" 17308 4246 9771 12222 13595 4709
"200007_at" 12941 13180 10505 12378 10037 14141
"200008_s_at" 20775 16792 19340 2754 18497 18668
"200009_at" 16990 14954 11640 10966 12984 16007
"200010_at" 10475 15751 3223 4293 17889 14386
"200011_s_at" 18885 16354 10195 14641 12927 4450
"200012_x_at" 3185 3045 10842 3807 1666 17415
"200013_at" 10895 14781 9202 4920 11022 14825
"200014_s_at" 15986 15253 10496 14316 17599 3886
"200015_s_at" 15690 15914 9789 12596 15996 5851
"200016_x_at" 5204 13393 2877 3750 8869 5055
"200017_at" 5344 13194 4833 6705 4606 9470
"200018_at" 5334 13116 4822 6699 9389 6242
"200019_s_at" 10452 13429 2116 10930 9184 13859
"200020_at" 18668 17821 14718 17830 14516 16886
"200021_at" 9562 1650 4940 6798 4698 9616
"200022_at" 5269 4163 4744 4485 17993 17813
"200023_s_at" 13988 2207 3247 12869 13206 4785
"200024_at" 9600 2410 9707 3326 9123 7161
"200025_s_at" 5333 2604 4820 4671 11071 5612
"200026_at" 5440 2739 9425 4852 8460 15814
"200027_at" 17480 2917 10157 13820 16030 3686
"200028_s_at" 19252 13322 18729 13120 10765 4739
"200029_at" 5297 3142 9286 3249 1541 16692
"200030_s_at" 14451 13720 9617 3384 1931 5933
"200031_s_at" 5325 3578 4816 6688 4588 9436
"200032_s_at" 5346 1934 4835 4600 2430 6316
"200033_at" 15508 13609 2804 11510 10741 4312
"200034_s_at" 10679 3749 4731 3401 8369 4828
"200035_at" 16183 20575 9653 11800 2090 3591
"200036_s_at" 11103 3433 3183 3744 13313 14613
"200037_s_at" 13670 4242 3027 16121 17966 4522
"200038_s_at" 5420 13169 4917 4821 8827 15328
"200039_s_at" 18510 13122 12352 12897 11998 5490
"200040_at" 16777 16679 14664 15180 16138 6615
"200041_s_at" 17585 14536 15281 13182 10698 4384
"200042_at" 20063 14561 14823 4608 10823 14575
"200043_at" 18089 14173 2737 1943 1929 6104
"200044_at" 12686 14908 15278 14593 12722 14921
"200045_at" 19654 16449 11582 17743 14044 5466
"200046_at" 16844 2450 13694 15409 20715 14746
"200047_s_at" 18792 17186 11282 14736 18789 5908
"200048_s_at" 17837 2787 9139 11345 15284 4156
"200049_at" 13398 15647 16159 13968 13180 5082
"200050_at" 13524 18207 10289 17244 14568 15346
"200051_at" 16550 18301 12755 15011 12887 19562
"200052_s_at" 16642 14778 12156 3739 15547 14251
"200053_at" 11066 19209 13389 12138 18510 21867
"200054_at" 15426 14797 2211 18079 13778 3714
"200055_at" 14861 14495 11875 12278 14259 16076
"200056_s_at" 19032 13325 11180 14223 18582 5780
"200057_s_at" 14155 15430 13217 4529 8556 3515
"200058_s_at" 16110 17818 12914 12659 12281 4810
"200059_s_at" 15036 2485 12668 4777 12798 16282
"200060_s_at" 16720 3775 10566 16464 12158 14093
"200061_s_at" 5322 4216 4814 6687 4587 9435
"200062_s_at" 5244 3884 4712 6594 4500 9314
"200063_s_at" 5371 13665 4868 6728 4633 9523
"200064_at" 15248 15437 9385 12570 9020 13957
"200065_s_at" 17306 13214 15005 3905 12625 6280
"200066_at" 20061 18416 9697 12336 11356 16673
"200067_x_at" 16721 15716 14282 13493 15546 5714
"200068_s_at" 12346 2940 12444 13477 11420 5202
"200069_at" 20618 15798 17730 13739 17902 16777
"200070_at" 21961 16388 19017 20146 10246 4402
"200071_at" 20741 14811 11205 20500 22147 6363
"200072_s_at" 17202 19088 15068 12590 11923 15029
"200073_s_at" 14669 3554 11900 15252 10703 13740
"200074_s_at" 10910 15252 2775 3365 10030 16284
"200075_s_at" 14368 2949 11413 12645 14912 15601
