"inst_2980" "inst_3543" "inst_5083" "inst_5503"
"1007_s_at" 22051 8198 5346 2374
"1053_at" 3928 5449 17128 10721
"117_at" 7812 17108 10918 11416
"121_at" 22073 7720 1998 11319
"1255_g_at" 19043 13852 8330 10319
"1294_at" 11767 12408 10794 10124
"1316_at" 11096 7601 2261 20931
"1320_at" 19428 7610 2639 12048
"1405_i_at" 11122 17467 3483 18407
"1431_at" 4175 200 3029 9935
"1438_at" 14872 3917 21827 20552
"1487_at" 507 4900 19898 10116
"1494_f_at" 15761 4593 2127 21468
"1598_g_at" 1173 19593 17041 7214
"160020_at" 12623 22 16496 19181
"1729_at" 12719 20065 6390 3493
"1773_at" 11709 10164 20697 7164
"177_at" 2296 18374 21557 8965
"179_at" 12847 21764 6707 221
"1861_at" 12329 749 5110 11428
"200000_s_at" 6144 4888 6465 3750
"200001_at" 2925 20116 17218 8180
"200002_at" 12051 12243 15397 20683
"200003_s_at" 13307 11429 9142 8579
"200004_at" 10005 9490 12895 8308
"200005_at" 10639 11421 6852 4930
"200006_at" 9712 10550 15524 10337
"200007_at" 12061 10057 4880 7662
"200008_s_at" 10877 19391 19166 5644
"200009_at" 11414 12016 15358 8804
"200010_at" 13350 9069 14051 9925
"200011_s_at" 4056 12560 18457 11361
"200012_x_at" 21649 21102 6014 20539
"200013_at" 12770 11028 7058 10385
"200014_s_at" 6185 10999 17108 18999
"200015_s_at" 3493 2983 15808 4689
"200016_x_at" 12952 9690 6068 11907
"200017_at" 21315 11997 16621 8946
"200018_at" 16726 12187 13178 19126
"200019_s_at" 12384 11508 14135 11655
"200020_at" 5746 10769 16812 6555
"200021_at" 13096 19930 9296 20136
"200022_at" 21369 20308 15202 9186
"200023_s_at" 10035 9308 6712 8162
"200024_at" 13443 11475 6979 10581
"200025_s_at" 13242 12610 13076 19636
"200026_at" 16942 19919 13808 21597
"200027_at" 10474 8877 18222 7731
"200028_s_at" 8940 12468 13411 19890
"200029_at" 21319 20360 14864 11532
"200030_s_at" 11887 12109 12892 8812
"200031_s_at" 16704 14674 9202 19231
"200032_s_at" 16756 12117 14541 11182
"200033_at" 12036 10135 13394 6877
"200034_s_at" 13477 11952 13392 10469
"200035_at" 5627 4434 2379 9572
"200036_s_at" 13354 11389 14162 18867
"200037_s_at" 8470 8156 17675 6552
"200038_s_at" 16904 12141 13494 12083
"200039_s_at" 6714 7231 15373 9081
"200040_at" 6362 8369 14841 8921
"200041_s_at" 9511 10122 6880 6789
"200042_at" 6361 7365 13860 4921
"200043_at" 7068 3953 14097 3453
"200044_at" 6404 8758 15190 7797
"200045_at" 4267 12373 6859 7433
"200046_at" 10468 7673 15468 5338
"200047_s_at" 11269 8352 16773 5703
"200048_s_at" 7017 7754 15372 19771
"200049_at" 12934 9498 5690 9620
"200050_at" 6137 9340 18271 9779
"200051_at" 1039 2738 18717 2147
"200052_s_at" 6301 7159 14653 10710
"200053_at" 10812 8304 18649 2748
"200054_at" 4336 5586 16711 8045
"200055_at" 9681 19357 5362 6684
"200056_s_at" 604 1526 13218 3395
"200057_s_at" 12617 11505 5749 19841
"200058_s_at" 5567 6883 5557 4776
"200059_s_at" 11964 7796 17605 7980
"200060_s_at" 5804 8860 5335 9514
"200061_s_at" 21648 12364 9201 12103
"200062_s_at" 21461 14615 9132 19002
