"inst_2571" "inst_3433" "inst_3816" "inst_3899" "inst_4373" "inst_4551"
"1007_s_at" 21127 18572 16585 4923 5070 7460
"1053_at" 11256 17692 14765 8390 19253 3433
"117_at" 19895 3520 19746 15247 2775 1472
"121_at" 3317 1218 4512 9762 5016 21073
"1255_g_at" 15490 8270 10580 14782 11730 13735
"1294_at" 5147 8320 17816 21774 22014 3742
"1316_at" 19208 1632 19047 10514 2322 2616
"1320_at" 14752 7811 3150 21085 868 15885
"1405_i_at" 9582 10463 12345 11673 11482 15830
"1431_at" 3299 1230 8164 13176 18691 21478
"1438_at" 17427 12074 16808 22056 2940 19486
"1487_at" 7955 14102 15662 3290 20176 18529
"1494_f_at" 20774 12203 21649 687 549 20468
"1598_g_at" 21835 772 18730 2535 2740 18040
"160020_at" 19586 1673 2802 2081 18333 2048
"1729_at" 5443 17521 21347 20531 19613 3105
"1773_at" 257 2568 2345 21641 20043 2502
"177_at" 11873 4250 242 21008 21312 5035
"179_at" 861 381 19925 10411 15508 5763
"1861_at" 19520 14617 15399 5297 21583 6287
"200000_s_at" 7169 2463 20049 5885 5064 17986
"200001_at" 9728 14127 6290 6954 16512 7358
"200002_at" 10736 3404 16329 9485 16016 7083
"200003_s_at" 14037 13641 10003 13289 10590 11521
"200004_at" 9195 15052 5940 19513 8470 7621
"200005_at" 7061 12354 6541 10560 16188 6514
"200006_at" 8986 14486 14810 18140 8901 15970
"200007_at" 8982 13215 7510 7436 5176 17465
"200008_s_at" 18691 2115 1518 19015 18240 8067
"200009_at" 9684 12406 6487 18968 14592 18312
"200010_at" 12135 2967 7487 18993 8484 3210
"200011_s_at" 7330 17404 17800 5879 4933 4881
"200012_x_at" 18783 1939 7120 17770 10548 18733
"200013_at" 12325 12603 8513 18334 10504 9677
"200014_s_at" 8095 14910 15938 10092 17042 8427
"200015_s_at" 5749 16501 15803 10686 17143 3531
"200016_x_at" 13967 13004 9924 18505 14377 8499
"200017_at" 14136 12123 10104 13399 10716 11624
"200018_at" 14128 2585 10092 13388 10708 9560
"200019_s_at" 18838 12830 14071 10149 10672 9050
"200020_at" 12075 17133 4597 8487 16885 8334
"200021_at" 18696 2649 10212 13511 10850 11727
"200022_at" 14051 1993 16591 13300 10613 8311
"200023_s_at" 5369 12132 16751 7071 17534 16045
"200024_at" 10584 3245 15335 8923 14414 8555
"200025_s_at" 14127 12753 15228 17953 10706 8299
"200026_at" 14236 13035 10216 10928 10853 9347
"200027_at" 9272 16316 14830 9909 7467 8107
"200028_s_at" 8762 17508 8266 18171 15714 5548
"200029_at" 14088 12953 7768 13335 8838 19376
"200030_s_at" 8568 11822 7485 17709 15414 9709
"200031_s_at" 14119 3359 10081 13380 10696 11601
"200032_s_at" 14138 2442 10111 13400 10719 16866
"200033_at" 5522 12164 7903 11025 15425 5030
"200034_s_at" 10838 1657 7093 18811 8947 7039
"200035_at" 4558 21586 18220 3344 1583 5950
"200036_s_at" 11704 13361 15380 10291 15952 17626
"200037_s_at" 4113 13598 13867 18247 15769 4903
"200038_s_at" 14216 2783 8590 13489 10823 16448
"200039_s_at" 10962 14262 13550 10345 15187 16126
"200040_at" 8684 16151 17039 7213 17511 7788
"200041_s_at" 7436 15395 14393 17415 7860 17203
"200042_at" 11436 15897 8231 3836 17357 16011
"200043_at" 5683 11751 5868 9290 2712 6047
"200044_at" 7039 14463 8162 18954 15394 8485
"200045_at" 9498 16724 17542 5320 6275 7217
"200046_at" 4248 14924 14615 8598 8052 4209
"200047_s_at" 4505 19315 15747 4891 17055 4569
"200048_s_at" 9254 13207 18018 8444 15759 8151
"200049_at" 5785 14372 16262 5184 5084 6954
"200050_at" 6239 19714 7289 4852 20168 8349
"200051_at" 8604 18378 17788 6282 8712 7732
"200052_s_at" 7258 14112 15353 18137 17358 16862
"200053_at" 9863 933 17294 18994 7879 17230
"200054_at" 10042 13395 19590 19091 19034 4074
"200055_at" 11638 13539 17344 8599 5757 20276
"200056_s_at" 7488 13258 16483 19948 17714 4906
"200057_s_at" 7847 15895 8334 5602 8893 9430
"200058_s_at" 7215 17825 16441 6403 6067 7878
"200059_s_at" 10758 13645 7205 6781 8074 4898
"200060_s_at" 6285 16088 14721 19916 5931 5187
"200061_s_at" 14116 2348 10080 13378 10693 11600
"200062_s_at" 14021 2855 9988 13274 10574 11506
"200063_s_at" 14163 3366 10144 13439 10757 11656
"200064_at" 8921 13273 4368 17513 6054 8237
"200065_s_at" 9183 14319 8285 17447 8942 16483
"200066_at" 9262 1911 4352 6331 6903 18339
"200067_x_at" 9193 13639 15546 6021 8397 16191
"200068_s_at" 7295 17719 4771 17519 7412 5685
"200069_at" 4661 21228 17272 20226 14640 5955
"200070_at" 10095 14594 21062 17489 2261 4110
"200071_at" 4400 20198 16168 8399 16245 5875
"200072_s_at" 10627 15109 5450 8583 8526 18316
"200073_s_at" 11857 13510 14996 3478 7286 9160
"200074_s_at" 8456 13950 7345 18923 14915 6741
"200075_s_at" 7531 15877 17815 5079 14961 16737
"200076_s_at" 11281 3224 15179 10469 5873 5331
"200077_s_at" 12207 2661 13858 10482 8201 6652
"200078_s_at" 8883 13418 8600 7485 14724 5755
"200079_s_at" 10382 14830 15392 4155 16222 7903
"200080_s_at" 10864 12589 10138 17811 16645 6990
"200081_s_at" 18702 11763 3456 19799 15642 7362
"200082_s_at" 14154 2721 10132 17733 10743 16877
"200083_at" 7992 16086 16373 7191 5836 3185
"200084_at" 7931 16685 6903 7265 18508 4683
"200085_s_at" 11600 14192 17263 8797 14875 17732
"200086_s_at" 7461 14178 15142 19180 15354 17735
"200087_s_at" 7516 15213 4054 8077 15610 5261
