"inst_2439" "inst_4662"
"1007_s_at" 21112 12721
"1053_at" 18260 15664
"117_at" 6 1
"121_at" 3924 18880
"1255_g_at" 10367 5953
"1294_at" 16303 3811
"1316_at" 18028 21767
"1320_at" 8936 553
"1405_i_at" 12879 15373
"1431_at" 5143 2822
"1438_at" 3687 15009
"1487_at" 16219 11620
"1494_f_at" 1202 13293
"1598_g_at" 4199 15230
"160020_at" 2399 12816
"1729_at" 15802 14395
"1773_at" 20604 21582
"177_at" 13444 1955
"179_at" 5967 13161
"1861_at" 4425 13574
"200000_s_at" 16268 17033
"200001_at" 16983 11468
"200002_at" 4929 3901
"200003_s_at" 8255 6258
"200004_at" 6043 13274
"200005_at" 17073 10628
"200006_at" 15990 11738
"200007_at" 6020 3909
"200008_s_at" 5556 18595
"200009_at" 15646 13845
"200010_at" 5713 10281
"200011_s_at" 21308 16124
"200012_x_at" 5345 3097
"200013_at" 4784 4104
"200014_s_at" 16757 13286
"200015_s_at" 21472 16821
"200016_x_at" 8155 10391
"200017_at" 8422 9899
"200018_at" 8404 6334
"200019_s_at" 8359 3092
"200020_at" 17131 14711
"200021_at" 14360 6415
"200022_at" 8283 3680
"200023_s_at" 14391 11552
"200024_at" 6017 3532
"200025_s_at" 8401 3912
"200026_at" 8589 3576
"200027_at" 19382 14178
"200028_s_at" 19406 17178
"200029_at" 8332 4001
"200030_s_at" 17022 11261
"200031_s_at" 8392 6322
"200032_s_at" 8425 3932
"200033_at" 13565 12678
"200034_s_at" 13383 11427
"200035_at" 14934 16796
"200036_s_at" 5763 3324
"200037_s_at" 19961 16200
"200038_s_at" 8555 10147
"200039_s_at" 14445 10583
"200040_at" 16735 15597
"200041_s_at" 17856 10949
"200042_at" 15583 12334
"200043_at" 19117 12982
"200044_at" 16564 17007
"200045_at" 14644 12788
"200046_at" 5169 10739
"200047_s_at" 13410 13159
"200048_s_at" 15487 11095
"200049_at" 17102 14549
"200050_at" 17503 19771
"200051_at" 14118 12803
"200052_s_at" 15667 12607
"200053_at" 20846 2755
"200054_at" 13200 3125
"200055_at" 15804 3268
"200056_s_at" 15039 18993
"200057_s_at" 16828 12320
"200058_s_at" 17648 14723
"200059_s_at" 5215 12465
"200060_s_at" 16287 15537
"200061_s_at" 8390 6321
"200062_s_at" 8234 6247
"200063_s_at" 8471 10373
"200064_at" 636 3292
"200065_s_at" 13685 4085
"200066_at" 13356 17318
"200067_x_at" 4429 11031
"200068_s_at" 16377 15908
"200069_at" 20126 19819
"200070_at" 19562 14441
"200071_at" 16797 17694
"200072_s_at" 16166 15421
"200073_s_at" 18385 15860
"200074_s_at" 6032 11981
"200075_s_at" 4947 4286
"200076_s_at" 5985 11442
"200077_s_at" 5637 10297
"200078_s_at" 14170 3358
"200079_s_at" 16472 11415
"200080_s_at" 14535 12841
"200081_s_at" 5860 10406
"200082_s_at" 8452 4114
"200083_at" 15676 18117
"200084_at" 15118 13605
"200085_s_at" 5024 3068
"200086_s_at" 16174 11084
"200087_s_at" 14706 15052
"200088_x_at" 8250 6255
"200089_s_at" 5944 11040
"200090_at" 19137 17096
"200091_s_at" 13379 9932
"200092_s_at" 8481 3041
"200093_s_at" 15780 11952
"200094_s_at" 13026 11016
"200095_x_at" 8564 6406
"200096_s_at" 4663 11671
"200097_s_at" 14160 16447
"200098_s_at" 20827 14222
"200099_s_at" 8487 10007
"200593_s_at" 5858 15858
"200594_x_at" 18849 14880
"200595_s_at" 19183 17971
"200596_s_at" 16972 14982
"200597_at" 21489 15944
"200598_s_at" 5048 13951
"200599_s_at" 15850 15657
"200600_at" 14484 14661
"200601_at" 13493 18884
"200602_at" 14893 12009
"200603_at" 15918 16627
"200604_s_at" 1940 16531
"200605_s_at" 15227 20711
"200606_at" 13880 14618
"200607_s_at" 13904 21070
"200608_s_at" 17361 17093
"200609_s_at" 16616 16615
"200610_s_at" 16768 13781
"200611_s_at" 2851 11207
"200612_s_at" 16000 18383
"200613_at" 15063 13142
"200614_at" 5013 14650
"200615_s_at" 4507 9911
"200616_s_at" 16783 17822
"200617_at" 21636 16811
"200618_at" 3561 10715
"200619_at" 17025 11572
"200620_at" 5746 13948
"200621_at" 18376 13558
"200622_x_at" 2909 2629
"200623_s_at" 17224 14788
"200624_s_at" 13981 15476
"200625_s_at" 15860 10338
"200626_s_at" 16596 15601
"200627_at" 5202 10593
"200628_s_at" 18370 17713
"200629_at" 21529 11349
"200630_x_at" 15067 11249
"200631_s_at" 20086 11614
"200632_s_at" 18668 10324
"200633_at" 3995 6319
"200634_at" 16601 11733
"200635_s_at" 10734 18081
"200636_s_at" 1451 17785
"200637_s_at" 6820 15809
"200638_s_at" 3535 13377
"200639_s_at" 15689 14693
"200640_at" 15739 10900
"200641_s_at" 1847 15444
"200642_at" 2870 3093
"200643_at" 3412 3396
"200644_at" 1705 14464
"200645_at" 13797 11927
"200646_s_at" 3168 15165
"200647_x_at" 16026 10774
"200648_s_at" 991 1001
"200649_at" 3110 2995
"200650_s_at" 14490 6218
"200651_at" 8541 3322
"200652_at" 5204 14533
"200653_s_at" 4017 14350
"200654_at" 16595 2635
"200655_s_at" 16609 13786
"200656_s_at" 15736 10097
"200657_at" 16304 10301
"200658_s_at" 14923 11110
"200659_s_at" 21230 12883
"200660_at" 14443 11309
"200661_at" 1802 9952
"200662_s_at" 21148 16286
"200663_at" 3493 11395
"200664_s_at" 5 8
"200665_s_at" 10089 4721
"200666_s_at" 9 22
"200667_at" 13218 13584
"200668_s_at" 3057 11314
"200669_s_at" 2113 14522
"200670_at" 15223 19908
"200671_s_at" 12604 14752
"200672_x_at" 14964 15710
"200673_at" 3891 13523
"200674_s_at" 8492 3708
"200675_at" 18480 13151
"200676_s_at" 21416 20183
"200677_at" 3959 14018
"200678_x_at" 17484 15577
