"inst_2169" "inst_3748" "inst_3829" "inst_4304" "inst_6024"
"1007_s_at" 40 4204 15274 13733 15595
"1053_at" 17063 18694 16860 18551 19926
"117_at" 15613 591 10390 317 2406
"121_at" 21827 2725 3173 16556 11763
"1255_g_at" 12045 9012 7526 5899 4473
"1294_at" 20222 21590 6491 17615 21956
"1316_at" 20993 21951 19439 21662 10345
"1320_at" 12000 13666 2382 227 17646
"1405_i_at" 16018 3373 6623 8330 8818
"1431_at" 2361 11106 1684 20088 21593
"1438_at" 13176 2195 16566 12385 19489
"1487_at" 16194 17324 19343 10476 15474
"1494_f_at" 21420 2579 5527 21465 19088
"1598_g_at" 1345 19056 14609 891 2545
"160020_at" 17862 19006 3097 11852 21985
"1729_at" 3906 20037 21825 12474 17481
"1773_at" 569 21238 3152 14901 12928
"177_at" 19928 21346 209 16955 409
"179_at" 15179 1768 4450 12276 20091
"1861_at" 17139 18157 21162 15879 20616
"200000_s_at" 16399 11397 20394 17278 9532
"200001_at" 6258 13246 15892 12577 12838
"200002_at" 5342 4460 13214 11528 2235
"200003_s_at" 10337 6811 8490 5221 5331
"200004_at" 15944 11744 15355 10260 11878
"200005_at" 5249 16337 14146 11284 12427
"200006_at" 6408 5446 15294 13151 3767
"200007_at" 3072 4033 17243 3414 3205
"200008_s_at" 16047 20261 3650 3387 15380
"200009_at" 7816 13266 13615 13834 10459
"200010_at" 10633 15544 17032 10356 10067
"200011_s_at" 16786 13699 13874 3294 9609
"200012_x_at" 8174 4463 5890 2623 3507
"200013_at" 6070 11604 14731 10802 10533
"200014_s_at" 4973 4195 17838 17493 10491
"200015_s_at" 6680 10911 19595 16837 14480
"200016_x_at" 10555 6752 13219 10379 3299
"200017_at" 10438 6883 8596 5319 5428
"200018_at" 10351 6879 8588 5306 5421
"200019_s_at" 15216 4388 19607 3729 3437
"200020_at" 2864 14937 15387 19679 19472
"200021_at" 15181 6970 8713 5431 5528
"200022_at" 10491 10812 6452 10751 5348
"200023_s_at" 4775 3973 17964 15897 13742
"200024_at" 8022 5375 13754 9767 10406
"200025_s_at" 10521 4010 6356 11415 3439
"200026_at" 10427 6972 18594 3441 5531
"200027_at" 8059 3906 17373 15734 12246
"200028_s_at" 18498 2480 13288 16093 10181
"200029_at" 10245 4089 4498 1495 1996
"200030_s_at" 8133 4158 13080 2109 9750
"200031_s_at" 10413 6871 8580 5297 5413
"200032_s_at" 10252 12234 8597 9780 5431
"200033_at" 4198 4703 4825 11087 11304
"200034_s_at" 16188 12989 6305 2845 3743
"200035_at" 19289 17261 14845 2007 14827
"200036_s_at" 6462 4036 14987 12144 9691
"200037_s_at" 6614 12282 15742 17462 9907
"200038_s_at" 10307 10968 8696 3051 5508
"200039_s_at" 3710 14388 14152 13086 10228
"200040_at" 5689 13287 20605 13147 11559
"200041_s_at" 4106 15243 14193 1479 11097
"200042_at" 7138 12844 6533 13503 11941
"200043_at" 864 4046 14715 10934 2557
"200044_at" 15333 4995 14275 12922 3634
"200045_at" 16662 12620 17336 12625 15821
"200046_at" 2180 3909 14944 14506 15895
"200047_s_at" 3994 3537 18589 16793 13092
"200048_s_at" 7430 4080 13015 15026 9902
"200049_at" 1446 11576 4795 14082 15970
"200050_at" 20127 14192 18752 16132 12028
"200051_at" 18212 18993 19469 15414 16229
"200052_s_at" 6975 15973 14939 10473 16654
"200053_at" 6179 19870 20136 11374 14783
"200054_at" 2040 15764 18898 13484 10093
"200055_at" 4638 12568 19064 2930 11173
"200056_s_at" 4856 4516 17459 16160 12788
"200057_s_at" 5212 2961 12583 3227 3650
"200058_s_at" 5640 17759 15220 10416 15205
"200059_s_at" 2430 4188 13050 1795 11793
"200060_s_at" 7952 14315 17596 12600 2879
"200061_s_at" 10631 6870 8578 5296 5411
"200062_s_at" 10367 6799 8474 5208 5320
"200063_s_at" 10600 6912 8634 5351 5459
"200064_at" 4131 14858 13007 2141 12143
"200065_s_at" 8270 13212 14521 3272 13620
"200066_at" 19458 20748 20496 3042 17958
"200067_x_at" 7871 3225 13949 12609 12097
"200068_s_at" 5767 12068 6153 13535 10152
"200069_at" 16929 15957 14894 16410 18600
"200070_at" 15256 14522 6408 19231 9943
"200071_at" 2741 17990 17156 17828 14318
"200072_s_at" 15282 16634 14594 11534 16212
"200073_s_at" 8107 2270 16166 10800 14181
"200074_s_at" 7639 12642 14870 12148 11425
"200075_s_at" 18069 12386 16751 12727 16640
"200076_s_at" 15519 15777 17761 3654 12449
"200077_s_at" 5011 3552 4295 10687 2815
"200078_s_at" 5700 15987 19757 14032 10166
"200079_s_at" 8356 15506 16441 15466 14323
"200080_s_at" 5914 2882 6502 9686 1652
"200081_s_at" 15442 16333 5766 9963 3323
"200082_s_at" 10446 12266 6524 3307 5453
"200083_at" 18445 16977 17806 14362 15963
"200084_at" 4758 4333 15626 11737 14799
"200085_s_at" 8323 13994 15855 14518 10255
"200086_s_at" 4030 4972 17328 12735 2697
"200087_s_at" 4205 11599 13264 14634 2673
"200088_x_at" 10292 6809 8485 10304 5328
"200089_s_at" 7523 12239 13496 11532 10038
"200090_at" 16454 13016 13425 16118 16344
"200091_s_at" 16056 10960 19000 10107 3816
"200092_s_at" 10596 12148 12490 12006 3753
"200093_s_at" 3196 2916 18011 10453 2439
"200094_s_at" 5993 14540 12406 18412 11021
"200095_x_at" 10388 6962 8705 5420 5517
"200096_s_at" 3841 13701 12812 12607 17086
"200097_s_at" 4137 5125 12376 11246 12751
"200098_s_at" 7873 4708 16548 13613 12912
"200099_s_at" 10530 6923 8643 2786 5469
"200593_s_at" 17453 17360 4275 17673 11937
"200594_x_at" 6921 12621 13120 14602 13022
"200595_s_at" 4278 14491 20236 16269 14058
"200596_s_at" 5837 14445 18031 11320 13993
"200597_at" 6154 16396 4871 19483 19305
"200598_s_at" 7234 14343 3148 20122 15520
"200599_s_at" 16347 4491 20297 13092 13667
"200600_at" 4837 11333 8979 10867 8697
"200601_at" 145 2988 19156 1380 784
"200602_at" 6789 3009 18149 18465 2211
"200603_at" 6200 5011 17014 15801 11249
"200604_s_at" 6494 17437 4554 12912 15134
"200605_s_at" 3834 4988 5141 10621 15302
"200606_at" 20271 11126 6386 12718 12416
"200607_s_at" 7540 18265 2153 18338 16302
"200608_s_at" 4590 3690 14494 13189 12290
"200609_s_at" 15695 17016 17045 17342 13298
"200610_s_at" 5006 2019 15139 10323 2621
"200611_s_at" 6535 15813 14812 11094 11731
"200612_s_at" 7167 17688 2346 18306 1320
"200613_at" 6377 15343 12736 10271 9949
"200614_at" 7575 11185 14978 3737 11520
"200615_s_at" 6178 13518 14478 13044 3300
"200616_s_at" 16996 19080 4345 21735 13204
"200617_at" 1935 19910 14949 11492 15014
"200618_at" 3081 15920 15588 12117 12175
"200619_at" 3412 13468 19874 9813 9749
"200620_at" 5364 4782 13909 12018 16972
"200621_at" 6843 16326 19511 17203 13656
"200622_x_at" 5483 16208 5161 10828 18481
"200623_s_at" 17403 5042 19703 247 18687
"200624_s_at" 4241 4497 5754 16432 12349
"200625_s_at" 7736 15740 22010 2808 10862
"200626_s_at" 15842 13827 19599 16008 9606
"200627_at" 16370 12297 13574 2174 10244
"200628_s_at" 16042 17454 3867 2998 18706
"200629_at" 17332 11462 16585 11994 13681
"200630_x_at" 5660 12557 12963 15607 9794
"200631_s_at" 6982 4115 19883 11100 3302
"200632_s_at" 6508 11835 19814 12569 18875
"200633_at" 7957 6869 8577 3298 5410
"200634_at" 5419 11652 15345 2544 3211
"200635_s_at" 15734 15026 3461 17541 3493
"200636_s_at" 14892 13879 19746 14172 13609
"200637_s_at" 10309 19270 2326 13525 16201
"200638_s_at" 3099 10863 5401 2247 9670
"200639_s_at" 5747 3050 14747 10038 10366
"200640_at" 3972 13621 13558 2953 10865
"200641_s_at" 7042 4618 2997 1560 13648
"200642_at" 5033 5390 14663 3143 10103
"200643_at" 15809 16340 19902 11590 17415
"200644_at" 4340 11613 6004 953 12062
"200645_at" 6845 13260 15695 13323 12217
"200646_s_at" 20020 20804 20214 75 15639
"200647_x_at" 6629 5295 18424 11668 10712
"200648_s_at" 17565 16434 5501 3072 21346
"200649_at" 20140 20254 16825 1144 12567
"200650_s_at" 10500 6770 13587 5174 9694
"200651_at" 10219 12262 6177 2969 3737
"200652_at" 3985 11635 14580 16067 9838
"200653_s_at" 4714 14738 19319 1503 15244
"200654_at" 6784 14457 15239 2412 10728
"200655_s_at" 5346 11351 17458 13795 11799
"200656_s_at" 5820 19433 6450 11417 16338
"200657_at" 7353 3816 6428 10500 2768
"200658_s_at" 16321 18618 18456 16664 16807
"200659_s_at" 7742 17845 16380 14636 10519
"200660_at" 7654 17253 17197 3013 14623
"200661_at" 8073 18018 17470 11581 17963
"200662_s_at" 16936 14224 20909 14494 17025
"200663_at" 1269 4964 5304 10372 10946
"200664_s_at" 15599 12040 2204 3180 13542
"200665_s_at" 8440 9182 11896 11083 6158
"200666_s_at" 4092 4056 16859 11178 3846
"200667_at" 2699 4896 15985 16291 15039
"200668_s_at" 7580 14161 15602 12830 13270
"200669_s_at" 15921 13608 4164 12584 15718
"200670_at" 5662 4383 3744 2241 1847
"200671_s_at" 12615 21343 3119 20684 19090
"200672_x_at" 22247 17506 15629 21002 15756
"200673_at" 2578 4077 13371 12671 10849
"200674_s_at" 10517 6926 8647 2968 5472
"200675_at" 2669 13061 19590 9639 13102
"200676_s_at" 5614 20376 20924 12578 1929
"200677_at" 3066 12631 13920 11000 3284
"200678_x_at" 16467 16608 16824 12127 21908
"200679_x_at" 6427 12857 12692 15622 10725
"200680_x_at" 3987 6964 6334 2558 5521
"200681_at" 16983 4557 12968 10282 12729
"200682_s_at" 17591 14928 13978 15840 13184
"200683_s_at" 4958 19192 19619 16129 19533
"200684_s_at" 2541 12513 14279 12124 10367
"200685_at" 2250 11243 21142 21411 19270
"200686_s_at" 1539 3360 19708 21210 18744
"200687_s_at" 6672 18901 15172 10203 18468
"200688_at" 21095 12170 18340 10268 11904
"200689_x_at" 7371 10873 12416 10569 3825
"200690_at" 1689 16482 19542 20829 14821
"200691_s_at" 4920 14948 18977 16505 12864
"200692_s_at" 19851 20168 17422 18094 14176
"200693_at" 2236 13209 13984 10011 11587
"200694_s_at" 17859 14842 17190 18477 12487
"200695_at" 19245 17852 14847 10328 17318
"200696_s_at" 19195 1453 21768 15487 11713
"200697_at" 5657 16965 15514 2691 15218
"200698_at" 6212 13178 6215 10693 13642
"200699_at" 6279 16014 17496 15288 17528
"200700_s_at" 16334 3852 15428 9800 11005
"200701_at" 4964 14897 19101 11025 16841
"200702_s_at" 16490 17606 2813 21483 11213
"200703_at" 3670 10838 17574 12852 12180
"200704_at" 17235 2238 20648 9964 15795
"200705_s_at" 10594 4524 14370 13926 10722
"200706_s_at" 826 10641 16226 19257 13219
"200707_at" 5875 19920 16255 1274 16516
"200708_at" 7601 11985 14855 12664 9634
"200709_at" 18820 15430 17565 1546 13157
"200710_at" 16390 21211 5832 11016 20115
"200711_s_at" 6224 15673 20580 16812 14054
"200712_s_at" 19879 18965 12366 11046 17445
"200713_s_at" 15979 5276 13777 16086 14527
"200714_x_at" 5759 16504 18158 9821 13908
"200715_x_at" 8328 10697 12578 9997 3052
"200716_x_at" 10580 6959 8697 3410 5510
"200717_x_at" 10274 6867 8576 5295 5407
"200718_s_at" 4315 3499 13411 9706 3363
"200719_at" 6098 13062 6413 16780 14060
"200720_s_at" 15791 12846 3882 1425 12519
"200721_s_at" 8158 12774 14966 1608 10362
"200722_s_at" 3872 17212 2434 3372 11265
"200723_s_at" 7083 13427 4688 2731 16386
"200724_at" 19069 108 300 1548 1363
"200725_x_at" 15705 10834 14257 3580 11918
"200726_at" 7378 3470 12476 13901 10639
"200727_s_at" 7045 21860 1411 22223 19215
"200728_at" 6595 19825 14133 13577 12790
"200729_s_at" 7046 15398 13593 18015 13897
"200730_s_at" 18477 18533 1870 11288 17948
"200731_s_at" 3722 14756 18243 10542 18109
"200732_s_at" 5240 15315 14419 12052 13038
"200733_s_at" 16298 4860 17631 20194 19514
"200734_s_at" 18790 4654 14331 11834 14021
"200735_x_at" 10578 6918 8639 3070 5465
"200736_s_at" 2812 5246 10531 14230 2364
"200737_at" 5539 13080 16986 12245 3733
"200738_s_at" 4849 5102 12384 1697 9511
"200739_s_at" 20003 10982 6324 870 15549
"200740_s_at" 7068 3546 13403 11486 9995
"200741_s_at" 10322 6800 8476 5209 5321
"200742_s_at" 5090 13023 6585 1155 11872
"200743_s_at" 6370 12435 18604 3454 10412
"200744_s_at" 8274 17898 6279 10522 14749
"200745_s_at" 7043 15622 5139 18668 17756
"200746_s_at" 7810 13234 19351 11738 14482
"200747_s_at" 5287 14990 17878 3356 14153
"200748_s_at" 18806 13068 14813 9919 11518
"200749_at" 6343 13423 16863 17734 17839
"200750_s_at" 5357 6850 5685 2168 9698
"200751_s_at" 6645 18805 4007 11800 12983
"200752_s_at" 2372 20251 14371 1326 12033
"200753_x_at" 2416 14682 6031 10151 19269
"200754_x_at" 6019 11011 6086 2736 12141
"200755_s_at" 18932 16373 4647 11380 18139
"200756_x_at" 4162 11110 1724 545 20277
"200757_s_at" 17519 16300 16594 13467 16954
"200758_s_at" 3184 16130 15934 10588 16397
"200759_x_at" 1416 18495 3778 10821 12015
"200760_s_at" 6900 19441 12438 19712 16545
"200761_s_at" 3134 15156 17063 17672 16115
"200762_at" 7517 12797 19932 16217 20086
"200763_s_at" 10577 6928 8650 5376 5474
"200764_s_at" 20422 8733 16564 4122 17547
"200765_x_at" 20489 7651 17972 6771 13558
"200766_at" 18241 2162 19170 11638 15683
"200767_s_at" 3228 18327 5382 14560 17098
"200768_s_at" 16070 14788 20329 10557 18583
"200769_s_at" 3800 19535 3454 10449 11767
"200770_s_at" 16484 17992 14233 18418 1620
"200771_at" 18776 18570 18045 13683 20119
"200772_x_at" 10423 11700 8600 3120 3652
"200773_x_at" 8074 4943 16075 10612 10502
"200774_at" 5773 4832 16732 14765 10989
"200775_s_at" 6012 10729 14023 9808 3556
"200776_s_at" 4919 5368 3146 2114 15752
"200777_s_at" 4613 15320 15927 11304 15143
"200778_s_at" 15482 14558 15135 3181 12755
"200779_at" 15521 11246 14773 13680 16191
"200780_x_at" 19312 18800 5550 10324 15350
"200781_s_at" 10454 4206 8557 2471 5389
"200782_at" 5735 3309 18034 10354 11797
"200783_s_at" 18734 4904 20748 16525 14289
"200784_s_at" 10777 16145 7246 87 6505
"200785_s_at" 14130 21000 10384 1681 7040
