"inst_2906" "inst_4188" "inst_4774" "inst_7326"
"1007_s_at" 18470 18108 16445 13942
"1053_at" 15710 15871 20778 21039
"117_at" 1237 6595 14150 5842
"121_at" 13672 8269 15364 19084
"1255_g_at" 8271 11658 11771 6145
"1294_at" 2604 1768 20327 12441
"1316_at" 344 668 19250 1942
"1320_at" 10350 11722 15025 3778
"1405_i_at" 3952 5340 14361 11237
"1431_at" 14130 624 18241 11563
"1438_at" 8533 21539 18871 1657
"1487_at" 15369 20003 19584 16761
"1494_f_at" 7838 519 20578 1059
"1598_g_at" 21736 15257 21592 20274
"160020_at" 14942 17873 1921 17399
"1729_at" 1256 4557 16988 1720
"1773_at" 976 17442 4053 22205
"177_at" 2000 21702 7823 11734
"179_at" 22261 18725 628 2131
"1861_at" 14960 20835 16602 12451
"200000_s_at" 17777 13881 20574 19140
"200001_at" 17708 16530 19412 19897
"200002_at" 2701 17471 16961 2089
"200003_s_at" 7251 15483 19923 2403
"200004_at" 13707 4982 2336 12462
"200005_at" 15231 17748 16655 17832
"200006_at" 4214 7836 6762 3155
"200007_at" 12661 7861 8099 11967
"200008_s_at" 18820 20772 1304 17408
"200009_at" 13721 16088 6374 12310
"200010_at" 4111 19869 20305 14145
"200011_s_at" 4588 6269 7748 15036
"200012_x_at" 3920 15160 15721 12625
"200013_at" 12435 16982 17612 2660
"200014_s_at" 4546 16027 4596 13280
"200015_s_at" 13414 4057 6054 2808
"200016_x_at" 2678 7450 6449 2755
"200017_at" 4814 10121 8232 2039
"200018_at" 7383 16160 18166 3179
"200019_s_at" 14409 16567 16590 13264
"200020_at" 19976 7175 7568 16270
"200021_at" 4758 10167 10673 13155
"200022_at" 12905 21024 18296 12445
"200023_s_at" 3364 5762 7902 15085
"200024_at" 13965 16834 19227 12652
"200025_s_at" 3309 8417 7774 2549
"200026_at" 7541 14581 16942 2893
"200027_at" 12541 13866 2819 13009
"200028_s_at" 13600 3660 6087 13291
"200029_at" 4047 6037 15341 12119
"200030_s_at" 12234 8123 8104 12007
"200031_s_at" 7369 10115 16530 12046
"200032_s_at" 7401 7233 17459 2935
"200033_at" 13322 5330 3919 1871
"200034_s_at" 4566 7411 15963 13179
"200035_at" 17116 7752 16348 17151
"200036_s_at" 14581 6930 7942 13181
"200037_s_at" 4576 7294 5725 1537
"200038_s_at" 7514 15934 8177 1886
"200039_s_at" 19898 15288 17741 15418
"200040_at" 3452 14097 6836 15051
"200041_s_at" 15786 5836 18823 15907
"200042_at" 18603 14480 17160 17355
"200043_at" 14338 4839 17016 14069
"200044_at" 14701 14707 16262 13351
"200045_at" 16423 17051 18725 17052
"200046_at" 4343 16722 15976 18432
"200047_s_at" 2144 4860 2580 2485
"200048_s_at" 12966 5120 7302 2426
"200049_at" 13162 14570 18661 14858
"200050_at" 4247 16312 6434 2892
"200051_at" 21855 18273 20276 19805
"200052_s_at" 17704 16541 7191 13607
"200053_at" 15316 21852 21674 21802
"200054_at" 19520 5728 7489 698
"200055_at" 16775 14444 17819 16767
"200056_s_at" 19004 7132 3328 14124
"200057_s_at" 3529 5726 7020 12482
"200058_s_at" 13943 15680 8074 13317
"200059_s_at" 3492 15524 4881 13056
"200060_s_at" 15535 14342 17093 18702
"200061_s_at" 7368 10114 17493 2940
"200062_s_at" 4517 10065 10428 12103
"200063_s_at" 3899 10135 10605 1623
"200064_at" 18013 16967 16908 15761
"200065_s_at" 14296 16175 19254 16516
"200066_at" 19486 20296 17404 19153
"200067_x_at" 3520 5909 2430 14416
"200068_s_at" 12243 5371 6877 12293
"200069_at" 17880 15511 5133 19562
"200070_at" 21770 4183 19451 20386
"200071_at" 16258 6708 5417 15898
"200072_s_at" 19418 6724 5801 14630
"200073_s_at" 4402 8064 8051 15207
"200074_s_at" 4760 15924 17217 12029
"200075_s_at" 20065 14790 19985 19264
"200076_s_at" 2765 18926 19051 19532
"200077_s_at" 4796 7676 8032 2803
"200078_s_at" 14496 16110 17484 17389
"200079_s_at" 17978 16369 5875 17902
"200080_s_at" 3173 5329 6939 1012
"200081_s_at" 15201 17799 16930 14598
"200082_s_at" 4326 15961 18220 2849
"200083_at" 13456 18812 17910 12091
"200084_at" 14246 7770 2824 14962
"200085_s_at" 17174 14281 19262 14725
"200086_s_at" 4114 15645 17363 2703
"200087_s_at" 12816 7520 6442 2530
"200088_x_at" 7243 15183 16440 12326
"200089_s_at" 12667 7245 7972 2123
"200090_at" 2645 5516 1711 13702
"200091_s_at" 14385 15974 18374 2689
"200092_s_at" 4428 6295 6023 2929
"200093_s_at" 16893 8323 7175 15567
"200094_s_at" 4296 16172 18935 2442
"200095_x_at" 7523 10162 10663 3340
"200096_s_at" 16868 17718 16880 14513
"200097_s_at" 3366 5210 2331 1904
"200098_s_at" 17560 6797 7949 13164
"200099_s_at" 7455 5779 15776 922
"200593_s_at" 14207 17623 6422 15633
"200594_x_at" 3573 14128 6496 13042
"200595_s_at" 14315 1897 7004 2719
"200596_s_at" 19467 13758 15411 16951
"200597_at" 16048 21439 3026 1727
"200598_s_at" 18706 6212 15991 14659
"200599_s_at" 2220 5773 17537 12288
"200600_at" 2190 15631 9344 2958
"200601_at" 4559 15339 18238 510
"200602_at" 15320 7951 20853 21055
"200603_at" 4325 5478 1195 1353
