"inst_124" "inst_3584" "inst_5888" "inst_6162" "inst_7241"
"1007_s_at" 14843 7444 9101 1446 17955
"1053_at" 17374 3378 3018 11997 4167
"117_at" 9081 7339 14986 10946 15688
"121_at" 1602 4871 18183 9418 653
"1255_g_at" 9361 14351 15747 6474 12800
"1294_at" 2403 9594 17623 2535 5034
"1316_at" 19651 20420 20909 19922 2295
"1320_at" 17319 18324 10484 8259 10764
"1405_i_at" 8183 9755 11794 14813 15378
"1431_at" 7421 21709 3814 1612 8068
"1438_at" 1185 2905 13686 9983 22093
"1487_at" 13778 7582 6527 17187 7183
"1494_f_at" 2956 7185 613 2502 9733
"1598_g_at" 1536 3732 20745 11784 20000
"160020_at" 12738 3961 7259 578 1070
"1729_at" 14798 19787 8091 10955 9621
"1773_at" 2375 2855 3411 15088 20752
"177_at" 3496 9919 8282 10011 1853
"179_at" 1287 22023 2862 1878 22164
"1861_at" 16834 9351 19873 1875 2033
"200000_s_at" 15087 3863 8422 12909 18541
"200001_at" 14315 11909 18313 16638 7811
"200002_at" 13792 20412 18476 12850 10273
"200003_s_at" 13082 11803 18227 4550 18102
"200004_at" 20720 6691 6183 16874 20649
"200005_at" 18212 10225 7873 15353 6230
"200006_at" 17065 18671 18605 15565 9461
"200007_at" 18200 19680 9788 15500 9991
"200008_s_at" 16683 9970 10118 18503 4183
"200009_at" 18656 18840 9848 14735 9311
"200010_at" 12847 11464 7068 10087 9896
"200011_s_at" 18864 6979 8269 18596 19838
"200012_x_at" 14710 20465 17707 4512 19167
"200013_at" 14747 19126 8473 11317 10177
"200014_s_at" 19904 8269 10365 17436 8468
"200015_s_at" 20399 9195 6150 18142 8605
"200016_x_at" 18716 11185 17267 4486 9183
"200017_at" 13153 19387 7328 4641 9971
"200018_at" 3543 19121 19059 4633 9781
"200019_s_at" 17300 12063 17543 10778 9331
"200020_at" 18266 7110 8401 18374 17731
"200021_at" 13080 19726 17777 4728 9952
"200022_at" 15118 20340 19331 9234 17865
"200023_s_at" 15032 9293 9726 14756 7484
"200024_at" 14418 19049 19090 9843 17920
"200025_s_at" 3147 19996 18078 4630 18329
"200026_at" 16664 19621 8872 4732 17795
"200027_at" 18230 19846 6860 16253 6723
"200028_s_at" 16186 7794 9911 13983 19405
"200029_at" 3533 11368 18963 4597 9665
"200030_s_at" 16650 18902 17824 14437 18407
"200031_s_at" 1164 19651 9964 4625 17902
"200032_s_at" 16539 11494 18850 4643 18112
"200033_at" 18602 10687 8723 17016 19099
"200034_s_at" 17342 19472 3009 10177 10198
"200035_at" 18439 18831 4615 2705 22023
"200036_s_at" 16097 18961 18465 10976 9250
"200037_s_at" 21057 10885 6037 14455 7828
"200038_s_at" 15266 11093 8156 4711 8269
"200039_s_at" 14631 10062 17572 18090 8352
"200040_at" 17309 4026 8277 16733 7657
"200041_s_at" 19382 9357 9111 16449 18868
"200042_at" 3307 8963 6313 16879 3900
"200043_at" 20324 20727 20631 19647 4817
"200044_at" 19739 11263 5825 14631 9354
"200045_at" 18130 9025 18295 14831 7912
