"inst_2901" "inst_4062" "inst_4143" "inst_7321"
"1007_s_at" 1156 18988 16162 13315
"1053_at" 17978 3883 16696 19932
"117_at" 3515 10012 7779 5832
"121_at" 2756 19859 3619 18021
"1255_g_at" 9317 8508 9546 6138
"1294_at" 20439 1595 2173 12347
"1316_at" 15627 2221 14994 5509
"1320_at" 11138 16424 21829 5712
"1405_i_at" 21694 1275 10151 8933
"1431_at" 1173 1560 5455 11509
"1438_at" 11427 4437 2775 20223
"1487_at" 13908 18664 21506 17977
"1494_f_at" 137 1521 2376 5407
"1598_g_at" 3366 19927 17848 14120
"160020_at" 22088 19928 15404 17129
"1729_at" 22281 2963 14436 17632
"1773_at" 14317 20219 13385 21635
"177_at" 19236 731 1056 2761
"179_at" 15787 22192 21390 17621
"1861_at" 1221 19464 11180 18903
"200000_s_at" 14933 19159 12154 12612
"200001_at" 17653 6224 16939 15630
"200002_at" 2983 13690 11663 1842
"200003_s_at" 8286 7787 7181 11909
"200004_at" 14333 13527 15275 3242
"200005_at" 4411 12592 11516 16503
"200006_at" 3269 6329 10762 12273
"200007_at" 2275 4677 3883 2439
"200008_s_at" 3547 5588 5283 15115
"200009_at" 14066 3432 11175 2384
"200010_at" 4037 5027 18324 3315
"200011_s_at" 13413 14421 13717 12358
"200012_x_at" 3020 6232 3363 2390
"200013_at" 14249 3753 11704 14070
"200014_s_at" 3108 5174 13215 12689
"200015_s_at" 14805 11872 14269 17267
"200016_x_at" 13628 7741 7105 2964
"200017_at" 5816 7841 7279 3252
"200018_at" 8409 7838 7273 14358
"200019_s_at" 15176 13302 5059 13126
"200020_at" 14424 6591 18336 2301
"200021_at" 4215 7896 7393 13377
"200022_at" 14848 3309 7195 2965
"200023_s_at" 5074 16265 15867 14087
"200024_at" 15610 5278 12269 3398
"200025_s_at" 5616 12022 7271 2399
"200026_at" 8574 4427 7395 12652
"200027_at" 2397 3585 5041 14503
"200028_s_at" 5645 13138 13358 1510
"200029_at" 14195 3461 3920 12797
"200030_s_at" 3900 12314 11583 12782
"200031_s_at" 8390 7833 7263 12313
"200032_s_at" 8429 5245 7281 13696
"200033_at" 3008 12168 14341 12314
"200034_s_at" 13237 6208 13160 15126
"200035_at" 20108 17917 19878 17141
"200036_s_at" 13383 4075 4296 13753
"200037_s_at" 4981 14856 15062 2835
"200038_s_at" 8545 4064 7371 3063
"200039_s_at" 2501 4448 4624 15564
"200040_at" 13703 15899 14234 16690
"200041_s_at" 3485 3808 13510 17792
"200042_at" 3595 3963 15726 17008
"200043_at" 5788 4067 16920 12062
"200044_at" 4648 11675 13865 15080
"200045_at" 15425 17989 13155 17557
"200046_at" 3354 5171 15999 15818
"200047_s_at" 1434 15050 12112 1548
"200048_s_at" 3581 15182 13538 2286
"200049_at" 2857 15346 18940 11906
"200050_at" 14665 16971 17635 18114
"200051_at" 20682 20257 21016 20890
"200052_s_at" 14694 2222 14556 13084
"200053_at" 3454 2338 21353 20064
"200054_at" 14040 12630 17099 12862
"200055_at" 13877 11590 2389 13801
"200056_s_at" 21371 15643 16811 15691
"200057_s_at" 2574 15550 3689 2431
"200058_s_at" 4344 6010 12344 17706
"200059_s_at" 3229 5814 11142 3429
"200060_s_at" 17451 20005 14265 18543
"200061_s_at" 8389 7832 7261 12542
"200062_s_at" 5344 7779 7165 12657
"200063_s_at" 4307 7857 7312 2815
"200064_at" 15423 5248 16803 12099
"200065_s_at" 13786 5855 15976 16263
"200066_at" 3018 5943 18195 17121
"200067_x_at" 3180 6520 3610 13643
"200068_s_at" 4827 13234 11100 2244
"200069_at" 16691 17273 16557 15349
"200070_at" 21518 16717 15399 1970
"200071_at" 2655 18466 17445 16855
"200072_s_at" 15073 15397 15456 14737
"200073_s_at" 14325 15302 12947 17066
"200074_s_at" 5288 4527 13906 13737
"200075_s_at" 19683 3458 15149 19816
"200076_s_at" 16583 12411 14315 2040
"200077_s_at" 3303 12744 12775 2597
"200078_s_at" 3139 15106 19134 16513
"200079_s_at" 4832 11701 5322 14347
"200080_s_at" 4308 13467 7309 1295
"200081_s_at" 15308 3161 12395 15446
"200082_s_at" 14580 4545 7302 14009
"200083_at" 20012 15980 19791 17153
"200084_at" 5458 13861 13010 3042
"200085_s_at" 13634 3178 12793 13196
"200086_s_at" 13843 5615 11295 12875
"200087_s_at" 13372 5669 18490 3071
