"inst_2175" "inst_3754" "inst_3835" "inst_3929" "inst_4310" "inst_6030"
"1007_s_at" 243 10537 6335 3827 9033 12104
"1053_at" 15143 14085 2090 17794 17610 12489
"117_at" 1713 9061 14666 7850 7845 4719
"121_at" 12649 2592 21021 18313 14567 9316
"1255_g_at" 9319 4769 10892 7459 5404 4985
"1294_at" 21111 16041 19843 21983 1761 21072
"1316_at" 16926 17417 21767 17366 3053 3200
"1320_at" 8275 12072 6950 20729 10474 12113
"1405_i_at" 17610 7511 10913 6265 7651 7199
"1431_at" 15532 2954 6811 20181 414 14050
"1438_at" 8351 17169 6935 18863 16766 21643
"1487_at" 3913 2440 19808 10965 11350 18383
"1494_f_at" 634 3416 7202 16630 18120 1203
"1598_g_at" 15133 2810 21086 12326 11537 10564
"160020_at" 21500 17886 6756 17221 2687 2314
"1729_at" 20820 9414 18626 19354 17096 20846
"1773_at" 20878 22050 8241 19298 19908 9841
"177_at" 20882 21265 18834 4107 1451 7958
"179_at" 1155 10267 15209 4802 18167 10141
"1861_at" 14722 16223 3143 11689 12090 12882
"200000_s_at" 14698 3609 4225 16918 16067 14148
"200001_at" 13684 3183 5748 11926 13477 13817
"200002_at" 15280 11633 15222 12575 11909 10168
"200003_s_at" 6811 5434 10877 6364 4811 4973
"200004_at" 16588 11687 8178 4559 9149 11242
"200005_at" 13029 14771 5303 13957 11602 12761
"200006_at" 11719 9827 6245 3879 14509 12517
"200007_at" 15365 11991 5867 11346 11286 15389
"200008_s_at" 15542 20961 15119 16862 11999 17496
"200009_at" 3621 12767 8223 11918 11957 11256
"200010_at" 6807 10413 7551 10459 9899 10587
"200011_s_at" 12727 10352 6122 3024 12456 11793
"200012_x_at" 11754 3280 15688 10873 9388 2899
"200013_at" 12270 9357 17221 10522 10087 9718
"200014_s_at" 11955 9635 7154 4670 15065 12666
"200015_s_at" 15182 9972 8020 10841 14961 17490
"200016_x_at" 6592 5378 16272 6284 10153 9569
"200017_at" 6535 5524 10991 6485 4904 5057
"200018_at" 6574 5517 10980 6473 4891 5051
"200019_s_at" 12621 9435 4674 4284 12154 10842
"200020_at" 1853 12186 6125 13503 13274 14342
"200021_at" 3156 5613 11113 6619 5015 5144
"200022_at" 6456 3499 15166 6386 10484 4988
"200023_s_at" 14560 12353 3924 12930 16844 15113
"200024_at" 14283 2849 8332 10773 10477 9294
"200025_s_at" 6448 9514 15465 6470 11464 9481
"200026_at" 6480 5616 8894 6623 3131 5147
"200027_at" 14109 11855 6733 12717 17009 18151
"200028_s_at" 13641 12383 6058 10831 14801 12306
"200029_at" 6700 11479 8213 3897 3290 9046
"200030_s_at" 11473 10119 7870 10413 2841 9198
"200031_s_at" 6549 5507 10968 6462 4883 5044
"200032_s_at" 6462 5525 10994 6489 3061 5059
"200033_at" 13178 11032 18381 10562 3084 11208
"200034_s_at" 11806 2796 16723 10693 3216 2615
"200035_at" 18060 4012 15526 11873 2066 2903
"200036_s_at" 16283 11545 15717 12158 13333 11272
"200037_s_at" 14731 11688 6555 3121 14134 13107
"200038_s_at" 6577 10005 11094 6596 9312 5123
"200039_s_at" 13372 11438 3720 14949 13779 16754
"200040_at" 12146 13276 5570 12755 11367 16311
"200041_s_at" 12785 9963 6538 13375 9669 15490
"200042_at" 14337 13702 7904 13009 15100 12328
"200043_at" 16115 14048 8440 12052 13361 11695
"200044_at" 11303 9879 7619 16644 11808 15701
"200045_at" 2068 10154 6701 11659 10933 12632
"200046_at" 4270 11834 2849 13879 17189 20959
"200047_s_at" 15721 13392 6635 10749 17358 15239
"200048_s_at" 14455 9688 5766 4736 16345 13673
"200049_at" 2082 16183 5742 2212 13975 15771
"200050_at" 15613 13010 4779 3032 15795 11015
"200051_at" 4494 9399 7537 15726 14876 14585
"200052_s_at" 14852 11099 6675 13723 13122 15678
"200053_at" 15841 11316 16563 20107 19808 18068
"200054_at" 15350 14459 2665 17653 15021 17146
"200055_at" 3561 11393 3614 18406 13042 15408
"200056_s_at" 14053 17619 18525 14869 16790 21404
"200057_s_at" 12291 3530 8940 4326 10251 10809
"200058_s_at" 14085 11910 15698 14830 9863 12718
"200059_s_at" 12971 13452 6097 11369 9414 13826
"200060_s_at" 13768 10822 15466 15571 9809 10948
"200061_s_at" 6617 5506 10966 6460 4882 5042
"200062_s_at" 6757 5424 10860 6348 4800 4961
"200063_s_at" 6584 5553 11029 6528 4932 5080
"200064_at" 3378 10855 6687 4160 2190 9580
"200065_s_at" 3998 3251 16395 4430 2726 16418
"200066_at" 16380 2779 1661 19276 3193 3251
"200067_x_at" 13475 12805 4490 4174 14289 17045
"200068_s_at" 12775 12223 4778 11331 10782 10994
"200069_at" 3798 13440 4263 2261 20813 16139
"200070_at" 18048 11325 6134 2221 15162 18679
"200071_at" 19272 19178 3528 10417 18114 19515
"200072_s_at" 13829 16709 7091 15848 11241 13278
"200073_s_at" 14713 13290 8588 11745 12804 9814
"200074_s_at" 12173 10961 16845 12606 9207 9377
"200075_s_at" 19504 9668 8655 13254 14270 15380
"200076_s_at" 2861 3531 17413 18347 14665 18178
"200077_s_at" 11288 3897 16320 10856 11390 9113
"200078_s_at" 15834 11787 3493 15774 15710 15401
"200079_s_at" 12546 12074 3394 10630 16375 15639
"200080_s_at" 13927 9382 7101 10545 9921 8918
"200081_s_at" 13850 10752 15532 12046 9567 9214
"200082_s_at" 6699 3676 16051 6513 2118 5073
"200083_at" 16362 13435 16463 12242 14260 11238
"200084_at" 17237 18855 6147 16645 16633 15227
"200085_s_at" 14120 16020 7628 15851 16342 12826
"200086_s_at" 12641 12699 8409 4535 14795 12721
"200087_s_at" 12289 3335 17420 11504 10615 13688
"200088_x_at" 6508 5432 10870 6358 9850 4970
"200089_s_at" 11275 11732 7215 10825 17199 9042
"200090_at" 13324 3571 2395 14386 16347 19821
"200091_s_at" 17433 2800 15509 11259 2217 8931
"200092_s_at" 6588 9970 11036 6537 9778 3400
"200093_s_at" 19919 14069 15744 14570 11812 18112
"200094_s_at" 2302 10939 17504 11353 14228 10088
"200095_x_at" 6472 5604 11104 6607 5000 5132
"200096_s_at" 12664 10271 8102 4029 13438 19667
"200097_s_at" 2600 9904 17445 3002 9391 13013
"200098_s_at" 13720 13754 5840 10475 13146 15190
"200099_s_at" 6774 9370 11039 6543 2317 5088
"200593_s_at" 16678 10989 16192 19924 13281 11512
"200594_x_at" 3023 11293 7567 12643 11225 11030
"200595_s_at" 15081 17569 2500 13709 16227 14114
"200596_s_at" 15099 15563 19144 16025 3115 12301
"200597_at" 11614 16046 5480 15821 3208 11173
"200598_s_at" 13725 18774 18064 11199 19871 17722
"200599_s_at" 16881 14665 7817 12987 9527 13892
"200600_at" 14235 9488 3348 8391 3005 6825
"200601_at" 11199 14633 7561 16664 10604 13157
"200602_at" 21342 11568 2230 18087 9735 21293
"200603_at" 14166 13172 8907 10759 11930 13144
"200604_s_at" 11899 16840 8398 17152 12155 17740
"200605_s_at" 14931 16410 17556 16574 10915 21521
"200606_at" 4260 15113 7419 3012 14862 18032
"200607_s_at" 14468 20270 21349 15904 20631 16803
"200608_s_at" 13512 12293 16680 11275 9385 14825
"200609_s_at" 11694 14180 7095 11870 13607 18864
"200610_s_at" 16891 12098 3592 11876 11266 12707
"200611_s_at" 15444 18170 16456 16822 13164 15340
"200612_s_at" 20767 21146 21585 21918 19989 10830
"200613_at" 16147 13081 8700 10594 9513 11377
"200614_at" 20485 12080 7668 6370 9488 9438
"200615_s_at" 11294 13245 8113 15525 14732 16417
"200616_s_at" 11914 4013 20519 3305 21681 12802
"200617_at" 12874 12331 4699 15341 10886 12794
