"inst_3452" "inst_5773" "inst_6248"
"1007_s_at" 3207 13015 19601
"1053_at" 4498 15690 14328
"117_at" 10150 10893 9055
"121_at" 19655 19465 16175
"1255_g_at" 8381 8529 3674
"1294_at" 9517 14876 12451
"1316_at" 4692 12798 17667
"1320_at" 10696 10194 10351
"1405_i_at" 7279 10238 10974
"1431_at" 9374 16326 479
"1438_at" 16192 15210 11615
"1487_at" 17872 2005 13587
"1494_f_at" 13626 792 15865
"1598_g_at" 21833 13158 21452
"160020_at" 17924 21832 1798
"1729_at" 14395 3565 15537
"1773_at" 18403 20361 2640
"177_at" 12155 7242 2173
"179_at" 715 2152 3097
"1861_at" 20774 5148 15982
"200000_s_at" 16407 5114 21024
"200001_at" 16915 14749 19975
"200002_at" 13712 14396 13501
"200003_s_at" 3949 15703 12405
"200004_at" 3930 6069 16030
"200005_at" 14887 12529 18136
"200006_at" 13919 5643 17855
"200007_at" 14846 16921 16440
"200008_s_at" 18807 14790 13647
"200009_at" 14299 13476 14236
"200010_at" 16457 16335 15873
"200011_s_at" 14421 14864 18904
"200012_x_at" 18078 5925 1851
"200013_at" 17632 6574 13146
"200014_s_at" 5418 6408 17228
"200015_s_at" 5308 14829 15651
"200016_x_at" 14138 14887 12903
"200017_at" 3611 13879 12246
"200018_at" 3064 13364 12773
"200019_s_at" 4808 5744 13660
"200020_at" 18114 5276 17065
"200021_at" 15862 12630 6378
"200022_at" 16097 14380 12271
"200023_s_at" 3087 14439 18050
"200024_at" 4894 5023 14180
"200025_s_at" 4347 15822 13015
"200026_at" 4507 12914 12642
"200027_at" 3181 13026 18675
"200028_s_at" 14769 14554 19504
"200029_at" 14353 15526 2576
"200030_s_at" 5182 14750 13435
"200031_s_at" 5494 8227 2761
"200032_s_at" 5318 4817 3195
"200033_at" 4250 14716 15409
"200034_s_at" 13964 14059 12484
"200035_at" 20371 15613 2510
"200036_s_at" 14858 14804 15256
"200037_s_at" 2412 6174 15593
"200038_s_at" 15283 6266 12126
"200039_s_at" 2210 6762 16713
"200040_at" 14845 12904 17301
"200041_s_at" 3506 16158 15442
"200042_at" 20188 12696 17939
"200043_at" 4811 3339 16412
"200044_at" 5444 15925 11914
"200045_at" 4284 6000 14207
"200046_at" 4878 14561 20459
"200047_s_at" 5101 6181 18162
"200048_s_at" 4647 12931 16957
"200049_at" 2535 18286 14015
"200050_at" 5399 4454 19333
"200051_at" 16728 13557 12251
"200052_s_at" 17947 13949 14600
"200053_at" 14601 20343 1709
"200054_at" 4494 17160 20108
"200055_at" 16075 14974 14351
"200056_s_at" 17877 16046 17300
"200057_s_at" 15676 5095 15475
"200058_s_at" 15069 15968 16192
"200059_s_at" 3324 12639 15927
"200060_s_at" 3516 12627 12237
"200061_s_at" 16696 8226 2115
"200062_s_at" 3944 8193 6010
"200063_s_at" 14487 6708 1802
"200064_at" 17734 15843 13888
"200065_s_at" 3610 13944 16362
"200066_at" 21014 17244 15699
"200067_x_at" 17848 12964 15281
"200068_s_at" 14589 13184 17665
"200069_at" 1592 14581 13253
"200070_at" 17911 5530 12290
"200071_at" 18547 17113 16182
"200072_s_at" 18321 17537 15805
"200073_s_at" 3385 5437 13486
"200074_s_at" 4636 13088 13729
"200075_s_at" 17740 5516 17813
"200076_s_at" 4652 15594 18966
"200077_s_at" 4256 12611 12751
"200078_s_at" 5291 4752 14957
"200079_s_at" 5371 4498 19194
"200080_s_at" 2393 15122 3205
"200081_s_at" 16459 6538 3178
"200082_s_at" 3756 5515 13206
"200083_at" 13976 15885 19078
"200084_at" 17678 16464 16479
"200085_s_at" 15174 17478 14541
"200086_s_at" 2033 17681 17723
"200087_s_at" 15415 4052 20016
"200088_x_at" 15351 13585 2930
"200089_s_at" 14190 14046 12205
"200090_at" 4685 6779 19896
"200091_s_at" 3812 5420 13705
"200092_s_at" 2981 4200 2680
"200093_s_at" 18136 15951 15829
"200094_s_at" 4122 6575 13930
"200095_x_at" 14087 13928 2999
"200096_s_at" 5121 13527 19394
"200097_s_at" 4877 5056 14213
"200098_s_at" 3786 17403 21685
"200099_s_at" 3917 4917 2853
"200593_s_at" 18939 6319 17205
"200594_x_at" 15578 16503 13962
"200595_s_at" 14556 3994 15431
"200596_s_at" 20375 16182 14865
"200597_at" 5000 20314 20377
"200598_s_at" 16859 2940 15397
"200599_s_at" 16819 3817 14864
"200600_at" 7007 17806 10479
"200601_at" 20740 19803 19778
"200602_at" 1262 20565 21099
"200603_at" 15912 14868 17265
"200604_s_at" 20028 13772 18298
"200605_s_at" 21323 14628 21042
"200606_at" 14930 17458 16112
"200607_s_at" 16077 13511 14630
"200608_s_at" 4781 14904 14873
"200609_s_at" 2732 17665 14295
"200610_s_at" 15708 17636 15576
"200611_s_at" 17352 15053 17405
"200612_s_at" 22054 21201 19963
"200613_at" 14818 14605 15992
"200614_at" 5206 5191 13511
"200615_s_at" 17165 16253 17256
"200616_s_at" 13723 6783 17771
"200617_at" 20167 13342 13917
"200618_at" 5062 17166 14723
"200619_at" 2317 13604 15697
"200620_at" 17523 14850 20159
"200621_at" 14885 5523 16882
"200622_x_at" 20294 14369 17714
"200623_s_at" 19603 15337 15412
"200624_s_at" 15544 19913 15966
"200625_s_at" 14414 14632 18792
"200626_s_at" 2628 4117 20223
"200627_at" 2268 13130 12146
"200628_s_at" 18094 17425 20002
"200629_at" 4529 17577 17288
"200630_x_at" 3971 5787 13484
"200631_s_at" 15508 16885 17750
"200632_s_at" 2027 18139 14416
"200633_at" 2617 8225 12362
"200634_at" 5125 14892 19054
"200635_s_at" 3884 15409 20634
"200636_s_at" 17713 13371 13478
"200637_s_at" 4905 5827 21917
"200638_s_at" 15506 6175 16256
"200639_s_at" 17388 16257 17355
"200640_at" 17014 16265 14849
"200641_s_at" 16541 12451 12518
"200642_at" 15808 15015 14271
"200643_at" 3417 18150 14493
"200644_at" 2237 14897 18347
"200645_at" 14623 13956 16523
"200646_s_at" 16342 1941 15137
"200647_x_at" 16825 18092 16755
"200648_s_at" 20983 5116 15398
"200649_at" 1263 4904 16564
"200650_s_at" 2777 8180 12691
"200651_at" 4817 13856 2450
"200652_at" 2540 15828 18159
"200653_s_at" 18330 15104 18473
"200654_at" 17120 17922 20491
"200655_s_at" 16000 5440 16488
"200656_s_at" 17181 14791 16518
"200657_at" 13790 12584 2562
"200658_s_at" 16653 4830 15891
"200659_s_at" 18912 15044 16455
"200660_at" 15486 12864 15533
"200661_at" 4555 13067 18902
"200662_s_at" 5422 4735 20312
"200663_at" 3238 13443 12436
"200664_s_at" 4105 16928 17062
"200665_s_at" 6234 7226 8479
"200666_s_at" 17205 16116 15980
"200667_at" 16400 3308 20468
"200668_s_at" 14035 5863 18839
"200669_s_at" 19093 5633 19764
"200670_at" 2644 13497 15035
"200671_s_at" 14514 19031 2262
"200672_x_at" 21605 18101 2098
"200673_at" 17236 15118 14279
"200674_s_at" 3088 14002 2051
"200675_at" 3954 17958 18082
"200676_s_at" 683 19100 17166
"200677_at" 4398 3967 17380
"200678_x_at" 17169 18474 16730
"200679_x_at" 18611 6258 14060
"200680_x_at" 4432 15905 13314
"200681_at" 18233 13298 16132
"200682_s_at" 16270 13575 18097
"200683_s_at" 3123 13937 15893
"200684_s_at" 17008 16135 18726
"200685_at" 18719 19966 18451
"200686_s_at" 2804 3077 21244
"200687_s_at" 15126 16309 13731
"200688_at" 19212 20095 12770
"200689_x_at" 5226 5979 12256
"200690_at" 18052 12427 20228
"200691_s_at" 3303 15792 20103
"200692_s_at" 15304 15829 15702
"200693_at" 14419 13105 15777
"200694_s_at" 3530 14609 18373
"200695_at" 18045 17216 19379
"200696_s_at" 20790 15963 2117
"200697_at" 17487 18504 16792
"200698_at" 19385 6561 16610
"200699_at" 14865 14483 18372
"200700_s_at" 19840 14661 16803
"200701_at" 21452 17400 12191
