"inst_3560" "inst_5780" "inst_6137" "inst_6254"
"1007_s_at" 5130 16355 774 15795
"1053_at" 17376 17977 11692 16018
"117_at" 10540 7274 8208 11243
"121_at" 2816 1739 1111 18194
"1255_g_at" 10070 7361 16246 9495
"1294_at" 149 20393 13414 19726
"1316_at" 2919 12064 5792 1362
"1320_at" 13117 7219 15379 10148
"1405_i_at" 11388 6061 10727 14010
"1431_at" 20884 20189 2597 4663
"1438_at" 5588 12854 7779 14995
"1487_at" 6934 14832 7901 3667
"1494_f_at" 1424 19904 22170 19643
"1598_g_at" 6603 12925 256 20487
"160020_at" 4391 20313 2434 20550
"1729_at" 17091 1816 2787 18743
"1773_at" 3204 2538 21721 1210
"177_at" 13169 2106 9180 8481
"179_at" 3648 5520 10017 20754
"1861_at" 6342 1956 6150 2146
"200000_s_at" 18525 19497 13489 19548
"200001_at" 15515 12908 11097 17000
"200002_at" 6881 12289 12446 4040
"200003_s_at" 5453 7145 16033 16572
"200004_at" 15022 14020 5897 17200
"200005_at" 14353 14711 9520 4756
"200006_at" 7205 5699 11876 17064
"200007_at" 15756 13503 8771 15147
"200008_s_at" 16604 2998 6743 3591
"200009_at" 6689 5059 7572 15569
"200010_at" 15067 5754 16035 14253
"200011_s_at" 4996 14739 8603 17775
"200012_x_at" 4778 12823 20764 4121
"200013_at" 6151 4457 13875 15385
"200014_s_at" 6485 12230 9989 16551
"200015_s_at" 15097 17111 9361 18637
"200016_x_at" 15380 12295 15968 17458
"200017_at" 5240 17832 16131 15768
"200018_at" 6993 4692 16124 17258
"200019_s_at" 5343 13100 16093 4329
"200020_at" 7072 13382 6435 3564
"200021_at" 17006 4074 16218 8942
"200022_at" 4663 5773 16049 5053
"200023_s_at" 14011 15431 9538 14580
"200024_at" 6010 3667 16096 16630
"200025_s_at" 14964 12500 16122 5466
"200026_at" 15337 4131 16222 17738
"200027_at" 6855 14169 10724 17449
"200028_s_at" 17553 16149 7019 3514
"200029_at" 5399 13579 16081 14673
"200030_s_at" 14314 12393 11979 5110
"200031_s_at" 14178 7181 16115 3714
"200032_s_at" 5925 5071 16133 16086
"200033_at" 6611 11330 8244 16137
"200034_s_at" 5396 5349 14190 14881
"200035_at" 3970 18612 13848 19490
"200036_s_at" 5022 4715 14216 16840
"200037_s_at" 6582 13314 8682 14708
"200038_s_at" 14503 12518 16196 15061
"200039_s_at" 5907 11751 9590 15826
"200040_at" 7240 17163 10187 17442
"200041_s_at" 5075 13491 9720 4679
"200042_at" 17415 14271 9172 16038
"200043_at" 15495 13418 8729 1506
"200044_at" 6914 16112 7542 19409
"200045_at" 5568 16341 8602 3390
"200046_at" 17341 4863 4208 18263
"200047_s_at" 3572 15784 8149 15304
"200048_s_at" 6390 16299 9728 15601
"200049_at" 16509 17720 4240 16237
"200050_at" 20367 4214 8168 18844
"200051_at" 20668 17401 9178 5099
"200052_s_at" 14135 16608 7980 4681
"200053_at" 17188 3950 9314 4117
"200054_at" 15572 15868 1009 4278
"200055_at" 6985 16757 8598 15665
"200056_s_at" 18984 12165 4308 5828
"200057_s_at" 15688 13743 10117 4355
"200058_s_at" 14004 11358 10051 16341
"200059_s_at" 15039 12251 10256 5322
"200060_s_at" 14757 3994 12045 4506
"200061_s_at" 3929 7180 16113 4169
"200062_s_at" 9061 7142 16022 15110
"200063_s_at" 14167 11654 16157 15012
"200064_at" 5827 12049 10524 4621
"200065_s_at" 3596 5771 5536 3803
"200066_at" 19465 2544 7894 18560
"200067_x_at" 17711 16358 10442 5264
"200068_s_at" 14733 17397 6892 3889
"200069_at" 16517 16794 2231 17049
"200070_at" 6555 21917 12105 16650
"200071_at" 14959 5120 1991 4427
"200072_s_at" 19006 13482 8858 4954
"200073_s_at" 14686 15226 11288 15752
"200074_s_at" 6923 5249 13674 18292
"200075_s_at" 5699 5677 11368 5605
"200076_s_at" 14742 16196 7090 17039
"200077_s_at" 14750 11390 13614 5420
"200078_s_at" 16433 11467 7521 16680
"200079_s_at" 14035 12340 7920 17556
"200080_s_at" 15631 15318 20245 17611
"200081_s_at" 4826 3816 13196 4752
"200082_s_at" 5590 13002 16147 15769
"200083_at" 18237 15477 6053 4898
"200084_at" 16990 14350 4183 16738
"200085_s_at" 6832 13042 12143 4977
"200086_s_at" 6338 16804 11829 18400
"200087_s_at" 16191 5603 8974 18339
"200088_x_at" 7096 12871 16030 5023
"200089_s_at" 5795 13020 16182 16294
"200090_at" 15363 4626 6332 17872
"200091_s_at" 6302 11355 20179 20849
"200092_s_at" 5748 3401 20377 18325
"200093_s_at" 14842 15531 10057 15572
"200094_s_at" 17183 14284 13680 4703
