"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"1007_s_at" 1012 16478 20347 4180 11134 18193 3834 13709
"1053_at" 1084 20708 339 4055 15447 1854 4570 16180
"117_at" 11449 13779 8172 5509 6041 1932 12340 1987
"121_at" 1121 16031 19413 19319 2300 1894 16744 13393
"1255_g_at" 14628 7947 12798 10882 3753 12418 13497 8065
"1294_at" 21401 17135 5840 5188 981 2468 1091 4301
"1316_at" 1788 11346 1572 17502 2443 15255 20467 18126
"1320_at" 14552 7095 9518 11138 9330 4199 13978 1335
"1405_i_at" 6461 9686 2155 12653 7590 10393 14837 8011
"1431_at" 9554 7360 10784 21110 1517 11060 4518 2933
"1438_at" 11420 7282 15575 18636 21746 22199 5977 19804
"1487_at" 19727 3710 3687 3340 15599 4463 19347 14335
"1494_f_at" 129 2568 1296 15772 10995 962 17706 2517
"1598_g_at" 1433 1811 8245 2994 18983 20971 3543 1331
"160020_at" 19959 20230 21241 19073 332 309 21132 13790
"1729_at" 1588 3873 1636 4906 11405 14458 15880 19417
"1773_at" 6639 20330 20681 20944 21717 22218 21902 21481
"177_at" 5584 6436 8363 9871 2230 10810 11147 11848
"179_at" 3871 20393 4792 22005 2357 17085 267 2679
"1861_at" 4426 1048 7544 19760 14397 19380 2904 13019
"200000_s_at" 5455 737 20034 15750 15923 17918 4036 15874
"200001_at" 2353 1264 3890 4920 10945 7739 8002 16453
"200002_at" 19049 17475 5598 14048 11099 4975 6294 12212
"200003_s_at" 18346 2762 6417 8502 11188 7670 16132 7014
"200004_at" 6950 17851 2166 13907 15948 15756 15993 11455
"200005_at" 4280 2418 3481 13563 13146 14716 4351 11983
"200006_at" 1905 16823 2419 5382 12270 6535 6413 12786
"200007_at" 6094 19317 2972 5269 1328 3787 4494 5224
"200008_s_at" 20456 932 7776 20692 18586 6854 7707 20385
"200009_at" 7838 4974 5128 16255 13785 14820 16028 15425
"200010_at" 5101 474 6272 13873 15594 5009 6013 16070
"200011_s_at" 7773 21332 3358 4060 14378 7678 4051 5640
"200012_x_at" 7409 20060 19384 14330 1790 18217 17081 3953
"200013_at" 5209 4809 4206 13311 12839 5699 16664 13370
"200014_s_at" 5474 16750 5009 15130 17315 15024 8048 16468
"200015_s_at" 18931 16119 5293 13164 14416 6754 17453 12607
"200016_x_at" 18558 20999 3156 6001 10738 6997 15935 4400
"200017_at" 5388 19077 5524 8584 5677 9863 7265 12121
"200018_at" 19087 20165 8110 8578 11145 9851 16622 4662
"200019_s_at" 21195 2810 7656 4565 10479 5688 6068 4537
"200020_at" 20957 4733 19761 6579 13210 17475 7568 5405
"200021_at" 6059 20725 18924 8664 5872 14663 10964 7185
"200022_at" 20991 3771 6435 13807 2634 6431 4375 11562
"200023_s_at" 19038 3602 2106 3802 10684 3928 5934 4659
"200024_at" 6716 1899 19091 13982 2858 16143 17232 5358
"200025_s_at" 6437 20474 6392 6488 10765 6068 7599 11265
"200026_at" 2594 19382 2781 8667 2171 6887 16998 3657
"200027_at" 20454 16829 4924 15449 12073 15382 6435 12072
"200028_s_at" 6760 5075 19996 6339 17550 16331 18687 4337
"200029_at" 6443 2040 6271 14242 2051 15477 6781 4121
"200030_s_at" 1338 15537 4451 5436 2067 4995 5499 3321
"200031_s_at" 18514 3984 18741 8572 3161 9844 7132 7086
"200032_s_at" 5023 16065 6249 8586 2961 9865 16929 13244
"200033_at" 19961 21095 6209 17566 16891 19634 18589 14377
"200034_s_at" 4940 16798 3417 14101 11140 6941 5632 14553
"200035_at" 18773 2705 6419 14355 678 5061 4701 13054
"200036_s_at" 7446 3361 6967 13274 10922 6662 8408 12297
"200037_s_at" 2807 21245 4973 6577 13592 7141 17815 14130
"200038_s_at" 18377 16433 8318 13239 3129 14832 7965 5115
"200039_s_at" 5093 16468 5299 6508 12127 15036 15649 14346
"200040_at" 7702 5133 364 6304 13062 15534 16551 13823
"200041_s_at" 20581 4179 20843 16342 15490 19642 16592 17024
"200042_at" 6885 2112 5709 13701 12182 17162 5751 13641
"200043_at" 1262 19883 4774 4088 14095 6893 15891 16045
"200044_at" 18625 3357 5166 13347 12740 3975 6602 16096
"200045_at" 6964 18248 7853 15968 16097 17935 8433 14709
"200046_at" 2088 19341 7374 16257 12999 4500 3510 14404
"200047_s_at" 20122 21916 4697 15998 15530 7284 7876 16046
"200048_s_at" 19275 18400 19021 14665 14606 6988 16620 12286
"200049_at" 6457 2657 7710 2279 11412 14608 20222 14647
"200050_at" 6978 20241 4508 16720 19567 18875 19734 5441
"200051_at" 20721 2312 7263 13272 20355 17335 5690 13936
"200052_s_at" 18946 2696 6409 19117 16893 16164 7634 18828
"200053_at" 3993 3110 7903 5675 2817 4196 617 20732
"200054_at" 7848 2839 1770 5446 14025 7311 2498 14757
"200055_at" 5193 15556 2222 3461 1469 4826 5588 4703
"200056_s_at" 7558 21998 820 20603 19169 15397 8430 17236
"200057_s_at" 3165 18581 3234 4618 2874 5383 16169 5002
"200058_s_at" 4045 18425 4242 4186 13507 4712 5486 14558
