"inst_1619" "inst_3234" "inst_4677" "inst_5272" "inst_5637"
"1007_s_at" 14635 11658 10791 12369 17071
"1053_at" 13403 12791 12741 17986 3330
"117_at" 9477 10111 19153 6296 13533
"121_at" 20789 2570 11207 20583 21803
"1255_g_at" 9164 8205 16065 6349 13611
"1294_at" 13540 2153 22063 21617 2486
"1316_at" 9731 3253 19741 21431 1572
"1320_at" 9899 3364 20444 3235 21035
"1405_i_at" 15018 8315 21347 9377 14400
"1431_at" 11581 16920 10408 16742 22181
"1438_at" 10555 1833 20258 18610 5048
"1487_at" 17454 17156 1904 19227 8470
"1494_f_at" 17732 2714 21139 16396 328
"1598_g_at" 1053 12473 9422 20274 10723
"160020_at" 22212 12076 1390 18208 18078
"1729_at" 16867 13257 7063 20115 18408
"1773_at" 12312 20893 6406 19324 16832
"177_at" 16139 4323 22113 312 394
"179_at" 18739 11549 1042 4586 1777
"1861_at" 9010 3980 8666 5689 3329
"200000_s_at" 19105 15638 1875 19658 9098
"200001_at" 17686 13605 9500 15540 7009
"200002_at" 14371 12087 12865 12471 4943
"200003_s_at" 1055 5970 15065 15103 12466
"200004_at" 13953 17220 7918 14472 8722
"200005_at" 16249 15495 9208 18038 8138
"200006_at" 19843 12304 13196 14209 16737
"200007_at" 16456 12634 11690 12585 10601
"200008_s_at" 17580 21475 4434 12601 19326
"200009_at" 1648 16748 10571 15353 8895
"200010_at" 17183 12447 11965 12600 7532
"200011_s_at" 18927 14219 9325 13750 16583
"200012_x_at" 13962 3205 20624 3666 18275
"200013_at" 17074 11598 19818 14083 8856
"200014_s_at" 19016 17819 10148 15760 18095
"200015_s_at" 21385 18206 10569 17320 10356
"200016_x_at" 13163 10814 19047 5372 17600
"200017_at" 15164 6056 19514 8055 12568
"200018_at" 1552 6050 19255 8042 12562
"200019_s_at" 1792 10864 12629 14507 7797
"200020_at" 15065 11056 7916 12312 7100
"200021_at" 15274 6117 15278 8237 12700
"200022_at" 1556 3823 10768 14489 12486
"200023_s_at" 1584 12528 11935 17157 5369
"200024_at" 15714 12329 19126 4806 8379
"200025_s_at" 15638 4093 19722 14004 17634
"200026_at" 281 6118 19936 3807 12705
"200027_at" 15968 14921 8647 15641 8761
"200028_s_at" 19170 16379 10293 16412 17068
"200029_at" 13492 3894 20386 12659 9008
"200030_s_at" 14020 11889 19179 3941 18262
"200031_s_at" 13390 6043 15142 8019 12555
"200032_s_at" 1745 6057 19315 8059 12572
"200033_at" 17690 13159 10752 14213 10106
"200034_s_at" 14618 10648 19259 2695 17212
"200035_at" 20999 11862 4266 21049 6770
"200036_s_at" 14984 4121 11756 16609 8160
"200037_s_at" 14172 13565 10567 17002 10516
"200038_s_at" 694 10606 12795 5399 12676
"200039_s_at" 17328 14067 19067 16956 8841
"200040_at" 18931 11888 9130 15079 7878
"200041_s_at" 19339 19150 10909 12196 6824
"200042_at" 15999 20080 6429 15347 7269
"200043_at" 13701 11427 13008 15246 17128
"200044_at" 15178 16068 11975 15465 7294
"200045_at" 18101 12013 6589 13938 7200
"200046_at" 21291 15176 11353 12604 6402
"200047_s_at" 19921 15611 11094 17148 17730
"200048_s_at" 19558 13129 12842 16886 8496
"200049_at" 16278 19319 5185 14081 9216
"200050_at" 20086 15449 8254 5645 10179
"200051_at" 1208 12677 12047 15598 16547
"200052_s_at" 20054 18648 10977 14552 7573
"200053_at" 17195 3485 228 20333 3295
"200054_at" 17842 15376 11868 12152 4091
"200055_at" 15594 11976 19503 13410 5417
"200056_s_at" 21821 14979 8230 16869 10108
"200057_s_at" 14427 14402 19374 3348 18023
"200058_s_at" 17083 12029 9935 14756 6511
"200059_s_at" 19566 17771 9773 5121 16649
"200060_s_at" 15408 12260 6625 16773 7656
"200061_s_at" 1230 6041 15141 8016 12553
"200062_s_at" 951 5959 15051 7862 12452
"200063_s_at" 1545 6084 19251 8111 12612
"200064_at" 17857 14991 8370 13319 10098
"200065_s_at" 18248 20845 11833 16267 6654
"200066_at" 18771 14646 6682 12801 4482
"200067_x_at" 21101 13347 11897 13325 18534
"200068_s_at" 1328 12167 11806 13014 5842
"200069_at" 19563 15739 4671 3231 9668
"200070_at" 16389 1712 6591 1077 10649
"200071_at" 15588 18437 5055 15194 18922
"200072_s_at" 14288 17239 8210 19283 8859
"200073_s_at" 15304 15399 8312 12579 9612
"200074_s_at" 16741 12557 11703 4741 10339
"200075_s_at" 18753 14252 11262 16590 7458
"200076_s_at" 16802 10737 7990 18422 4480
"200077_s_at" 17168 10834 19239 12193 10075
"200078_s_at" 17839 14282 8780 16211 8329
"200079_s_at" 20801 18022 8829 13905 9709
"200080_s_at" 14527 10935 12480 8105 12605
"200081_s_at" 14109 12407 10990 5594 7441
"200082_s_at" 17286 11186 13031 3265 12595
"200083_at" 18344 11153 7175 3133 5102
"200084_at" 18198 19296 7800 14742 16819
"200085_s_at" 14966 13248 10682 15398 4145
"200086_s_at" 19246 11409 19327 15227 9151
"200087_s_at" 13225 19670 10088 17187 9385
"200088_x_at" 13471 5966 19749 7878 12463
"200089_s_at" 1590 12518 12714 15026 7637
"200090_at" 16519 14366 11514 13660 9117
"200091_s_at" 13083 3395 12868 13598 17269
"200092_s_at" 931 3461 20468 12870 12623
"200093_s_at" 16933 13724 4132 5363 8331
"200094_s_at" 14395 10753 8827 15873 6406
"200095_x_at" 509 6114 15267 8221 12688
"200096_s_at" 21593 16435 8364 5027 2424
"200097_s_at" 13436 16042 10982 16708 7756
"200098_s_at" 18851 12877 9593 16208 8181
"200099_s_at" 1273 6088 19343 8132 12627
"200593_s_at" 14012 14973 19064 15632 8850
"200594_x_at" 16516 13968 9529 5110 9324
"200595_s_at" 19174 12137 10164 17297 9305
"200596_s_at" 16344 13087 5291 13384 6184
"200597_at" 14596 15521 4815 17691 19762
"200598_s_at" 17084 16976 8682 5557 5865
"200599_s_at" 21000 14443 11461 17977 18211
"200600_at" 21477 7477 4441 12019 15387
"200601_at" 21231 20143 5439 1636 1713
"200602_at" 20852 20271 19097 20243 10567
"200603_at" 14732 16096 9288 4746 9994
"200604_s_at" 14284 18932 9547 15665 19090
"200605_s_at" 19969 18718 9494 13315 18628
"200606_at" 10204 18285 4609 16468 6812
"200607_s_at" 19051 18654 19464 15274 5686
"200608_s_at" 18526 14441 10775 13039 17214
"200609_s_at" 19367 13446 3515 3798 10026
"200610_s_at" 21485 15594 11129 17122 16725
"200611_s_at" 12962 16282 5860 12481 7068
"200612_s_at" 18003 1475 20758 3598 3617
"200613_at" 18964 13002 8152 20255 6503
"200614_at" 16823 12146 10654 13421 10449
"200615_s_at" 17527 19639 8237 21957 3931
"200616_s_at" 17298 14181 12839 12946 6836
"200617_at" 17490 10885 8240 4851 3087
"200618_at" 19591 15645 4364 17179 16734
"200619_at" 14610 13503 5975 17024 2975
"200620_at" 13106 12118 8291 13717 8488
"200621_at" 14576 13791 10534 19856 9615
"200622_x_at" 21786 12782 7908 5615 4675
"200623_s_at" 172 1983 19231 2927 2353
"200624_s_at" 20405 18203 9050 19021 16867
"200625_s_at" 16944 12337 11424 12384 9906
"200626_s_at" 21397 15395 9247 16874 8727
"200627_at" 17859 13295 11031 4513 18033
"200628_s_at" 20672 21134 4070 4426 18393
"200629_at" 18301 16826 19244 13642 16975
"200630_x_at" 15162 12855 19301 5296 10566
"200631_s_at" 18793 14060 12523 17707 6808
"200632_s_at" 13974 11364 9063 18909 9452
"200633_at" 13525 6040 15139 5602 12552
"200634_at" 14674 14249 19309 14343 17868
"200635_s_at" 3463 18813 1677 13181 6003
"200636_s_at" 12340 17587 7179 20631 8493
"200637_s_at" 8628 11370 545 1643 3717
"200638_s_at" 20402 17404 12688 16185 18223
"200639_s_at" 16596 17603 11191 4260 9078
"200640_at" 20491 13945 11528 14044 7390
"200641_s_at" 22019 20431 5534 12731 20004
"200642_at" 20552 12702 13072 13451 9667
"200643_at" 20748 14819 7084 21403 8481
"200644_at" 1011 11979 8707 12778 16929
"200645_at" 1600 13553 12525 14038 8211
"200646_s_at" 10649 21075 2697 2574 10122
"200647_x_at" 16107 16793 5586 16212 4373
"200648_s_at" 21612 20875 8031 20902 19815
"200649_at" 1539 13601 7895 20164 5769
"200650_s_at" 15471 12368 15008 13396 19169
"200651_at" 1582 4048 13252 18263 12673
"200652_at" 18215 15788 5870 19164 18772
"200653_s_at" 17646 11235 9059 19498 5143
"200654_at" 1727 12548 7332 15799 5792
"200655_s_at" 17746 11551 20663 14096 7888
"200656_s_at" 21017 20068 3741 4648 6527
"200657_at" 17204 3596 12775 4629 18253
"200658_s_at" 20951 15735 7314 19925 5819
"200659_s_at" 16968 14321 5332 16873 1668
"200660_at" 1429 11557 13183 16776 5680
"200661_at" 18121 3993 7994 12203 6198
"200662_s_at" 17536 18529 7138 13988 9756
"200663_at" 19159 13589 12554 17520 8664
"200664_s_at" 15603 21479 3100 14349 10415
"200665_s_at" 3740 4567 14078 9494 14553
"200666_s_at" 20478 19492 7849 15173 18616
"200667_at" 16208 16697 12539 19363 17374
"200668_s_at" 18683 15418 10059 13669 10004
"200669_s_at" 20862 18188 7922 16069 8984
"200670_at" 18995 14622 9314 18067 19866
"200671_s_at" 2747 21831 7985 21857 19790
"200672_x_at" 7622 21855 8208 4969 1115
"200673_at" 16598 12358 11598 17540 18576
"200674_s_at" 1770 4117 19950 2943 12631
"200675_at" 15646 14526 3250 14627 17097
"200676_s_at" 15788 15373 5188 19366 5904
"200677_at" 17725 17166 11331 13655 8124
"200678_x_at" 19137 3017 7858 13367 6468
"200679_x_at" 14506 11395 19325 16615 9638
"200680_x_at" 15506 3645 12004 8225 12692
"200681_at" 15759 15275 12505 16699 18987
"200682_s_at" 15772 13797 6988 16568 16834
"200683_s_at" 14661 14130 6635 4871 10458
"200684_s_at" 414 16635 2624 15412 3281
"200685_at" 21438 11008 4577 21065 3322
"200686_s_at" 21165 20345 3951 20823 9734
"200687_s_at" 14033 13594 2993 17036 6910
"200688_at" 17015 16342 12519 18749 19282
"200689_x_at" 15761 11415 11969 5338 16685
"200690_at" 19343 11103 11216 19068 18285
"200691_s_at" 15043 14724 10459 12988 6934
"200692_s_at" 15010 15934 8350 19579 9005
"200693_at" 21254 17064 9628 17635 9228
"200694_s_at" 20474 14157 10140 14557 7159
"200695_at" 19313 20859 1902 18578 19035
"200696_s_at" 13560 2414 4949 18369 19437
"200697_at" 15120 20180 5238 14732 3384
"200698_at" 14620 17159 9353 3128 7372
"200699_at" 14224 13058 12760 14763 1450
"200700_s_at" 128 15461 19539 12356 16970
"200701_at" 17171 14753 11276 16372 10563
"200702_s_at" 20413 15118 9721 2779 5466
"200703_at" 15597 3964 13050 14220 17622
"200704_at" 19499 11352 8545 17115 3555
"200705_s_at" 14071 3756 19525 5033 18681
"200706_s_at" 17835 18335 300 17895 2306
"200707_at" 15285 3570 5308 15674 4901
"200708_at" 1148 15654 11023 13024 9696
"200709_at" 13920 12757 13122 16595 18634
"200710_at" 765 16348 3603 3871 7148
"200711_s_at" 20615 13413 6085 13619 7237
"200712_s_at" 22255 21416 4482 18137 19068
"200713_s_at" 19818 17703 9979 3614 18547
"200714_x_at" 18829 12781 6155 17350 7796
"200715_x_at" 13789 11054 10483 15601 19982
"200716_x_at" 1397 6112 19747 15270 12677
"200717_x_at" 13136 6037 15137 8009 12549
"200718_s_at" 16169 10448 11842 15788 17239
"200719_at" 19633 17460 3576 4453 4444
"200720_s_at" 15577 12814 8860 18058 18410
"200721_s_at" 18558 13781 3106 1966 5522
"200722_s_at" 21003 21956 670 15157 19318
"200723_s_at" 18894 18965 5280 12493 17158
"200724_at" 8770 1749 21899 18011 21359
"200725_x_at" 1830 3642 19289 4314 9330
"200726_at" 19848 17089 11819 13847 18176
"200727_s_at" 21735 20757 21146 2237 18439
"200728_at" 15799 14484 8026 13028 6803
"200729_s_at" 20812 19031 8777 16142 9403
"200730_s_at" 17095 20154 12612 14052 10620
"200731_s_at" 20670 19270 4834 4440 19949
"200732_s_at" 20092 18255 9335 4564 6380
"200733_s_at" 20540 21273 12268 17814 3786
"200734_s_at" 15175 13199 12846 17218 18625
"200735_x_at" 13879 6086 19474 8124 12620
"200736_s_at" 18993 7185 13151 6819 14283
"200737_at" 16617 18890 6894 19393 9574
"200738_s_at" 13195 13417 19709 15128 17102
"200739_s_at" 20042 17352 11532 5605 10032
"200740_s_at" 17749 14715 11963 12925 8757
"200741_s_at" 13186 5960 19751 7864 12454
"200742_s_at" 1625 16230 10039 2910 18881
"200743_s_at" 16526 12240 8282 1923 9364
"200744_s_at" 18132 21612 7686 19540 16918
"200745_s_at" 1176 17756 11869 16899 1622
"200746_s_at" 14714 13525 8226 5853 16511
"200747_s_at" 19403 11580 2941 12466 6390
"200748_s_at" 1724 3046 19172 5533 7206
"200749_at" 20143 20360 6983 15856 7765
"200750_s_at" 16541 11527 19182 13957 17087
"200751_s_at" 22041 20261 4442 4562 18687
"200752_s_at" 17197 22049 3280 3532 5377
"200753_x_at" 20426 18908 6182 19438 9470
"200754_x_at" 1722 13074 8394 5783 16663
"200755_s_at" 21546 20044 8365 15535 8307
"200756_x_at" 20971 21967 6650 4864 20657
"200757_s_at" 16822 16580 9846 12788 6612
"200758_s_at" 20216 12906 6924 15893 10769
"200759_x_at" 15041 11678 5999 14923 20024
"200760_s_at" 17100 16280 10919 18256 7063
"200761_s_at" 17208 18783 19579 13254 9532
"200762_at" 21043 15497 7303 2371 17609
"200763_s_at" 1476 3779 19322 8152 12638
"200764_s_at" 12261 18365 5306 4631 5885
"200765_x_at" 10098 14165 15000 15075 5299
"200766_at" 14666 17925 9047 5069 8244
"200767_s_at" 20326 12967 1781 18937 7028
"200768_s_at" 19107 12474 7134 2864 5255
"200769_s_at" 16636 21018 1103 20638 5104
