"inst_1607" "inst_3222" "inst_5303" "inst_6704"
"1007_s_at" 17401 15864 18396 13434
"1053_at" 16281 17636 3411 19758
"117_at" 10787 9072 12837 9138
"121_at" 19100 21716 873 4253
"1255_g_at" 7027 8769 5148 10394
"1294_at" 19704 21186 4612 1918
"1316_at" 11420 18035 983 11487
"1320_at" 13675 9282 12847 12394
"1405_i_at" 20836 9891 6591 4194
"1431_at" 14653 21133 2311 13780
"1438_at" 14208 1385 19178 20553
"1487_at" 20535 19231 1310 16063
"1494_f_at" 3977 2622 7418 17668
"1598_g_at" 18094 14324 19730 4001
"160020_at" 18640 15476 13731 14377
"1729_at" 4712 12393 4397 5562
"1773_at" 10707 1949 638 22266
"177_at" 3742 5807 7629 1664
"179_at" 2644 12811 17577 20564
"1861_at" 1480 17311 2987 16946
"200000_s_at" 4117 4495 1775 18497
"200001_at" 18974 15977 17344 16860
"200002_at" 4037 14038 3955 15109
"200003_s_at" 3175 13502 2942 7469
"200004_at" 15978 15021 15246 16075
"200005_at" 20267 12968 20175 18178
"200006_at" 19041 12985 16288 4228
"200007_at" 17671 14765 19374 2603
"200008_s_at" 17975 15439 18672 22184
"200009_at" 4074 12307 17351 18213
"200010_at" 4825 12065 4734 21425
"200011_s_at" 4607 18290 17464 15008
"200012_x_at" 4163 4649 15964 4402
"200013_at" 15845 11906 3498 13899
"200014_s_at" 18750 18544 4083 5339
"200015_s_at" 16582 18048 3863 3957
"200016_x_at" 4360 4584 2159 4069
"200017_at" 17303 6568 3222 4934
"200018_at" 3769 6564 1454 12421
"200019_s_at" 16206 3732 14964 14413
"200020_at" 20680 12616 18058 18052
"200021_at" 16020 6647 3867 7576
"200022_at" 15687 4120 15796 16724
"200023_s_at" 17357 14783 14460 3587
"200024_at" 4244 3720 18641 12311
"200025_s_at" 3655 11704 14575 2936
"200026_at" 1713 6650 2982 4261
"200027_at" 20997 15591 18305 3188
"200028_s_at" 21416 15756 19773 5711
"200029_at" 16063 3912 18952 5807
"200030_s_at" 4800 14063 18911 13678
"200031_s_at" 15953 6555 15107 7512
"200032_s_at" 16090 6571 3742 4641
"200033_at" 3159 13191 2073 13151
"200034_s_at" 2512 4636 15927 18622
"200035_at" 18302 16213 1747 14133
"200036_s_at" 4015 12272 17144 3061
"200037_s_at" 18247 12993 2928 5884
"200038_s_at" 16573 4287 14169 13396
"200039_s_at" 19985 14244 17272 13917
"200040_at" 17788 12066 14626 12044
"200041_s_at" 20132 19760 19966 18863
"200042_at" 19671 14001 14341 16474
"200043_at" 19774 14392 465 16681
"200044_at" 20075 19300 14535 15922
"200045_at" 21611 15940 18098 13943
"200046_at" 20382 13737 14975 14478
"200047_s_at" 4814 15148 3877 1930
"200048_s_at" 18724 14494 3435 2368
"200049_at" 16848 20857 18492 17809
"200050_at" 21045 12551 14881 18014
"200051_at" 3389 4051 20753 12569
"200052_s_at" 19530 18439 18224 19434
"200053_at" 1009 21199 17543 22139
"200054_at" 21724 2698 16767 17383
