"inst_1567" "inst_3183" "inst_6785" "inst_7137"
"1007_s_at" 21279 20139 3402 17875
"1053_at" 16421 16363 19384 17103
"117_at" 16201 2050 11539 12373
"121_at" 15701 18260 14695 15748
"1255_g_at" 11611 166 7862 9408
"1294_at" 3234 11616 7989 7136
"1316_at" 20655 21714 2071 2531
"1320_at" 12112 8653 14403 13954
"1405_i_at" 19348 11234 26 14180
"1431_at" 12126 20834 20671 13887
"1438_at" 13220 16653 21383 18500
"1487_at" 2636 12730 4333 19482
"1494_f_at" 16176 20225 2343 12734
"1598_g_at" 16479 19356 2043 18736
"160020_at" 20432 21902 1711 22225
"1729_at" 504 19368 15860 2568
"1773_at" 7007 16214 2321 2243
"177_at" 18305 9031 10088 14279
"179_at" 22150 2640 14770 961
"1861_at" 13527 19217 14003 5629
"200000_s_at" 17749 18248 16434 18513
"200001_at" 16071 15153 4683 18561
"200002_at" 17728 6354 13318 16645
"200003_s_at" 16761 7169 14007 4610
"200004_at" 18578 17257 14061 19324
"200005_at" 17671 13968 15287 15386
"200006_at" 17005 6830 5408 15597
"200007_at" 18450 12791 14330 17078
"200008_s_at" 22043 4040 18761 4811
"200009_at" 3388 7287 5886 5342
"200010_at" 17890 6230 15486 15522
"200011_s_at" 2875 17339 18748 5684
"200012_x_at" 4017 4833 13313 15326
"200013_at" 17664 7196 15109 15868
"200014_s_at" 3582 12780 13216 16937
"200015_s_at" 20062 15990 16831 16757
"200016_x_at" 2418 15085 15937 6020
"200017_at" 4228 8618 8388 15790
"200018_at" 1872 12875 15311 17366
"200019_s_at" 19695 14029 18165 16259
"200020_at" 20017 19542 13501 4149
"200021_at" 18117 8646 8555 4993
"200022_at" 21370 12901 4924 3791
"200023_s_at" 17531 15711 13933 18733
"200024_at" 4135 16380 13959 4842
"200025_s_at" 15494 12806 5948 17367
"200026_at" 2180 12987 8561 5517
"200027_at" 17973 4910 14700 17335
"200028_s_at" 3690 15659 13384 17327
"200029_at" 3931 4484 13377 6031
"200030_s_at" 16630 6368 5253 5382
"200031_s_at" 15952 8614 8363 15471
"200032_s_at" 1923 8620 8391 5233
"200033_at" 17026 13109 4929 18061
"200034_s_at" 17936 14644 14929 16889
"200035_at" 15620 17023 14757 5403
"200036_s_at" 4326 7273 15809 6053
"200037_s_at" 4667 16952 4557 15940
"200038_s_at" 3525 6592 14129 5411
"200039_s_at" 4435 6377 17077 3477
