"inst_1675" "inst_1797" "inst_1839" "inst_5989" "inst_7287"
"1007_s_at" 2716 5216 8496 18883 14047
"1053_at" 18512 18589 19072 18072 14383
"117_at" 14303 8325 2218 8566 6961
"121_at" 15974 5928 17916 20227 12264
"1255_g_at" 11834 11413 8653 10281 5053
"1294_at" 18005 8986 18429 20095 9852
"1316_at" 13491 13592 11033 20524 19080
"1320_at" 9060 7313 8436 644 9988
"1405_i_at" 14830 12165 2884 1287 3428
"1431_at" 3355 19494 11321 8216 4337
"1438_at" 16540 12747 6644 5265 13106
"1487_at" 5664 20874 20103 17780 19267
"1494_f_at" 5419 9898 9963 4786 7002
"1598_g_at" 17447 1631 14263 19454 21370
"160020_at" 21427 20750 14282 53 20572
"1729_at" 20212 238 173 12938 2103
"1773_at" 3574 16951 137 13890 17429
"177_at" 14533 12978 1136 3370 7658
"179_at" 639 17267 21419 22018 20797
"1861_at" 21703 17451 18276 3326 11372
"200000_s_at" 19343 5714 4298 18312 17491
"200001_at" 3893 5363 16972 16505 12948
"200002_at" 5852 17126 4067 13660 12800
"200003_s_at" 16797 17648 4189 5086 10964
"200004_at" 16290 4590 4615 13616 11578
"200005_at" 19644 5304 15903 12656 17747
"200006_at" 3814 18132 2354 16372 14498
"200007_at" 17574 5227 19433 12634 10913
"200008_s_at" 5414 18084 1871 14566 12609
"200009_at" 5248 6512 15615 13432 15534
"200010_at" 16565 5968 15797 4778 10882
"200011_s_at" 6068 3916 3137 12894 19528
"200012_x_at" 5680 17435 3736 13838 2124
"200013_at" 16867 17771 3768 12700 12006
"200014_s_at" 6807 17638 4499 5507 13906
"200015_s_at" 4284 7545 2845 16297 17624
"200016_x_at" 18081 6546 15210 12513 11308
"200017_at" 6645 18826 16608 5056 1973
"200018_at" 16488 18941 15364 5506 2099
"200019_s_at" 15807 17704 3951 16019 2167
"200020_at" 19001 3574 16924 13920 14902
"200021_at" 18940 17160 17681 7522 10937
"200022_at" 16257 6554 15716 12619 12485
"200023_s_at" 16753 4756 3494 15820 12237
"200024_at" 5453 17207 2619 13308 2343
"200025_s_at" 16965 19352 4087 12960 10929
"200026_at" 5875 6366 14729 12541 2362
"200027_at" 4384 17841 14774 14668 15011
"200028_s_at" 6479 3435 15379 14666 17779
"200029_at" 5130 19487 18979 14664 11114
"200030_s_at" 5843 7698 4011 5348 2392
"200031_s_at" 15787 19674 3906 7439 2097
"200032_s_at" 4108 7221 2916 12710 1746
"200033_at" 15743 4813 4986 12947 12723
"200034_s_at" 5764 17306 2543 5058 1849
"200035_at" 21646 5040 19723 19662 15332
"200036_s_at" 17002 18194 15032 15013 2390
"200037_s_at" 17484 1244 18376 5135 15075
"200038_s_at" 18104 6703 16374 13652 12201
"200039_s_at" 15630 17384 774 16154 12470
"200040_at" 4771 3952 16249 16600 14674
"200041_s_at" 6604 6107 17628 4913 17028
"200042_at" 16840 18611 20256 4953 11278
"200043_at" 16982 2684 16115 12608 12108
"200044_at" 6467 7258 4851 16355 12934
"200045_at" 3339 19795 1883 17701 14122
"200046_at" 17390 4594 17159 15828 18110
"200047_s_at" 16870 3917 18946 4537 17741
"200048_s_at" 17158 4805 4173 14598 14091
"200049_at" 6100 17668 1570 15092 17815
"200050_at" 20795 1149 1308 16595 21360
"200051_at" 20441 5886 19342 12928 14644
"200052_s_at" 18147 6650 18889 13378 16759
"200053_at" 20765 5315 1103 13822 14472
"200054_at" 4835 17886 19439 15279 20825
"200055_at" 3626 19153 3501 14201 15901
"200056_s_at" 18828 3728 16040 5414 18820
"200057_s_at" 6027 5984 15429 13287 10936
"200058_s_at" 17094 19370 16614 16779 18334
"200059_s_at" 15739 17251 14644 13387 10762
"200060_s_at" 16133 5172 20110 16606 18665
"200061_s_at" 5544 18653 14654 7438 1604
"200062_s_at" 4249 18054 3644 7351 1469
"200063_s_at" 3285 18979 19308 7474 1927
"200064_at" 19012 7806 15018 13042 11082
"200065_s_at" 6557 6738 4632 15288 12465
"200066_at" 20693 20459 3057 2915 19310
"200067_x_at" 3791 3552 15870 16428 12581
"200068_s_at" 18349 5398 15517 15991 16291
"200069_at" 18452 2799 17635 19059 20094
"200070_at" 16499 16954 3191 20386 20693
"200071_at" 18755 17277 17196 12380 15809
"200072_s_at" 17839 3840 15937 14877 15623
"200073_s_at" 18379 7387 17879 14813 14542
"200074_s_at" 16689 7680 4329 14108 10792
"200075_s_at" 3866 17547 4252 16675 17677
"200076_s_at" 18989 3239 1859 18495 12708
"200077_s_at" 16239 17154 15229 13100 12033
"200078_s_at" 18139 3713 18270 14734 13201
"200079_s_at" 3954 17014 2868 4630 17469
"200080_s_at" 16787 7199 16277 14771 1350
"200081_s_at" 16636 18309 5227 4585 11014
"200082_s_at" 6224 18196 3751 13143 11599
"200083_at" 16300 2921 16478 16114 18853
"200084_at" 5787 3964 15735 16936 11429
"200085_s_at" 16546 19212 15850 17042 13860
"200086_s_at" 4518 18423 3509 14037 11889
"200087_s_at" 5287 3418 4501 14507 15403
"200088_x_at" 5303 6875 14703 7362 2194
"200089_s_at" 6285 6976 15872 13263 17367
"200090_at" 3613 4842 4325 15420 16064
"200091_s_at" 18740 20507 4905 12666 1779
"200092_s_at" 4320 4326 15635 4614 1823
"200093_s_at" 19003 19504 4784 12405 13384
"200094_s_at" 17274 18400 15452 15357 12343
"200095_x_at" 6785 6390 17142 7517 1563
