"inst_1385" "inst_2068" "inst_2231" "inst_5786" "inst_6260"
"1007_s_at" 18393 19474 15783 15491 5280
"1053_at" 3102 16516 8001 18648 18062
"117_at" 12287 12719 12214 3419 12566
"121_at" 16634 17404 6367 4647 21342
"1255_g_at" 6795 10650 13479 8830 6578
"1294_at" 18107 16922 4419 1848 19239
"1316_at" 21622 3657 16362 4851 20685
"1320_at" 10592 8351 1296 7735 7148
"1405_i_at" 632 13267 14515 8713 12720
"1431_at" 10822 19596 16235 20687 9858
"1438_at" 13409 18051 3783 14611 15013
"1487_at" 4178 20900 8024 13970 16376
"1494_f_at" 4154 8184 21276 20409 1474
"1598_g_at" 19438 19826 19581 7285 1331
"160020_at" 3021 17933 1383 3107 2877
"1729_at" 21543 16396 16576 21414 21496
"1773_at" 9949 213 1940 6079 2503
"177_at" 19311 14253 12461 8485 3338
"179_at" 17295 404 3334 14336 21822
"1861_at" 18706 2698 3722 6865 16825
"200000_s_at" 2614 5635 20038 7397 19093
"200001_at" 3352 16189 16189 15531 14984
"200002_at" 4955 16365 18328 14404 15991
"200003_s_at" 4157 4745 11522 9542 18561
"200004_at" 20374 14548 8054 15362 19383
"200005_at" 17631 4148 8854 16193 5407
"200006_at" 15643 16355 15894 14507 17892
"200007_at" 15839 4700 17554 7157 15846
"200008_s_at" 21255 597 4285 3841 4723
"200009_at" 16200 15464 8700 7773 5259
"200010_at" 2486 3422 8061 7877 15809
"200011_s_at" 710 20261 15834 16775 5925
"200012_x_at" 4477 14939 16727 14361 3665
"200013_at" 3976 14506 16293 7965 14297
"200014_s_at" 18565 18899 7684 15728 16541
"200015_s_at" 2220 5416 8859 18525 19336
"200016_x_at" 16262 5272 18443 6746 15410
"200017_at" 15953 5100 11560 7871 14907
"200018_at" 18654 14864 11590 15093 16688
"200019_s_at" 15565 4345 17090 7237 14279
"200020_at" 16849 16244 6420 5071 14879
"200021_at" 1494 4080 11430 13877 9024
"200022_at" 16345 4500 11716 7360 14220
"200023_s_at" 4257 15951 16687 5378 19111
"200024_at" 17010 5463 8783 18100 16507
"200025_s_at" 2867 16986 16973 7901 14386
"200026_at" 19271 5083 11632 7483 17094
"200027_at" 16307 18472 9103 7015 18061
"200028_s_at" 1837 20544 16012 6243 14381
"200029_at" 16979 4005 15913 13791 14671
"200030_s_at" 16682 15663 17656 7516 15659
"200031_s_at" 4225 4486 11557 9571 5230
