"inst_1526" "inst_1943" "inst_2026" "inst_5345" "inst_6745"
"1007_s_at" 3372 20006 16321 20861 11366
"1053_at" 2757 18387 16488 19146 12402
"117_at" 11057 12469 3387 10421 9697
"121_at" 22001 7259 16621 18257 1264
"1255_g_at" 13466 10490 7639 9607 9504
"1294_at" 6549 17836 16123 5623 586
"1316_at" 20942 13260 18608 12448 17280
"1320_at" 11350 16427 13640 11142 19458
"1405_i_at" 13026 12033 22131 9146 8638
"1431_at" 15141 16285 5868 6954 13330
"1438_at" 21875 9978 13304 18754 2020
"1487_at" 19974 984 1064 18232 13430
"1494_f_at" 19397 2623 1811 10937 16996
"1598_g_at" 1774 1689 19955 1072 4619
"160020_at" 21451 2851 17825 18840 2885
"1729_at" 319 3262 2609 18084 1389
"1773_at" 3415 21793 16630 17544 18504
"177_at" 14902 12383 17702 9111 19744
"179_at" 21041 19965 21452 21341 21922
"1861_at" 19038 21582 10597 12301 13899
"200000_s_at" 7962 3105 21554 19457 2363
"200001_at" 5498 22050 3491 15894 15312
"200002_at" 9538 6319 15627 13314 13266
"200003_s_at" 19737 6343 2773 13845 7276
"200004_at" 8481 2858 2332 19581 15093
"200005_at" 18481 17420 17878 19924 13535
"200006_at" 7942 19140 22168 17202 5198
"200007_at" 7858 17854 17997 13213 12833
"200008_s_at" 9998 20994 20537 12345 20694
"200009_at" 9165 5213 3913 17075 15098
"200010_at" 9118 20530 1339 15829 14990
"200011_s_at" 8496 4348 2634 21377 15013
"200012_x_at" 9001 20538 19255 1987 4309
"200013_at" 9974 17568 240 12680 11425
"200014_s_at" 6371 18380 17003 15249 12400
"200015_s_at" 8939 1166 20949 19800 16105
"200016_x_at" 9324 7093 2558 15204 11646
"200017_at" 18537 21927 19796 14975 5822
"200018_at" 8465 2220 17450 14079 5008
"200019_s_at" 8181 6578 20717 16376 5646
"200020_at" 6922 4649 2393 13573 17208
"200021_at" 17661 18545 21728 1196 7394
"200022_at" 19186 5312 1579 16680 3939
"200023_s_at" 5780 20397 2633 20568 5842
"200024_at" 8957 6131 17371 12519 5603
"200025_s_at" 9517 20641 2464 13660 5621
"200026_at" 10002 5997 22230 2214 5137
"200027_at" 3761 5003 16101 17647 4019
"200028_s_at" 6970 3194 19321 14861 16164
"200029_at" 5893 6920 3926 1961 5190
"200030_s_at" 8196 6279 15803 13852 13971
"200031_s_at" 12668 3096 1978 2470 7325
"200032_s_at" 8407 20328 2509 2564 3905
"200033_at" 17702 3846 2081 17971 15001
"200034_s_at" 18720 18596 213 12291 15322
"200035_at" 4996 6201 21983 13252 15377
"200036_s_at" 19166 6491 2463 14724 4212
"200037_s_at" 6453 20523 22271 15947 11724
"200038_s_at" 18972 3470 1526 12458 11518
"200039_s_at" 3322 17578 1896 19155 11800
"200040_at" 4410 7211 20493 18240 15917
"200041_s_at" 8548 6037 2951 19645 13452
"200042_at" 2360 21210 17792 16055 15286
"200043_at" 8704 3280 19605 20240 16520
"200044_at" 5945 5309 18729 19084 19925
"200045_at" 4765 5573 2917 15683 14316
"200046_at" 2658 20809 21827 18549 11394
"200047_s_at" 20202 5762 3060 15050 13646
"200048_s_at" 8505 19044 1207 18915 4122
"200049_at" 4811 1721 18377 14620 17318
"200050_at" 7120 21164 20456 21282 15764
"200051_at" 20272 3481 1443 13180 11076
"200052_s_at" 20394 7163 18835 13880 14135
"200053_at" 322 1475 2939 20533 20196
"200054_at" 7423 4468 21034 18601 16255
"200055_at" 7335 7031 16598 17993 3048
"200056_s_at" 5455 17396 20563 20570 15000
"200057_s_at" 6049 5595 2169 15536 14089
"200058_s_at" 9767 5017 698 18636 14906
"200059_s_at" 17798 4789 20989 18095 13943
"200060_s_at" 3165 3704 542 18828 16113
"200061_s_at" 18504 3241 1181 1631 7324
"200062_s_at" 12706 21126 22273 1863 7267
"200063_s_at" 20430 3188 466 1097 7351
"200064_at" 17743 19924 4122 14585 17129
"200065_s_at" 5382 4971 4436 17047 12924
"200066_at" 1285 20864 19852 1976 18605
"200067_x_at" 19700 4888 22056 16549 11648
"200068_s_at" 4706 17622 15189 16066 17621
"200069_at" 2699 1311 21177 20252 14931
"200070_at" 3083 19026 2038 19948 20747
"200071_at" 19274 5166 18388 21482 16640
"200072_s_at" 19472 20241 1035 14756 19862
"200073_s_at" 17930 18807 20352 15219 14993
"200074_s_at" 8851 20985 1347 16258 13278
"200075_s_at" 4825 5432 15984 14501 11074
"200076_s_at" 6986 4682 16096 20977 14170
"200077_s_at" 9773 21132 15246 13736 11608
"200078_s_at" 10059 4856 4483 18034 11451
"200079_s_at" 7090 7016 18288 21526 12750
"200080_s_at" 9817 20668 21224 13498 14914
"200081_s_at" 9498 19673 16312 12378 17056
"200082_s_at" 17722 6097 3293 2416 13458
"200083_at" 7981 4172 17862 14498 16029
"200084_at" 5776 5531 15725 17327 14888
"200085_s_at" 8941 6568 1707 14372 3477
"200086_s_at" 17725 20919 4712 14771 5056
"200087_s_at" 18553 4021 22225 18818 18756
"200088_x_at" 18353 4481 3414 2396 5413
"200089_s_at" 19781 19088 16695 2309 5505
"200090_at" 17690 22076 20377 19878 3136
"200091_s_at" 9836 5908 1493 13466 15160
"200092_s_at" 20690 4876 15064 1364 3579
"200093_s_at" 10028 6723 20008 17590 11795
"200094_s_at" 5297 17990 21070 14142 13988
"200095_x_at" 12728 17816 19231 2585 7388
"200096_s_at" 9670 21970 21164 14291 13485
"200097_s_at" 20004 1354 16584 17619 16900
"200098_s_at" 7581 3794 3635 16685 11621
"200099_s_at" 9958 21527 17039 2235 5466
"200593_s_at" 8097 4220 17624 2311 14609
"200594_x_at" 5477 19968 18221 15144 19513
"200595_s_at" 19875 20995 17959 16864 19480
"200596_s_at" 19516 21264 18936 21439 17127
"200597_at" 1800 2187 15931 12369 21565
"200598_s_at" 18631 6741 3724 12325 11556
"200599_s_at" 19348 17663 22180 17072 19010
"200600_at" 8723 18789 21343 11497 19201
"200601_at" 9119 18254 15850 19557 20833
"200602_at" 1202 17418 20796 21307 2068
"200603_at" 8019 2997 19123 16196 18574
"200604_s_at" 18732 20474 20137 20837 21078
"200605_s_at" 18185 18232 17910 16284 19953
"200606_at" 10052 20816 9383 18422 13212
"200607_s_at" 19468 6171 1460 12437 3357
"200608_s_at" 10284 7227 22179 12248 12146
"200609_s_at" 6827 2990 20470 19341 17987
"200610_s_at" 10185 2256 21859 13123 17111
"200611_s_at" 5851 5102 2550 17477 13235
"200612_s_at" 20048 612 18243 22147 19755
"200613_at" 7704 18872 17290 17165 11263
"200614_at" 8195 7270 20443 12194 16713
"200615_s_at" 8279 4639 20198 14452 16231
"200616_s_at" 3548 6297 17326 14428 5145
"200617_at" 2617 7059 20163 13903 15837
"200618_at" 6158 20707 22217 18876 12967
"200619_at" 2627 18077 17941 16659 11915
"200620_at" 3395 5748 18973 14208 12909
"200621_at" 8306 3197 2485 17766 5109
"200622_x_at" 17938 2089 20020 18729 4940
"200623_s_at" 1365 6808 20300 1729 21541
