"inst_1569" "inst_3185" "inst_5827" "inst_7183"
"1007_s_at" 20559 10158 17723 6882
"1053_at" 20704 16980 4314 5833
"117_at" 19953 5618 10282 9077
"121_at" 7981 11971 15793 5775
"1255_g_at" 15357 1359 12109 10793
"1294_at" 21311 5725 512 14507
"1316_at" 1719 9272 21166 12716
"1320_at" 10231 5191 12100 14774
"1405_i_at" 4301 3171 19385 9393
"1431_at" 11726 699 12804 14330
"1438_at" 12321 19112 8792 1316
"1487_at" 20471 9618 6855 6342
"1494_f_at" 123 15419 10365 1443
"1598_g_at" 6622 3896 16022 19013
"160020_at" 5434 21058 3878 9450
"1729_at" 4364 17790 20295 19654
"1773_at" 8803 22159 4915 20726
"177_at" 5703 4413 14784 12058
"179_at" 6302 21811 4631 19092
"1861_at" 17921 15805 5411 19485
"200000_s_at" 20283 13807 20764 3815
"200001_at" 6147 10876 18892 5771
"200002_at" 8638 9281 16454 6438
"200003_s_at" 8725 10681 6801 7913
"200004_at" 4885 13343 18279 17684
"200005_at" 7873 14993 5851 16877
"200006_at" 8157 10478 15965 6796
"200007_at" 19615 11025 6800 5275
"200008_s_at" 20865 19995 5528 3603
"200009_at" 6625 14581 19312 6097
"200010_at" 20487 10956 19280 4889
"200011_s_at" 3238 15332 7605 16579
"200012_x_at" 19396 3186 7400 8018
"200013_at" 9159 10329 17375 17369
"200014_s_at" 3714 12591 7540 3842
"200015_s_at" 3774 17512 17440 7795
"200016_x_at" 4521 10350 15733 6585
"200017_at" 7477 5372 19353 17446
"200018_at" 8046 3763 17906 6654
"200019_s_at" 21129 3517 16032 18543
"200020_at" 20817 14213 20231 20194
"200021_at" 20086 5398 7587 19100
"200022_at" 21644 3946 4810 6814
"200023_s_at" 6814 11696 15888 7204
"200024_at" 19991 10141 18705 6192
"200025_s_at" 8536 2954 15612 16832
"200026_at" 8788 3762 16286 7990
"200027_at" 3106 13089 4279 3222
"200028_s_at" 7533 17547 15306 17383
"200029_at" 19646 3494 15256 7412
"200030_s_at" 7155 10058 7312 7177
"200031_s_at" 20342 5369 17884 17203
"200032_s_at" 20062 5373 17957 7954
"200033_at" 7286 14643 15618 16951
"200034_s_at" 6306 9372 16837 6227
"200035_at" 8108 12449 5191 21451
"200036_s_at" 7811 9671 16689 7252
"200037_s_at" 3421 12868 6270 5931
"200038_s_at" 8872 3705 6535 17260
"200039_s_at" 7537 13161 19679 5542
"200040_at" 5458 12701 18433 6934
"200041_s_at" 8082 13915 7281 7613
"200042_at" 7794 13892 16715 17743
"200043_at" 4101 3664 18183 17040
"200044_at" 20388 10855 16194 5457
"200045_at" 8987 17198 16806 20965
"200046_at" 19382 12387 16799 3827
"200047_s_at" 2860 15107 6869 2937
"200048_s_at" 7025 11129 6809 6995
"200049_at" 1339 11879 5310 5063
"200050_at" 6112 19705 16410 2034
"200051_at" 19989 18029 4528 20317
"200052_s_at" 19656 17688 16001 5614
"200053_at" 8113 9513 16086 20060
"200054_at" 6973 15075 2832 20657
"200055_at" 3705 12140 17318 17411
"200056_s_at" 6899 18731 15367 19476
"200057_s_at" 8531 13320 7438 5326
"200058_s_at" 7446 13465 15007 20722
"200059_s_at" 6591 15749 17323 4699
"200060_s_at" 1762 12058 3817 7381
"200061_s_at" 8452 5368 7743 17502
"200062_s_at" 7963 5337 14890 17297
"200063_s_at" 2325 5385 15080 19576
"200064_at" 20643 15076 16019 18894
"200065_s_at" 21235 17223 17975 7426
"200066_at" 4062 19095 15246 3816
"200067_x_at" 8408 13434 4322 6147
"200068_s_at" 1917 11720 14954 18413
"200069_at" 900 20425 17569 7523
"200070_at" 2116 10521 18299 21627
"200071_at" 1211 17817 2857 3433
"200072_s_at" 20786 16542 6901 17409
"200073_s_at" 4373 16287 6874 4844
"200074_s_at" 19833 10265 16357 5161
"200075_s_at" 21427 12189 16976 17899
"200076_s_at" 21191 9966 14928 6977
"200077_s_at" 7676 9946 16305 5590
"200078_s_at" 20852 16613 18886 17865
"200079_s_at" 7520 16920 6075 5423
"200080_s_at" 6377 3444 15653 3870
"200081_s_at" 20944 3672 17985 5520
"200082_s_at" 9319 3624 15547 5956
"200083_at" 6029 16068 14932 18641
"200084_at" 4673 13231 6316 6574
"200085_s_at" 20698 3800 18456 7467
