"inst_1135" "inst_2405" "inst_5077" "inst_5496" "inst_7436"
"1007_s_at" 4379 3490 18430 14031 19128
"1053_at" 1806 4950 2833 3016 20975
"117_at" 15829 1412 37 10825 13812
"121_at" 10724 20708 4461 4498 20542
"1255_g_at" 14420 8003 11697 7012 11272
"1294_at" 11368 4299 1382 69 13447
"1316_at" 19280 21634 21875 5310 2630
"1320_at" 11617 5976 18387 1115 10493
"1405_i_at" 9370 16712 12080 10363 13592
"1431_at" 16162 9700 1076 1795 15375
"1438_at" 12312 11225 13685 18153 299
"1487_at" 21209 19832 15551 14559 21427
"1494_f_at" 18718 21620 3145 2980 1136
"1598_g_at" 21119 18855 13581 3569 22053
"160020_at" 17606 21224 1820 21711 942
"1729_at" 2788 14794 5928 4135 1739
"1773_at" 15782 3924 20284 1652 4063
"177_at" 8791 16141 436 7896 8767
"179_at" 11707 13169 4353 3 22189
"1861_at" 20128 13210 18534 3842 20723
"200000_s_at" 20924 5920 5781 18751 4331
"200001_at" 20310 19481 16247 19605 17224
"200002_at" 20422 14130 4308 6391 5831
"200003_s_at" 19967 7952 9017 6369 7609
"200004_at" 7085 17756 6702 15630 17973
"200005_at" 4120 15765 6343 5420 4709
"200006_at" 5952 16203 4525 6379 17971
"200007_at" 7939 17620 13291 5888 18338
"200008_s_at" 6115 4522 16928 6414 4920
"200009_at" 7230 5931 6512 4855 6072
"200010_at" 8000 5928 5295 17495 7895
"200011_s_at" 4767 17487 5824 18561 6534
"200012_x_at" 20067 4167 13448 15111 6987
"200013_at" 6300 13977 13377 14070 6675
"200014_s_at" 5052 15971 13789 15638 7643
"200015_s_at" 7405 17377 5111 5892 17530
"200016_x_at" 7541 5256 7103 14518 18233
"200017_at" 21607 8055 14575 6497 19132
"200018_at" 21327 7988 7019 6789 18265
"200019_s_at" 21872 13945 5722 6703 19349
"200020_at" 8068 19801 16927 14475 20977
"200021_at" 6088 5707 9211 8938 17949
"200022_at" 20301 5605 5427 15533 6960
"200023_s_at" 4275 5069 5493 4768 18728
"200024_at" 20944 5208 6886 15532 6927
"200025_s_at" 7638 4757 13889 14560 19504
"200026_at" 21115 7995 15456 15889 17272
"200027_at" 7718 3396 6594 15413 8036
"200028_s_at" 21135 17845 19185 13887 18164
"200029_at" 5241 8060 4935 5646 18717
"200030_s_at" 7982 14139 13804 15027 7442
"200031_s_at" 21355 8071 9099 5674 17931
"200032_s_at" 20420 8115 4840 5443 7286
"200033_at" 4242 5140 14459 14628 18464
"200034_s_at" 20786 5050 4520 6575 17995
"200035_at" 1802 18631 4334 4252 18067
"200036_s_at" 8061 4804 6888 15130 7067
"200037_s_at" 5528 5790 6430 4610 6989
"200038_s_at" 7611 7962 6685 14058 6445
"200039_s_at" 3060 17467 4164 6353 5570
"200040_at" 7753 17408 13918 6643 18743
"200041_s_at" 20110 17126 4518 14010 7224
"200042_at" 21534 14250 5753 20198 20096
"200043_at" 21295 14406 14062 6712 18829
"200044_at" 6381 17703 17748 14801 19344
"200045_at" 6657 20904 13449 15849 7701
"200046_at" 6111 18330 3994 15288 17256
"200047_s_at" 4100 13321 14779 16999 18177
"200048_s_at" 6124 15513 15254 14186 7211
"200049_at" 20163 14596 5177 18186 5567
"200050_at" 2031 18818 20456 14076 18373
"200051_at" 1177 14850 16525 16545 18922
"200052_s_at" 4444 17399 17840 5237 5221
"200053_at" 4129 17827 19260 1657 1156
"200054_at" 5926 14901 15446 19445 20105
"200055_at" 580 14269 3258 16141 20079
"200056_s_at" 8011 19519 5517 18801 20196
"200057_s_at" 19841 4712 14830 17905 17858
"200058_s_at" 20258 18119 5379 5468 18424
"200059_s_at" 7413 13685 4698 14646 5647
"200060_s_at" 1933 18899 6547 5118 4025
"200061_s_at" 5980 8088 9098 15572 8013
"200062_s_at" 20749 8141 9004 8824 17602
"200063_s_at" 7561 13740 9149 8904 6635
"200064_at" 6675 15847 18579 6000 4627
"200065_s_at" 6294 18676 6018 17237 4313
"200066_at" 6036 2571 18435 13867 2359
"200067_x_at" 4421 15619 15298 6862 3363
"200068_s_at" 7315 15273 14181 16084 17509
"200069_at" 7583 17498 20238 18710 6780
"200070_at" 3300 15255 3033 15354 18231
"200071_at" 4034 16945 7022 3036 17195
"200072_s_at" 5389 18695 15781 16223 17823
"200073_s_at" 5929 16385 18388 6934 7570
"200074_s_at" 3635 13245 16001 13989 17966
"200075_s_at" 4901 18002 16141 5426 5613
"200076_s_at" 2751 18278 4111 5970 4575
"200077_s_at" 21233 13117 6583 5955 17142
"200078_s_at" 8071 14754 4584 5959 3384
"200079_s_at" 7075 14474 16201 15141 7733
"200080_s_at" 7907 4992 15932 15250 18258
"200081_s_at" 7122 4123 6355 16770 7104
"200082_s_at" 19899 5464 13375 5558 7760
"200083_at" 1941 14914 18224 18069 6660
"200084_at" 3781 5867 14152 15092 4645
"200085_s_at" 5738 16648 13115 14533 3660
"200086_s_at" 6520 14874 14996 17846 7375
"200087_s_at" 6160 17360 17032 14610 17669
"200088_x_at" 7805 8087 13690 5290 17126
"200089_s_at" 6592 5570 14438 5243 17983
"200090_at" 19882 4805 5006 15423 7307
"200091_s_at" 7684 5078 16457 14167 18199
"200092_s_at" 20022 15151 6614 5695 6741
"200093_s_at" 5082 14341 6833 6992 7732
"200094_s_at" 2497 4488 15834 4481 7636
"200095_x_at" 21117 8100 9195 16343 17484
"200096_s_at" 1225 18784 4765 18858 1310
"200097_s_at" 7976 17563 16956 13856 6259
"200098_s_at" 5196 18935 14875 16277 7737
"200099_s_at" 20442 8081 4510 4963 19793
"200593_s_at" 5447 20150 16582 16471 7071
"200594_x_at" 7252 19432 16842 16939 18319
"200595_s_at" 7330 18104 2814 17134 6823
"200596_s_at" 5521 17670 19657 14022 4287
"200597_at" 1287 21705 19514 21301 3278
"200598_s_at" 6189 15411 18038 16305 18325
"200599_s_at" 6154 18914 6054 15775 18198
"200600_at" 10248 19539 13968 10584 13118
"200601_at" 4370 21342 19211 14645 5151
"200602_at" 4801 3923 5012 16511 4576
"200603_at" 7148 13995 4692 14755 19416
"200604_s_at" 3709 17768 14913 16160 4640
"200605_s_at" 2068 5906 18761 16380 5368
"200606_at" 7019 10047 18381 15957 5958
"200607_s_at" 6567 14308 15274 19085 6071
"200608_s_at" 5229 4750 18609 3957 17289
"200609_s_at" 6587 16376 16838 14373 4679
"200610_s_at" 6308 18137 14051 18447 18057
"200611_s_at" 7818 18650 14256 15110 17875
"200612_s_at" 1915 3105 1697 18251 6743
"200613_at" 4955 17707 5812 5836 17542
"200614_at" 20698 17114 14986 13915 18380
"200615_s_at" 1298 2636 15267 17238 3762
