"inst_1496" "inst_1914" "inst_1996" "inst_4216" "inst_4800"
"1007_s_at" 9031 16569 2005 11970 5852
"1053_at" 18562 4778 20259 12582 20266
"117_at" 16436 11475 4700 17397 15750
"121_at" 8057 18612 6630 17004 9679
"1255_g_at" 10170 8204 14055 804 10758
"1294_at" 21081 19740 19813 1784 18576
"1316_at" 2986 12042 19987 3713 4843
"1320_at" 3861 6508 17672 852 15804
"1405_i_at" 10132 10978 2425 1282 15176
"1431_at" 11390 12294 8233 15689 21093
"1438_at" 21872 6955 13689 980 3206
"1487_at" 17602 22139 4741 12833 3596
"1494_f_at" 7304 4795 19765 10587 5838
"1598_g_at" 19850 3545 1114 16828 19982
"160020_at" 21624 19194 1288 14326 6540
"1729_at" 8993 16210 1901 12027 7618
"1773_at" 3883 4262 13680 21294 722
"177_at" 11253 12308 20308 1341 4701
"179_at" 18178 22099 21921 22001 4790
"1861_at" 17609 5389 10234 18578 9548
"200000_s_at" 5559 20209 18857 15382 16974
"200001_at" 7926 18998 20163 12102 7855
"200002_at" 17504 4298 19682 16078 9568
"200003_s_at" 9826 16796 6570 12732 18780
"200004_at" 7216 17802 5636 5740 2368
"200005_at" 4530 2527 18946 13928 6948
"200006_at" 5189 18228 4505 13553 9268
"200007_at" 17489 20222 20615 13333 9844
"200008_s_at" 6051 5919 1748 19237 151
"200009_at" 18383 17737 3941 14030 7220
"200010_at" 9436 2131 19694 17001 9593
"200011_s_at" 9210 4892 2913 11605 9425
"200012_x_at" 9838 2219 5741 12214 18830
"200013_at" 9271 4203 5143 14796 17251
"200014_s_at" 5314 5305 5068 17721 5108
"200015_s_at" 4922 20550 3303 14026 6515
"200016_x_at" 5828 19173 5133 11720 8726
"200017_at" 17811 1860 3924 8692 17526
"200018_at" 6182 5975 6107 6707 17483
"200019_s_at" 8684 18049 20327 14884 18420
"200020_at" 17935 16922 18356 16651 9077
"200021_at" 18480 2168 17777 8736 12349
"200022_at" 18087 3031 18984 19584 18147
"200023_s_at" 7798 5893 4634 17297 8563
"200024_at" 6442 851 19085 5835 9350
"200025_s_at" 6402 5606 2596 15036 17480
"200026_at" 8139 18910 4185 11826 17763
"200027_at" 4910 16326 3266 19350 4746
"200028_s_at" 6353 5348 3436 14502 20622
"200029_at" 20131 2415 5772 5885 7840
"200030_s_at" 7777 3503 19143 4521 6319
"200031_s_at" 18355 2370 17938 8682 18670
"200032_s_at" 7596 21187 2852 5601 17578
"200033_at" 5653 19291 5408 12752 3576
"200034_s_at" 6646 17168 6059 3038 17995
"200035_at" 9450 2072 22031 2400 9454
"200036_s_at" 17615 3694 20112 16809 8989
"200037_s_at" 6814 20817 1753 16529 6951
"200038_s_at" 18045 17329 6207 12892 8583
"200039_s_at" 17494 1872 18073 14544 9739
"200040_at" 8169 21331 581 13375 8913
"200041_s_at" 9705 16965 3191 5362 9613
"200042_at" 18654 4028 19597 14794 17813
"200043_at" 18932 2987 20845 3828 9339
"200044_at" 7392 18339 6126 12443 7983
"200045_at" 5880 17285 19035 13258 17758
"200046_at" 7729 5843 5055 19078 6984
"200047_s_at" 9269 21563 1527 19846 7460
"200048_s_at" 7545 2686 5236 16238 9922
"200049_at" 9410 220 18677 12317 1988
"200050_at" 2296 19457 4583 18261 3970
"200051_at" 7406 4622 18837 15584 9726
"200052_s_at" 9442 3138 5023 14168 4484
"200053_at" 21351 4871 19605 13709 18948
"200054_at" 1983 4161 4135 17145 8254
"200055_at" 17860 16691 4352 4860 18384
"200056_s_at" 3157 21539 2437 18726 3269
"200057_s_at" 9381 19636 1539 6692 9337
"200058_s_at" 7700 3064 3589 11639 6939
"200059_s_at" 18686 5019 6463 14732 3368
"200060_s_at" 9725 21807 4205 13322 17431
"200061_s_at" 19100 3407 20423 8681 20105
"200062_s_at" 12337 17774 2923 8642 12112
"200063_s_at" 20619 19474 2889 8705 12271
"200064_at" 8247 5373 19631 11762 9148
"200065_s_at" 7434 6020 17697 12150 6024
"200066_at" 20634 4967 20225 3262 5806
"200067_x_at" 6764 16464 1779 18914 6385
"200068_s_at" 18931 5453 3467 14281 17546
"200069_at" 19777 21659 21480 21307 9587
"200070_at" 21287 2348 426 6119 8820
"200071_at" 19616 17049 1786 19680 7880
"200072_s_at" 18281 18253 18207 14233 9609
"200073_s_at" 17849 21887 5165 14957 7936
"200074_s_at" 8140 16372 18802 13354 9723
"200075_s_at" 4418 3681 3172 4159 7315
"200076_s_at" 19544 2713 20263 12163 17446
"200077_s_at" 8418 20849 6629 12020 18910
"200078_s_at" 8274 17338 5919 14081 7974
"200079_s_at" 7772 5123 18973 15454 6452
"200080_s_at" 7394 21194 4321 5101 17635
"200081_s_at" 18439 18287 20267 12000 17894
"200082_s_at" 8619 18142 3390 5869 7555
"200083_at" 3764 17368 19882 17262 18841
"200084_at" 5467 18511 19613 16038 3283
"200085_s_at" 9312 4501 20394 17734 18949
"200086_s_at" 4489 16619 3351 18100 8028
"200087_s_at" 3204 20150 6077 13446 6765
"200088_x_at" 17970 16957 6199 11830 17263
"200089_s_at" 17918 18489 19165 12008 9253
"200090_at" 2568 19137 523 17603 3143
"200091_s_at" 17726 20296 3397 5976 18641
"200092_s_at" 19186 17701 6609 3979 18542
"200093_s_at" 19343 4945 6605 14517 8763
"200094_s_at" 18848 3830 3631 14560 18289
"200095_x_at" 17880 2866 18504 8732 12340
"200096_s_at" 8967 17245 6393 16668 6614
"200097_s_at" 3122 22141 2449 11952 4690
"200098_s_at" 8238 1459 5117 16931 17484
"200099_s_at" 8618 21271 3099 13460 16926
"200593_s_at" 17743 17777 19290 15734 18350
"200594_x_at" 5441 4406 17854 13611 7240
"200595_s_at" 8222 5807 1830 5729 17750
"200596_s_at" 18566 5524 20523 14278 19049
"200597_at" 4575 4225 1497 12927 1392
"200598_s_at" 6042 17876 4636 14943 7226
"200599_s_at" 3260 21484 885 4366 7184
"200600_at" 12078 1916 6307 4820 11567
"200601_at" 7857 18364 20125 17577 20661
"200602_at" 7204 18961 535 19506 20112
"200603_at" 8513 21547 2263 13485 6295
"200604_s_at" 5879 1113 3189 20509 5831
"200605_s_at" 17457 22131 480 16460 1226
"200606_at" 6870 17748 12464 21128 9011
"200607_s_at" 7205 20217 5945 14647 9450
"200608_s_at" 5093 19558 3134 5785 4972
"200609_s_at" 19393 982 2199 12257 8253
"200610_s_at" 19695 21095 4271 12709 19680
"200611_s_at" 19330 16434 6548 14600 8897
"200612_s_at" 18435 2123 20719 11863 20949
"200613_at" 9536 16919 3154 5810 18945
"200614_at" 9708 3831 18484 12781 18378
"200615_s_at" 20873 207 4217 13517 17897
"200616_s_at" 5771 16887 1893 17901 8614
"200617_at" 9018 19229 20435 3133 19248
"200618_at" 8384 18406 18340 6843 9875
"200619_at" 8461 1247 19920 13666 17783
"200620_at" 3799 5272 17725 14037 3941
"200621_at" 7371 16384 19885 13884 8573
"200622_x_at" 8346 3943 6522 19507 17316
"200623_s_at" 19489 994 824 1518 19685
"200624_s_at" 7499 795 19905 13028 19471
"200625_s_at" 3785 4439 3884 5231 7969
"200626_s_at" 3284 5321 3925 13662 5742
"200627_at" 6580 18088 2392 5251 2794
"200628_s_at" 18252 1518 18113 19359 1435
"200629_at" 2753 16687 5279 13373 17841
"200630_x_at" 8804 21474 3464 6380 19372
"200631_s_at" 19865 19650 4299 15604 7223
"200632_s_at" 18043 1504 19272 6802 21529
"200633_at" 9320 17902 3900 12079 12211
"200634_at" 19307 1679 20684 12076 18066
"200635_s_at" 17479 3629 9545 20219 18438
"200636_s_at" 2601 16330 9328 6815 17155
"200637_s_at" 7233 21356 12492 20632 5593
"200638_s_at" 9272 18826 4808 13694 3925
"200639_s_at" 19700 4458 4249 4746 20716
"200640_at" 9152 3958 20903 5469 8594
"200641_s_at" 9544 16205 19876 17441 75
"200642_at" 7335 1050 6650 12667 8864
"200643_at" 8134 492 1912 12532 19468
"200644_at" 18516 21062 21983 5689 19188
"200645_at" 6699 20892 5249 12610 8976
"200646_s_at" 7846 7197 11671 5746 19095
"200647_x_at" 18502 5553 19752 20664 7782
"200648_s_at" 21347 884 21287 15153 20738
"200649_at" 20306 17349 19516 4650 21608
"200650_s_at" 6519 5569 18157 8625 3741
"200651_at" 17692 4369 19217 5614 18893
"200652_at" 6056 4894 18758 15099 17984
"200653_s_at" 8381 21598 1908 3306 19457
"200654_at" 19401 16114 18418 11749 17827
"200655_s_at" 18266 1317 5428 13352 7412
"200656_s_at" 17555 17267 19371 14071 8510
"200657_at" 8464 3159 17820 13616 6631
"200658_s_at" 4914 19233 20418 17891 19355
"200659_s_at" 20386 18634 21275 16199 7186
"200660_at" 9832 3844 1922 5434 9105
"200661_at" 20237 19649 18127 6010 17422
"200662_s_at" 2339 19630 3176 20291 2348
"200663_at" 7090 16193 5662 12787 9701
"200664_s_at" 17680 324 21741 18459 2583
"200665_s_at" 11393 6062 11106 9528 15595
"200666_s_at" 8571 17477 6728 5917 5425
"200667_at" 7837 4792 18399 18667 8645
"200668_s_at" 3015 17470 2422 15936 5510
"200669_s_at" 8864 21644 2142 14768 3591
"200670_at" 17521 1566 2480 13586 6715
"200671_s_at" 16521 13368 10713 20301 22255
"200672_x_at" 17936 2832 8674 19117 4561
"200673_at" 5884 18621 18253 15402 6263
"200674_s_at" 18744 16258 3840 6108 18274
"200675_at" 7954 3466 6751 3874 21016
"200676_s_at" 21586 21567 21495 12038 21234
"200677_at" 7101 16083 4739 14113 5008
"200678_x_at" 6503 2938 19986 6186 17142
"200679_x_at" 19197 18030 5898 14151 18299
"200680_x_at" 17534 5776 18740 11683 19456
"200681_at" 6845 17796 4725 14116 3905
"200682_s_at" 6057 18537 19129 17240 8555
"200683_s_at" 8711 2746 18899 17149 9202
"200684_s_at" 4865 18999 10802 19757 8406
"200685_at" 19279 21462 18532 17487 7635
"200686_s_at" 7830 22266 1525 20612 1468
"200687_s_at" 8637 3885 4069 14526 16939
"200688_at" 2405 2864 22079 21076 18629
"200689_x_at" 7640 5834 5575 12939 17767
"200690_at" 6432 18237 21336 18307 9196
"200691_s_at" 5850 21280 2170 15052 4137
"200692_s_at" 17645 19834 18972 14537 8006
"200693_at" 7307 3811 6316 12692 4569
"200694_s_at" 5181 4970 18048 18566 8552
"200695_at" 19412 6018 21972 4145 1183
"200696_s_at" 6614 19620 19297 13866 21591
"200697_at" 17847 4454 20025 13650 9414
"200698_at" 17663 20068 2833 11625 19681
"200699_at" 20161 16289 5986 6192 18940
"200700_s_at" 6428 5982 1469 15025 7443
"200701_at" 17912 4621 20287 12512 4735
"200702_s_at" 7565 18483 3705 16816 7892
"200703_at" 6654 21281 1194 13063 17565
"200704_at" 6798 5608 5203 16622 4508
"200705_s_at" 7222 17555 6081 14664 7444
"200706_s_at" 8252 2430 21938 13267 1260
"200707_at" 19301 190 20879 3335 20914
"200708_at" 7536 20503 5639 15418 9122
"200709_at" 17709 5850 5011 4399 16932
"200710_at" 17472 4794 1564 14075 19752
"200711_s_at" 4923 18329 4183 18547 8303
"200712_s_at" 8938 5946 6270 21034 1176
"200713_s_at" 17754 4221 18043 20905 6161
"200714_x_at" 4380 4662 20200 6852 19940
"200715_x_at" 17961 5152 18382 14763 8269
"200716_x_at" 8544 16400 18312 11700 9661
"200717_x_at" 19488 16472 6546 8680 12208
"200718_s_at" 8151 21732 2442 12389 17844
"200719_at" 6776 21040 3681 19708 6523
"200720_s_at" 8868 19540 21783 14529 3436
"200721_s_at" 3499 3967 19525 12464 9387
"200722_s_at" 8548 2081 3877 14640 182
"200723_s_at" 17960 19691 4232 13991 1022
"200724_at" 21387 12914 10217 2874 21930
"200725_x_at" 18279 5300 4797 13288 17297
"200726_at" 17736 3124 3622 20038 5892
"200727_s_at" 6329 20808 18589 20027 6376
"200728_at" 7492 5169 20401 6460 947
"200729_s_at" 6950 20354 2276 18506 4281
"200730_s_at" 17689 2917 720 17600 1225
"200731_s_at" 7567 1253 573 14775 4797
"200732_s_at" 17801 1112 5004 16001 2183
"200733_s_at" 6951 22157 289 21309 6753
"200734_s_at" 5450 19085 5188 14535 19477
"200735_x_at" 9558 18739 18871 13314 7694
"200736_s_at" 13182 2365 3931 16820 14802
"200737_at" 18117 19762 18494 4945 976
"200738_s_at" 8567 16301 18076 4789 6835
"200739_s_at" 18328 4202 18506 15560 5062
"200740_s_at" 9243 21436 3470 16951 3833
"200741_s_at" 9568 5352 3460 8643 12114
"200742_s_at" 2878 4148 5601 6292 7796
"200743_s_at" 1710 4962 4719 15461 6324
"200744_s_at" 5067 2569 2138 16890 8618
"200745_s_at" 19321 2801 2510 17245 19664
"200746_s_at" 19751 17190 6739 11915 9531
"200747_s_at" 19531 17513 2184 6100 9561
"200748_s_at" 8554 18067 6539 3116 9198
"200749_at" 3993 18210 5880 19440 3985
"200750_s_at" 18304 16595 5276 5961 6122
"200751_s_at" 7612 4602 5927 20852 1419
"200752_s_at" 9596 19369 18235 12541 17378
"200753_x_at" 4171 16999 2566 14087 1633
"200754_x_at" 9040 16794 19113 6792 3802
"200755_s_at" 6346 22094 275 12451 4784
"200756_x_at" 20394 4030 20804 20913 2137
"200757_s_at" 3566 3742 5872 11795 3978
"200758_s_at" 2424 1799 18470 18766 18831
"200759_x_at" 2197 5912 6720 4398 5755
"200760_s_at" 7990 20321 3896 21217 9353
"200761_s_at" 3495 19953 4387 20960 3995
"200762_at" 9811 20183 351 18732 18502
"200763_s_at" 17574 1314 18239 5573 17434
"200764_s_at" 19589 14745 15272 11450 7465
"200765_x_at" 9325 7839 17518 8621 6782
"200766_at" 7850 2909 19975 15165 17529
"200767_s_at" 20272 20552 18749 17756 4761
"200768_s_at" 4276 5695 5344 5964 9775
"200769_s_at" 21065 22110 20948 21725 6147
"200770_s_at" 17688 1577 19704 14810 2541
"200771_at" 972 20423 3991 16877 5259
"200772_x_at" 18218 5015 19239 19883 19666
"200773_x_at" 6333 16451 5824 5159 17039
"200774_at" 5236 20308 675 14128 5276
"200775_s_at" 18620 22067 18667 5472 9103
"200776_s_at" 8126 21645 5003 14793 3028
"200777_s_at" 6970 18446 17889 12325 6565
"200778_s_at" 5610 21612 18128 16741 3133
"200779_at" 9252 16561 18220 16684 6393
"200780_x_at" 7145 18560 6263 3456 8003
"200781_s_at" 19413 5707 18981 6713 18138
"200782_at" 3556 17348 3774 16387 5609
"200783_s_at" 2803 3803 5453 6553 5474
"200784_s_at" 15619 12430 12920 12082 14410
"200785_s_at" 14059 13263 9890 11773 14047
"200786_at" 8386 2373 18153 14772 8368
"200787_s_at" 2715 3539 20038 2886 18295
"200788_s_at" 3598 3511 4646 12458 17141
"200789_at" 4961 2750 18789 11881 20050
"200790_at" 4506 5248 20299 12925 1340
"200791_s_at" 7352 4968 2765 14004 6296
"200792_at" 6364 5382 21009 12304 8469
"200793_s_at" 8936 16806 20030 15283 17156
"200794_x_at" 5354 1935 20875 18046 6141
"200795_at" 14124 7065 10170 3109 828
"200796_s_at" 1036 15789 14122 22171 2
"200797_s_at" 4528 16489 5141 13157 17190
"200798_x_at" 8300 16435 20682 20241 2291
"200799_at" 17733 20447 14250 4561 17988
"200800_s_at" 17894 19758 2627 14192 5751
"200801_x_at" 12519 20613 4891 8627 17410
"200802_at" 7680 17912 18783 17241 8664
"200803_s_at" 9132 21124 5912 20310 7779
"200804_at" 8493 17638 3282 6658 9822
"200805_at" 9813 5264 1844 11621 17834
"200806_s_at" 18730 17763 5364 16497 2793
"200807_s_at" 18141 20648 17993 6412 16951
"200808_s_at" 18258 21377 2092 1808 22045
"200809_x_at" 18323 17519 18792 12175 18487
"200810_s_at" 4560 19258 3564 15587 19172
"200811_at" 5868 16104 5686 15844 18921
"200812_at" 9548 4573 5599 14095 6963
"200813_s_at" 8752 311 3148 4980 2717
"200814_at" 8249 17766 20686 20350 6332
"200815_s_at" 8438 1925 5537 12387 18395
"200816_s_at" 8074 18320 1159 18448 7474
"200817_x_at" 12428 20182 5870 8635 12085
"200818_at" 17535 3485 3114 13898 9769
"200819_s_at" 18215 1350 20625 5046 18134
"200820_at" 6373 4946 20694 5161 5178
"200821_at" 5795 17729 2108 19435 17012
"200822_x_at" 7294 16736 18948 2470 20045
"200823_x_at" 9349 17653 6274 6760 6398
"200824_at" 19313 4398 2882 14927 16262
"200825_s_at" 18405 16998 1535 6667 18234
"200826_at" 7833 4525 19988 16883 17106
"200827_at" 21004 16143 3551 4495 21818
"200828_s_at" 17742 5711 5666 20600 1297
"200829_x_at" 8688 3643 2905 20603 5741
"200830_at" 6847 5510 5418 13180 8968
"200831_s_at" 18384 1714 369 6268 6994
"200832_s_at" 7896 5582 6231 13419 9401
"200833_s_at" 7614 3688 3304 17173 6542
"200834_s_at" 9078 4166 4360 12568 18553
"200835_s_at" 2413 78 3113 11823 18154
"200836_s_at" 149 3417 18065 12769 22250
"200837_at" 4546 3751 20305 18897 5723
"200838_at" 20452 16122 19131 5698 9018
"200839_s_at" 17598 19250 3916 15453 9455
"200840_at" 5144 17752 4486 19320 9626
"200841_s_at" 3439 143 6576 20563 4463
"200842_s_at" 9153 1844 3556 19652 19224
"200843_s_at" 2176 5238 18370 15124 8952
"200844_s_at" 18234 6019 5406 5728 17333
"200845_s_at" 8402 18905 2568 12154 7195
"200846_s_at" 8697 1291 20119 15786 7593
"200847_s_at" 8738 21686 712 20139 5655
"200848_at" 17620 417 1447 15352 3163
"200849_s_at" 9734 5985 4436 1763 19032
"200850_s_at" 18229 3765 4509 13708 6374
"200851_s_at" 8661 19977 4746 21445 18715
"200852_x_at" 8589 1352 6361 6488 17737
"200853_at" 19222 17787 2215 11951 7064
"200854_at" 20136 3303 18172 11719 6021
"200855_at" 1723 2571 10521 12478 21755
"200856_x_at" 6598 18972 18599 16265 6871
"200857_s_at" 9746 17041 1695 20798 18291
"200858_s_at" 4805 18970 4702 4437 18108
"200859_x_at" 17584 3357 18954 2957 18759
"200860_s_at" 5126 3091 6709 16922 17755
"200861_at" 19445 442 17939 3893 20408
"200862_at" 7125 2209 4710 13989 18963
"200863_s_at" 8404 4487 19814 17170 6327
"200864_s_at" 8171 22086 18569 19011 1576
"200865_at" 13866 11854 13256 6574 13060
"200866_s_at" 17755 16564 20124 16581 4238
"200867_at" 8439 1843 20909 11937 8550
"200868_s_at" 8710 2519 5472 13814 9590
"200869_at" 8651 20292 18017 16377 9789
"200870_at" 7520 19806 3951 16217 2672
"200871_s_at" 5789 4959 2725 18213 18896
"200872_at" 9045 4829 18023 13763 9704
"200873_s_at" 6219 17237 4476 13702 7168
"200874_s_at" 1967 646 6405 19753 20116
"200875_s_at" 7776 20420 2134 4498 17527
"200876_s_at" 7939 1420 19568 15086 8480
"200877_at" 17916 3957 5539 14589 5876
"200878_at" 20220 470 8391 17497 7843
"200879_s_at" 11768 15995 6916 2554 13919
"200880_at" 8873 17949 20172 17784 9163
"200881_s_at" 17945 4456 20258 15966 6121
"200882_s_at" 8466 17678 6195 16033 17751
"200883_at" 8515 21089 1479 14173 3737
"200884_at" 5622 363 16636 16751 7455
"200885_at" 8959 2379 1892 21752 7627
"200886_s_at" 18153 16097 3963 6557 6817
