"inst_1746" "inst_2896" "inst_5116" "inst_5541"
"1007_s_at" 18100 5985 21443 20201
"1053_at" 4191 18053 14517 17460
"117_at" 20925 157 2 13492
"121_at" 6709 19179 15983 18447
"1255_g_at" 8385 10704 8827 10784
"1294_at" 19911 19980 13959 1682
"1316_at" 17920 4600 1564 9655
"1320_at" 8657 1639 6778 14257
"1405_i_at" 17451 6355 9925 10807
"1431_at" 8729 11394 741 13027
"1438_at" 9661 18474 21392 393
"1487_at" 21737 4871 18100 3047
"1494_f_at" 21244 1807 9648 897
"1598_g_at" 3210 3729 15562 3606
"160020_at" 5784 21209 14583 18535
"1729_at" 4559 14432 19544 1416
"1773_at" 4657 3206 3261 17090
"177_at" 20767 3655 275 14217
"179_at" 3992 5330 21549 18576
"1861_at" 12751 5015 18670 8179
"200000_s_at" 18834 4158 18143 5960
"200001_at" 4098 6103 14043 6321
"200002_at" 17531 5750 6003 7147
"200003_s_at" 18506 14121 6430 8399
"200004_at" 4739 16061 15963 19124
"200005_at" 19252 14393 5956 6168
"200006_at" 4593 15953 7471 9846
"200007_at" 6451 15026 4594 4151
"200008_s_at" 4211 17814 2719 2189
"200009_at" 16901 16472 16096 9762
"200010_at" 2953 14838 15505 4454
"200011_s_at" 21632 15611 19491 19598
"200012_x_at" 18414 5602 15678 17815
"200013_at" 5320 14018 6609 9850
"200014_s_at" 4968 13684 7158 7989
"200015_s_at" 4868 16348 5404 9156
"200016_x_at" 4168 13723 13874 17144
"200017_at" 6449 7089 7464 8487
"200018_at" 17586 7133 16135 17908
"200019_s_at" 19016 6398 14070 5935
"200020_at" 19967 21221 16081 4121
"200021_at" 20998 5292 13814 12315
"200022_at" 18457 6293 6599 5745
"200023_s_at" 17126 5375 5611 5924
"200024_at" 5584 7156 18225 8867
"200025_s_at" 17120 5456 5748 9476
"200026_at" 4419 13795 7389 9027
"200027_at" 18087 4715 5659 6609
"200028_s_at" 18032 18072 17620 4676
"200029_at" 19910 6474 15884 9081
"200030_s_at" 17984 15040 14035 7673
"200031_s_at" 18352 9399 9392 17085
"200032_s_at" 17029 14196 15508 19603
"200033_at" 17357 17682 6327 8818
"200034_s_at" 4825 15357 16182 20612
"200035_at" 6006 3868 4890 2171
"200036_s_at" 17967 5702 5061 7344
"200037_s_at" 5771 19616 14160 9808
"200038_s_at" 17690 14967 6552 8893
"200039_s_at" 19654 14350 16446 6908
"200040_at" 6229 18219 17136 8929
"200041_s_at" 17512 18237 7313 17751
"200042_at" 16841 5703 14650 18364
"200043_at" 6158 5797 4744 2414
"200044_at" 6624 15471 15236 8154
"200045_at" 17363 16574 17097 9453
"200046_at" 4194 14777 14923 5215
"200047_s_at" 6819 20705 6176 8846
"200048_s_at" 5355 6296 13818 6802
"200049_at" 20545 17585 19066 19180
"200050_at" 3358 4762 6824 7626
"200051_at" 20856 3360 18138 17469
"200052_s_at" 4319 14131 4546 7089
"200053_at" 18206 17631 14714 19118
"200054_at" 20000 14256 15981 6845
"200055_at" 19337 5586 16107 6463
"200056_s_at" 2177 18875 6166 17841
"200057_s_at" 19136 15190 14510 9485
"200058_s_at" 17905 6527 17659 8327
"200059_s_at" 4284 14282 5867 6643
"200060_s_at" 18906 6660 4776 8722
"200061_s_at" 17118 9398 9391 9650
"200062_s_at" 19305 9284 9313 10331
"200063_s_at" 4261 9457 15420 7931
"200064_at" 4834 6435 6129 6796
"200065_s_at" 17077 6729 6974 7945
"200066_at" 21190 6318 14264 17812
"200067_x_at" 4356 7197 5353 8711
"200068_s_at" 2401 6705 6959 9820
"200069_at" 20586 5850 6848 8822
"200070_at" 20382 7154 4643 18393
"200071_at" 1247 18830 3575 3763
"200072_s_at" 18909 17977 14418 8508
"200073_s_at" 6213 14135 15218 7404
"200074_s_at" 6605 16357 13754 5456
"200075_s_at" 17515 14776 6122 10329
"200076_s_at" 18044 6448 16593 6673
"200077_s_at" 17254 5569 14943 7217
"200078_s_at" 17166 5109 3905 4157
"200079_s_at" 20015 17968 14849 8296
"200080_s_at" 17174 13892 7489 6267
"200081_s_at" 5619 15377 5904 7128
"200082_s_at" 4334 14376 15819 8524
"200083_at" 6813 16092 18557 9557
"200084_at" 6051 13889 5479 7361
"200085_s_at" 20672 5073 4316 6664
"200086_s_at" 4877 14420 16974 5916
"200087_s_at" 1540 14460 6929 9298
"200088_x_at" 17441 9293 7298 17924
"200089_s_at" 6688 6574 6134 9498
"200090_at" 6295 4739 6054 6275
"200091_s_at" 16905 6689 16136 8725
"200092_s_at" 5580 7201 3484 17620
"200093_s_at" 6216 6048 3877 5742
"200094_s_at" 17299 5186 17056 20140
"200095_x_at" 17732 9527 9477 10095
"200096_s_at" 4201 17105 7565 3343
"200097_s_at" 17349 20177 15921 17778
"200098_s_at" 19324 7151 15823 17937
"200099_s_at" 17057 14416 15348 18522
"200593_s_at" 16762 19797 5588 3566
"200594_x_at" 4051 16294 15271 7943
"200595_s_at" 17738 5788 13973 6087
"200596_s_at" 3140 15291 15055 9456
"200597_at" 17857 17901 6169 19340
"200598_s_at" 3273 985 1693 7565
"200599_s_at" 899 4066 3816 5994
"200600_at" 4947 11064 19411 15943
"200601_at" 21144 20191 21783 4250
"200602_at" 17527 15000 18552 2073
"200603_at" 3190 13724 16557 9940
"200604_s_at" 1092 17246 1023 5984
"200605_s_at" 2288 17961 7385 5150
"200606_at" 14169 14021 5524 4403
"200607_s_at" 6749 18779 6390 19669
"200608_s_at" 6327 17032 16474 10176
"200609_s_at" 4677 17183 20008 3415
"200610_s_at" 3446 6617 14597 7913
"200611_s_at" 6254 7125 4511 4744
"200612_s_at" 1309 13708 15316 531
"200613_at" 20224 14053 13850 6336
"200614_at" 6661 14584 16528 17324
"200615_s_at" 3973 4174 5161 17411
"200616_s_at" 1605 3737 5602 9305
"200617_at" 4801 5589 17644 1466
"200618_at" 20181 17177 20100 7013
"200619_at" 17477 4561 5801 3883
"200620_at" 2776 15513 16546 17156
"200621_at" 20584 3548 15072 3301
"200622_x_at" 17025 17718 4066 8457
"200623_s_at" 19888 20454 16708 8317
"200624_s_at" 786 13911 3639 17707
"200625_s_at" 17500 17156 7485 5789
"200626_s_at" 4063 16020 15207 8392
"200627_at" 5327 16035 7536 9474
"200628_s_at" 20943 749 2351 1918
"200629_at" 5929 943 3320 3729
"200630_x_at" 6543 18277 17631 9388
"200631_s_at" 17270 18001 14475 8488
"200632_s_at" 21797 384 20343 2158
"200633_at" 17536 6853 7427 18756
"200634_at" 6631 15763 14256 7790
"200635_s_at" 11244 14314 21139 1785
"200636_s_at" 8557 17611 20577 19940
"200637_s_at" 6866 6457 21135 6860
"200638_s_at" 1572 16551 14308 5784
"200639_s_at" 3944 18562 20368 5616
"200640_at" 4734 15483 16348 8995
"200641_s_at" 964 17749 2892 6925
"200642_at" 17560 14707 5053 6110
"200643_at" 5870 1951 19603 19220
"200644_at" 5954 20610 17168 3382
"200645_at" 21113 16484 15977 7255
"200646_s_at" 14935 3308 17115 18070
"200647_x_at" 20409 5449 5569 3828
"200648_s_at" 59 16381 366 7012
"200649_at" 19285 20104 14926 21918
"200650_s_at" 4509 15970 7176 10090
"200651_at" 3949 14329 5015 7623
"200652_at" 3735 1646 1882 1989
"200653_s_at" 20169 19636 19973 9778
"200654_at" 6085 2916 5619 5458
"200655_s_at" 17321 18285 7185 5790
"200656_s_at" 3027 7158 15048 9212
"200657_at" 17668 13689 7430 17206
"200658_s_at" 6473 17925 14433 3251
"200659_s_at" 619 18546 5878 5459
"200660_at" 20822 14066 13926 9022
"200661_at" 20598 15221 19956 18617
"200662_s_at" 18217 15286 14303 5053
"200663_at" 20257 15700 16860 7226
"200664_s_at" 1585 4425 14 8339
"200665_s_at" 12788 12299 8254 10935
"200666_s_at" 1694 6734 86 3525
"200667_at" 3991 15851 6171 9766
"200668_s_at" 3908 16695 14908 18769
"200669_s_at" 2083 17700 4130 6476
"200670_at" 1145 2509 135 2435
