"inst_2923" "inst_4084" "inst_7343"
"1007_s_at" 1559 12508 4243
"1053_at" 17221 6112 16617
"117_at" 15745 10876 6526
"121_at" 1209 5855 20815
"1255_g_at" 4829 8685 7941
"1294_at" 16542 18192 14245
"1316_at" 2411 2880 3821
"1320_at" 5933 4089 11085
"1405_i_at" 18610 10648 6142
"1431_at" 2570 1323 10436
"1438_at" 10262 21113 16935
"1487_at" 12144 19845 19449
"1494_f_at" 5195 20210 11963
"1598_g_at" 1127 16898 20845
"160020_at" 12988 12688 19144
"1729_at" 19981 3787 1403
"1773_at" 18612 16675 14430
"177_at" 21804 19122 11914
"179_at" 21123 844 2493
"1861_at" 2916 15172 13843
"200000_s_at" 17263 4866 4456
"200001_at" 19145 5965 16990
"200002_at" 11605 6901 4498
"200003_s_at" 5314 8223 14174
"200004_at" 11073 16452 14645
"200005_at" 12388 13593 17003
"200006_at" 12970 6672 15277
"200007_at" 13123 5396 2853
"200008_s_at" 11940 1851 17087
"200009_at" 12875 3614 15318
"200010_at" 2437 2730 4534
"200011_s_at" 18112 6247 4272
"200012_x_at" 10895 5712 3592
"200013_at" 11417 5548 13583
"200014_s_at" 14103 12187 16694
"200015_s_at" 19252 15052 4695
"200016_x_at" 2822 8174 14736
"200017_at" 10549 8283 4379
"200018_at" 5452 8281 14297
"200019_s_at" 2824 4891 4594
"200020_at" 14846 17134 3279
"200021_at" 1726 8341 5073
"200022_at" 11785 5107 13974
"200023_s_at" 11523 14397 13724
"200024_at" 2575 15349 4451
"200025_s_at" 2398 6804 15687
"200026_at" 5635 5215 15520
"200027_at" 11842 14524 15811
"200028_s_at" 17394 14960 18411
"200029_at" 2806 6311 15371
"200030_s_at" 11983 12942 14813
"200031_s_at" 5434 8273 15108
"200032_s_at" 5471 6938 4764
"200033_at" 1970 13082 3451
"200034_s_at" 2539 5831 14844
"200035_at" 15751 16611 4703
"200036_s_at" 11922 5023 15531
"200037_s_at" 2353 12838 3056
"200038_s_at" 5597 6041 14087
"200039_s_at" 12548 13006 15256
"200040_at" 12202 16900 16826
"200041_s_at" 14964 4623 16563
"200042_at" 13423 6203 16479
"200043_at" 13339 6197 17111
"200044_at" 12089 6845 14556
"200045_at" 12420 12678 16864
"200046_at" 10594 6763 16520
"200047_s_at" 2944 14974 3598
"200048_s_at" 16783 17284 2887
"200049_at" 2344 14690 14471
"200050_at" 2622 18171 16014
"200051_at" 13154 17250 20583
"200052_s_at" 15855 3884 13856
"200053_at" 13216 1389 17237
"200054_at" 16330 19889 2266
"200055_at" 16774 15415 18017
"200056_s_at" 20459 16614 15326
"200057_s_at" 11176 13979 14304
"200058_s_at" 18493 16845 16551
"200059_s_at" 2642 5469 4762
"200060_s_at" 15399 13893 17245
"200061_s_at" 5433 8272 4332
"200062_s_at" 2712 8214 13808
"200063_s_at" 2258 8299 3481
"200064_at" 11591 2874 15013
"200065_s_at" 13976 5475 14872
"200066_at" 15833 11928 18297
"200067_x_at" 11001 13765 14498
"200068_s_at" 11455 6859 4623
"200069_at" 18708 19131 3406
"200070_at" 22244 15148 17064
"200071_at" 17376 17801 5122
"200072_s_at" 14781 15690 17031
"200073_s_at" 2603 17815 13606
"200074_s_at" 2640 6545 3982
"200075_s_at" 15608 12123 17995
"200076_s_at" 20334 2961 18202
"200077_s_at" 2312 12086 13510
"200078_s_at" 1754 14120 17937
"200079_s_at" 15292 6092 17313
"200080_s_at" 10606 16271 4346
"200081_s_at" 2791 1933 16925
"200082_s_at" 2676 5366 14369
"200083_at" 12911 18166 16962
"200084_at" 12130 6858 4422
"200085_s_at" 13884 6306 16398
"200086_s_at" 12482 14734 15159
"200087_s_at" 2578 6150 18264
"200088_x_at" 5305 11885 14411
"200089_s_at" 2583 14744 4102
"200090_at" 20558 13204 4022
"200091_s_at" 2214 5885 14463
"200092_s_at" 10803 5492 5105
"200093_s_at" 18312 14382 4251
"200094_s_at" 12339 15924 15428
"200095_x_at" 5612 8336 3909
"200096_s_at" 17675 2634 17397
"200097_s_at" 12672 13972 2455
"200098_s_at" 14142 15087 14198
"200099_s_at" 5524 11975 2819
"200593_s_at" 11714 15758 17778
"200594_x_at" 11169 11902 13577
"200595_s_at" 14030 13115 16141
"200596_s_at" 12497 13628 17543
"200597_at" 16071 6371 15242
"200598_s_at" 14108 3899 16385
"200599_s_at" 12280 14419 15547
