"inst_2857" "inst_4019" "inst_4137"
"1007_s_at" 3737 2362 15083
"1053_at" 3105 2732 1061
"117_at" 13585 12461 12125
"121_at" 21739 7066 6516
"1255_g_at" 6853 15747 10634
"1294_at" 1964 20062 21474
"1316_at" 17541 5575 17650
"1320_at" 12820 1486 19657
"1405_i_at" 9853 21978 6124
"1431_at" 16024 18462 20875
"1438_at" 22061 21171 13382
"1487_at" 6674 3993 4520
"1494_f_at" 4365 4884 5586
"1598_g_at" 20392 20441 17919
"160020_at" 21113 8427 19561
"1729_at" 3209 4586 7131
"1773_at" 21498 4980 16327
"177_at" 11214 904 15012
"179_at" 1723 43 3308
"1861_at" 18691 7556 15143
"200000_s_at" 5583 9435 14974
"200001_at" 6043 5524 5349
"200002_at" 15827 8725 4554
"200003_s_at" 14715 13007 7244
"200004_at" 5377 18101 5282
"200005_at" 4521 5468 14998
"200006_at" 6051 10294 6578
"200007_at" 3667 5932 5872
"200008_s_at" 14464 5175 13997
"200009_at" 5715 7096 7260
"200010_at" 15321 8316 4442
"200011_s_at" 3495 5510 5452
"200012_x_at" 14477 18545 16286
"200013_at" 15404 17503 6048
"200014_s_at" 16436 8152 14133
"200015_s_at" 16608 11255 6576
"200016_x_at" 15221 17203 7427
"200017_at" 15400 13082 9322
"200018_at" 15104 17564 9315
"200019_s_at" 15313 16934 4987
"200020_at" 15913 8108 16956
"200021_at" 18377 13164 9477
"200022_at" 6397 7089 6827
"200023_s_at" 4797 7952 3619
"200024_at" 4736 10939 4259
"200025_s_at" 6054 11082 6045
"200026_at" 15905 17251 15277
"200027_at" 4418 8029 13969
"200028_s_at" 5592 9568 17747
"200029_at" 4831 17461 15613
"200030_s_at" 6142 17242 7320
"200031_s_at" 15673 13072 9301
"200032_s_at" 17084 18295 9326
"200033_at" 18685 20552 18215
"200034_s_at" 5833 17047 4511
"200035_at" 6459 7674 15390
"200036_s_at" 18008 17093 6425
"200037_s_at" 15599 9403 4558
"200038_s_at" 15250 16846 13376
"200039_s_at" 5433 9629 5213
"200040_at" 6547 8338 13787
"200041_s_at" 17553 17973 18176
"200042_at" 15436 5414 4592
"200043_at" 4757 9902 6495
"200044_at" 16468 8850 6715
"200045_at" 18942 10972 19847
"200046_at" 3109 7856 3093
"200047_s_at" 16141 9280 5806
"200048_s_at" 17691 17011 7178
"200049_at" 6311 9640 18770
"200050_at" 17964 10593 18026
"200051_at" 5609 19436 17475
"200052_s_at" 16422 7994 6247
"200053_at" 2111 2545 612
"200054_at" 15035 4493 15599
"200055_at" 3615 4568 13590
"200056_s_at" 5644 4923 3025
"200057_s_at" 5266 9977 17418
"200058_s_at" 15505 10292 13431
"200059_s_at" 14556 8079 14158
"200060_s_at" 15902 9756 17935
"200061_s_at" 14560 13071 9298
"200062_s_at" 9358 12996 9177
"200063_s_at" 9619 13105 9367
"200064_at" 5727 9776 6881
"200065_s_at" 5082 11283 15146
"200066_at" 19482 10825 13426
"200067_x_at" 4967 6706 6324
"200068_s_at" 2630 7350 7160
"200069_at" 5895 6765 20173
"200070_at" 16288 4404 6112
"200071_at" 21134 9745 18406
"200072_s_at" 15210 16963 15974
"200073_s_at" 18121 8886 14493
"200074_s_at" 14649 11313 4548
"200075_s_at" 6212 8800 3799
"200076_s_at" 19671 4744 15692
"200077_s_at" 6463 9925 4845
"200078_s_at" 16258 8560 5827
"200079_s_at" 16826 7131 15150
"200080_s_at" 14628 17815 5212
"200081_s_at" 15050 8946 14949
"200082_s_at" 15361 11173 7016
"200083_at" 19296 17927 18242
"200084_at" 5534 6632 6818
"200085_s_at" 5486 5554 5660
"200086_s_at" 5736 8425 6836
"200087_s_at" 15202 7274 13617
"200088_x_at" 9374 10812 9191
"200089_s_at" 16418 17331 5941
"200090_at" 2964 7752 19235
"200091_s_at" 16104 18302 2915
"200092_s_at" 6400 17957 7467
"200093_s_at" 15520 7869 3577
"200094_s_at" 16272 17183 15739
"200095_x_at" 14394 13156 9463
"200096_s_at" 16181 8791 7152
"200097_s_at" 14888 18008 5429
"200098_s_at" 17105 11232 17393
"200099_s_at" 15037 18090 9386
"200593_s_at" 16189 4729 5081
"200594_x_at" 6183 5660 14079
"200595_s_at" 19077 17904 17049
"200596_s_at" 19168 19070 19552
"200597_at" 4780 3957 15719
"200598_s_at" 6365 10537 4556
"200599_s_at" 16450 8422 4423
"200600_at" 8797 4599 873
"200601_at" 15230 1014 6687
"200602_at" 21095 3130 1883
"200603_at" 6607 9302 5137
"200604_s_at" 4238 3813 2160
"200605_s_at" 1940 3687 5769
"200606_at" 2826 9108 5921
"200607_s_at" 14406 7946 7217
"200608_s_at" 18854 11050 13408
"200609_s_at" 5247 19714 6364
"200610_s_at" 4725 6499 16157
"200611_s_at" 6596 6005 15198
"200612_s_at" 16207 20746 21315
"200613_at" 4959 7375 3100
"200614_at" 15123 17359 6867
"200615_s_at" 14910 10455 19348
"200616_s_at" 15441 10215 13516
"200617_at" 4611 5119 17493
"200618_at" 3661 9133 6338
"200619_at" 15495 9425 14182
"200620_at" 4930 7614 15086
"200621_at" 14788 5650 4029
"200622_x_at" 5056 10965 2973
"200623_s_at" 18291 7956 3923
"200624_s_at" 1560 3248 2263
"200625_s_at" 15946 8011 6680
"200626_s_at" 5075 5612 3191
"200627_at" 14941 11245 6653
"200628_s_at" 16529 9251 1996
"200629_at" 16958 2414 17248
"200630_x_at" 5801 17107 5815
"200631_s_at" 14760 10536 16438
"200632_s_at" 1447 17459 1157
"200633_at" 4217 13070 7393
"200634_at" 14467 8030 3053
"200635_s_at" 14525 4332 6829
"200636_s_at" 15826 9352 5130
"200637_s_at" 16515 17531 18325
"200638_s_at" 15154 17950 4552
"200639_s_at" 16273 11347 7104
"200640_at" 3735 8992 5224
"200641_s_at" 5507 8771 5830
"200642_at" 6185 10119 5346
"200643_at" 15233 8106 903
"200644_at" 5649 6552 14582
"200645_at" 5847 5386 14239
"200646_s_at" 1933 10033 6039
"200647_x_at" 15071 5387 16108
"200648_s_at" 14876 18558 6924
"200649_at" 18649 9219 4690
"200650_s_at" 6427 12965 5915
"200651_at" 14559 7945 5633
"200652_at" 15319 6743 2123
"200653_s_at" 5463 8818 3436
"200654_at" 4618 8759 5930
"200655_s_at" 3838 10636 5583
"200656_s_at" 5008 4301 1945
"200657_at" 4941 11288 6606
"200658_s_at" 16068 3419 5410
"200659_s_at" 2811 5854 4827
"200660_at" 4608 10212 6184
"200661_at" 2483 10022 3270
"200662_s_at" 5111 7702 4290
"200663_at" 5994 10838 3682
"200664_s_at" 20465 10599 17941
"200665_s_at" 7720 14391 11088
"200666_s_at" 20150 10693 17832
"200667_at" 3602 10290 14363
"200668_s_at" 17948 9261 16396
"200669_s_at" 15802 7931 13537
"200670_at" 21605 7999 18575
"200671_s_at" 19293 3707 14525
"200672_x_at" 21063 1035 5958
"200673_at" 3462 9102 3441
"200674_s_at" 6783 10829 14619
"200675_at" 3136 7845 2374
"200676_s_at" 17796 1328 2680
"200677_at" 16211 8325 13811
"200678_x_at" 3810 7536 3878
"200679_x_at" 4765 17320 5726
"200680_x_at" 18175 10413 7332
"200681_at" 4772 6389 3803
"200682_s_at" 5568 4811 13715
"200683_s_at" 17928 9052 7429
"200684_s_at" 6775 11087 5770
"200685_at" 18504 18208 1532
"200686_s_at" 19985 17032 17561
"200687_s_at" 14950 8906 15970
"200688_at" 17938 17816 16234
"200689_x_at" 5413 9180 6999
"200690_at" 3749 18411 13444
"200691_s_at" 17222 7693 15823
"200692_s_at" 17288 6805 3341
"200693_at" 6065 8230 3742
"200694_s_at" 16751 17190 13737
"200695_at" 4307 1995 5092
"200696_s_at" 14883 20612 14278
"200697_at" 15205 9842 17961
"200698_at" 3923 6486 6769
"200699_at" 2158 5027 4544
"200700_s_at" 2877 8026 13634
"200701_at" 4290 4803 5383
"200702_s_at" 17516 6032 17361
"200703_at" 4488 17966 1634
"200704_at" 2735 1352 4977
"200705_s_at" 14398 8637 7025
"200706_s_at" 981 1600 2807
"200707_at" 4203 6803 13559
"200708_at" 3305 6688 14214
"200709_at" 4821 9995 2428
"200710_at" 1444 4353 2552
"200711_s_at" 4467 6657 3798
"200712_s_at" 18633 4831 4302
"200713_s_at" 4884 6715 13988
"200714_x_at" 4428 3306 4752
"200715_x_at" 5143 6744 5265
"200716_x_at" 15179 17064 9456
"200717_x_at" 9516 13068 9293
"200718_s_at" 6553 11400 5646
"200719_at" 621 5620 4266
"200720_s_at" 15503 6481 3350
"200721_s_at" 14891 5667 19294
"200722_s_at" 17460 17861 5215
"200723_s_at" 14974 8301 13966
"200724_at" 14612 21460 14435
"200725_x_at" 5800 11155 6410
"200726_at" 6159 11008 14155
"200727_s_at" 3800 1588 5435
"200728_at" 14482 5633 3779
"200729_s_at" 17711 8367 5334
"200730_s_at" 1100 10650 4475
"200731_s_at" 720 9622 1842
"200732_s_at" 392 20003 3592
"200733_s_at" 5861 2045 2023
"200734_s_at" 19619 4231 16294
"200735_x_at" 15684 8707 9379
"200736_s_at" 7566 4132 3060
"200737_at" 14659 8065 1815
"200738_s_at" 6691 17991 6373
"200739_s_at" 5669 3678 2327
"200740_s_at" 3953 9551 4768
"200741_s_at" 15674 17830 9179
"200742_s_at" 1503 6885 5707
"200743_s_at" 3455 4329 6862
"200744_s_at" 5061 6254 14156
"200745_s_at" 1325 9343 5557
"200746_s_at" 16357 11198 4741
"200747_s_at" 20428 10590 20957
"200748_s_at" 16642 11244 15124
"200749_at" 21228 18596 20795
"200750_s_at" 16021 17951 7143
"200751_s_at" 17854 5299 3838
"200752_s_at" 14444 7218 16216
"200753_x_at" 19784 18009 15334
"200754_x_at" 16995 17590 17145
"200755_s_at" 15444 3994 18243
"200756_x_at" 6041 4521 7412
"200757_s_at" 4197 4850 16010
"200758_s_at" 16443 8289 6398
"200759_x_at" 3528 17484 3898
"200760_s_at" 6128 3426 4326
"200761_s_at" 6692 7038 6143
"200762_at" 19001 5359 18420
"200763_s_at" 15869 18821 6973
"200764_s_at" 17981 4291 14568
"200765_x_at" 5730 15054 13650
"200766_at" 5310 11406 17590
"200767_s_at" 18350 10228 16784
"200768_s_at" 22018 20833 21865
"200769_s_at" 21516 17871 18143
"200770_s_at" 6619 1586 1433
"200771_at" 2339 6219 17822
"200772_x_at" 6715 10468 4817
"200773_x_at" 4461 10815 5472
"200774_at" 15910 8610 14954
"200775_s_at" 6162 17810 16825
"200776_s_at" 18119 5317 6613
"200777_s_at" 16400 18049 15671
"200778_s_at" 16657 11123 18213
"200779_at" 21857 21674 21351
"200780_x_at" 4096 9843 6533
"200781_s_at" 6447 17688 15645
"200782_at" 2129 7548 4717
"200783_s_at" 6681 2183 4463
"200784_s_at" 7310 18627 12036
"200785_s_at" 11374 12491 8404
"200786_at" 6060 10514 17277
"200787_s_at" 3833 18445 16318
"200788_s_at" 14706 9799 15611
"200789_at" 883 1976 1863
"200790_at" 2649 17101 4298
"200791_s_at" 3409 7663 13387
"200792_at" 6651 7613 14881
"200793_s_at" 14439 2367 14869
"200794_x_at" 4865 2353 4881
"200795_at" 599 3012 20529
"200796_s_at" 18357 18426 16917
"200797_s_at" 6530 19170 4392
"200798_x_at" 16070 19428 17968
"200799_at" 2887 7171 3514
"200800_s_at" 2776 8804 4197
"200801_x_at" 15109 12970 9135
"200802_at" 15004 5619 16835
"200803_s_at" 5879 4509 5240
"200804_at" 6104 10136 4751
"200805_at" 5125 11216 6220
"200806_s_at" 15658 10120 6992
"200807_s_at" 14604 18687 9153
"200808_s_at" 17775 20594 14879
"200809_x_at" 14669 9580 16257
"200810_s_at" 1635 5416 1500
"200811_at" 1185 458 1420
"200812_at" 6102 4593 15070
"200813_s_at" 20971 11075 17177
"200814_at" 3242 4659 16586
"200815_s_at" 14976 11274 17068
"200816_s_at" 17422 18155 21689
"200817_x_at" 9332 12981 9155
"200818_at" 4354 10305 15377
"200819_s_at" 15077 10464 7344
"200820_at" 5594 3955 5280
"200821_at" 4184 7997 5542
"200822_x_at" 6519 6951 5118
"200823_x_at" 6433 17526 5616
"200824_at" 550 6582 3585
"200825_s_at" 3993 17259 15011
"200826_at" 6120 8732 4600
"200827_at" 21069 18529 7070
"200828_s_at" 16531 11067 6388
"200829_x_at" 6732 7648 15209
"200830_at" 3172 8457 6058
"200831_s_at" 3695 18743 15192
"200832_s_at" 17637 7566 14437
"200833_s_at" 14466 6403 14159
"200834_s_at" 9406 13017 9216
"200835_s_at" 15700 4656 7122
"200836_s_at" 4594 6517 6347
"200837_at" 15570 3944 3932
"200838_at" 16571 6767 16722
"200839_s_at" 4590 6735 7495
"200840_at" 5431 9555 4637
"200841_s_at" 14724 6653 13783
"200842_s_at" 17811 8553 14275
"200843_s_at" 6567 10987 16771
"200844_s_at" 2936 8082 6144
"200845_s_at" 5770 11355 6466
"200846_s_at" 4023 6459 3730
"200847_s_at" 15710 10356 6543
"200848_at" 14972 2722 6724
"200849_s_at" 3577 7643 825
"200850_s_at" 3142 5567 4295
"200851_s_at" 14803 19881 16739
"200852_x_at" 18302 5380 6893
"200853_at" 16101 18802 6285
"200854_at" 21006 9539 20872
"200855_at" 4107 10883 19400
"200856_x_at" 1430 6409 5839
"200857_s_at" 18490 9289 17659
"200858_s_at" 15781 10084 5937
"200859_x_at" 2191 19279 15032
"200860_s_at" 19530 3477 19941
"200861_at" 16253 9600 20519
"200862_at" 4904 9884 17350
"200863_s_at" 4849 6023 7355
"200864_s_at" 4983 4507 6198
"200865_at" 13236 20881 15282
"200866_s_at" 1860 8452 3462
"200867_at" 15909 9762 14806
"200868_s_at" 20596 5994 14599
"200869_at" 15978 17727 6004
"200870_at" 14993 17804 6536
"200871_s_at" 2511 5748 6586
"200872_at" 3725 10241 7086
"200873_s_at" 6679 18843 7048
"200874_s_at" 19924 20730 18814
"200875_s_at" 18593 20541 16507
"200876_s_at" 4951 5602 4764
"200877_at" 15283 17740 16513
"200878_at" 14832 10343 4821
"200879_s_at" 14305 21635 645
"200880_at" 18404 8203 18250
"200881_s_at" 15718 17757 16555
"200882_s_at" 17816 17295 6911
"200883_at" 16203 6035 4694
"200884_at" 3905 4544 2302
"200885_at" 2979 9749 1914
"200886_s_at" 5177 18277 6271
"200887_s_at" 6091 4036 6958
"200888_s_at" 16192 17768 5094
"200889_s_at" 5712 8519 3821
"200890_s_at" 15096 3656 2856
"200891_s_at" 6042 8582 6251
"200892_s_at" 17112 4576 5985
"200893_at" 16360 10786 14264
"200894_s_at" 4776 3260 4465
"200895_s_at" 5207 3580 6861
"200896_x_at" 5764 17888 7403
"200897_s_at" 3039 8113 14934
"200898_s_at" 19454 18018 21186
"200899_s_at" 18668 17748 17652
"200900_s_at" 15589 1896 3644
"200901_s_at" 4029 3236 6926
"200902_at" 6668 8617 3804
"200903_s_at" 2448 8471 6277
"200904_at" 254 5842 1088
"200905_x_at" 638 6576 1702
"200906_s_at" 4116 11310 1918
"200907_s_at" 6146 3882 14408
"200908_s_at" 1808 18857 19661
"200909_s_at" 16376 9554 3209
"200910_at" 4835 11329 14536
"200911_s_at" 14514 4228 20557
"200912_s_at" 16535 18852 16799
"200913_at" 5876 8046 16757
"200914_x_at" 14874 10533 2828
"200915_x_at" 6180 17760 15181
"200916_at" 5357 10459 13579
"200917_s_at" 1668 1470 1305
"200918_s_at" 3118 5681 6629
"200919_at" 16430 5694 20598
"200920_s_at" 21990 21076 21631
"200921_s_at" 21494 18352 21170
"200922_at" 15369 7710 2997
"200923_at" 4251 4270 5347
"200924_s_at" 17892 19048 15079
"200925_at" 14679 9287 5389
"200926_at" 9654 13119 9400
"200927_s_at" 16618 7072 3616
"200928_s_at" 18611 12421 7193
"200929_at" 4020 8002 3693
"200930_s_at" 7735 1809 8153
"200931_s_at" 17891 11058 20602
"200932_s_at" 6557 3788 5939
"200933_x_at" 9592 13096 9345
"200934_at" 16941 9220 13751
"200935_at" 14507 20192 1480
"200936_at" 9607 13100 9354
"200937_s_at" 15135 17609 4160
"200938_s_at" 7414 14429 12671
"200939_s_at" 10002 21462 7189
"200940_s_at" 20442 16802 20987
"200941_at" 4524 10421 3927
"200942_s_at" 5986 5551 3952
"200943_at" 6634 6258 6207
"200944_s_at" 6280 8777 6473
"200945_s_at" 2900 8661 4869
"200946_x_at" 3912 3789 4995
"200947_s_at" 4642 6814 4605
"200948_at" 4336 8012 5404
"200949_x_at" 16604 10190 6949
"200950_at" 3231 5665 2513
"200951_s_at" 7476 11805 9219
"200952_s_at" 11474 18113 12346
"200953_s_at" 13808 20553 19787
"200954_at" 5870 3584 1934
"200955_at" 3900 10444 5104
"200956_s_at" 5227 5610 7338
"200957_s_at" 4112 9033 15867
"200958_s_at" 6509 6438 15167
"200959_at" 16619 17599 5238
"200960_x_at" 3792 6753 4873
"200961_at" 16794 6741 6754
"200962_at" 73 137 86
"200963_x_at" 17027 17386 9404
"200964_at" 3491 9258 15931
"200965_s_at" 1589 3915 16381
"200966_x_at" 5070 9218 4666
"200967_at" 4250 6993 5234
"200968_s_at" 2057 9490 14028
"200969_at" 19958 2913 17343
"200970_s_at" 18445 6311 15924
"200971_s_at" 4306 5592 6301
"200972_at" 3481 7729 4209
"200973_s_at" 18857 6379 13566
"200974_at" 16678 17791 2145
"200975_at" 6726 5673 6756
"200976_s_at" 6642 9012 3420
"200977_s_at" 5810 8781 5809
"200978_at" 4817 6846 5676
"200979_at" 17404 17563 17209
"200980_s_at" 14486 8559 4204
"200981_x_at" 16698 10512 4965
"200982_s_at" 5531 7387 18366
"200983_x_at" 2823 4039 7287
"200984_s_at" 5774 4188 3706
"200985_s_at" 14762 6205 6813
"200986_at" 10752 15929 9580
"200987_x_at" 3584 6988 18687
"200988_s_at" 15443 10620 4661
"200989_at" 5027 7700 5701
"200990_at" 1967 8609 15127
"200991_s_at" 15251 6042 7333
"200992_at" 15749 8577 15271
"200993_at" 15556 7232 14006
"200994_at" 15220 7705 3711
"200995_at" 4093 17873 18651
"200996_at" 14744 9620 13595
"200997_at" 1705 2851 3818
"200998_s_at" 17932 11326 16139
"200999_s_at" 3238 19235 5483
"201000_at" 15853 2211 17387
"201001_s_at" 6332 6991 13984
